TEMPORAL;OBS_STATUS;TIPOVENTAS;TIPOSERIES;TERRITORIO;INDICATOR;OBS_VALUE;FREQ
2010-01;P;04;02;;INDICE;127.761400115;M
2010-01;P;05;02;;INDICE;123.122737107;M
2010-01;P;06;02;;INDICE;130.183458507;M
2010-02;P;04;02;;INDICE;129.795855267;M
2010-02;P;05;02;;INDICE;128.58508097;M
2010-02;P;06;02;;INDICE;128.623553965;M
2010-03;P;04;02;;INDICE;127.486423561;M
2010-03;P;05;02;;INDICE;120.139655514;M
2010-03;P;06;02;;INDICE;128.528574463;M
2010-04;P;04;02;;INDICE;123.143669202;M
2010-04;P;05;02;;INDICE;120.596238074;M
2010-04;P;06;02;;INDICE;124.689641243;M
2010-05;P;04;02;;INDICE;125.319615787;M
2010-05;P;05;02;;INDICE;119.849218192;M
2010-05;P;06;02;;INDICE;125.632553177;M
2010-06;P;04;02;;INDICE;123.802388504;M
2010-06;P;05;02;;INDICE;119.854298792;M
2010-06;P;06;02;;INDICE;124.7942085;M
2010-07;P;04;02;;INDICE;122.09518631;M
2010-07;P;05;02;;INDICE;121.484768116;M
2010-07;P;06;02;;INDICE;123.076081356;M
2010-08;P;04;02;;INDICE;119.643287898;M
2010-08;P;05;02;;INDICE;118.941343076;M
2010-08;P;06;02;;INDICE;121.800632807;M
2010-09;P;04;02;;INDICE;121.299521947;M
2010-09;P;05;02;;INDICE;117.509048698;M
2010-09;P;06;02;;INDICE;120.34322613;M
2010-10;P;04;02;;INDICE;122.742389334;M
2010-10;P;05;02;;INDICE;120.549638279;M
2010-10;P;06;02;;INDICE;121.393648172;M
2010-11;P;04;02;;INDICE;120.131807557;M
2010-11;P;05;02;;INDICE;119.677636717;M
2010-11;P;06;02;;INDICE;119.798991064;M
2010-12;P;04;02;;INDICE;120.420841306;M
2010-12;P;05;02;;INDICE;118.846940542;M
2010-12;P;06;02;;INDICE;120.860154444;M
2011-01;P;04;02;;INDICE;118.83734795;M
2011-01;P;05;02;;INDICE;118.048140453;M
2011-01;P;06;02;;INDICE;117.434572216;M
2011-02;P;04;02;;INDICE;115.774579978;M
2011-02;P;05;02;;INDICE;114.851774143;M
2011-02;P;06;02;;INDICE;115.710941258;M
2011-03;P;04;02;;INDICE;115.123092576;M
2011-03;P;05;02;;INDICE;119.104768551;M
2011-03;P;06;02;;INDICE;113.038932864;M
2011-04;P;04;02;;INDICE;119.800256979;M
2011-04;P;05;02;;INDICE;124.227438859;M
2011-04;P;06;02;;INDICE;116.977436746;M
2011-05;P;04;02;;INDICE;111.113538171;M
2011-05;P;05;02;;INDICE;114.285300825;M
2011-05;P;06;02;;INDICE;111.478341048;M
2011-06;P;04;02;;INDICE;114.727602193;M
2011-06;P;05;02;;INDICE;117.521093144;M
2011-06;P;06;02;;INDICE;112.037671476;M
2011-07;P;04;02;;INDICE;113.059205026;M
2011-07;P;05;02;;INDICE;114.739181561;M
2011-07;P;06;02;;INDICE;111.875223399;M
2011-08;P;04;02;;INDICE;109.487371047;M
2011-08;P;05;02;;INDICE;112.127478878;M
2011-08;P;06;02;;INDICE;107.832512372;M
2011-09;P;04;02;;INDICE;110.773542872;M
2011-09;P;05;02;;INDICE;112.248243519;M
2011-09;P;06;02;;INDICE;110.190692348;M
2011-10;P;04;02;;INDICE;109.4839825;M
2011-10;P;05;02;;INDICE;112.848316103;M
2011-10;P;06;02;;INDICE;107.13452842;M
2011-11;P;04;02;;INDICE;107.443624506;M
2011-11;P;05;02;;INDICE;110.266536636;M
2011-11;P;06;02;;INDICE;105.130580794;M
2011-12;P;04;02;;INDICE;106.15787611;M
2011-12;P;05;02;;INDICE;108.422741921;M
2011-12;P;06;02;;INDICE;104.633962231;M
2012-01;P;04;02;;INDICE;106.48086111;M
2012-01;P;05;02;;INDICE;111.550771485;M
2012-01;P;06;02;;INDICE;104.497203065;M
2012-02;P;04;02;;INDICE;102.871672348;M
2012-02;P;05;02;;INDICE;108.670313044;M
2012-02;P;06;02;;INDICE;100.594666012;M
2012-03;P;04;02;;INDICE;104.435894651;M
2012-03;P;05;02;;INDICE;109.901738162;M
2012-03;P;06;02;;INDICE;101.602387868;M
2012-04;P;04;02;;INDICE;99.743200514;M
2012-04;P;05;02;;INDICE;109.989739894;M
2012-04;P;06;02;;INDICE;96.548484338;M
2012-05;P;04;02;;INDICE;102.530456354;M
2012-05;P;05;02;;INDICE;109.33087795;M
2012-05;P;06;02;;INDICE;98.759687025;M
2012-06;P;04;02;;INDICE;97.67452609;M
2012-06;P;05;02;;INDICE;108.658222757;M
2012-06;P;06;02;;INDICE;93.795556309;M
2012-07;P;04;02;;INDICE;98.701937944;M
2012-07;P;05;02;;INDICE;108.218145564;M
2012-07;P;06;02;;INDICE;94.133567969;M
2012-08;P;04;02;;INDICE;102.742525853;M
2012-08;P;05;02;;INDICE;110.076735963;M
2012-08;P;06;02;;INDICE;97.253740247;M
2012-09;P;04;02;;INDICE;94.53141908;M
2012-09;P;05;02;;INDICE;108.068540912;M
2012-09;P;06;02;;INDICE;89.423368742;M
2012-10;P;04;02;;INDICE;93.680786522;M
2012-10;P;05;02;;INDICE;107.187486006;M
2012-10;P;06;02;;INDICE;89.291254492;M
2012-11;P;04;02;;INDICE;92.79006641;M
2012-11;P;05;02;;INDICE;104.768610616;M
2012-11;P;06;02;;INDICE;89.265618326;M
2012-12;P;04;02;;INDICE;93.291814486;M
2012-12;P;05;02;;INDICE;103.568538361;M
2012-12;P;06;02;;INDICE;86.126219063;M
2013-01;P;04;02;;INDICE;93.655295232;M
2013-01;P;05;02;;INDICE;103.578901044;M
2013-01;P;06;02;;INDICE;87.69193033;M
2013-02;P;04;02;;INDICE;94.941412948;M
2013-02;P;05;02;;INDICE;105.327509482;M
2013-02;P;06;02;;INDICE;90.687356948;M
