TEMPORAL;ESTADO_DATO;IVGS_TIPVENT;IVGS_SERIEIVGS;TERRITORIO;INDICATOR;OBS_VALUE;FREQ
2010-01;D;01;;C01;INDICE;136.7157296;M
2010-01;D;02;;C01;INDICE;99.385818612;M
2010-01;D;03;;C01;INDICE;152.339986137;M
2010-02;D;01;;C01;INDICE;92.834311588;M
2010-02;D;02;;C01;INDICE;93.570144715;M
2010-02;D;03;;C01;INDICE;92.493480667;M
2010-03;D;01;;C01;INDICE;103.853458553;M
2010-03;D;02;;C01;INDICE;100.488663639;M
2010-03;D;03;;C01;INDICE;105.230301138;M
2010-04;D;01;;C01;INDICE;100.571773268;M
2010-04;D;02;;C01;INDICE;97.811139051;M
2010-04;D;03;;C01;INDICE;101.696114896;M
2010-05;D;01;;C01;INDICE;101.555805002;M
2010-05;D;02;;C01;INDICE;94.74222341;M
2010-05;D;03;;C01;INDICE;104.381254538;M
2010-06;D;01;;C01;INDICE;110.585249098;M
2010-06;D;02;;C01;INDICE;101.531663182;M
2010-06;D;03;;C01;INDICE;114.347957821;M
2010-07;D;01;;C01;INDICE;133.05382113;M
2010-07;D;02;;C01;INDICE;121.794347909;M
2010-07;D;03;;C01;INDICE;137.734844981;M
2010-08;D;01;;C01;INDICE;111.627694419;M
2010-08;D;02;;C01;INDICE;114.359068219;M
2010-08;D;03;;C01;INDICE;110.442663326;M
2010-09;D;01;;C01;INDICE;101.417491709;M
2010-09;D;02;;C01;INDICE;99.554822283;M
2010-09;D;03;;C01;INDICE;102.164572676;M
2010-10;D;01;;C01;INDICE;110.305463652;M
2010-10;D;02;;C01;INDICE;107.736321449;M
2010-10;D;03;;C01;INDICE;111.346068723;M
2010-11;D;01;;C01;INDICE;111.34991246;M
2010-11;D;02;;C01;INDICE;107.555386004;M
2010-11;D;03;;C01;INDICE;112.90458041;M
2010-12;D;01;;C01;INDICE;173.699574305;M
2010-12;D;02;;C01;INDICE;172.696127433;M
2010-12;D;03;;C01;INDICE;174.061092581;M
2011-01;D;01;;C01;INDICE;131.908157279;M
2011-01;D;02;;C01;INDICE;98.253593428;M
2011-01;D;03;;C01;INDICE;146.019535542;M
2011-02;D;01;;C01;INDICE;85.859684978;M
2011-02;D;02;;C01;INDICE;85.964136369;M
2011-02;D;03;;C01;INDICE;85.785790831;M
2011-03;D;01;;C01;INDICE;95.760159992;M
2011-03;D;02;;C01;INDICE;101.89731957;M
2011-03;D;03;;C01;INDICE;93.145044934;M
2011-04;D;01;;C01;INDICE;106.083916719;M
2011-04;D;02;;C01;INDICE;108.332970244;M
2011-04;D;03;;C01;INDICE;105.100801329;M
2011-05;D;01;;C01;INDICE;94.641898363;M
2011-05;D;02;;C01;INDICE;92.659652849;M
2011-05;D;03;;C01;INDICE;95.442747272;M
2011-06;D;01;;C01;INDICE;104.022798275;M
2011-06;D;02;;C01;INDICE;101.798181534;M
2011-06;D;03;;C01;INDICE;104.922332586;M
2011-07;D;01;;C01;INDICE;126.547537278;M
2011-07;D;02;;C01;INDICE;115.263562242;M
2011-07;D;03;;C01;INDICE;131.250194621;M
2011-08;D;01;;C01;INDICE;109.791711943;M
2011-08;D;02;;C01;INDICE;112.822446466;M
2011-08;D;03;;C01;INDICE;108.452987718;M
2011-09;D;01;;C01;INDICE;99.728641669;M
2011-09;D;02;;C01;INDICE;100.472226785;M
2011-09;D;03;;C01;INDICE;99.361890191;M
2011-10;D;01;;C01;INDICE;99.466584671;M
2011-10;D;02;;C01;INDICE;103.729933325;M
2011-10;D;03;;C01;INDICE;97.612321646;M
2011-11;D;01;;C01;INDICE;100.550417163;M
2011-11;D;02;;C01;INDICE;100.757346676;M
2011-11;D;03;;C01;INDICE;100.410052855;M
2011-12;D;01;;C01;INDICE;158.882338501;M
2011-12;D;02;;C01;INDICE;166.036999649;M
2011-12;D;03;;C01;INDICE;155.774782917;M
2012-01;D;01;;C01;INDICE;120.898866234;M
2012-01;D;02;;C01;INDICE;93.048540809;M
2012-01;D;03;;C01;INDICE;132.606363243;M
2012-02;D;01;;C01;INDICE;81.871915013;M
2012-02;D;02;;C01;INDICE;84.992685463;M
2012-02;D;03;;C01;INDICE;80.562494698;M
2012-03;D;01;;C01;INDICE;91.567925871;M
2012-03;D;02;;C01;INDICE;99.77453171;M
2012-03;D;03;;C01;INDICE;88.121383307;M
2012-04;D;01;;C01;INDICE;85.490956889;M
2012-04;D;02;;C01;INDICE;93.813299002;M
2012-04;D;03;;C01;INDICE;81.995618072;M
2012-05;D;01;;C01;INDICE;90.101288146;M
2012-05;D;02;;C01;INDICE;91.776499803;M
2012-05;D;03;;C01;INDICE;89.399590744;M
2012-06;D;01;;C01;INDICE;95.264316605;M
2012-06;D;02;;C01;INDICE;101.255216146;M
2012-06;D;03;;C01;INDICE;92.749041998;M
2012-07;D;01;;C01;INDICE;112.956276287;M
2012-07;D;02;;C01;INDICE;109.151866416;M
2012-07;D;03;;C01;INDICE;114.558034288;M
2012-08;D;01;;C01;INDICE;107.815899316;M
2012-08;D;02;;C01;INDICE;114.179191832;M
2012-08;D;03;;C01;INDICE;105.144447022;M
2012-09;D;01;;C01;INDICE;85.982680146;M
2012-09;D;02;;C01;INDICE;98.236367108;M
2012-09;D;03;;C01;INDICE;80.835167452;M
2012-10;D;01;;C01;INDICE;88.719287242;M
2012-10;D;02;;C01;INDICE;100.596425401;M
2012-10;D;03;;C01;INDICE;83.730093583;M
2012-11;D;01;;C01;INDICE;90.669953778;M
2012-11;D;02;;C01;INDICE;100.057108919;M
2012-11;D;03;;C01;INDICE;86.727250498;M
2012-12;D;01;;C01;INDICE;138.91653544;M
2012-12;D;02;;C01;INDICE;159.693394653;M
2012-12;D;03;;C01;INDICE;130.188442287;M
2013-01;D;01;;C01;INDICE;107.923713199;M
2013-01;D;02;;C01;INDICE;90.198128778;M
2013-01;D;03;;C01;INDICE;115.375852597;M
2013-02;D;01;;C01;INDICE;74.073783523;M
2013-02;D;02;;C01;INDICE;82.878784545;M
2013-02;D;03;;C01;INDICE;70.375307674;M
2013-03;D;01;;C01;INDICE;81.387518504;M
2013-03;D;02;;C01;INDICE;97.597526869;M
2013-03;D;03;;C01;INDICE;74.57720392;M
2013-04;D;01;;C01;INDICE;83.743772829;M
2013-04;D;02;;C01;INDICE;91.624733723;M
2013-04;D;03;;C01;INDICE;80.433883716;M
2013-05;D;01;;C01;INDICE;84.933876635;M
2013-05;D;02;;C01;INDICE;92.02179301;M
2013-05;D;03;;C01;INDICE;81.955116778;M
2013-06;D;01;;C01;INDICE;90.344985963;M
2013-06;D;02;;C01;INDICE;96.554388616;M
2013-06;D;03;;C01;INDICE;87.732217602;M
2013-07;D;01;;C01;INDICE;110.443393889;M
2013-07;D;02;;C01;INDICE;106.9936425;M
2013-07;D;03;;C01;INDICE;111.862597238;M
2013-08;D;01;;C01;INDICE;99.825616037;M
2013-08;D;02;;C01;INDICE;113.186740554;M
2013-08;D;03;;C01;INDICE;94.222631573;M
2013-09;D;01;;C01;INDICE;87.668067089;M
2013-09;D;02;;C01;INDICE;95.792082642;M
2013-09;D;03;;C01;INDICE;84.25582821;M
2013-10;D;01;;C01;INDICE;86.657664917;M
2013-10;D;02;;C01;INDICE;96.951025838;M
2013-10;D;03;;C01;INDICE;82.339181213;M
2013-11;D;01;;C01;INDICE;95.800758723;M
2013-11;D;02;;C01;INDICE;101.783874609;M
2013-11;D;03;;C01;INDICE;93.281443593;M
2013-12;D;01;;C01;INDICE;140.177068944;M
2013-12;D;02;;C01;INDICE;158.612933746;M
2013-12;D;03;;C01;INDICE;132.445502385;M
2014-01;D;01;;C01;INDICE;108.752815339;M
2014-01;D;02;;C01;INDICE;91.829408735;M
2014-01;D;03;;C01;INDICE;115.802248357;M
2014-02;D;01;;C01;INDICE;73.239064134;M
2014-02;D;02;;C01;INDICE;81.813084423;M
2014-02;D;03;;C01;INDICE;69.64170095;M
2014-03;D;01;;C01;INDICE;80.971352534;M
2014-03;D;02;;C01;INDICE;92.826533972;M
2014-03;D;03;;C01;INDICE;76.001416992;M
2014-04;D;01;;C01;INDICE;84.142553361;M
2014-04;D;02;;C01;INDICE;90.435603981;M
2014-04;D;03;;C01;INDICE;81.496083027;M
2014-05;D;01;;C01;INDICE;88.491451433;M
2014-05;D;02;;C01;INDICE;90.26526809;M
2014-05;D;03;;C01;INDICE;87.732440562;M
2014-06;D;01;;C01;INDICE;87.192405118;M
2014-06;D;02;;C01;INDICE;89.14300104;M
2014-06;D;03;;C01;INDICE;86.359111916;M
2014-07;D;01;;C01;INDICE;106.619296238;M
2014-07;D;02;;C01;INDICE;102.7661141;M
2014-07;D;03;;C01;INDICE;108.226095477;M
2014-08;D;01;;C01;INDICE;98.062007477;M
2014-08;D;02;;C01;INDICE;106.209754034;M
2014-08;D;03;;C01;INDICE;94.687218541;M
2014-09;D;01;;C01;INDICE;89.61647981;M
2014-09;D;02;;C01;INDICE;93.523919437;M
2014-09;D;03;;C01;INDICE;88.0010325;M
2014-10;D;01;;C01;INDICE;86.379282776;M
2014-10;D;02;;C01;INDICE;92.952187365;M
2014-10;D;03;;C01;INDICE;83.657305886;M
2014-11;D;01;;C01;INDICE;94.737221637;M
2014-11;D;02;;C01;INDICE;95.282121542;M
2014-11;D;03;;C01;INDICE;94.514010527;M
2014-12;D;01;;C01;INDICE;149.780176562;M
2014-12;D;02;;C01;INDICE;161.037793173;M
2014-12;D;03;;C01;INDICE;145.118213924;M
2015-01;D;01;;C01;INDICE;112.263132608;M
2015-01;D;02;;C01;INDICE;90.257322086;M
2015-01;D;03;;C01;INDICE;121.387398076;M
2015-02;D;01;;C01;INDICE;72.648569182;M
2015-02;D;02;;C01;INDICE;76.437123069;M
2015-02;D;03;;C01;INDICE;71.086315215;M
2015-03;D;01;;C01;INDICE;83.886035439;M
2015-03;D;02;;C01;INDICE;91.365023723;M
2015-03;D;03;;C01;INDICE;80.813254672;M
2015-04;D;01;;C01;INDICE;86.253926192;M
2015-04;D;02;;C01;INDICE;88.192895078;M
2015-04;D;03;;C01;INDICE;85.455711983;M
2015-05;D;01;;C01;INDICE;90.927676276;M
2015-05;D;02;;C01;INDICE;89.924456274;M
2015-05;D;03;;C01;INDICE;91.320162677;M
2015-06;D;01;;C01;INDICE;93.519617061;M
2015-06;D;02;;C01;INDICE;93.034183785;M
2015-06;D;03;;C01;INDICE;93.702039158;M
2015-07;D;01;;C01;INDICE;117.305234278;M
2015-07;D;02;;C01;INDICE;109.024438932;M
2015-07;D;03;;C01;INDICE;120.640705721;M
2015-08;D;01;;C01;INDICE;104.845336452;M
2015-08;D;02;;C01;INDICE;110.319307229;M
2015-08;D;03;;C01;INDICE;102.612848531;M
2015-09;D;01;;C01;INDICE;93.840308544;M
2015-09;D;02;;C01;INDICE;94.775488071;M
2015-09;D;03;;C01;INDICE;93.447420262;M
2015-10;D;01;;C01;INDICE;96.278237905;M
2015-10;D;02;;C01;INDICE;99.845049332;M
2015-10;D;03;;C01;INDICE;94.819329774;M
2015-11;D;01;;C01;INDICE;98.714765576;M
2015-11;D;02;;C01;INDICE;95.843553078;M
2015-11;D;03;;C01;INDICE;99.862497294;M
2015-12;D;01;;C01;INDICE;149.517160487;M
2015-12;D;02;;C01;INDICE;160.981159342;M
2015-12;D;03;;C01;INDICE;144.852316638;M
2016-01;D;01;;C01;INDICE;115.075062168;M
2016-01;D;02;;C01;INDICE;89.500566718;M
2016-01;D;03;;C01;INDICE;125.4137687;M
2016-02;D;01;;C01;INDICE;83.52445004;M
2016-02;D;02;;C01;INDICE;84.859562541;M
2016-02;D;03;;C01;INDICE;82.971173925;M
2016-03;D;01;;C01;INDICE;85.966503191;M
2016-03;D;02;;C01;INDICE;92.584281225;M
2016-03;D;03;;C01;INDICE;83.273699074;M
2016-04;D;01;;C01;INDICE;93.175678636;M
2016-04;D;02;;C01;INDICE;92.248925547;M
2016-04;D;03;;C01;INDICE;93.536860476;M
2016-05;D;01;;C01;INDICE;90.454679371;M
2016-05;D;02;;C01;INDICE;88.221486581;M
2016-05;D;03;;C01;INDICE;91.345301572;M
2016-06;D;01;;C01;INDICE;99.825311448;M
2016-06;D;02;;C01;INDICE;92.737906466;M
2016-06;D;03;;C01;INDICE;102.775296159;M
2016-07;D;01;;C01;INDICE;120.460515597;M
2016-07;D;02;;C01;INDICE;109.711656354;M
2016-07;D;03;;C01;INDICE;124.903353721;M
2016-08;D;01;;C01;INDICE;106.481238448;M
2016-08;D;02;;C01;INDICE;110.243705637;M
2016-08;D;03;;C01;INDICE;105.075771751;M
2016-09;D;01;;C01;INDICE;94.619083599;M
2016-09;D;02;;C01;INDICE;96.662469052;M
2016-09;D;03;;C01;INDICE;93.892823284;M
2016-10;D;01;;C01;INDICE;95.495250183;M
2016-10;D;02;;C01;INDICE;97.771146179;M
2016-10;D;03;;C01;INDICE;94.676657465;M
2016-11;D;01;;C01;INDICE;107.508403998;M
2016-11;D;02;;C01;INDICE;100.754607829;M
2016-11;D;03;;C01;INDICE;110.320721479;M
2016-12;D;01;;C01;INDICE;148.975184213;M
2016-12;D;02;;C01;INDICE;163.328470847;M
2016-12;D;03;;C01;INDICE;143.36834186;M
2017-01;D;01;;C01;INDICE;118.2734804;M
2017-01;D;02;;C01;INDICE;90.925393945;M
2017-01;D;03;;C01;INDICE;129.178877148;M
2017-02;D;01;;C01;INDICE;79.427837984;M
2017-02;D;02;;C01;INDICE;80.060307708;M
2017-02;D;03;;C01;INDICE;79.221069859;M
2017-03;D;01;;C01;INDICE;88.094047732;M
2017-03;D;02;;C01;INDICE;94.276649773;M
2017-03;D;03;;C01;INDICE;85.692160289;M
2017-04;D;01;;C01;INDICE;93.055268937;M
2017-04;D;02;;C01;INDICE;93.112975735;M
2017-04;D;03;;C01;INDICE;93.08385634;M
2017-05;D;01;;C01;INDICE;94.596358257;M
2017-05;D;02;;C01;INDICE;89.559213596;M
2017-05;D;03;;C01;INDICE;96.641760569;M
2017-06;D;01;;C01;INDICE;105.543212364;M
2017-06;D;02;;C01;INDICE;96.979044525;M
2017-06;D;03;;C01;INDICE;108.990258802;M
2017-07;D;01;;C01;INDICE;122.087425757;M
2017-07;D;02;;C01;INDICE;112.039387104;M
2017-07;D;03;;C01;INDICE;126.130761793;M
2017-08;D;01;;C01;INDICE;109.794707932;M
