TEMPORAL;OBS_STATUS;TIPOVENTAS;TIPOSERIES;TERRITORIO;INDICATOR;OBS_VALUE;FREQ
2010-01;P;04;03;;INDICE;149.68648146;M
2010-01;P;05;03;;INDICE;110.233293262;M
2010-01;P;06;03;;INDICE;166.018392417;M
2010-02;P;04;03;;INDICE;103.766810423;M
2010-02;P;05;03;;INDICE;105.291789464;M
2010-02;P;06;03;;INDICE;101.957298388;M
2010-03;P;04;03;;INDICE;111.828375095;M
2010-03;P;05;03;;INDICE;112.59362611;M
2010-03;P;06;03;;INDICE;111.142504186;M
2010-04;P;04;03;;INDICE;106.524048164;M
2010-04;P;05;03;;INDICE;107.956626462;M
2010-04;P;06;03;;INDICE;105.597220873;M
2010-05;P;04;03;;INDICE;109.239177713;M
2010-05;P;05;03;;INDICE;105.596255103;M
2010-05;P;06;03;;INDICE;109.594690513;M
2010-06;P;04;03;;INDICE;117.666003327;M
2010-06;P;05;03;;INDICE;113.081374384;M
2010-06;P;06;03;;INDICE;118.174689693;M
2010-07;P;04;03;;INDICE;140.716375731;M
2010-07;P;05;03;;INDICE;130.521797733;M
2010-07;P;06;03;;INDICE;144.695665178;M
2010-08;P;04;03;;INDICE;120.991439158;M
2010-08;P;05;03;;INDICE;127.898308205;M
2010-08;P;06;03;;INDICE;119.717761074;M
2010-09;P;04;03;;INDICE;111.213801709;M
2010-09;P;05;03;;INDICE;110.556935733;M
2010-09;P;06;03;;INDICE;108.446075378;M
2010-10;P;04;03;;INDICE;115.886963185;M
2010-10;P;05;03;;INDICE;117.660971736;M
2010-10;P;06;03;;INDICE;114.885524357;M
2010-11;P;04;03;;INDICE;113.467693443;M
2010-11;P;05;03;;INDICE;116.851824349;M
2010-11;P;06;03;;INDICE;113.151303951;M
2010-12;P;04;03;;INDICE;180.030708695;M
2010-12;P;05;03;;INDICE;187.215556087;M
2010-12;P;06;03;;INDICE;174.363071974;M
2011-01;P;04;03;;INDICE;139.736863122;M
2011-01;P;05;03;;INDICE;105.770161717;M
2011-01;P;06;03;;INDICE;152.133446839;M
2011-02;P;04;03;;INDICE;91.533050937;M
2011-02;P;05;03;;INDICE;93.482652185;M
2011-02;P;06;03;;INDICE;89.675548714;M
2011-03;P;04;03;;INDICE;100.633628977;M
2011-03;P;05;03;;INDICE;111.905915606;M
2011-03;P;06;03;;INDICE;95.190976213;M
2011-04;P;04;03;;INDICE;104.691767728;M
2011-04;P;05;03;;INDICE;111.412366218;M
2011-04;P;06;03;;INDICE;100.838760196;M
2011-05;P;04;03;;INDICE;96.982427426;M
2011-05;P;05;03;;INDICE;100.935739336;M
2011-05;P;06;03;;INDICE;96.664237471;M
2011-06;P;04;03;;INDICE;108.956919191;M
2011-06;P;05;03;;INDICE;110.960870123;M
2011-06;P;06;03;;INDICE;104.821929884;M
2011-07;P;04;03;;INDICE;130.97867351;M
2011-07;P;05;03;;INDICE;123.091010738;M
2011-07;P;06;03;;INDICE;133.915422017;M
2011-08;P;04;03;;INDICE;112.777543233;M
2011-08;P;05;03;;INDICE;120.766244831;M
2011-08;P;06;03;;INDICE;108.932127462;M
2011-09;P;04;03;;INDICE;101.536479426;M
2011-09;P;05;03;;INDICE;105.884726191;M
2011-09;P;06;03;;INDICE;99.729479813;M
2011-10;P;04;03;;INDICE;101.914409304;M
2011-10;P;05;03;;INDICE;109.890979189;M
2011-10;P;06;03;;INDICE;97.881388319;M
2011-11;P;04;03;;INDICE;101.265648183;M
2011-11;P;05;03;;INDICE;107.518780095;M
2011-11;P;06;03;;INDICE;97.42901544;M
2011-12;P;04;03;;INDICE;157.269279939;M
2011-12;P;05;03;;INDICE;170.690535543;M
2011-12;P;06;03;;INDICE;151.16650307;M
2012-01;P;04;03;;INDICE;125.155883764;M
2012-01;P;05;03;;INDICE;99.958997412;M
2012-01;P;06;03;;INDICE;136.541484212;M
2012-02;P;04;03;;INDICE;81.017175328;M
2012-02;P;05;03;;INDICE;88.046397473;M
2012-02;P;06;03;;INDICE;77.488092122;M
2012-03;P;04;03;;INDICE;91.304539395;M
2012-03;P;05;03;;INDICE;103.280584008;M
2012-03;P;06;03;;INDICE;85.956513779;M
2012-04;P;04;03;;INDICE;86.613011588;M
2012-04;P;05;03;;INDICE;98.817118676;M
2012-04;P;06;03;;INDICE;81.800323224;M
2012-05;P;04;03;;INDICE;90.936647001;M
2012-05;P;05;03;;INDICE;96.918642323;M
2012-05;P;06;03;;INDICE;87.182944583;M
2012-06;P;04;03;;INDICE;92.327333535;M
2012-06;P;05;03;;INDICE;102.371925479;M
2012-06;P;06;03;;INDICE;87.489161424;M
2012-07;P;04;03;;INDICE;114.619912687;M
2012-07;P;05;03;;INDICE;115.800100421;M
2012-07;P;06;03;;INDICE;115.49656374;M
2012-08;P;04;03;;INDICE;108.378342886;M
2012-08;P;05;03;;INDICE;118.874188134;M
2012-08;P;06;03;;INDICE;102.271945533;M
2012-09;P;04;03;;INDICE;86.605022014;M
2012-09;P;05;03;;INDICE;102.304356102;M
2012-09;P;06;03;;INDICE;79.847461852;M
2012-10;P;04;03;;INDICE;85.779855331;M
2012-10;P;05;03;;INDICE;104.021061205;M
2012-10;P;06;03;;INDICE;77.531256305;M
2012-11;P;04;03;;INDICE;87.684770524;M
2012-11;P;05;03;;INDICE;102.202256269;M
2012-11;P;06;03;;INDICE;81.663581877;M
2012-12;P;04;03;;INDICE;137.241519088;M
2012-12;P;05;03;;INDICE;163.53080756;M
2012-12;P;06;03;;INDICE;125.331852256;M
2013-01;P;04;03;;INDICE;109.238207391;M
2013-01;P;05;03;;INDICE;92.766176946;M
2013-01;P;06;03;;INDICE;114.532425313;M
2013-02;P;04;03;;INDICE;74.973578166;M
2013-02;P;05;03;;INDICE;85.127273427;M
2013-02;P;06;03;;INDICE;70.297156257;M
2013-03;P;04;03;;INDICE;80.492567393;M
2013-03;P;05;03;;INDICE;97.902022162;M
2013-03;P;06;03;;INDICE;73.121387576;M
2013-04;P;04;03;;INDICE;80.435129154;M
2013-04;P;05;03;;INDICE;93.376540648;M
2013-04;P;06;03;;INDICE;76.273446877;M
2013-05;P;04;03;;INDICE;83.389960834;M
2013-05;P;05;03;;INDICE;93.33643246;M
2013-05;P;06;03;;INDICE;77.717385055;M
2013-06;P;04;03;;INDICE;90.249628996;M
2013-06;P;05;03;;INDICE;97.807303053;M
2013-06;P;06;03;;INDICE;86.682883709;M
2013-07;P;04;03;;INDICE;108.24119598;M
2013-07;P;05;03;;INDICE;106.752406306;M
2013-07;P;06;03;;INDICE;108.648416248;M
2013-08;P;04;03;;INDICE;96.774833576;M
2013-08;P;05;03;;INDICE;109.086260264;M
2013-08;P;06;03;;INDICE;91.116250713;M
2013-09;P;04;03;;INDICE;88.068858569;M
2013-09;P;05;03;;INDICE;98.188021486;M
2013-09;P;06;03;;INDICE;84.676964858;M
2013-10;P;04;03;;INDICE;85.800149605;M
2013-10;P;05;03;;INDICE;98.813980548;M
2013-10;P;06;03;;INDICE;79.544580359;M
2013-11;P;04;03;;INDICE;90.186100175;M
2013-11;P;05;03;;INDICE;99.588112183;M
2013-11;P;06;03;;INDICE;85.580212724;M
2013-12;P;04;03;;INDICE;137.194040446;M
2013-12;P;05;03;;INDICE;162.149633587;M
2013-12;P;06;03;;INDICE;128.592949049;M
2014-01;P;04;03;;INDICE;108.246812571;M
2014-01;P;05;03;;INDICE;92.17974741;M
2014-01;P;06;03;;INDICE;113.410121638;M
2014-02;P;04;03;;INDICE;74.124577864;M
2014-02;P;05;03;;INDICE;82.968481929;M
2014-02;P;06;03;;INDICE;70.105173621;M
2014-03;P;04;03;;INDICE;81.003002218;M
2014-03;P;05;03;;INDICE;94.630852698;M
2014-03;P;06;03;;INDICE;75.822755631;M
2014-04;P;04;03;;INDICE;82.35101144;M
2014-04;P;05;03;;INDICE;91.055632633;M
2014-04;P;06;03;;INDICE;77.469026204;M
2014-05;P;04;03;;INDICE;84.848826401;M
2014-05;P;05;03;;INDICE;89.075360882;M
2014-05;P;06;03;;INDICE;82.080294193;M
2014-06;P;04;03;;INDICE;87.003017446;M
2014-06;P;05;03;;INDICE;92.409774065;M
2014-06;P;06;03;;INDICE;85.305027829;M
2014-07;P;04;03;;INDICE;107.945126057;M
2014-07;P;05;03;;INDICE;105.427604722;M
2014-07;P;06;03;;INDICE;107.695965791;M
2014-08;P;04;03;;INDICE;97.787510757;M
2014-08;P;05;03;;INDICE;107.162779312;M
