TEMPORAL;ESTADO_DATO;IVGS_TIPVENT;IVGS_SERIEIVGS;TERRITORIO;INDICATOR;OBS_VALUE;FREQ
1995-10;P;03;02;C01;INDICE;92.388583417;M
1995-11;P;01;02;C01;INDICE;110.085829296;M
1995-11;P;02;02;C01;INDICE;135.994418968;M
1995-11;P;03;02;C01;INDICE;96.451770991;M
1995-12;P;01;02;C01;INDICE;108.648506828;M
1995-12;P;02;02;C01;INDICE;133.630337336;M
1995-12;P;03;02;C01;INDICE;94.553039032;M
1996-01;P;01;02;C01;INDICE;105.276220013;M
1996-01;P;02;02;C01;INDICE;132.570571023;M
1996-01;P;03;02;C01;INDICE;93.522480844;M
1996-02;P;01;02;C01;INDICE;109.202195206;M
1996-02;P;02;02;C01;INDICE;134.821070013;M
1996-02;P;03;02;C01;INDICE;95.695581233;M
1996-03;P;01;02;C01;INDICE;107.682495762;M
1996-03;P;02;02;C01;INDICE;132.286845545;M
1996-03;P;03;02;C01;INDICE;95.531996103;M
1996-04;P;01;02;C01;INDICE;103.193126632;M
1996-04;P;02;02;C01;INDICE;122.541950006;M
1996-04;P;03;02;C01;INDICE;92.409871369;M
1996-05;P;01;02;C01;INDICE;105.457316671;M
1996-05;P;02;02;C01;INDICE;129.115649161;M
1996-05;P;03;02;C01;INDICE;92.932118843;M
1996-06;P;01;02;C01;INDICE;105.814966438;M
1996-06;P;02;02;C01;INDICE;126.702373106;M
1996-06;P;03;02;C01;INDICE;94.436449369;M
1996-07;P;01;02;C01;INDICE;101.743803236;M
1996-07;P;02;02;C01;INDICE;124.348814475;M
1996-07;P;03;02;C01;INDICE;89.531879756;M
1996-08;P;01;02;C01;INDICE;101.669671306;M
1996-08;P;02;02;C01;INDICE;120.98516732;M
1996-08;P;03;02;C01;INDICE;90.002908841;M
1996-09;P;01;02;C01;INDICE;103.850433897;M
1996-09;P;02;02;C01;INDICE;120.354758761;M
1996-09;P;03;02;C01;INDICE;94.700783755;M
1996-10;P;01;02;C01;INDICE;103.142928741;M
1996-10;P;02;02;C01;INDICE;123.167084328;M
1996-10;P;03;02;C01;INDICE;92.596188037;M
1996-11;P;01;02;C01;INDICE;103.155726378;M
1996-11;P;02;02;C01;INDICE;124.73497513;M
1996-11;P;03;02;C01;INDICE;91.964354486;M
1996-12;P;01;02;C01;INDICE;104.033010289;M
1996-12;P;02;02;C01;INDICE;127.074277946;M
1996-12;P;03;02;C01;INDICE;94.013630045;M
1997-01;P;01;02;C01;INDICE;103.257280915;M
1997-01;P;02;02;C01;INDICE;124.870326588;M
1997-01;P;03;02;C01;INDICE;92.831878707;M
1997-02;P;01;02;C01;INDICE;103.03567039;M
1997-02;P;02;02;C01;INDICE;124.190773715;M
1997-02;P;03;02;C01;INDICE;92.256600498;M
1997-03;P;01;02;C01;INDICE;104.826680724;M
1997-03;P;02;02;C01;INDICE;123.68260824;M
1997-03;P;03;02;C01;INDICE;95.854704205;M
1997-04;P;01;02;C01;INDICE;106.037584083;M
1997-04;P;02;02;C01;INDICE;125.513007861;M
1997-04;P;03;02;C01;INDICE;95.025805078;M
1997-05;P;01;02;C01;INDICE;104.732419005;M
1997-05;P;02;02;C01;INDICE;122.099715205;M
1997-05;P;03;02;C01;INDICE;95.339019417;M
1997-06;P;01;02;C01;INDICE;103.544413202;M
1997-06;P;02;02;C01;INDICE;120.41296899;M
1997-06;P;03;02;C01;INDICE;94.336608699;M
1997-07;P;01;02;C01;INDICE;104.359893186;M
1997-07;P;02;02;C01;INDICE;120.207375292;M
1997-07;P;03;02;C01;INDICE;95.969808379;M
1997-08;P;01;02;C01;INDICE;106.500292495;M
1997-08;P;02;02;C01;INDICE;120.616536268;M
1997-08;P;03;02;C01;INDICE;98.645849262;M
1997-09;P;01;02;C01;INDICE;105.245919201;M
1997-09;P;02;02;C01;INDICE;120.497020325;M
1997-09;P;03;02;C01;INDICE;96.487177251;M
1997-10;P;01;02;C01;INDICE;104.818610054;M
1997-10;P;02;02;C01;INDICE;119.991111008;M
1997-10;P;03;02;C01;INDICE;96.682635501;M
1997-11;P;01;02;C01;INDICE;108.487559133;M
1997-11;P;02;02;C01;INDICE;124.791849512;M
1997-11;P;03;02;C01;INDICE;100.451094865;M
1997-12;P;01;02;C01;INDICE;108.194487907;M
1997-12;P;02;02;C01;INDICE;124.623386957;M
1997-12;P;03;02;C01;INDICE;99.995604444;M
1998-01;P;01;02;C01;INDICE;107.1522971;M
1998-01;P;02;02;C01;INDICE;124.452820589;M
1998-01;P;03;02;C01;INDICE;98.644125036;M
1998-02;P;01;02;C01;INDICE;108.087697081;M
1998-02;P;02;02;C01;INDICE;121.100929698;M
1998-02;P;03;02;C01;INDICE;101.247082447;M
1998-03;P;01;02;C01;INDICE;108.573115954;M
1998-03;P;02;02;C01;INDICE;122.809734306;M
1998-03;P;03;02;C01;INDICE;101.447022498;M
1998-04;P;01;02;C01;INDICE;111.542486173;M
1998-04;P;02;02;C01;INDICE;124.300951237;M
1998-04;P;03;02;C01;INDICE;104.623643232;M
1998-05;P;01;02;C01;INDICE;108.586620029;M
1998-05;P;02;02;C01;INDICE;122.168586377;M
1998-05;P;03;02;C01;INDICE;101.825625847;M
1998-06;P;01;02;C01;INDICE;110.588366558;M
1998-06;P;02;02;C01;INDICE;122.854783966;M
1998-06;P;03;02;C01;INDICE;104.154630151;M
1998-07;P;01;02;C01;INDICE;111.363894334;M
1998-07;P;02;02;C01;INDICE;124.336621194;M
1998-07;P;03;02;C01;INDICE;104.926210658;M
1998-08;P;01;02;C01;INDICE;109.771470884;M
1998-08;P;02;02;C01;INDICE;120.114721043;M
1998-08;P;03;02;C01;INDICE;103.876690651;M
1998-09;P;01;02;C01;INDICE;110.428265613;M
1998-09;P;02;02;C01;INDICE;121.06099741;M
1998-09;P;03;02;C01;INDICE;105.009420195;M
1998-10;P;01;02;C01;INDICE;113.077211841;M
1998-10;P;02;02;C01;INDICE;121.899874859;M
1998-10;P;03;02;C01;INDICE;108.176621741;M
1998-11;P;01;02;C01;INDICE;110.700699648;M
1998-11;P;02;02;C01;INDICE;120.772606086;M
1998-11;P;03;02;C01;INDICE;105.919092781;M
1998-12;P;01;02;C01;INDICE;111.002951755;M
1998-12;P;02;02;C01;INDICE;121.013840584;M
1998-12;P;03;02;C01;INDICE;107.158391141;M
1999-01;P;01;02;C01;INDICE;112.999723429;M
1999-01;P;02;02;C01;INDICE;119.473431411;M
1999-01;P;03;02;C01;INDICE;109.722247586;M
1999-02;P;01;02;C01;INDICE;113.685692221;M
1999-02;P;02;02;C01;INDICE;120.823666087;M
1999-02;P;03;02;C01;INDICE;110.331723446;M
1999-03;P;01;02;C01;INDICE;113.002240678;M
1999-03;P;02;02;C01;INDICE;120.886885316;M
1999-03;P;03;02;C01;INDICE;109.416529836;M
1999-04;P;01;02;C01;INDICE;108.669322817;M
1999-04;P;02;02;C01;INDICE;108.645582493;M
1999-04;P;03;02;C01;INDICE;107.09883918;M
1999-05;P;01;02;C01;INDICE;114.083683782;M
1999-05;P;02;02;C01;INDICE;118.353691366;M
1999-05;P;03;02;C01;INDICE;111.687905593;M
1999-06;P;01;02;C01;INDICE;112.894279351;M
1999-06;P;02;02;C01;INDICE;117.736733397;M
1999-06;P;03;02;C01;INDICE;110.584220412;M
1999-07;P;01;02;C01;INDICE;115.71568425;M
1999-07;P;02;02;C01;INDICE;119.453846475;M
1999-07;P;03;02;C01;INDICE;113.79853291;M
1999-08;P;01;02;C01;INDICE;115.459329102;M
1999-08;P;02;02;C01;INDICE;121.296589191;M
1999-08;P;03;02;C01;INDICE;113.19702742;M
1999-09;P;01;02;C01;INDICE;116.469591401;M
1999-09;P;02;02;C01;INDICE;120.01637744;M
1999-09;P;03;02;C01;INDICE;115.094525307;M
1999-10;P;01;02;C01;INDICE;115.648173864;M
1999-10;P;02;02;C01;INDICE;119.222661829;M
1999-10;P;03;02;C01;INDICE;114.049414244;M
1999-11;P;01;02;C01;INDICE;116.785707605;M
1999-11;P;02;02;C01;INDICE;118.611301187;M
1999-11;P;03;02;C01;INDICE;115.866756941;M
1999-12;P;01;02;C01;INDICE;116.665895909;M
1999-12;P;02;02;C01;INDICE;120.413539292;M
1999-12;P;03;02;C01;INDICE;115.784318182;M
2000-01;P;01;02;C01;INDICE;117.864268622;M
2000-01;P;02;02;C01;INDICE;116.455196718;M
2000-01;P;03;02;C01;INDICE;117.526385393;M
2000-02;P;01;02;C01;INDICE;116.183073195;M
2000-02;P;02;02;C01;INDICE;117.443930465;M
2000-02;P;03;02;C01;INDICE;115.591291477;M
2000-03;P;01;02;C01;INDICE;115.525966728;M
2000-03;P;02;02;C01;INDICE;115.590665303;M
2000-03;P;03;02;C01;INDICE;115.837338685;M
2000-04;P;01;02;C01;INDICE;119.267869344;M
2000-04;P;02;02;C01;INDICE;120.214244986;M
2000-04;P;03;02;C01;INDICE;118.589345123;M
2000-05;P;01;02;C01;INDICE;117.492198709;M
2000-05;P;02;02;C01;INDICE;116.363806051;M
2000-05;P;03;02;C01;INDICE;118.089908115;M
2000-06;P;01;02;C01;INDICE;119.086042643;M
2000-06;P;02;02;C01;INDICE;118.884303327;M
2000-06;P;03;02;C01;INDICE;119.910020978;M
2000-07;P;01;02;C01;INDICE;119.411575069;M
2000-07;P;02;02;C01;INDICE;118.174536205;M
2000-07;P;03;02;C01;INDICE;120.019745136;M
2000-08;P;01;02;C01;INDICE;119.74303379;M
2000-08;P;02;02;C01;INDICE;117.837753681;M
2000-08;P;03;02;C01;INDICE;121.27001141;M
2000-09;P;01;02;C01;INDICE;118.219459601;M
2000-09;P;02;02;C01;INDICE;118.368689251;M
2000-09;P;03;02;C01;INDICE;118.685921696;M
2000-10;P;01;02;C01;INDICE;118.616697195;M
2000-10;P;02;02;C01;INDICE;114.807309415;M
2000-10;P;03;02;C01;INDICE;120.776316196;M
2000-11;P;01;02;C01;INDICE;119.167418022;M
2000-11;P;02;02;C01;INDICE;115.708657451;M
2000-11;P;03;02;C01;INDICE;120.729531684;M
2000-12;P;01;02;C01;INDICE;117.751676527;M
2000-12;P;02;02;C01;INDICE;118.308520166;M
2000-12;P;03;02;C01;INDICE;118.598718161;M
2001-01;P;01;02;C01;INDICE;120.669922931;M
2001-01;P;02;02;C01;INDICE;116.531610396;M
2001-01;P;03;02;C01;INDICE;122.897405661;M
2001-02;P;01;02;C01;INDICE;120.706329061;M
2001-02;P;02;02;C01;INDICE;119.432318918;M
2001-02;P;03;02;C01;INDICE;121.988257781;M
2001-03;P;01;02;C01;INDICE;121.653612774;M
2001-03;P;02;02;C01;INDICE;120.194619143;M
2001-03;P;03;02;C01;INDICE;122.334563282;M
2001-04;P;01;02;C01;INDICE;121.387578652;M
2001-04;P;02;02;C01;INDICE;116.605826093;M
2001-04;P;03;02;C01;INDICE;124.083758211;M
2001-05;P;01;02;C01;INDICE;119.645069869;M
2001-05;P;02;02;C01;INDICE;118.917814641;M
