TEMPORAL;ESTADO_DATO;IVGS_TIPVENT;IVGS_SERIEIVGS;TERRITORIO;INDICATOR;OBS_VALUE;FREQ
1993-01;D;04;;C01;INDICE;212.700105847;M
1993-01;D;05;;C01;INDICE;242.903152695;M
1993-01;D;06;;C01;INDICE;195.852258641;M
1993-02;D;04;;C01;INDICE;153.70546898;M
1993-02;D;05;;C01;INDICE;220.766528148;M
1993-02;D;06;;C01;INDICE;122.519098543;M
1993-03;D;04;;C01;INDICE;171.224795105;M
1993-03;D;05;;C01;INDICE;260.294954929;M
1993-03;D;06;;C01;INDICE;130.788484443;M
1993-04;D;04;;C01;INDICE;171.063475343;M
1993-04;D;05;;C01;INDICE;270.172651937;M
1993-04;D;06;;C01;INDICE;126.730644522;M
1993-05;D;04;;C01;INDICE;171.91847008;M
1993-05;D;05;;C01;INDICE;271.213337872;M
1993-05;D;06;;C01;INDICE;127.591398445;M
1993-06;D;04;;C01;INDICE;175.306185077;M
1993-06;D;05;;C01;INDICE;253.151263342;M
1993-06;D;06;;C01;INDICE;140.08770093;M
1993-07;D;04;;C01;INDICE;200.617255693;M
1993-07;D;05;;C01;INDICE;289.592909807;M
1993-07;D;06;;C01;INDICE;160.253935692;M
1993-08;D;04;;C01;INDICE;172.789596794;M
1993-08;D;05;;C01;INDICE;276.328573823;M
1993-08;D;06;;C01;INDICE;126.99194482;M
1993-09;D;04;;C01;INDICE;183.775472568;M
1993-09;D;05;;C01;INDICE;270.278484405;M
1993-09;D;06;;C01;INDICE;144.391470544;M
1993-10;D;04;;C01;INDICE;198.036139505;M
1993-10;D;05;;C01;INDICE;297.93603603;M
1993-10;D;06;;C01;INDICE;152.706968262;M
1993-11;D;04;;C01;INDICE;180.129645952;M
1993-11;D;05;;C01;INDICE;276.222741355;M
1993-11;D;06;;C01;INDICE;136.675426451;M
1993-12;D;04;;C01;INDICE;285.987673602;M
1993-12;D;05;;C01;INDICE;432.678406478;M
1993-12;D;06;;C01;INDICE;218.877426075;M
1994-01;D;04;;C01;INDICE;209.52210654;M
1994-01;D;05;;C01;INDICE;232.372822134;M
1994-01;D;06;;C01;INDICE;195.852258641;M
1994-02;D;04;;C01;INDICE;152.931134124;M
1994-02;D;05;;C01;INDICE;222.195266466;M
1994-02;D;06;;C01;INDICE;120.736108274;M
1994-03;D;04;;C01;INDICE;173.709119435;M
1994-03;D;05;;C01;INDICE;260.683007311;M
1994-03;D;06;;C01;INDICE;133.785752567;M
1994-04;D;04;;C01;INDICE;161.739193115;M
1994-04;D;05;;C01;INDICE;248.618105964;M
1994-04;D;06;;C01;INDICE;122.05798037;M
1994-05;D;04;;C01;INDICE;159.077417046;M
1994-05;D;05;;C01;INDICE;234.171974089;M
1994-05;D;06;;C01;INDICE;124.548018503;M
1994-06;D;04;;C01;INDICE;167.901608013;M
1994-06;D;05;;C01;INDICE;235.036272577;M
1994-06;D;06;;C01;INDICE;136.660055845;M
1994-07;D;04;;C01;INDICE;191.841460654;M
1994-07;D;05;;C01;INDICE;264.916306029;M
1994-07;D;06;;C01;INDICE;157.318149992;M
1994-08;D;04;;C01;INDICE;171.805546247;M
1994-08;D;05;;C01;INDICE;266.345044346;M
1994-08;D;06;;C01;INDICE;128.375299338;M
1994-09;D;04;;C01;INDICE;176.451555385;M
1994-09;D;05;;C01;INDICE;246.924786477;M
1994-09;D;06;;C01;INDICE;143.269416324;M
1994-10;D;04;;C01;INDICE;174.757697887;M
1994-10;D;05;;C01;INDICE;255.779436296;M
1994-10;D;06;;C01;INDICE;137.290250681;M
1994-11;D;04;;C01;INDICE;160.771274544;M
1994-11;D;05;;C01;INDICE;236.905979511;M
1994-11;D;06;;C01;INDICE;125.654702118;M
1994-12;D;04;;C01;INDICE;271.017199713;M
1994-12;D;05;;C01;INDICE;397.947718245;M
1994-12;D;06;;C01;INDICE;212.252694991;M
1995-01;D;04;;C01;INDICE;190.437978727;M
1995-01;D;05;;C01;INDICE;225.84648661;M
1995-01;D;06;;C01;INDICE;171.720407592;M
1995-02;D;04;;C01;INDICE;130.878722695;M
1995-02;D;05;;C01;INDICE;186.970693382;M
1995-02;D;06;;C01;INDICE;104.274189501;M
1995-03;D;04;;C01;INDICE;151.930951601;M
1995-03;D;05;;C01;INDICE;237.576251808;M
1995-03;D;06;;C01;INDICE;111.990233594;M
1995-04;D;04;;C01;INDICE;154.076504432;M
1995-04;D;05;;C01;INDICE;242.479822823;M
1995-04;D;06;;C01;INDICE;113.158399632;M
1995-05;D;04;;C01;INDICE;154.608859646;M
1995-05;D;05;;C01;INDICE;221.136941786;M
1995-05;D;06;;C01;INDICE;123.595040946;M
1995-06;D;04;;C01;INDICE;155.044423003;M
1995-06;D;05;;C01;INDICE;225.387879249;M
1995-06;D;06;;C01;INDICE;122.426874908;M
1995-07;D;04;;C01;INDICE;187.905258468;M
1995-07;D;05;;C01;INDICE;251.069891472;M
1995-07;D;06;;C01;INDICE;159.300958135;M
1995-08;D;04;;C01;INDICE;165.72379123;M
1995-08;D;05;;C01;INDICE;243.308843822;M
1995-08;D;06;;C01;INDICE;129.681800828;M
1995-09;D;04;;C01;INDICE;176.887118742;M
1995-09;D;05;;C01;INDICE;247.083535179;M
1995-09;D;06;;C01;INDICE;144.606659025;M
1995-10;D;04;;C01;INDICE;155.028291027;M
1995-10;D;05;;C01;INDICE;227.13411497;M
1995-10;D;06;;C01;INDICE;121.750568254;M
1995-11;D;04;;C01;INDICE;160.093731545;M
1995-11;D;05;;C01;INDICE;225.58190544;M
1995-11;D;06;;C01;INDICE;129.758653857;M
1995-12;D;04;;C01;INDICE;259.69255244;M
1995-12;D;05;;C01;INDICE;371.789459916;M
1995-12;D;06;;C01;INDICE;207.50317781;M
1996-01;D;04;;C01;INDICE;177.451737908;M
1996-01;D;05;;C01;INDICE;190.674829761;M
1996-01;D;06;;C01;INDICE;172.550420303;M
1996-02;D;04;;C01;INDICE;132.975879598;M
1996-02;D;05;;C01;INDICE;186.617918489;M
1996-02;D;06;;C01;INDICE;107.963134884;M
1996-03;D;04;;C01;INDICE;147.849561629;M
1996-03;D;05;;C01;INDICE;212.247014478;M
1996-03;D;06;;C01;INDICE;117.677357727;M
1996-04;D;04;;C01;INDICE;136.218406808;M
1996-04;D;05;;C01;INDICE;196.442699264;M
1996-04;D;06;;C01;INDICE;107.963134884;M
1996-05;D;04;;C01;INDICE;141.73554266;M
1996-05;D;05;;C01;INDICE;198.841568538;M
1996-05;D;06;;C01;INDICE;114.941389901;M
1996-06;D;04;;C01;INDICE;142.800253087;M
1996-06;D;05;;C01;INDICE;195.984091903;M
1996-06;D;06;;C01;INDICE;118.24607014;M
1996-07;D;04;;C01;INDICE;165.691527277;M
1996-07;D;05;;C01;INDICE;214.963381156;M
1996-07;D;06;;C01;INDICE;143.284786929;M
1996-08;D;04;;C01;INDICE;148.962667985;M
1996-08;D;05;;C01;INDICE;215.704208431;M
1996-08;D;06;;C01;INDICE;117.73884015;M
1996-09;D;04;;C01;INDICE;148.139937201;M
1996-09;D;05;;C01;INDICE;190.304416123;M
1996-09;D;06;;C01;INDICE;128.959382358;M
1996-10;D;04;;C01;INDICE;145.929856465;M
1996-10;D;05;;C01;INDICE;202.545704916;M
1996-10;D;06;;C01;INDICE;119.95220738;M
1996-11;D;04;;C01;INDICE;153.415093409;M
1996-11;D;05;;C01;INDICE;211.082857331;M
1996-11;D;06;;C01;INDICE;127.09953906;M
1996-12;D;04;;C01;INDICE;242.641053624;M
1996-12;D;05;;C01;INDICE;337.552656534;M
1996-12;D;06;;C01;INDICE;199.310644938;M
1997-01;D;04;;C01;INDICE;170.466592225;M
1997-01;D;05;;C01;INDICE;178.698122137;M
1997-01;D;06;;C01;INDICE;165.971801037;M
1997-02;D;04;;C01;INDICE;116.618055758;M
1997-02;D;05;;C01;INDICE;167.903210406;M
1997-02;D;06;;C01;INDICE;93.484024255;M
1997-03;D;04;;C01;INDICE;142.042050207;M
1997-03;D;05;;C01;INDICE;205.120961636;M
1997-03;D;06;;C01;INDICE;113.727112046;M
1997-04;D;04;;C01;INDICE;137.783208497;M
1997-04;D;05;;C01;INDICE;197.18352654;M
1997-04;D;06;;C01;INDICE;111.144850277;M
1997-05;D;04;;C01;INDICE;142.122710088;M
1997-05;D;05;;C01;INDICE;196.954222859;M
1997-05;D;06;;C01;INDICE;117.431428035;M
1997-06;D;04;;C01;INDICE;133.040407502;M
1997-06;D;05;;C01;INDICE;183.795719344;M
1997-06;D;06;;C01;INDICE;110.314837566;M
1997-07;D;04;;C01;INDICE;168.159719632;M
1997-07;D;05;;C01;INDICE;210.024532651;M
1997-07;D;06;;C01;INDICE;149.156358331;M
1997-08;D;04;;C01;INDICE;152.882738196;M
1997-08;D;05;;C01;INDICE;214.71643873;M
1997-08;D;06;;C01;INDICE;125.362660609;M
1997-09;D;04;;C01;INDICE;150.172566198;M
1997-09;D;05;;C01;INDICE;194.467159862;M
1997-09;D;06;;C01;INDICE;129.927730521;M
1997-10;D;04;;C01;INDICE;147.462394201;M
1997-10;D;05;;C01;INDICE;198.418238666;M
1997-10;D;06;;C01;INDICE;124.455794869;M
1997-11;D;04;;C01;INDICE;153.721600957;M
1997-11;D;05;;C01;INDICE;203.057228511;M
1997-11;D;06;;C01;INDICE;131.372567462;M
1997-12;D;04;;C01;INDICE;250.336006259;M
1997-12;D;05;;C01;INDICE;337.411546576;M
1997-12;D;06;;C01;INDICE;210.946193501;M
1998-01;D;04;;C01;INDICE;178.064753002;M
1998-01;D;05;;C01;INDICE;182.402258516;M
1998-01;D;06;;C01;INDICE;175.255646918;M
1998-02;D;04;;C01;INDICE;120.876897467;M
1998-02;D;05;;C01;INDICE;161.570901074;M
1998-02;D;06;;C01;INDICE;102.460458021;M
1998-03;D;04;;C01;INDICE;136.960477712;M
1998-03;D;05;;C01;INDICE;188.910955295;M
1998-03;D;06;;C01;INDICE;113.558035382;M
1998-04;D;04;;C01;INDICE;144.526374538;M
1998-04;D;05;;C01;INDICE;198.153657496;M
1998-04;D;06;;C01;INDICE;120.413325553;M
1998-05;D;04;;C01;INDICE;142.316293802;M
1998-05;D;05;;C01;INDICE;189.739976294;M
1998-05;D;06;;C01;INDICE;120.96666736;M
1998-06;D;04;;C01;INDICE;145.429765203;M
1998-06;D;05;;C01;INDICE;189.68706006;M
1998-06;D;06;;C01;INDICE;125.424143032;M
1998-07;D;04;;C01;INDICE;180.161909905;M
1998-07;D;05;;C01;INDICE;215.51018224;M
1998-07;D;06;;C01;INDICE;163.866028047;M
1998-08;D;04;;C01;INDICE;154.512067789;M
1998-08;D;05;;C01;INDICE;209.495370311;M
1998-08;D;06;;C01;INDICE;129.758653857;M
1998-09;D;04;;C01;INDICE;155.092818931;M
1998-09;D;05;;C01;INDICE;193.197170247;M
1998-09;D;06;;C01;INDICE;137.705257037;M
1998-10;D;04;;C01;INDICE;162.158624495;M
1998-10;D;05;;C01;INDICE;207.096501038;M
1998-10;D;06;;C01;INDICE;141.901432411;M
1998-11;D;04;;C01;INDICE;152.221327172;M
1998-11;D;05;;C01;INDICE;192.015374355;M
1998-11;D;06;;C01;INDICE;134.339094375;M
1998-12;D;04;;C01;INDICE;250.610249854;M
1998-12;D;05;;C01;INDICE;325.87580757;M
1998-12;D;06;;C01;INDICE;216.710170663;M
1999-01;D;04;;C01;INDICE;183.307645259;M
1999-01;D;05;;C01;INDICE;169.137922532;M
1999-01;D;06;;C01;INDICE;188.566591509;M
1999-02;D;04;;C01;INDICE;125.958469962;M
1999-02;D;05;;C01;INDICE;158.625230716;M
1999-02;D;06;;C01;INDICE;111.006514826;M
1999-03;D;04;;C01;INDICE;144.13920711;M
1999-03;D;05;;C01;INDICE;188.029018062;M
1999-03;D;06;;C01;INDICE;124.148382753;M
1999-04;D;04;;C01;INDICE;135.379544047;M
1999-04;D;05;;C01;INDICE;169.102645043;M
1999-04;D;06;;C01;INDICE;119.967577986;M
1999-05;D;04;;C01;INDICE;146.139572155;M
1999-05;D;05;;C01;INDICE;179.227284477;M
1999-05;D;06;;C01;INDICE;131.01904353;M
1999-06;D;04;;C01;INDICE;145.86532856;M
1999-06;D;05;;C01;INDICE;179.544781881;M
1999-06;D;06;;C01;INDICE;130.665519597;M
1999-07;D;04;;C01;INDICE;188.211766015;M
1999-07;D;05;;C01;INDICE;213.711030285;M
1999-07;D;06;;C01;INDICE;176.331589321;M
1999-08;D;04;;C01;INDICE;158.0933665;M
1999-08;D;05;;C01;INDICE;206.373312507;M
1999-08;D;06;;C01;INDICE;136.736908874;M
1999-09;D;04;;C01;INDICE;157.96431069;M
1999-09;D;05;;C01;INDICE;190.075112442;M
1999-09;D;06;;C01;INDICE;143.453863593;M
1999-10;D;04;;C01;INDICE;159.60977226;M
1999-10;D;05;;C01;INDICE;195.790065712;M
1999-10;D;06;;C01;INDICE;143.346269352;M
1999-11;D;04;;C01;INDICE;161.997304733;M
1999-11;D;05;;C01;INDICE;189.016787763;M
1999-11;D;06;;C01;INDICE;149.617476504;M
1999-12;D;04;;C01;INDICE;254.949751445;M
1999-12;D;05;;C01;INDICE;322.330419893;M
1999-12;D;06;;C01;INDICE;224.841221112;M
2000-01;D;04;;C01;INDICE;185.32414228;M
2000-01;D;05;;C01;INDICE;162.223534626;M
2000-01;D;06;;C01;INDICE;194.192233219;M
2000-02;D;04;;C01;INDICE;128.894489626;M
2000-02;D;05;;C01;INDICE;156.508581357;M
2000-02;D;06;;C01;INDICE;116.447709266;M
2000-03;D;04;;C01;INDICE;141.574222898;M
2000-03;D;05;;C01;INDICE;178.239514776;M
2000-03;D;06;;C01;INDICE;125.255066368;M
2000-04;D;04;;C01;INDICE;148.398048819;M
2000-04;D;05;;C01;INDICE;187.376384509;M
2000-04;D;06;;C01;INDICE;131.049784741;M
2000-05;D;04;;C01;INDICE;148.543236605;M
2000-05;D;05;;C01;INDICE;173.353582506;M
2000-05;D;06;;C01;INDICE;137.290250681;M
2000-06;D;04;;C01;INDICE;150.172566198;M
2000-06;D;05;;C01;INDICE;180.461996603;M
2000-06;D;06;;C01;INDICE;136.629314634;M
2000-07;D;04;;C01;INDICE;183.097929568;M
2000-07;D;05;;C01;INDICE;200.958217897;M
2000-07;D;06;;C01;INDICE;174.579340264;M
2000-08;D;04;;C01;INDICE;162.690979709;M
2000-08;D;05;;C01;INDICE;198.947401006;M
2000-08;D;06;;C01;INDICE;146.466502322;M
2000-09;D;04;;C01;INDICE;159.432320522;M
2000-09;D;05;;C01;INDICE;188.505264168;M
2000-09;D;06;;C01;INDICE;146.189831419;M
2000-10;D;04;;C01;INDICE;152.882738196;M
2000-10;D;05;;C01;INDICE;175.840645503;M
2000-10;D;06;;C01;INDICE;142.30106816;M
2000-11;D;04;;C01;INDICE;157.641671167;M
2000-11;D;05;;C01;INDICE;176.122865417;M
2000-11;D;06;;C01;INDICE;148.94116985;M
2000-12;D;04;;C01;INDICE;248.626016785;M
2000-12;D;05;;C01;INDICE;306.790685849;M
2000-12;D;06;;C01;INDICE;222.412665401;M
2001-01;D;04;;C01;INDICE;182.823685973;M
2001-01;D;05;;C01;INDICE;151.111125491;M
2001-01;D;06;;C01;INDICE;197.865807996;M
2001-02;D;04;;C01;INDICE;124.167820607;M
2001-02;D;05;;C01;INDICE;145.343255988;M
2001-02;D;06;;C01;INDICE;114.065265372;M
2001-03;D;04;;C01;INDICE;147.010698868;M
2001-03;D;05;;C01;INDICE;177.304661309;M
2001-03;D;06;;C01;INDICE;132.387027443;M
2001-04;D;04;;C01;INDICE;143.04223273;M
2001-04;D;05;;C01;INDICE;163.546440476;M
2001-04;D;06;;C01;INDICE;133.140187125;M
2001-05;D;04;;C01;INDICE;144.332790824;M
2001-05;D;05;;C01;INDICE;161.500346095;M
2001-05;D;06;;C01;INDICE;135.983749192;M
2001-06;D;04;;C01;INDICE;149.737002842;M
2001-06;D;05;;C01;INDICE;170.03749851;M
2001-06;D;06;;C01;INDICE;139.811030027;M
2001-07;D;04;;C01;INDICE;171.128003248;M
2001-07;D;05;;C01;INDICE;175.787729269;M
2001-07;D;06;;C01;INDICE;168.630915834;M
2001-08;D;04;;C01;INDICE;157.899782785;M
2001-08;D;05;;C01;INDICE;184.730572811;M
2001-08;D;06;;C01;INDICE;144.637400237;M
2001-09;D;04;;C01;INDICE;148.962667985;M
2001-09;D;05;;C01;INDICE;167.303493088;M
2001-09;D;06;;C01;INDICE;139.811030027;M
2001-10;D;04;;C01;INDICE;155.383194502;M
2001-10;D;05;;C01;INDICE;172.947891379;M
2001-10;D;06;;C01;INDICE;146.558725957;M
2001-11;D;04;;C01;INDICE;155.576778216;M
2001-11;D;05;;C01;INDICE;166.051142217;M
2001-11;D;06;;C01;INDICE;150.232300734;M
2001-12;D;04;;C01;INDICE;247.093479048;M
2001-12;D;05;;C01;INDICE;281.990610859;M
2001-12;D;06;;C01;INDICE;229.529255869;M
2002-01;D;04;;C01;INDICE;173.451007817;M
2002-01;D;05;;C01;INDICE;145.255062264;M
2002-01;D;06;;C01;INDICE;186.860454269;M
2002-02;D;04;;C01;INDICE;120.199354468;M
2002-02;D;05;;C01;INDICE;136.559161148;M
2002-02;D;06;;C01;INDICE;111.836527537;M
2002-03;D;04;;C01;INDICE;143.655247824;M
2002-03;D;05;;C01;INDICE;168.767508894;M
2002-03;D;06;;C01;INDICE;130.957561107;M
2002-04;D;04;;C01;INDICE;139.283482281;M
2002-04;D;05;;C01;INDICE;156.949549973;M
2002-04;D;06;;C01;INDICE;130.296625059;M
2002-05;D;04;;C01;INDICE;148.430312772;M
2002-05;D;05;;C01;INDICE;157.61982227;M
2002-05;D;06;;C01;INDICE;143.592199045;M
2002-06;D;04;;C01;INDICE;139.928761328;M
2002-06;D;05;;C01;INDICE;156.06761274;M
2002-06;D;06;;C01;INDICE;131.603126549;M
2002-07;D;04;;C01;INDICE;180.178041881;M
2002-07;D;05;;C01;INDICE;177.163551352;M
