TEMPORAL;TERRITORIO;ARE_INSCRIPCION;SEXO;LUGARNACIMIEN;INDICATOR;OBS_VALUE;FREQ
2016;21;;06;23;;2.0;A
2016;21;;06;29;;2.0;A
2016;21;;06;41;;9.0;A
2016;21;;06;C01;;157.0;A
2016;21;;06;C02;;12.0;A
2016;21;;06;66;;140.0;A
2016;21;;06;00;;309.0;A
2016;23;;00;04;;1.0;A
2016;23;;00;11;;3.0;A
2016;23;;00;14;;5.0;A
2016;23;;00;18;;12.0;A
2016;23;;00;23;;461.0;A
2016;23;;00;29;;2.0;A
2016;23;;00;41;;2.0;A
2016;23;;00;C01;;486.0;A
2016;23;;00;C02;;55.0;A
2016;23;;00;66;;499.0;A
2016;23;;00;NC000;;2.0;A
2016;23;;00;00;;1042.0;A
2016;23;;01;04;;1.0;A
2016;23;;01;11;;3.0;A
2016;23;;01;14;;2.0;A
2016;23;;01;18;;7.0;A
2016;23;;01;23;;241.0;A
2016;23;;01;41;;2.0;A
2016;23;;01;C01;;256.0;A
2016;23;;01;C02;;30.0;A
2016;23;;01;66;;256.0;A
2016;23;;01;NC000;;1.0;A
2016;23;;01;00;;543.0;A
2016;23;;06;14;;3.0;A
2016;23;;06;18;;5.0;A
2016;23;;06;23;;220.0;A
2016;23;;06;29;;2.0;A
2016;23;;06;C01;;230.0;A
2016;23;;06;C02;;25.0;A
2016;23;;06;66;;243.0;A
2016;23;;06;NC000;;1.0;A
2016;23;;06;00;;499.0;A
2016;29;;00;04;;10.0;A
2016;29;;00;11;;64.0;A
2016;29;;00;14;;46.0;A
2016;29;;00;18;;44.0;A
2016;29;;00;21;;6.0;A
2016;29;;00;23;;23.0;A
2016;29;;00;29;;1604.0;A
2016;29;;00;41;;27.0;A
2016;29;;00;C01;;1824.0;A
2016;29;;00;C02;;404.0;A
2016;29;;00;66;;3175.0;A
2016;29;;00;00;;5403.0;A
2016;29;;01;04;;6.0;A
2016;29;;01;11;;37.0;A
2016;29;;01;14;;21.0;A
2016;29;;01;18;;27.0;A
2016;29;;01;21;;5.0;A
2016;29;;01;23;;14.0;A
2016;29;;01;29;;821.0;A
2016;29;;01;41;;16.0;A
2016;29;;01;C01;;947.0;A
2016;29;;01;C02;;221.0;A
2016;29;;01;66;;1627.0;A
2016;29;;01;00;;2795.0;A
2016;29;;06;04;;4.0;A
2016;29;;06;11;;27.0;A
2016;29;;06;14;;25.0;A
2016;29;;06;18;;17.0;A
2016;29;;06;21;;1.0;A
2016;29;;06;23;;9.0;A
2016;29;;06;29;;783.0;A
2016;29;;06;41;;11.0;A
2016;29;;06;C01;;877.0;A
2016;29;;06;C02;;183.0;A
2016;29;;06;66;;1548.0;A
2016;29;;06;00;;2608.0;A
2016;41;;00;04;;2.0;A
2016;41;;00;11;;76.0;A
2016;41;;00;14;;35.0;A
2016;41;;00;18;;18.0;A
2016;41;;00;21;;36.0;A
2016;41;;00;23;;15.0;A
2016;41;;00;29;;24.0;A
2016;41;;00;41;;1601.0;A
2016;41;;00;C01;;1807.0;A
2016;41;;00;C02;;288.0;A
2016;41;;00;66;;1573.0;A
2016;41;;00;00;;3668.0;A
2016;41;;01;11;;44.0;A
2016;41;;01;14;;19.0;A
2016;41;;01;18;;9.0;A
2016;41;;01;21;;23.0;A
2016;41;;01;23;;7.0;A
2016;41;;01;29;;11.0;A
2016;41;;01;41;;852.0;A
2016;41;;01;C01;;965.0;A
2016;41;;01;C02;;173.0;A
2016;41;;01;66;;748.0;A
2016;41;;01;00;;1886.0;A
2016;41;;06;04;;2.0;A
2016;41;;06;11;;32.0;A
2016;41;;06;14;;16.0;A
2016;41;;06;18;;9.0;A
2016;41;;06;21;;13.0;A
2016;41;;06;23;;8.0;A
2016;41;;06;29;;13.0;A
2016;41;;06;41;;749.0;A
2016;41;;06;C01;;842.0;A
2016;41;;06;C02;;115.0;A
2016;41;;06;66;;825.0;A
2016;41;;06;00;;1782.0;A
