TEMPORAL;TERRITORIO_1;TERRITORIO;SEXO;LUGARNACIMIEN;INDICATOR;OBS_VALUE;FREQ
2009;6601;11;00;14;;29.0;A
2009;6601;11;00;18;;37.0;A
2009;6601;11;00;21;;22.0;A
2009;6601;11;00;23;;26.0;A
2009;6601;11;00;29;;144.0;A
2009;6601;11;00;41;;143.0;A
2009;6601;11;00;C01;;7832.0;A
2009;6601;11;00;C02;;527.0;A
2009;6601;11;00;66;;5556.0;A
2009;6601;11;00;NC000;;220.0;A
2009;6601;11;00;00;;14135.0;A
2009;6601;14;00;04;;12.0;A
2009;6601;14;00;11;;8.0;A
2009;6601;14;00;14;;6380.0;A
2009;6601;14;00;18;;30.0;A
2009;6601;14;00;21;;10.0;A
2009;6601;14;00;23;;44.0;A
2009;6601;14;00;29;;22.0;A
2009;6601;14;00;41;;53.0;A
2009;6601;14;00;C01;;6559.0;A
2009;6601;14;00;C02;;321.0;A
2009;6601;14;00;66;;4187.0;A
2009;6601;14;00;NC000;;183.0;A
2009;6601;14;00;00;;11250.0;A
2009;6601;18;00;04;;51.0;A
2009;6601;18;00;11;;33.0;A
2009;6601;18;00;14;;19.0;A
2009;6601;18;00;18;;8717.0;A
2009;6601;18;00;21;;5.0;A
2009;6601;18;00;23;;87.0;A
2009;6601;18;00;29;;52.0;A
2009;6601;18;00;41;;37.0;A
2009;6601;18;00;C01;;9001.0;A
2009;6601;18;00;C02;;525.0;A
2009;6601;18;00;66;;5747.0;A
2009;6601;18;00;NC000;;312.0;A
2009;6601;18;00;00;;15585.0;A
2009;6601;21;00;04;;3.0;A
2009;6601;21;00;11;;12.0;A
2009;6601;21;00;14;;6.0;A
2009;6601;21;00;18;;3.0;A
2009;6601;21;00;21;;2171.0;A
2009;6601;21;00;23;;3.0;A
2009;6601;21;00;29;;4.0;A
2009;6601;21;00;41;;50.0;A
2009;6601;21;00;C01;;2252.0;A
2009;6601;21;00;C02;;155.0;A
2009;6601;21;00;66;;1907.0;A
2009;6601;21;00;NC000;;56.0;A
2009;6601;21;00;00;;4370.0;A
2009;6601;23;00;04;;6.0;A
2009;6601;23;00;11;;4.0;A
2009;6601;23;00;14;;24.0;A
2009;6601;23;00;18;;34.0;A
2009;6601;23;00;21;;3.0;A
2009;6601;23;00;23;;3907.0;A
2009;6601;23;00;29;;14.0;A
2009;6601;23;00;41;;13.0;A
2009;6601;23;00;C01;;4005.0;A
2009;6601;23;00;C02;;157.0;A
2009;6601;23;00;66;;2155.0;A
2009;6601;23;00;NC000;;109.0;A
2009;6601;23;00;00;;6426.0;A
2009;6601;29;00;04;;25.0;A
2009;6601;29;00;11;;210.0;A
2009;6601;29;00;14;;137.0;A
2009;6601;29;00;18;;141.0;A
2009;6601;29;00;21;;10.0;A
2009;6601;29;00;23;;65.0;A
2009;6601;29;00;29;;8078.0;A
2009;6601;29;00;41;;122.0;A
2009;6601;29;00;C01;;8788.0;A
2009;6601;29;00;C02;;1068.0;A
2009;6601;29;00;66;;9054.0;A
2009;6601;29;00;NC000;;397.0;A
2009;6601;29;00;00;;19307.0;A
2009;6601;41;00;04;;17.0;A
2009;6601;41;00;11;;140.0;A
2009;6601;41;00;14;;96.0;A
2009;6601;41;00;18;;50.0;A
2009;6601;41;00;21;;113.0;A
2009;6601;41;00;23;;52.0;A
2009;6601;41;00;29;;61.0;A
2009;6601;41;00;41;;7825.0;A
2009;6601;41;00;C01;;8354.0;A
2009;6601;41;00;C02;;686.0;A
2009;6601;41;00;66;;6349.0;A
2009;6601;41;00;NC000;;269.0;A
2009;6601;41;00;00;;15658.0;A
2009;6602;;00;04;;41.0;A
2009;6602;;00;11;;181.0;A
2009;6602;;00;14;;68.0;A
2009;6602;;00;18;;182.0;A
2009;6602;;00;21;;39.0;A
2009;6602;;00;23;;50.0;A
2009;6602;;00;29;;214.0;A
2009;6602;;00;41;;145.0;A
2009;6602;;00;C01;;920.0;A
2009;6602;;00;C02;;227.0;A
2009;6602;;00;66;;1486.0;A
2009;6602;;00;NC000;;41.0;A
