TEMPORAL;EDAD;SEXO;LUGARNACIMIEN;INDICATOR;OBS_VALUE;FREQ
1998;020024;00;29;;3761.7258495;A
1998;020024;00;41;;6781.5813244;A
1998;020024;00;C01;;35986.6622806;A
1998;020024;01;04;;1235.4177644;A
1998;020024;01;11;;2977.4890725;A
1998;020024;01;14;;2324.4545988;A
1998;020024;01;18;;2743.2643029;A
1998;020024;01;21;;658.7028817;A
1998;020024;01;23;;2866.6340777;A
1998;020024;01;29;;1947.5963718;A
1998;020024;01;41;;3466.009343;A
1998;020024;01;C01;;18219.5684128;A
1998;020024;06;04;;1182.8828962;A
1998;020024;06;11;;2986.298159;A
1998;020024;06;14;;2149.7823006;A
1998;020024;06;18;;2770.3279955;A
1998;020024;06;21;;636.8913129;A
1998;020024;06;23;;2911.2097445;A
1998;020024;06;29;;1814.1294777;A
1998;020024;06;41;;3315.5719814;A
1998;020024;06;C01;;17767.0938678;A
1998;025029;00;04;;3914.9246813;A
1998;025029;00;11;;10048.3952217;A
1998;025029;00;14;;9908.9986985;A
1998;025029;00;18;;11537.0647355;A
1998;025029;00;21;;2544.9775079;A
1998;025029;00;23;;13127.0541597;A
1998;025029;00;29;;6111.4518366;A
1998;025029;00;41;;11748.0405742;A
1998;025029;00;C01;;68940.9074154;A
1998;025029;01;04;;1922.5227675;A
1998;025029;01;11;;5138.8556414;A
1998;025029;01;14;;4948.5459152;A
1998;025029;01;18;;5765.2610268;A
1998;025029;01;21;;1286.614153;A
1998;025029;01;23;;6576.082383;A
1998;025029;01;29;;3112.8933421;A
1998;025029;01;41;;5929.4659425;A
1998;025029;01;C01;;34680.2411715;A
1998;025029;06;04;;1992.4019138;A
1998;025029;06;11;;4909.5395803;A
1998;025029;06;14;;4960.4527833;A
1998;025029;06;18;;5771.8037087;A
1998;025029;06;21;;1258.3633549;A
1998;025029;06;23;;6550.9717767;A
1998;025029;06;29;;2998.5584945;A
1998;025029;06;41;;5818.5746317;A
1998;025029;06;C01;;34260.6662439;A
1998;030034;00;04;;6206.0799306;A
1998;030034;00;11;;12376.9835268;A
1998;030034;00;14;;19218.7793272;A
1998;030034;00;18;;20784.2457325;A
1998;030034;00;21;;3903.5430944;A
1998;030034;00;23;;24839.1811782;A
1998;030034;00;29;;8840.0393998;A
1998;030034;00;41;;17181.5414971;A
1998;030034;00;C01;;113350.3936866;A
1998;030034;01;04;;3114.098877;A
1998;030034;01;11;;6266.8707518;A
1998;030034;01;14;;9816.2417349;A
1998;030034;01;18;;10306.4340517;A
1998;030034;01;21;;1893.7469982;A
1998;030034;01;23;;12420.6319358;A
1998;030034;01;29;;4506.0140315;A
1998;030034;01;41;;8655.1133649;A
1998;030034;01;C01;;56979.1517458;A
1998;030034;06;04;;3091.9810536;A
1998;030034;06;11;;6110.112775;A
1998;030034;06;14;;9402.5375923;A
1998;030034;06;18;;10477.8116808;A
1998;030034;06;21;;2009.7960962;A
1998;030034;06;23;;12418.5492424;A
1998;030034;06;29;;4334.0253683;A
1998;030034;06;41;;8526.4281322;A
1998;030034;06;C01;;56371.2419408;A
1998;035039;00;04;;9354.4507751;A
1998;035039;00;11;;13866.8674926;A
1998;035039;00;14;;28081.8374078;A
1998;035039;00;18;;29905.4135318;A
1998;035039;00;21;;5824.7142461;A
1998;035039;00;23;;35373.491434;A
1998;035039;00;29;;11224.0906693;A
1998;035039;00;41;;22104.1060382;A
1998;035039;00;C01;;155734.9715949;A
1998;035039;01;04;;4569.3240616;A
1998;035039;01;11;;6789.7855291;A
1998;035039;01;14;;13900.6914497;A
1998;035039;01;18;;14900.6254033;A
1998;035039;01;21;;2797.6588758;A
1998;035039;01;23;;17392.2409165;A
1998;035039;01;29;;5664.4056314;A
1998;035039;01;41;;10860.7919391;A
1998;035039;01;C01;;76875.5238065;A
1998;035039;06;04;;4785.1267135;A
1998;035039;06;11;;7077.0819635;A
1998;035039;06;14;;14181.1459581;A
1998;035039;06;18;;15004.7881285;A
1998;035039;06;21;;3027.0553703;A
1998;035039;06;23;;17981.2505175;A
1998;035039;06;29;;5559.6850379;A
1998;035039;06;41;;11243.3140991;A
1998;035039;06;C01;;78859.4477884;A
1998;040044;00;04;;11958.7282283;A
1998;040044;00;11;;14119.4601559;A
1998;040044;00;14;;33058.0766767;A
1998;040044;00;18;;33585.6999576;A
1998;040044;00;21;;6972.1269036;A
1998;040044;00;23;;41064.3149178;A
1998;040044;00;29;;13906.2861857;A
1998;040044;00;41;;24104.5300493;A
1998;040044;00;C01;;178769.2230749;A
1998;040044;01;04;;5897.5082365;A
1998;040044;01;11;;6971.8319257;A
1998;040044;01;14;;16180.0123714;A
1998;040044;01;18;;16663.3985916;A
1998;040044;01;21;;3485.6904073;A
1998;040044;01;23;;20625.8439177;A
1998;040044;01;29;;7027.0456392;A
1998;040044;01;41;;11968.3691026;A
1998;040044;01;C01;;88819.700192;A
1998;040044;06;04;;6061.2199918;A
1998;040044;06;11;;7147.6282302;A
1998;040044;06;14;;16878.0643053;A
1998;040044;06;18;;16922.301366;A
1998;040044;06;21;;3486.4364963;A
1998;040044;06;23;;20438.4710001;A
1998;040044;06;29;;6879.2405465;A
1998;040044;06;41;;12136.1609467;A
1998;040044;06;C01;;89949.5228829;A
1998;045049;00;04;;14311.022977;A
1998;045049;00;11;;12799.871464;A
1998;045049;00;14;;36010.7923943;A
1998;045049;00;18;;35462.8940812;A
1998;045049;00;21;;7218.041494;A
1998;045049;00;23;;44867.0877449;A
1998;045049;00;29;;16737.8200975;A
1998;045049;00;41;;23890.7564414;A
1998;045049;00;C01;;191298.2866943;A
1998;045049;01;04;;7016.6148087;A
1998;045049;01;11;;6469.1058198;A
1998;045049;01;14;;18042.9892709;A
1998;045049;01;18;;17751.9059922;A
1998;045049;01;21;;3596.6604435;A
1998;045049;01;23;;22350.7016702;A
1998;045049;01;29;;8448.8408631;A
1998;045049;01;41;;11881.5580791;A
1998;045049;01;C01;;95558.3769475;A
1998;045049;06;04;;7294.4081683;A
1998;045049;06;11;;6330.7656442;A
1998;045049;06;14;;17967.8031234;A
1998;045049;06;18;;17710.988089;A
1998;045049;06;21;;3621.3810505;A
1998;045049;06;23;;22516.3860747;A
1998;045049;06;29;;8288.9792344;A
1998;045049;06;41;;12009.1983623;A
1998;045049;06;C01;;95739.9097468;A
1998;050054;00;04;;13509.1174019;A
1998;050054;00;11;;12270.2188888;A
1998;050054;00;14;;36783.6463104;A
1998;050054;00;18;;31378.2078138;A
