TEMPORAL;TERRITORIO;SEXO;LUGARNACIMIEN;INDICATOR;OBS_VALUE;FREQ
2009;ES612;M;46350;ANDALUCES;4783.0;A
2009;ES612;M;46352;ANDALUCES;158.0;A
2009;ES612;M;46351;ANDALUCES;10515.0;A
2009;ES612;F;45230;ANDALUCES;7.0;A
2009;ES612;F;45276;ANDALUCES;5487.0;A
2009;ES612;F;45354;ANDALUCES;26.0;A
2009;ES612;F;45576;ANDALUCES;31.0;A
2009;ES612;F;45657;ANDALUCES;16.0;A
2009;ES612;F;45765;ANDALUCES;17.0;A
2009;ES612;F;45873;ANDALUCES;89.0;A
2009;ES612;F;45980;ANDALUCES;127.0;A
2009;ES612;F;45981;ANDALUCES;5800.0;A
2009;ES612;F;45984;ANDALUCES;422.0;A
2009;ES612;F;46350;ANDALUCES;4762.0;A
2009;ES612;F;46352;ANDALUCES;138.0;A
2009;ES612;F;46351;ANDALUCES;11122.0;A
2009;ES613;_T;45230;ANDALUCES;14.0;A
2009;ES613;_T;45276;ANDALUCES;14.0;A
2009;ES613;_T;45354;ANDALUCES;8000.0;A
2009;ES613;_T;45576;ANDALUCES;44.0;A
2009;ES613;_T;45657;ANDALUCES;12.0;A
2009;ES613;_T;45765;ANDALUCES;49.0;A
2009;ES613;_T;45873;ANDALUCES;29.0;A
2009;ES613;_T;45980;ANDALUCES;68.0;A
2009;ES613;_T;45981;ANDALUCES;8230.0;A
2009;ES613;_T;45984;ANDALUCES;396.0;A
2009;ES613;_T;46350;ANDALUCES;6226.0;A
2009;ES613;_T;46352;ANDALUCES;226.0;A
2009;ES613;_T;46351;ANDALUCES;15078.0;A
2009;ES613;M;45230;ANDALUCES;8.0;A
2009;ES613;M;45276;ANDALUCES;8.0;A
2009;ES613;M;45354;ANDALUCES;4009.0;A
2009;ES613;M;45576;ANDALUCES;19.0;A
2009;ES613;M;45657;ANDALUCES;5.0;A
2009;ES613;M;45765;ANDALUCES;22.0;A
2009;ES613;M;45873;ANDALUCES;12.0;A
2009;ES613;M;45980;ANDALUCES;27.0;A
2009;ES613;M;45981;ANDALUCES;4110.0;A
2009;ES613;M;45984;ANDALUCES;185.0;A
2009;ES613;M;46350;ANDALUCES;3189.0;A
2009;ES613;M;46352;ANDALUCES;116.0;A
2009;ES613;M;46351;ANDALUCES;7600.0;A
2009;ES613;F;45230;ANDALUCES;6.0;A
2009;ES613;F;45276;ANDALUCES;6.0;A
2009;ES613;F;45354;ANDALUCES;3991.0;A
2009;ES613;F;45576;ANDALUCES;25.0;A
2009;ES613;F;45657;ANDALUCES;7.0;A
2009;ES613;F;45765;ANDALUCES;27.0;A
2009;ES613;F;45873;ANDALUCES;17.0;A
2009;ES613;F;45980;ANDALUCES;41.0;A
2009;ES613;F;45981;ANDALUCES;4120.0;A
2009;ES613;F;45984;ANDALUCES;211.0;A
2009;ES613;F;46350;ANDALUCES;3037.0;A
2009;ES613;F;46352;ANDALUCES;110.0;A
2009;ES613;F;46351;ANDALUCES;7478.0;A
2009;ES614;_T;45230;ANDALUCES;77.0;A
2009;ES614;_T;45276;ANDALUCES;46.0;A
2009;ES614;_T;45354;ANDALUCES;32.0;A
2009;ES614;_T;45576;ANDALUCES;14600.0;A
2009;ES614;_T;45657;ANDALUCES;9.0;A
2009;ES614;_T;45765;ANDALUCES;129.0;A
2009;ES614;_T;45873;ANDALUCES;73.0;A
2009;ES614;_T;45980;ANDALUCES;50.0;A
2009;ES614;_T;45981;ANDALUCES;15016.0;A
2009;ES614;_T;45984;ANDALUCES;739.0;A
2009;ES614;_T;46350;ANDALUCES;17639.0;A
2009;ES614;_T;46352;ANDALUCES;677.0;A
2009;ES614;_T;46351;ANDALUCES;34071.0;A
2009;ES614;M;45230;ANDALUCES;24.0;A
2009;ES614;M;45276;ANDALUCES;24.0;A
2009;ES614;M;45354;ANDALUCES;15.0;A
2009;ES614;M;45576;ANDALUCES;7149.0;A
2009;ES614;M;45657;ANDALUCES;4.0;A
2009;ES614;M;45765;ANDALUCES;62.0;A
2009;ES614;M;45873;ANDALUCES;30.0;A
2009;ES614;M;45980;ANDALUCES;21.0;A
2009;ES614;M;45981;ANDALUCES;7329.0;A
2009;ES614;M;45984;ANDALUCES;333.0;A
2009;ES614;M;46350;ANDALUCES;8616.0;A
2009;ES614;M;46352;ANDALUCES;353.0;A
2009;ES614;M;46351;ANDALUCES;16631.0;A
2009;ES614;F;45230;ANDALUCES;53.0;A
2009;ES614;F;45276;ANDALUCES;22.0;A
2009;ES614;F;45354;ANDALUCES;17.0;A
2009;ES614;F;45576;ANDALUCES;7451.0;A
2009;ES614;F;45657;ANDALUCES;5.0;A
2009;ES614;F;45765;ANDALUCES;67.0;A
2009;ES614;F;45873;ANDALUCES;43.0;A
2009;ES614;F;45980;ANDALUCES;29.0;A
2009;ES614;F;45981;ANDALUCES;7687.0;A
2009;ES614;F;45984;ANDALUCES;406.0;A
2009;ES614;F;46350;ANDALUCES;9023.0;A
2009;ES614;F;46352;ANDALUCES;324.0;A
2009;ES614;F;46351;ANDALUCES;17440.0;A
2009;ES615;_T;45230;ANDALUCES;3.0;A
2009;ES615;_T;45276;ANDALUCES;15.0;A
2009;ES615;_T;45354;ANDALUCES;10.0;A
2009;ES615;_T;45576;ANDALUCES;3.0;A
2009;ES615;_T;45657;ANDALUCES;2684.0;A
2009;ES615;_T;45765;ANDALUCES;3.0;A
2009;ES615;_T;45873;ANDALUCES;5.0;A
2009;ES615;_T;45980;ANDALUCES;63.0;A
2009;ES615;_T;45981;ANDALUCES;2786.0;A
2009;ES615;_T;45984;ANDALUCES;202.0;A
2009;ES615;_T;46350;ANDALUCES;2653.0;A
2009;ES615;_T;46352;ANDALUCES;67.0;A
2009;ES615;_T;46351;ANDALUCES;5708.0;A
2009;ES615;M;45230;ANDALUCES;2.0;A
2009;ES615;M;45276;ANDALUCES;10.0;A
2009;ES615;M;45354;ANDALUCES;5.0;A
2009;ES615;M;45657;ANDALUCES;1335.0;A
2009;ES615;M;45765;ANDALUCES;1.0;A
2009;ES615;M;45873;ANDALUCES;2.0;A
2009;ES615;M;45980;ANDALUCES;35.0;A
2009;ES615;M;45981;ANDALUCES;1390.0;A
2009;ES615;M;45984;ANDALUCES;97.0;A
2009;ES615;M;46350;ANDALUCES;1340.0;A
2009;ES615;M;46352;ANDALUCES;34.0;A
2009;ES615;M;46351;ANDALUCES;2861.0;A
2009;ES615;F;45230;ANDALUCES;1.0;A
2009;ES615;F;45276;ANDALUCES;5.0;A
2009;ES615;F;45354;ANDALUCES;5.0;A
2009;ES615;F;45576;ANDALUCES;3.0;A
2009;ES615;F;45657;ANDALUCES;1349.0;A
2009;ES615;F;45765;ANDALUCES;2.0;A
2009;ES615;F;45873;ANDALUCES;3.0;A
2009;ES615;F;45980;ANDALUCES;28.0;A
2009;ES615;F;45981;ANDALUCES;1396.0;A
2009;ES615;F;45984;ANDALUCES;105.0;A
2009;ES615;F;46350;ANDALUCES;1313.0;A
2009;ES615;F;46352;ANDALUCES;33.0;A
2009;ES615;F;46351;ANDALUCES;2847.0;A
2009;ES616;_T;45230;ANDALUCES;8.0;A
2009;ES616;_T;45276;ANDALUCES;5.0;A
2009;ES616;_T;45354;ANDALUCES;29.0;A
2009;ES616;_T;45576;ANDALUCES;50.0;A
2009;ES616;_T;45657;ANDALUCES;4.0;A
2009;ES616;_T;45765;ANDALUCES;5085.0;A
2009;ES616;_T;45873;ANDALUCES;16.0;A
2009;ES616;_T;45980;ANDALUCES;14.0;A
2009;ES616;_T;45981;ANDALUCES;5211.0;A
2009;ES616;_T;45984;ANDALUCES;206.0;A
2009;ES616;_T;46350;ANDALUCES;3990.0;A
2009;ES616;_T;46352;ANDALUCES;180.0;A
2009;ES616;_T;46351;ANDALUCES;9587.0;A
2009;ES616;M;45230;ANDALUCES;6.0;A
2009;ES616;M;45276;ANDALUCES;3.0;A
2009;ES616;M;45354;ANDALUCES;17.0;A
2009;ES616;M;45576;ANDALUCES;21.0;A
2009;ES616;M;45657;ANDALUCES;1.0;A
2009;ES616;M;45765;ANDALUCES;2491.0;A
2009;ES616;M;45873;ANDALUCES;10.0;A
2009;ES616;M;45980;ANDALUCES;8.0;A
2009;ES616;M;45981;ANDALUCES;2557.0;A
2009;ES616;M;45984;ANDALUCES;112.0;A
2009;ES616;M;46350;ANDALUCES;2010.0;A
2009;ES616;M;46352;ANDALUCES;82.0;A
2009;ES616;M;46351;ANDALUCES;4761.0;A
2009;ES616;F;45230;ANDALUCES;2.0;A
2009;ES616;F;45276;ANDALUCES;2.0;A
2009;ES616;F;45354;ANDALUCES;12.0;A
2009;ES616;F;45576;ANDALUCES;29.0;A
2009;ES616;F;45657;ANDALUCES;3.0;A
2009;ES616;F;45765;ANDALUCES;2594.0;A
2009;ES616;F;45873;ANDALUCES;6.0;A
2009;ES616;F;45980;ANDALUCES;6.0;A
2009;ES616;F;45981;ANDALUCES;2654.0;A
2009;ES616;F;45984;ANDALUCES;94.0;A
2009;ES616;F;46350;ANDALUCES;1980.0;A
2009;ES616;F;46352;ANDALUCES;98.0;A
2009;ES616;F;46351;ANDALUCES;4826.0;A
