D_TEMPORAL_0;D_SEXO_0;D_TERRITORIO_0;D_LUGARNACIMIEN_0;INDICATOR;OBS_VALUE;FREQ
1998;00;C14;11;Andaluces;2587.9844913;A
1998;00;C14;14;Andaluces;2758.0011168;A
1998;00;C14;18;Andaluces;10795.9373294;A
1998;00;C14;21;Andaluces;530.9919239;A
1998;00;C14;23;Andaluces;6805.0194399;A
1998;00;C14;29;Andaluces;1804.9495951;A
1998;00;C14;41;Andaluces;2454.9423227;A
1998;00;C14;C01;Andaluces;38928.6726571;A
1998;00;C15;04;Andaluces;477.2132404;A
1998;00;C15;11;Andaluces;1242.3016646;A
1998;00;C15;14;Andaluces;1333.8031016;A
1998;00;C15;18;Andaluces;1536.882129;A
1998;00;C15;21;Andaluces;223.6886619;A
1998;00;C15;23;Andaluces;7104.1876067;A
1998;00;C15;29;Andaluces;1092.8403213;A
1998;00;C15;41;Andaluces;944.7319693;A
1998;00;C15;C01;Andaluces;13955.6486948;A
1998;00;C16;04;Andaluces;987.9736509;A
1998;00;C16;11;Andaluces;3916.1668337;A
1998;00;C16;14;Andaluces;7414.6133956;A
1998;00;C16;18;Andaluces;6025.7924284;A
1998;00;C16;21;Andaluces;2591.724376;A
1998;00;C16;23;Andaluces;10148.4729843;A
1998;00;C16;29;Andaluces;8621.8057922;A
1998;00;C16;41;Andaluces;4261.8895404;A
1998;00;C16;C01;Andaluces;43968.4390015;A
1998;00;C17;04;Andaluces;108.8683706;A
1998;00;C17;11;Andaluces;401.6774451;A
1998;00;C17;14;Andaluces;476.2916136;A
1998;00;C17;18;Andaluces;441.4747542;A
1998;00;C17;21;Andaluces;139.8177808;A
1998;00;C17;23;Andaluces;1091.2658668;A
1998;00;C17;29;Andaluces;401.850604;A
1998;00;C17;41;Andaluces;591.4151338;A
1998;00;C17;C01;Andaluces;3652.6615689;A
1998;00;C18;04;Andaluces;1728.9946808;A
1998;00;C18;11;Andaluces;3960.9255312;A
1998;00;C18;14;Andaluces;894.9880318;A
1998;00;C18;18;Andaluces;1854.9587762;A
1998;00;C18;21;Andaluces;359.993351;A
1998;00;C18;23;Andaluces;648.993351;A
1998;00;C18;29;Andaluces;4540.9654252;A
1998;00;C18;41;Andaluces;1431.9627656;A
1998;00;C18;C01;Andaluces;15421.7819128;A
1998;00;108;04;Andaluces;142391.7153883;A
1998;00;108;11;Andaluces;130082.9919656;A
1998;00;108;14;Andaluces;303442.048069;A
1998;00;108;18;Andaluces;289025.4971601;A
1998;00;108;21;Andaluces;61693.4522259;A
1998;00;108;23;Andaluces;381472.3020892;A
1998;00;108;29;Andaluces;150093.3015534;A
1998;00;108;41;Andaluces;211938.0535596;A
1998;00;108;C01;Andaluces;1670139.3620111;A
1998;01;C02;04;Andaluces;832.7205687;A
1998;01;C02;11;Andaluces;1277.3959211;A
1998;01;C02;14;Andaluces;3386.3859596;A
1998;01;C02;18;Andaluces;2019.8227295;A
1998;01;C02;21;Andaluces;388.1062404;A
1998;01;C02;23;Andaluces;2878.6840052;A
1998;01;C02;29;Andaluces;1315.7585825;A
1998;01;C02;41;Andaluces;1599.6539104;A
1998;01;C02;C01;Andaluces;13698.5279174;A
1998;01;C03;04;Andaluces;213.4180213;A
1998;01;C03;11;Andaluces;428.3467522;A
1998;01;C03;14;Andaluces;1561.5728995;A
1998;01;C03;18;Andaluces;885.5829608;A
1998;01;C03;21;Andaluces;283.3833846;A
1998;01;C03;23;Andaluces;1532.4438663;A
1998;01;C03;29;Andaluces;1021.5419453;A
1998;01;C03;41;Andaluces;632.7876033;A
1998;01;C03;C01;Andaluces;6559.0774333;A
1998;01;C04;04;Andaluces;1657.5861429;A
1998;01;C04;11;Andaluces;3932.6302772;A
1998;01;C04;14;Andaluces;5194.3197614;A
1998;01;C04;18;Andaluces;12175.6574149;A
1998;01;C04;21;Andaluces;1685.9986711;A
1998;01;C04;23;Andaluces;6716.4693517;A
1998;01;C04;29;Andaluces;2849.6291553;A
1998;01;C04;41;Andaluces;6840.7875908;A
1998;01;C04;C01;Andaluces;41053.0783653;A
1998;01;C05;04;Andaluces;794.6363739;A
1998;01;C05;11;Andaluces;4761.5507711;A
1998;01;C05;14;Andaluces;1941.6457052;A
1998;01;C05;18;Andaluces;2154.9637858;A
1998;01;C05;21;Andaluces;790.1284179;A
1998;01;C05;23;Andaluces;1302.7387579;A
1998;01;C05;29;Andaluces;2392.9975826;A
1998;01;C05;41;Andaluces;3607.35109;A
1998;01;C05;C01;Andaluces;17746.0124844;A
1998;01;C06;04;Andaluces;75.9990356;A
1998;01;C06;11;Andaluces;545.0019135;A
1998;01;C06;14;Andaluces;264.990387;A
1998;01;C06;18;Andaluces;254.9936675;A
1998;01;C06;21;Andaluces;265.9987908;A
1998;01;C06;23;Andaluces;419.9912734;A
1998;01;C06;29;Andaluces;413.9976246;A
1998;01;C06;41;Andaluces;366.9971068;A
1998;01;C06;C01;Andaluces;2607.9697992;A
1998;01;C07;04;Andaluces;543.8595492;A
1998;01;C07;11;Andaluces;1007.7133284;A
1998;01;C07;14;Andaluces;3600.0066288;A
1998;01;C07;18;Andaluces;1547.3374461;A
1998;01;C07;21;Andaluces;527.512213;A
1998;01;C07;23;Andaluces;4563.7569909;A
1998;01;C07;29;Andaluces;1062.2228452;A
1998;01;C07;41;Andaluces;1531.3305575;A
1998;01;C07;C01;Andaluces;14383.7395591;A
1998;01;C08;04;Andaluces;423.2931193;A
1998;01;C08;11;Andaluces;1033.3908361;A
1998;01;C08;14;Andaluces;1509.963873;A
1998;01;C08;18;Andaluces;1277.1141739;A
1998;01;C08;21;Andaluces;463.1819591;A
1998;01;C08;23;Andaluces;1879.2885893;A
1998;01;C08;29;Andaluces;1005.4151645;A
1998;01;C08;41;Andaluces;1368.1239279;A
1998;01;C08;C01;Andaluces;8959.7716431;A
1998;01;C09;04;Andaluces;41182.9741131;A
1998;01;C09;11;Andaluces;21579.165492;A
1998;01;C09;14;Andaluces;71220.9094589;A
1998;01;C09;18;Andaluces;75973.927792;A
1998;01;C09;21;Andaluces;13937.6567843;A
1998;01;C09;23;Andaluces;71898.5829382;A
1998;01;C09;29;Andaluces;35374.5177804;A
1998;01;C09;41;Andaluces;50242.349207;A
1998;01;C09;C01;Andaluces;381410.0835659;A
1998;01;C10;04;Andaluces;7619.4971578;A
1998;01;C10;11;Andaluces;7502.578571;A
1998;01;C10;14;Andaluces;17504.1510452;A
1998;01;C10;18;Andaluces;19968.0146174;A
1998;01;C10;21;Andaluces;2109.6582356;A
1998;01;C10;23;Andaluces;34096.4526336;A
1998;01;C10;29;Andaluces;6754.0064138;A
1998;01;C10;41;Andaluces;10325.2302914;A
1998;01;C10;C01;Andaluces;105879.5889658;A
1998;01;C11;04;Andaluces;202.869058;A
1998;01;C11;11;Andaluces;877.9859941;A
1998;01;C11;14;Andaluces;1717.8223961;A
1998;01;C11;18;Andaluces;726.1937847;A
1998;01;C11;21;Andaluces;1068.9187132;A
1998;01;C11;23;Andaluces;874.5058742;A
1998;01;C11;29;Andaluces;595.7229435;A
1998;01;C11;41;Andaluces;2961.5601547;A
1998;01;C11;C01;Andaluces;9025.5789185;A
1998;01;C12;04;Andaluces;285.1065107;A
1998;01;C12;11;Andaluces;1528.7702394;A
1998;01;C12;14;Andaluces;625.0491392;A
1998;01;C12;18;Andaluces;532.0422914;A
1998;01;C12;21;Andaluces;353.7288396;A
1998;01;C12;23;Andaluces;634.3654796;A
1998;01;C12;29;Andaluces;607.3487073;A
1998;01;C12;41;Andaluces;796.7816823;A
1998;01;C12;C01;Andaluces;5363.1928895;A
1998;01;C13;04;Andaluces;4738.992457;A
1998;01;C13;11;Andaluces;12590.940198;A
1998;01;C13;14;Andaluces;30167.1705889;A
1998;01;C13;18;Andaluces;12068.384295;A
1998;01;C13;21;Andaluces;5417.1635023;A
1998;01;C13;23;Andaluces;42622.031916;A
1998;01;C13;29;Andaluces;10850.1226055;A
1998;01;C13;41;Andaluces;17401.5811712;A
1998;01;C13;C01;Andaluces;135856.3867339;A
1998;01;C14;04;Andaluces;5171.8775481;A
1998;01;C14;11;Andaluces;1216.9885852;A
1998;01;C14;14;Andaluces;1305.9916114;A
1998;01;C14;18;Andaluces;4901.9108112;A
1998;01;C14;21;Andaluces;247.9954587;A
1998;01;C14;23;Andaluces;3300.9937697;A
1998;01;C14;29;Andaluces;888.97164;A
1998;01;C14;41;Andaluces;1213.9568371;A
1998;01;C14;C01;Andaluces;18248.6862614;A
1998;01;C15;04;Andaluces;239.9928944;A
1998;01;C15;11;Andaluces;638.7484081;A
1998;01;C15;14;Andaluces;663.6653054;A
1998;01;C15;18;Andaluces;770.1570121;A
1998;01;C15;21;Andaluces;139.7700913;A
1998;01;C15;23;Andaluces;3537.3190151;A
1998;01;C15;29;Andaluces;540.3365407;A
1998;01;C15;41;Andaluces;470.7822349;A
1998;01;C15;C01;Andaluces;7000.771502;A
1998;01;C16;04;Andaluces;471.7974769;A
1998;01;C16;11;Andaluces;1912.8813802;A
1998;01;C16;14;Andaluces;3655.4852284;A
1998;01;C16;18;Andaluces;2983.7949366;A
1998;01;C16;21;Andaluces;1222.8784679;A
1998;01;C16;23;Andaluces;5081.4165307;A
1998;01;C16;29;Andaluces;4299.0491199;A
1998;01;C16;41;Andaluces;2095.4764056;A
1998;01;C16;C01;Andaluces;21722.7795462;A
1998;01;C17;04;Andaluces;66.0088821;A
1998;01;C17;11;Andaluces;215.2582793;A
1998;01;C17;14;Andaluces;260.6875632;A
1998;01;C17;18;Andaluces;236.5757718;A
1998;01;C17;21;Andaluces;66.7938443;A
1998;01;C17;23;Andaluces;551.781657;A
1998;01;C17;29;Andaluces;216.5433192;A
1998;01;C17;41;Andaluces;315.6935553;A
1998;01;C17;C01;Andaluces;1929.3428722;A
1998;01;C18;04;Andaluces;766.9946808;A
1998;01;C18;11;Andaluces;1954.9255312;A
1998;01;C18;14;Andaluces;485.9880318;A
1998;01;C18;18;Andaluces;921.9587762;A
1998;01;C18;21;Andaluces;180.993351;A
1998;01;C18;23;Andaluces;340.993351;A
1998;01;C18;29;Andaluces;2171.9654252;A
1998;01;C18;41;Andaluces;777.9627656;A
1998;01;C18;C01;Andaluces;7601.7819128;A
1998;01;108;04;Andaluces;65287.6235898;A
1998;01;108;11;Andaluces;63004.2724781;A
1998;01;108;14;Andaluces;145065.805583;A
1998;01;108;18;Andaluces;139398.4322669;A
1998;01;108;21;Andaluces;29149.8669651;A
1998;01;108;23;Andaluces;182231.8159998;A
1998;01;108;29;Andaluces;72360.1473955;A
1998;01;108;41;Andaluces;102548.4060918;A
1998;01;108;C01;Andaluces;799046.37037;A
1998;06;C02;04;Andaluces;890.4811896;A
1998;06;C02;11;Andaluces;1241.304196;A
1998;06;C02;14;Andaluces;3470.7803716;A
1998;06;C02;18;Andaluces;2032.4167407;A
1998;06;C02;21;Andaluces;409.8712297;A
1998;06;C02;23;Andaluces;2916.0339127;A
1998;06;C02;29;Andaluces;1232.6504263;A
1998;06;C02;41;Andaluces;1643.2231236;A
1998;06;C02;C01;Andaluces;13836.7611902;A
1998;06;C03;04;Andaluces;234.3753598;A
1998;06;C03;11;Andaluces;499.5912529;A
1998;06;C03;14;Andaluces;1653.5289527;A
1998;06;C03;18;Andaluces;912.6774224;A
1998;06;C03;21;Andaluces;314.5772201;A
1998;06;C03;23;Andaluces;1657.930046;A
1998;06;C03;29;Andaluces;1068.992257;A
1998;06;C03;41;Andaluces;673.8637453;A
1998;06;C03;C01;Andaluces;7015.5362562;A
1998;06;C04;04;Andaluces;1542.9755759;A
1998;06;C04;11;Andaluces;3711.9893594;A
1998;06;C04;14;Andaluces;5174.7409934;A
1998;06;C04;18;Andaluces;12125.9889537;A
1998;06;C04;21;Andaluces;1635.6741994;A
1998;06;C04;23;Andaluces;6691.1837443;A
1998;06;C04;29;Andaluces;2781.7207987;A
1998;06;C04;41;Andaluces;6745.4926608;A
1998;06;C04;C01;Andaluces;40409.7662856;A
1998;06;C05;04;Andaluces;565.7631936;A
1998;06;C05;11;Andaluces;4063.1327748;A
1998;06;C05;14;Andaluces;1524.5096199;A
1998;06;C05;18;Andaluces;1578.7192728;A
1998;06;C05;21;Andaluces;682.6090479;A
1998;06;C05;23;Andaluces;912.5486992;A
1998;06;C05;29;Andaluces;1947.0490348;A
1998;06;C05;41;Andaluces;2771.5574049;A
1998;06;C05;C01;Andaluces;14045.8890479;A
1998;06;C06;04;Andaluces;76.0;A
1998;06;C06;11;Andaluces;618.0379642;A
1998;06;C06;14;Andaluces;290.0455924;A
1998;06;C06;18;Andaluces;214.0294389;A
1998;06;C06;21;Andaluces;282.0;A
1998;06;C06;23;Andaluces;430.0379642;A
1998;06;C06;29;Andaluces;373.9952229;A
1998;06;C06;41;Andaluces;392.0072504;A
1998;06;C06;C01;Andaluces;2676.153433;A
1998;06;C07;04;Andaluces;640.4112602;A
1998;06;C07;11;Andaluces;1197.6589708;A
1998;06;C07;14;Andaluces;3982.3086319;A
1998;06;C07;18;Andaluces;1651.6007608;A
1998;06;C07;21;Andaluces;545.475396;A
1998;06;C07;23;Andaluces;5073.801746;A
1998;06;C07;29;Andaluces;1079.3030221;A
