D_TEMPORAL_0;D_TERRITORIO_0;D_ARE_INSCRIPCION_0;D_SEXO_0;D_LUGARNACIMIEN_0;INDICATOR;OBS_VALUE;FREQ
2016;18;1;01;23;Andaluces;8.0;A
2016;18;1;01;29;Andaluces;6.0;A
2016;18;1;01;41;Andaluces;9.0;A
2016;18;1;01;C01;Andaluces;617.0;A
2016;18;1;01;C02;Andaluces;91.0;A
2016;18;1;01;66;Andaluces;1247.0;A
2016;18;1;01;NC000;Andaluces;;A
2016;18;1;01;00;Andaluces;1955.0;A
2016;18;1;06;04;Andaluces;10.0;A
2016;18;1;06;11;Andaluces;9.0;A
2016;18;1;06;14;Andaluces;5.0;A
2016;18;1;06;18;Andaluces;486.0;A
2016;18;1;06;21;Andaluces;;A
2016;18;1;06;23;Andaluces;11.0;A
2016;18;1;06;29;Andaluces;10.0;A
2016;18;1;06;41;Andaluces;7.0;A
2016;18;1;06;C01;Andaluces;538.0;A
2016;18;1;06;C02;Andaluces;79.0;A
2016;18;1;06;66;Andaluces;1313.0;A
2016;18;1;06;NC000;Andaluces;;A
2016;18;1;06;00;Andaluces;1930.0;A
2016;21;1;00;04;Andaluces;;A
2016;21;1;00;11;Andaluces;4.0;A
2016;21;1;00;14;Andaluces;3.0;A
2016;21;1;00;18;Andaluces;2.0;A
2016;21;1;00;21;Andaluces;297.0;A
2016;21;1;00;23;Andaluces;2.0;A
2016;21;1;00;29;Andaluces;4.0;A
2016;21;1;00;41;Andaluces;20.0;A
2016;21;1;00;C01;Andaluces;332.0;A
2016;21;1;00;C02;Andaluces;33.0;A
2016;21;1;00;66;Andaluces;286.0;A
2016;21;1;00;NC000;Andaluces;;A
2016;21;1;00;00;Andaluces;651.0;A
2016;21;1;01;04;Andaluces;;A
2016;21;1;01;11;Andaluces;2.0;A
2016;21;1;01;14;Andaluces;2.0;A
2016;21;1;01;18;Andaluces;;A
2016;21;1;01;21;Andaluces;158.0;A
2016;21;1;01;23;Andaluces;;A
2016;21;1;01;29;Andaluces;2.0;A
2016;21;1;01;41;Andaluces;11.0;A
2016;21;1;01;C01;Andaluces;175.0;A
2016;21;1;01;C02;Andaluces;21.0;A
2016;21;1;01;66;Andaluces;146.0;A
2016;21;1;01;NC000;Andaluces;;A
2016;21;1;01;00;Andaluces;342.0;A
2016;21;1;06;04;Andaluces;;A
2016;21;1;06;11;Andaluces;2.0;A
2016;21;1;06;14;Andaluces;1.0;A
2016;21;1;06;18;Andaluces;2.0;A
2016;21;1;06;21;Andaluces;139.0;A
2016;21;1;06;23;Andaluces;2.0;A
2016;21;1;06;29;Andaluces;2.0;A
2016;21;1;06;41;Andaluces;9.0;A
2016;21;1;06;C01;Andaluces;157.0;A
2016;21;1;06;C02;Andaluces;12.0;A
2016;21;1;06;66;Andaluces;140.0;A
2016;21;1;06;NC000;Andaluces;;A
2016;21;1;06;00;Andaluces;309.0;A
2016;23;1;00;04;Andaluces;1.0;A
2016;23;1;00;11;Andaluces;3.0;A
2016;23;1;00;14;Andaluces;5.0;A
2016;23;1;00;18;Andaluces;12.0;A
2016;23;1;00;21;Andaluces;;A
2016;23;1;00;23;Andaluces;461.0;A
2016;23;1;00;29;Andaluces;2.0;A
2016;23;1;00;41;Andaluces;2.0;A
2016;23;1;00;C01;Andaluces;486.0;A
2016;23;1;00;C02;Andaluces;55.0;A
2016;23;1;00;66;Andaluces;499.0;A
2016;23;1;00;NC000;Andaluces;2.0;A
2016;23;1;00;00;Andaluces;1042.0;A
2016;23;1;01;04;Andaluces;1.0;A
2016;23;1;01;11;Andaluces;3.0;A
2016;23;1;01;14;Andaluces;2.0;A
2016;23;1;01;18;Andaluces;7.0;A
2016;23;1;01;21;Andaluces;;A
2016;23;1;01;23;Andaluces;241.0;A
2016;23;1;01;29;Andaluces;;A
2016;23;1;01;41;Andaluces;2.0;A
2016;23;1;01;C01;Andaluces;256.0;A
2016;23;1;01;C02;Andaluces;30.0;A
2016;23;1;01;66;Andaluces;256.0;A
2016;23;1;01;NC000;Andaluces;1.0;A
2016;23;1;01;00;Andaluces;543.0;A
2016;23;1;06;04;Andaluces;;A
2016;23;1;06;11;Andaluces;;A
2016;23;1;06;14;Andaluces;3.0;A
2016;23;1;06;18;Andaluces;5.0;A
2016;23;1;06;21;Andaluces;;A
2016;23;1;06;23;Andaluces;220.0;A
2016;23;1;06;29;Andaluces;2.0;A
2016;23;1;06;41;Andaluces;;A
2016;23;1;06;C01;Andaluces;230.0;A
2016;23;1;06;C02;Andaluces;25.0;A
2016;23;1;06;66;Andaluces;243.0;A
2016;23;1;06;NC000;Andaluces;1.0;A
2016;23;1;06;00;Andaluces;499.0;A
2016;29;1;00;04;Andaluces;10.0;A
2016;29;1;00;11;Andaluces;64.0;A
2016;29;1;00;14;Andaluces;46.0;A
2016;29;1;00;18;Andaluces;44.0;A
2016;29;1;00;21;Andaluces;6.0;A
2016;29;1;00;23;Andaluces;23.0;A
2016;29;1;00;29;Andaluces;1604.0;A
2016;29;1;00;41;Andaluces;27.0;A
2016;29;1;00;C01;Andaluces;1824.0;A
2016;29;1;00;C02;Andaluces;404.0;A
2016;29;1;00;66;Andaluces;3175.0;A
2016;29;1;00;NC000;Andaluces;;A
2016;29;1;00;00;Andaluces;5403.0;A
2016;29;1;01;04;Andaluces;6.0;A
2016;29;1;01;11;Andaluces;37.0;A
2016;29;1;01;14;Andaluces;21.0;A
2016;29;1;01;18;Andaluces;27.0;A
2016;29;1;01;21;Andaluces;5.0;A
2016;29;1;01;23;Andaluces;14.0;A
2016;29;1;01;29;Andaluces;821.0;A
2016;29;1;01;41;Andaluces;16.0;A
2016;29;1;01;C01;Andaluces;947.0;A
2016;29;1;01;C02;Andaluces;221.0;A
2016;29;1;01;66;Andaluces;1627.0;A
2016;29;1;01;NC000;Andaluces;;A
2016;29;1;01;00;Andaluces;2795.0;A
2016;29;1;06;04;Andaluces;4.0;A
2016;29;1;06;11;Andaluces;27.0;A
2016;29;1;06;14;Andaluces;25.0;A
2016;29;1;06;18;Andaluces;17.0;A
2016;29;1;06;21;Andaluces;1.0;A
2016;29;1;06;23;Andaluces;9.0;A
2016;29;1;06;29;Andaluces;783.0;A
2016;29;1;06;41;Andaluces;11.0;A
