D_TEMPORAL_0;D_TERRITORIO_1;D_TERRITORIO_0;D_SEXO_0;D_LUGARNACIMIEN_0;INDICATOR;OBS_VALUE;FREQ
2009;66;41;00;66;Andaluces;11765.0;A
2009;66;41;00;NC000;Andaluces;438.0;A
2009;66;41;00;00;Andaluces;25013.0;A
2009;6601;C01;00;04;Andaluces;5508.0;A
2009;6601;C01;00;11;Andaluces;7838.0;A
2009;6601;C01;00;14;Andaluces;6709.0;A
2009;6601;C01;00;18;Andaluces;9101.0;A
2009;6601;C01;00;21;Andaluces;2339.0;A
2009;6601;C01;00;23;Andaluces;4200.0;A
2009;6601;C01;00;29;Andaluces;8398.0;A
2009;6601;C01;00;41;Andaluces;8261.0;A
2009;6601;C01;00;C01;Andaluces;52354.0;A
2009;6601;C01;00;C02;Andaluces;3815.0;A
2009;6601;C01;00;66;Andaluces;38231.0;A
2009;6601;C01;00;NC000;Andaluces;1725.0;A
2009;6601;C01;00;00;Andaluces;96125.0;A
2009;6601;04;00;04;Andaluces;5385.0;A
2009;6601;04;00;11;Andaluces;9.0;A
2009;6601;04;00;14;Andaluces;18.0;A
2009;6601;04;00;18;Andaluces;89.0;A
2009;6601;04;00;21;Andaluces;5.0;A
2009;6601;04;00;23;Andaluces;16.0;A
2009;6601;04;00;29;Andaluces;23.0;A
2009;6601;04;00;41;Andaluces;18.0;A
2009;6601;04;00;C01;Andaluces;5563.0;A
2009;6601;04;00;C02;Andaluces;376.0;A
2009;6601;04;00;66;Andaluces;3276.0;A
2009;6601;04;00;NC000;Andaluces;179.0;A
2009;6601;04;00;00;Andaluces;9394.0;A
2009;6601;11;00;04;Andaluces;9.0;A
2009;6601;11;00;11;Andaluces;7422.0;A
2009;6601;11;00;14;Andaluces;29.0;A
2009;6601;11;00;18;Andaluces;37.0;A
2009;6601;11;00;21;Andaluces;22.0;A
2009;6601;11;00;23;Andaluces;26.0;A
2009;6601;11;00;29;Andaluces;144.0;A
2009;6601;11;00;41;Andaluces;143.0;A
2009;6601;11;00;C01;Andaluces;7832.0;A
2009;6601;11;00;C02;Andaluces;527.0;A
2009;6601;11;00;66;Andaluces;5556.0;A
2009;6601;11;00;NC000;Andaluces;220.0;A
2009;6601;11;00;00;Andaluces;14135.0;A
2009;6601;14;00;04;Andaluces;12.0;A
2009;6601;14;00;11;Andaluces;8.0;A
2009;6601;14;00;14;Andaluces;6380.0;A
2009;6601;14;00;18;Andaluces;30.0;A
2009;6601;14;00;21;Andaluces;10.0;A
2009;6601;14;00;23;Andaluces;44.0;A
2009;6601;14;00;29;Andaluces;22.0;A
2009;6601;14;00;41;Andaluces;53.0;A
2009;6601;14;00;C01;Andaluces;6559.0;A
2009;6601;14;00;C02;Andaluces;321.0;A
2009;6601;14;00;66;Andaluces;4187.0;A
2009;6601;14;00;NC000;Andaluces;183.0;A
2009;6601;14;00;00;Andaluces;11250.0;A
2009;6601;18;00;04;Andaluces;51.0;A
2009;6601;18;00;11;Andaluces;33.0;A
2009;6601;18;00;14;Andaluces;19.0;A
2009;6601;18;00;18;Andaluces;8717.0;A
2009;6601;18;00;21;Andaluces;5.0;A
2009;6601;18;00;23;Andaluces;87.0;A
2009;6601;18;00;29;Andaluces;52.0;A
2009;6601;18;00;41;Andaluces;37.0;A
2009;6601;18;00;C01;Andaluces;9001.0;A
2009;6601;18;00;C02;Andaluces;525.0;A
2009;6601;18;00;66;Andaluces;5747.0;A
2009;6601;18;00;NC000;Andaluces;312.0;A
2009;6601;18;00;00;Andaluces;15585.0;A
2009;6601;21;00;04;Andaluces;3.0;A
2009;6601;21;00;11;Andaluces;12.0;A
2009;6601;21;00;14;Andaluces;6.0;A
2009;6601;21;00;18;Andaluces;3.0;A
2009;6601;21;00;21;Andaluces;2171.0;A
2009;6601;21;00;23;Andaluces;3.0;A
2009;6601;21;00;29;Andaluces;4.0;A
2009;6601;21;00;41;Andaluces;50.0;A
2009;6601;21;00;C01;Andaluces;2252.0;A
2009;6601;21;00;C02;Andaluces;155.0;A
2009;6601;21;00;66;Andaluces;1907.0;A
2009;6601;21;00;NC000;Andaluces;56.0;A
2009;6601;21;00;00;Andaluces;4370.0;A
2009;6601;23;00;04;Andaluces;6.0;A
2009;6601;23;00;11;Andaluces;4.0;A
2009;6601;23;00;14;Andaluces;24.0;A
2009;6601;23;00;18;Andaluces;34.0;A
2009;6601;23;00;21;Andaluces;3.0;A
2009;6601;23;00;23;Andaluces;3907.0;A
2009;6601;23;00;29;Andaluces;14.0;A
2009;6601;23;00;41;Andaluces;13.0;A
2009;6601;23;00;C01;Andaluces;4005.0;A
2009;6601;23;00;C02;Andaluces;157.0;A
2009;6601;23;00;66;Andaluces;2155.0;A
2009;6601;23;00;NC000;Andaluces;109.0;A
2009;6601;23;00;00;Andaluces;6426.0;A
2009;6601;29;00;04;Andaluces;25.0;A
2009;6601;29;00;11;Andaluces;210.0;A
2009;6601;29;00;14;Andaluces;137.0;A
2009;6601;29;00;18;Andaluces;141.0;A
2009;6601;29;00;21;Andaluces;10.0;A
2009;6601;29;00;23;Andaluces;65.0;A
2009;6601;29;00;29;Andaluces;8078.0;A
2009;6601;29;00;41;Andaluces;122.0;A
2009;6601;29;00;C01;Andaluces;8788.0;A
2009;6601;29;00;C02;Andaluces;1068.0;A
2009;6601;29;00;66;Andaluces;9054.0;A
2009;6601;29;00;NC000;Andaluces;397.0;A
2009;6601;29;00;00;Andaluces;19307.0;A
2009;6601;41;00;04;Andaluces;17.0;A
2009;6601;41;00;11;Andaluces;140.0;A
2009;6601;41;00;14;Andaluces;96.0;A
2009;6601;41;00;18;Andaluces;50.0;A
2009;6601;41;00;21;Andaluces;113.0;A
2009;6601;41;00;23;Andaluces;52.0;A
2009;6601;41;00;29;Andaluces;61.0;A
2009;6601;41;00;41;Andaluces;7825.0;A
2009;6601;41;00;C01;Andaluces;8354.0;A
2009;6601;41;00;C02;Andaluces;686.0;A
2009;6601;41;00;66;Andaluces;6349.0;A
2009;6601;41;00;NC000;Andaluces;269.0;A
2009;6601;41;00;00;Andaluces;15658.0;A
2009;6602;C01;00;04;Andaluces;41.0;A
2009;6602;C01;00;11;Andaluces;181.0;A
2009;6602;C01;00;14;Andaluces;68.0;A
2009;6602;C01;00;18;Andaluces;182.0;A
2009;6602;C01;00;21;Andaluces;39.0;A
2009;6602;C01;00;23;Andaluces;50.0;A
2009;6602;C01;00;29;Andaluces;214.0;A
2009;6602;C01;00;41;Andaluces;145.0;A
2009;6602;C01;00;C01;Andaluces;920.0;A
2009;6602;C01;00;C02;Andaluces;227.0;A
2009;6602;C01;00;66;Andaluces;1486.0;A
2009;6602;C01;00;NC000;Andaluces;41.0;A
2009;6602;C01;00;00;Andaluces;2674.0;A
2009;6602;04;00;04;Andaluces;38.0;A
2009;6602;04;00;11;Andaluces;;A
2009;6602;04;00;14;Andaluces;;A
2009;6602;04;00;18;Andaluces;3.0;A
2009;6602;04;00;21;Andaluces;;A
2009;6602;04;00;23;Andaluces;1.0;A
2009;6602;04;00;29;Andaluces;3.0;A
2009;6602;04;00;41;Andaluces;;A
2009;6602;04;00;C01;Andaluces;45.0;A
2009;6602;04;00;C02;Andaluces;8.0;A
2009;6602;04;00;66;Andaluces;47.0;A
2009;6602;04;00;NC000;Andaluces;4.0;A
2009;6602;04;00;00;Andaluces;104.0;A
2009;6602;11;00;04;Andaluces;;A
2009;6602;11;00;11;Andaluces;159.0;A
2009;6602;11;00;14;Andaluces;3.0;A
2009;6602;11;00;18;Andaluces;4.0;A
2009;6602;11;00;21;Andaluces;2.0;A
2009;6602;11;00;23;Andaluces;2.0;A
2009;6602;11;00;29;Andaluces;3.0;A
2009;6602;11;00;41;Andaluces;6.0;A
2009;6602;11;00;C01;Andaluces;179.0;A
2009;6602;11;00;C02;Andaluces;55.0;A
2009;6602;11;00;66;Andaluces;301.0;A
2009;6602;11;00;NC000;Andaluces;5.0;A
2009;6602;11;00;00;Andaluces;540.0;A
2009;6602;14;00;04;Andaluces;;A
2009;6602;14;00;11;Andaluces;2.0;A
2009;6602;14;00;14;Andaluces;47.0;A
2009;6602;14;00;18;Andaluces;3.0;A
2009;6602;14;00;21;Andaluces;;A
2009;6602;14;00;23;Andaluces;1.0;A
2009;6602;14;00;29;Andaluces;;A
2009;6602;14;00;41;Andaluces;1.0;A
2009;6602;14;00;C01;Andaluces;54.0;A
2009;6602;14;00;C02;Andaluces;13.0;A
2009;6602;14;00;66;Andaluces;49.0;A
2009;6602;14;00;NC000;Andaluces;3.0;A
2009;6602;14;00;00;Andaluces;119.0;A
2009;6602;18;00;04;Andaluces;1.0;A
2009;6602;18;00;11;Andaluces;3.0;A
2009;6602;18;00;14;Andaluces;3.0;A
2009;6602;18;00;18;Andaluces;156.0;A
2009;6602;18;00;21;Andaluces;;A
2009;6602;18;00;23;Andaluces;6.0;A
2009;6602;18;00;29;Andaluces;5.0;A
2009;6602;18;00;41;Andaluces;3.0;A
2009;6602;18;00;C01;Andaluces;177.0;A
2009;6602;18;00;C02;Andaluces;35.0;A
2009;6602;18;00;66;Andaluces;162.0;A
2009;6602;18;00;NC000;Andaluces;3.0;A
2009;6602;18;00;00;Andaluces;377.0;A
2009;6602;21;00;04;Andaluces;;A
2009;6602;21;00;11;Andaluces;1.0;A
2009;6602;21;00;14;Andaluces;1.0;A
2009;6602;21;00;18;Andaluces;;A
2009;6602;21;00;21;Andaluces;31.0;A
2009;6602;21;00;23;Andaluces;;A
2009;6602;21;00;29;Andaluces;;A
2009;6602;21;00;41;Andaluces;1.0;A
2009;6602;21;00;C01;Andaluces;34.0;A
2009;6602;21;00;C02;Andaluces;8.0;A
2009;6602;21;00;66;Andaluces;12.0;A
2009;6602;21;00;NC000;Andaluces;2.0;A
2009;6602;21;00;00;Andaluces;56.0;A
2009;6602;23;00;04;Andaluces;;A
2009;6602;23;00;11;Andaluces;;A
2009;6602;23;00;14;Andaluces;1.0;A
2009;6602;23;00;18;Andaluces;3.0;A
2009;6602;23;00;21;Andaluces;;A
2009;6602;23;00;23;Andaluces;32.0;A
2009;6602;23;00;29;Andaluces;;A
2009;6602;23;00;41;Andaluces;;A
2009;6602;23;00;C01;Andaluces;36.0;A
2009;6602;23;00;C02;Andaluces;7.0;A
2009;6602;23;00;66;Andaluces;39.0;A
2009;6602;23;00;NC000;Andaluces;;A
2009;6602;23;00;00;Andaluces;82.0;A
2009;6602;29;00;04;Andaluces;1.0;A
2009;6602;29;00;11;Andaluces;7.0;A
2009;6602;29;00;14;Andaluces;8.0;A
2009;6602;29;00;18;Andaluces;9.0;A
2009;6602;29;00;21;Andaluces;;A
2009;6602;29;00;23;Andaluces;5.0;A
2009;6602;29;00;29;Andaluces;201.0;A
2009;6602;29;00;41;Andaluces;7.0;A
2009;6602;29;00;C01;Andaluces;238.0;A
2009;6602;29;00;C02;Andaluces;71.0;A
2009;6602;29;00;66;Andaluces;726.0;A
2009;6602;29;00;NC000;Andaluces;20.0;A
2009;6602;29;00;00;Andaluces;1055.0;A
2009;6602;41;00;04;Andaluces;1.0;A
2009;6602;41;00;11;Andaluces;9.0;A
2009;6602;41;00;14;Andaluces;5.0;A
2009;6602;41;00;18;Andaluces;4.0;A
2009;6602;41;00;21;Andaluces;6.0;A
2009;6602;41;00;23;Andaluces;3.0;A
2009;6602;41;00;29;Andaluces;2.0;A
2009;6602;41;00;41;Andaluces;127.0;A
2009;6602;41;00;C01;Andaluces;157.0;A
2009;6602;41;00;C02;Andaluces;30.0;A
2009;6602;41;00;66;Andaluces;150.0;A
2009;6602;41;00;NC000;Andaluces;4.0;A
2009;6602;41;00;00;Andaluces;341.0;A
2009;6603;C01;00;04;Andaluces;4861.0;A
2009;6603;C01;00;11;Andaluces;2492.0;A
2009;6603;C01;00;14;Andaluces;1347.0;A
2009;6603;C01;00;18;Andaluces;5616.0;A
2009;6603;C01;00;21;Andaluces;481.0;A
2009;6603;C01;00;23;Andaluces;1062.0;A
2009;6603;C01;00;29;Andaluces;3458.0;A
2009;6603;C01;00;41;Andaluces;2900.0;A
2009;6603;C01;00;C01;Andaluces;22217.0;A
2009;6603;C01;00;C02;Andaluces;1195.0;A
2009;6603;C01;00;66;Andaluces;44882.0;A
2009;6603;C01;00;NC000;Andaluces;1131.0;A
2009;6603;C01;00;00;Andaluces;69425.0;A
2009;6603;04;00;04;Andaluces;4803.0;A
2009;6603;04;00;11;Andaluces;;A
2009;6603;04;00;14;Andaluces;2.0;A
2009;6603;04;00;18;Andaluces;30.0;A
2009;6603;04;00;21;Andaluces;1.0;A
2009;6603;04;00;23;Andaluces;2.0;A
2009;6603;04;00;29;Andaluces;5.0;A
2009;6603;04;00;41;Andaluces;2.0;A
2009;6603;04;00;C01;Andaluces;4845.0;A
2009;6603;04;00;C02;Andaluces;101.0;A
2009;6603;04;00;66;Andaluces;11274.0;A
2009;6603;04;00;NC000;Andaluces;236.0;A
2009;6603;04;00;00;Andaluces;16456.0;A
2009;6603;11;00;04;Andaluces;3.0;A
2009;6603;11;00;11;Andaluces;2382.0;A
2009;6603;11;00;14;Andaluces;11.0;A
2009;6603;11;00;18;Andaluces;11.0;A
2009;6603;11;00;21;Andaluces;2.0;A
2009;6603;11;00;23;Andaluces;4.0;A
2009;6603;11;00;29;Andaluces;12.0;A
2009;6603;11;00;41;Andaluces;61.0;A
2009;6603;11;00;C01;Andaluces;2486.0;A
2009;6603;11;00;C02;Andaluces;188.0;A
2009;6603;11;00;66;Andaluces;3451.0;A
2009;6603;11;00;NC000;Andaluces;58.0;A
2009;6603;11;00;00;Andaluces;6183.0;A
2009;6603;14;00;04;Andaluces;2.0;A
2009;6603;14;00;11;Andaluces;3.0;A
2009;6603;14;00;14;Andaluces;1258.0;A
2009;6603;14;00;18;Andaluces;8.0;A
2009;6603;14;00;21;Andaluces;1.0;A
2009;6603;14;00;23;Andaluces;3.0;A
2009;6603;14;00;29;Andaluces;4.0;A
2009;6603;14;00;41;Andaluces;9.0;A
2009;6603;14;00;C01;Andaluces;1288.0;A
2009;6603;14;00;C02;Andaluces;45.0;A
2009;6603;14;00;66;Andaluces;1829.0;A
2009;6603;14;00;NC000;Andaluces;34.0;A
2009;6603;14;00;00;Andaluces;3196.0;A
2009;6603;18;00;04;Andaluces;24.0;A
2009;6603;18;00;11;Andaluces;9.0;A
2009;6603;18;00;14;Andaluces;8.0;A
2009;6603;18;00;18;Andaluces;5497.0;A
2009;6603;18;00;21;Andaluces;3.0;A
2009;6603;18;00;23;Andaluces;30.0;A
2009;6603;18;00;29;Andaluces;14.0;A
2009;6603;18;00;41;Andaluces;10.0;A
2009;6603;18;00;C01;Andaluces;5595.0;A
2009;6603;18;00;C02;Andaluces;156.0;A
2009;6603;18;00;66;Andaluces;11518.0;A
2009;6603;18;00;NC000;Andaluces;357.0;A
2009;6603;18;00;00;Andaluces;17626.0;A
2009;6603;21;00;04;Andaluces;;A
2009;6603;21;00;11;Andaluces;2.0;A
2009;6603;21;00;14;Andaluces;3.0;A
