D_TEMPORAL_0;D_EDAD_0;D_SEXO_0;D_LUGARNACIMIEN_0;INDICATOR;OBS_VALUE;FREQ
1998;015019;00;21;Andaluces;890.9672123;A
1998;015019;00;23;Andaluces;3541.1541416;A
1998;015019;00;29;Andaluces;2340.751226;A
1998;015019;00;41;Andaluces;4277.3121651;A
1998;015019;00;C01;Andaluces;22631.4816202;A
1998;015019;01;04;Andaluces;808.8845882;A
1998;015019;01;11;Andaluces;1950.411772;A
1998;015019;01;14;Andaluces;1380.6505743;A
1998;015019;01;18;Andaluces;1818.5135141;A
1998;015019;01;21;Andaluces;461.6024886;A
1998;015019;01;23;Andaluces;1839.1521652;A
1998;015019;01;29;Andaluces;1205.44813;A
1998;015019;01;41;Andaluces;2206.1843881;A
1998;015019;01;C01;Andaluces;11670.8476205;A
1998;015019;06;04;Andaluces;750.1316521;A
1998;015019;06;11;Andaluces;1758.1385978;A
1998;015019;06;14;Andaluces;1342.4819132;A
1998;015019;06;18;Andaluces;1772.0842635;A
1998;015019;06;21;Andaluces;429.3647237;A
1998;015019;06;23;Andaluces;1702.0019764;A
1998;015019;06;29;Andaluces;1135.303096;A
1998;015019;06;41;Andaluces;2071.127777;A
1998;015019;06;C01;Andaluces;10960.6339997;A
1998;020024;00;04;Andaluces;2418.3006606;A
1998;020024;00;11;Andaluces;5963.7872315;A
1998;020024;00;14;Andaluces;4474.2368994;A
1998;020024;00;18;Andaluces;5513.5922984;A
1998;020024;00;21;Andaluces;1295.5941946;A
1998;020024;00;23;Andaluces;5777.8438222;A
1998;020024;00;29;Andaluces;3761.7258495;A
1998;020024;00;41;Andaluces;6781.5813244;A
1998;020024;00;C01;Andaluces;35986.6622806;A
1998;020024;01;04;Andaluces;1235.4177644;A
1998;020024;01;11;Andaluces;2977.4890725;A
1998;020024;01;14;Andaluces;2324.4545988;A
1998;020024;01;18;Andaluces;2743.2643029;A
1998;020024;01;21;Andaluces;658.7028817;A
1998;020024;01;23;Andaluces;2866.6340777;A
1998;020024;01;29;Andaluces;1947.5963718;A
1998;020024;01;41;Andaluces;3466.009343;A
1998;020024;01;C01;Andaluces;18219.5684128;A
1998;020024;06;04;Andaluces;1182.8828962;A
1998;020024;06;11;Andaluces;2986.298159;A
1998;020024;06;14;Andaluces;2149.7823006;A
1998;020024;06;18;Andaluces;2770.3279955;A
1998;020024;06;21;Andaluces;636.8913129;A
1998;020024;06;23;Andaluces;2911.2097445;A
1998;020024;06;29;Andaluces;1814.1294777;A
1998;020024;06;41;Andaluces;3315.5719814;A
1998;020024;06;C01;Andaluces;17767.0938678;A
1998;025029;00;04;Andaluces;3914.9246813;A
1998;025029;00;11;Andaluces;10048.3952217;A
1998;025029;00;14;Andaluces;9908.9986985;A
