TEMPORAL;OBS_STATUS;ICMA_TIPOVENTAS;TERRITORIO;IVGS_SERIEIVGS;INDICATOR;OBS_VALUE;FREQ
2005-01;P;61592;ES61;277797;INDI_DEFL;135.111319895;M
2005-01;P;61593;ES61;277797;INDI_DEFL;131.819217232;M
2005-01;P;61594;ES61;277797;INDI_DEFL;109.042818684;M
2005-01;P;61595;ES61;277797;INDI_DEFL;148.120647442;M
2005-02;P;61592;ES61;277797;INDI_DEFL;117.612666906;M
2005-02;P;61593;ES61;277797;INDI_DEFL;114.504629048;M
2005-02;P;61594;ES61;277797;INDI_DEFL;107.568751194;M
2005-02;P;61595;ES61;277797;INDI_DEFL;117.536709486;M
2005-03;P;61592;ES61;277797;INDI_DEFL;133.02590353;M
2005-03;P;61593;ES61;277797;INDI_DEFL;129.570932359;M
2005-03;P;61594;ES61;277797;INDI_DEFL;122.124784086;M
2005-03;P;61595;ES61;277797;INDI_DEFL;132.893306567;M
2005-04;P;61592;ES61;277797;INDI_DEFL;130.082656221;M
2005-04;P;61593;ES61;277797;INDI_DEFL;127.460249069;M
2005-04;P;61594;ES61;277797;INDI_DEFL;119.333611745;M
2005-04;P;61595;ES61;277797;INDI_DEFL;131.456810574;M
2005-05;P;61592;ES61;277797;INDI_DEFL;132.683614995;M
2005-05;P;61593;ES61;277797;INDI_DEFL;129.194348027;M
2005-05;P;61594;ES61;277797;INDI_DEFL;120.02916382;M
2005-05;P;61595;ES61;277797;INDI_DEFL;134.646293762;M
2005-06;P;61592;ES61;277797;INDI_DEFL;134.616617903;M
2005-06;P;61593;ES61;277797;INDI_DEFL;131.105452733;M
2005-06;P;61594;ES61;277797;INDI_DEFL;121.181980209;M
2005-06;P;61595;ES61;277797;INDI_DEFL;137.233914429;M
2005-07;P;61592;ES61;277797;INDI_DEFL;144.5099561;M
2005-07;P;61593;ES61;277797;INDI_DEFL;141.578764804;M
2005-07;P;61594;ES61;277797;INDI_DEFL;128.992364159;M
2005-07;P;61595;ES61;277797;INDI_DEFL;150.227119908;M
2005-08;P;61592;ES61;277797;INDI_DEFL;131.249813662;M
2005-08;P;61593;ES61;277797;INDI_DEFL;128.73163393;M
2005-08;P;61594;ES61;277797;INDI_DEFL;130.907996887;M
2005-08;P;61595;ES61;277797;INDI_DEFL;125.06660986;M
2005-09;P;61592;ES61;277797;INDI_DEFL;130.555925395;M
2005-09;P;61593;ES61;277797;INDI_DEFL;128.670597476;M
2005-09;P;61594;ES61;277797;INDI_DEFL;122.774665647;M
2005-09;P;61595;ES61;277797;INDI_DEFL;131.882291589;M
2005-10;P;61592;ES61;277797;INDI_DEFL;133.15448756;M
2005-10;P;61593;ES61;277797;INDI_DEFL;131.163331022;M
2005-10;P;61594;ES61;277797;INDI_DEFL;124.685058714;M
2005-10;P;61595;ES61;277797;INDI_DEFL;134.721081827;M
2005-11;P;61592;ES61;277797;INDI_DEFL;127.965228289;M
2005-11;P;61593;ES61;277797;INDI_DEFL;125.310463032;M
2005-11;P;61594;ES61;277797;INDI_DEFL;118.390989455;M
2005-11;P;61595;ES61;277797;INDI_DEFL;129.326564073;M
2005-12;P;61592;ES61;277797;INDI_DEFL;156.089072355;M
2005-12;P;61593;ES61;277797;INDI_DEFL;154.739475747;M
2005-12;P;61594;ES61;277797;INDI_DEFL;147.524010512;M
2005-12;P;61595;ES61;277797;INDI_DEFL;158.997708554;M
2006-01;P;61592;ES61;277797;INDI_DEFL;139.12173389;M
2006-01;P;61593;ES61;277797;INDI_DEFL;137.114004397;M
2006-01;P;61594;ES61;277797;INDI_DEFL;114.687665497;M
2006-01;P;61595;ES61;277797;INDI_DEFL;152.416970028;M
2006-02;P;61592;ES61;277797;INDI_DEFL;119.853230306;M
2006-02;P;61593;ES61;277797;INDI_DEFL;117.335196348;M
2006-02;P;61594;ES61;277797;INDI_DEFL;108.697919075;M
2006-02;P;61595;ES61;277797;INDI_DEFL;123.2700018;M
2006-03;P;61592;ES61;277797;INDI_DEFL;133.248920162;M
2006-03;P;61593;ES61;277797;INDI_DEFL;130.903490901;M
2006-03;P;61594;ES61;277797;INDI_DEFL;120.06998381;M
2006-03;P;61595;ES61;277797;INDI_DEFL;137.663061203;M
2006-04;P;61592;ES61;277797;INDI_DEFL;129.837074105;M
2006-04;P;61593;ES61;277797;INDI_DEFL;127.305674925;M
2006-04;P;61594;ES61;277797;INDI_DEFL;119.93563524;M
2006-04;P;61595;ES61;277797;INDI_DEFL;131.650844739;M
2006-05;P;61592;ES61;277797;INDI_DEFL;132.170732182;M
2006-05;P;61593;ES61;277797;INDI_DEFL;130.03422006;M
2006-05;P;61594;ES61;277797;INDI_DEFL;120.204620763;M
2006-05;P;61595;ES61;277797;INDI_DEFL;135.379729973;M
2006-06;P;61592;ES61;277797;INDI_DEFL;132.629550543;M
2006-06;P;61593;ES61;277797;INDI_DEFL;130.060125036;M
2006-06;P;61594;ES61;277797;INDI_DEFL;121.417340863;M
2006-06;P;61595;ES61;277797;INDI_DEFL;134.651083182;M
2006-07;P;61592;ES61;277797;INDI_DEFL;146.29851299;M
2006-07;P;61593;ES61;277797;INDI_DEFL;143.773792982;M
2006-07;P;61594;ES61;277797;INDI_DEFL;131.621456141;M
2006-07;P;61595;ES61;277797;INDI_DEFL;152.445794201;M
2006-08;P;61592;ES61;277797;INDI_DEFL;135.563977071;M
2006-08;P;61593;ES61;277797;INDI_DEFL;133.396861838;M
2006-08;P;61594;ES61;277797;INDI_DEFL;133.366154246;M
2006-08;P;61595;ES61;277797;INDI_DEFL;133.586390609;M
2006-09;P;61592;ES61;277797;INDI_DEFL;132.351692913;M
2006-09;P;61593;ES61;277797;INDI_DEFL;129.85579848;M
2006-09;P;61594;ES61;277797;INDI_DEFL;122.660616319;M
2006-09;P;61595;ES61;277797;INDI_DEFL;134.586321096;M
2006-10;P;61592;ES61;277797;INDI_DEFL;138.651491346;M
2006-10;P;61593;ES61;277797;INDI_DEFL;135.851314937;M
2006-10;P;61594;ES61;277797;INDI_DEFL;122.376148389;M
2006-10;P;61595;ES61;277797;INDI_DEFL;144.161338066;M
2006-11;P;61592;ES61;277797;INDI_DEFL;135.233629017;M
2006-11;P;61593;ES61;277797;INDI_DEFL;132.419156103;M
2006-11;P;61594;ES61;277797;INDI_DEFL;121.521648221;M
2006-11;P;61595;ES61;277797;INDI_DEFL;138.921470616;M
2006-12;P;61592;ES61;277797;INDI_DEFL;165.562826098;M
2006-12;P;61593;ES61;277797;INDI_DEFL;162.888438284;M
2006-12;P;61594;ES61;277797;INDI_DEFL;151.667652591;M
2006-12;P;61595;ES61;277797;INDI_DEFL;169.212541589;M
2007-01;P;61592;ES61;277797;INDI_DEFL;138.78002092;M
2007-01;P;61593;ES61;277797;INDI_DEFL;137.06071344;M
2007-01;P;61594;ES61;277797;INDI_DEFL;111.138553123;M
2007-01;P;61595;ES61;277797;INDI_DEFL;155.639296056;M
2007-02;P;61592;ES61;277797;INDI_DEFL;119.889355181;M
2007-02;P;61593;ES61;277797;INDI_DEFL;117.130876008;M
2007-02;P;61594;ES61;277797;INDI_DEFL;107.38262462;M
2007-02;P;61595;ES61;277797;INDI_DEFL;124.413936609;M
2007-03;P;61592;ES61;277797;INDI_DEFL;136.997118347;M
2007-03;P;61593;ES61;277797;INDI_DEFL;134.876447156;M
2007-03;P;61594;ES61;277797;INDI_DEFL;123.782897387;M
2007-03;P;61595;ES61;277797;INDI_DEFL;142.303272131;M
2007-04;P;61592;ES61;277797;INDI_DEFL;132.276057952;M
2007-04;P;61593;ES61;277797;INDI_DEFL;129.544571472;M
2007-04;P;61594;ES61;277797;INDI_DEFL;120.703494908;M
2007-04;P;61595;ES61;277797;INDI_DEFL;135.889060509;M
2007-05;P;61592;ES61;277797;INDI_DEFL;134.491540558;M
2007-05;P;61593;ES61;277797;INDI_DEFL;132.098207428;M
