TEMPORAL;OBS_STATUS;ICMA_TIPOVENTAS;TERRITORIO;IVGS_SERIEIVGS;INDICATOR;OBS_VALUE;FREQ
2005-01;P;61592;ES61;277796;INDI_DEFL;133.276774443;M
2005-01;P;61593;ES61;277796;INDI_DEFL;129.292195659;M
2005-01;P;61594;ES61;277796;INDI_DEFL;120.053121224;M
2005-01;P;61595;ES61;277796;INDI_DEFL;134.711864345;M
2005-02;P;61592;ES61;277796;INDI_DEFL;133.970194399;M
2005-02;P;61593;ES61;277796;INDI_DEFL;130.713989445;M
2005-02;P;61594;ES61;277796;INDI_DEFL;122.91738746;M
2005-02;P;61595;ES61;277796;INDI_DEFL;134.599771562;M
2005-03;P;61592;ES61;277796;INDI_DEFL;134.356096198;M
2005-03;P;61593;ES61;277796;INDI_DEFL;131.146745638;M
2005-03;P;61594;ES61;277796;INDI_DEFL;123.294421627;M
2005-03;P;61595;ES61;277796;INDI_DEFL;135.096464804;M
2005-04;P;61592;ES61;277796;INDI_DEFL;134.873506949;M
2005-04;P;61593;ES61;277796;INDI_DEFL;132.206840815;M
2005-04;P;61594;ES61;277796;INDI_DEFL;122.315025478;M
2005-04;P;61595;ES61;277796;INDI_DEFL;137.53396433;M
2005-05;P;61592;ES61;277796;INDI_DEFL;135.22109339;M
2005-05;P;61593;ES61;277796;INDI_DEFL;132.137183316;M
2005-05;P;61594;ES61;277796;INDI_DEFL;122.665893414;M
2005-05;P;61595;ES61;277796;INDI_DEFL;137.915936026;M
2005-06;P;61592;ES61;277796;INDI_DEFL;135.169120234;M
2005-06;P;61593;ES61;277796;INDI_DEFL;132.638971821;M
2005-06;P;61594;ES61;277796;INDI_DEFL;122.106397311;M
2005-06;P;61595;ES61;277796;INDI_DEFL;139.067454084;M
2005-07;P;61592;ES61;277796;INDI_DEFL;133.922612074;M
2005-07;P;61593;ES61;277796;INDI_DEFL;130.953692721;M
2005-07;P;61594;ES61;277796;INDI_DEFL;121.681984314;M
2005-07;P;61595;ES61;277796;INDI_DEFL;136.313911811;M
2005-08;P;61592;ES61;277796;INDI_DEFL;133.283643652;M
2005-08;P;61593;ES61;277796;INDI_DEFL;130.270729743;M
2005-08;P;61594;ES61;277796;INDI_DEFL;122.810030969;M
2005-08;P;61595;ES61;277796;INDI_DEFL;133.953050613;M
2005-09;P;61592;ES61;277796;INDI_DEFL;134.043710012;M
2005-09;P;61593;ES61;277796;INDI_DEFL;131.866119101;M
2005-09;P;61594;ES61;277796;INDI_DEFL;123.20675922;M
2005-09;P;61595;ES61;277796;INDI_DEFL;136.722701616;M
2005-10;P;61592;ES61;277796;INDI_DEFL;133.717574461;M
2005-10;P;61593;ES61;277796;INDI_DEFL;131.440941896;M
2005-10;P;61594;ES61;277796;INDI_DEFL;124.258169732;M
2005-10;P;61595;ES61;277796;INDI_DEFL;135.592043789;M
2005-11;P;61592;ES61;277796;INDI_DEFL;133.326137616;M
2005-11;P;61593;ES61;277796;INDI_DEFL;130.287858482;M
2005-11;P;61594;ES61;277796;INDI_DEFL;122.889774287;M
2005-11;P;61595;ES61;277796;INDI_DEFL;134.945883223;M
2005-12;P;61592;ES61;277796;INDI_DEFL;133.29629947;M
2005-12;P;61593;ES61;277796;INDI_DEFL;130.297616769;M
2005-12;P;61594;ES61;277796;INDI_DEFL;123.712317823;M
2005-12;P;61595;ES61;277796;INDI_DEFL;134.863742286;M
2006-01;P;61592;ES61;277796;INDI_DEFL;135.894272517;M
2006-01;P;61593;ES61;277796;INDI_DEFL;134.379682395;M
2006-01;P;61594;ES61;277796;INDI_DEFL;126.152184775;M
2006-01;P;61595;ES61;277796;INDI_DEFL;138.964324047;M
2006-02;P;61592;ES61;277796;INDI_DEFL;135.991584287;M
2006-02;P;61593;ES61;277796;INDI_DEFL;133.742010864;M
2006-02;P;61594;ES61;277796;INDI_DEFL;124.30245612;M
2006-02;P;61595;ES61;277796;INDI_DEFL;140.254980201;M
2006-03;P;61592;ES61;277796;INDI_DEFL;135.403445975;M
2006-03;P;61593;ES61;277796;INDI_DEFL;132.674611676;M
2006-03;P;61594;ES61;277796;INDI_DEFL;121.259624708;M
2006-03;P;61595;ES61;277796;INDI_DEFL;139.877589701;M
2006-04;P;61592;ES61;277796;INDI_DEFL;135.201998975;M
2006-04;P;61593;ES61;277796;INDI_DEFL;132.608494301;M
2006-04;P;61594;ES61;277796;INDI_DEFL;122.92494994;M
2006-04;P;61595;ES61;277796;INDI_DEFL;138.550100389;M
