TEMPORAL;OBS_STATUS;IASS_TIPOVENTAS;TERRITORIO;INDICATOR;OBS_VALUE;FREQ
2005-01;A;61753;ES61;INDICE_EMPLEO;103.452683404;M
2005-01;A;61754;ES61;INDICE_EMPLEO;109.302310934;M
2005-01;A;61755;ES61;INDICE_EMPLEO;98.729446725;M
2005-01;A;61756;ES61;INDICE_EMPLEO;107.845680297;M
2005-01;A;61757;ES61;INDICE_EMPLEO;95.474949802;M
2005-01;A;61758;ES61;INDICE_EMPLEO;100.704132158;M
2005-01;A;61759;ES61;INDICE_EMPLEO;95.907678087;M
2005-01;A;61760;ES61;INDICE_EMPLEO;97.899567437;M
2005-02;A;61753;ES61;INDICE_EMPLEO;103.196456191;M
2005-02;A;61754;ES61;INDICE_EMPLEO;108.685075554;M
2005-02;A;61755;ES61;INDICE_EMPLEO;98.774842059;M
2005-02;A;61756;ES61;INDICE_EMPLEO;108.255904324;M
2005-02;A;61757;ES61;INDICE_EMPLEO;95.140518344;M
2005-02;A;61758;ES61;INDICE_EMPLEO;100.872829932;M
2005-02;A;61759;ES61;INDICE_EMPLEO;97.182607196;M
2005-02;A;61760;ES61;INDICE_EMPLEO;97.035614176;M
2005-03;A;61753;ES61;INDICE_EMPLEO;104.217352332;M
2005-03;A;61754;ES61;INDICE_EMPLEO;109.394880125;M
2005-03;A;61755;ES61;INDICE_EMPLEO;100.057707713;M
2005-03;A;61756;ES61;INDICE_EMPLEO;108.964701223;M
2005-03;A;61757;ES61;INDICE_EMPLEO;96.889110515;M
2005-03;A;61758;ES61;INDICE_EMPLEO;101.279322303;M
2005-03;A;61759;ES61;INDICE_EMPLEO;98.135718122;M
2005-03;A;61760;ES61;INDICE_EMPLEO;98.668264358;M
2005-04;A;61753;ES61;INDICE_EMPLEO;105.537466904;M
2005-04;A;61754;ES61;INDICE_EMPLEO;109.820178788;M
2005-04;A;61755;ES61;INDICE_EMPLEO;102.128673178;M
2005-04;A;61756;ES61;INDICE_EMPLEO;109.796993265;M
2005-04;A;61757;ES61;INDICE_EMPLEO;99.361242155;M
2005-04;A;61758;ES61;INDICE_EMPLEO;101.982376645;M
2005-04;A;61759;ES61;INDICE_EMPLEO;100.233086189;M
2005-04;A;61760;ES61;INDICE_EMPLEO;101.605882195;M
2005-05;A;61753;ES61;INDICE_EMPLEO;106.018150756;M
2005-05;A;61754;ES61;INDICE_EMPLEO;109.819895853;M
2005-05;A;61755;ES61;INDICE_EMPLEO;103.01256378;M
2005-05;A;61756;ES61;INDICE_EMPLEO;110.614618649;M
2005-05;A;61757;ES61;INDICE_EMPLEO;100.250681244;M
2005-05;A;61758;ES61;INDICE_EMPLEO;101.979606718;M
2005-05;A;61759;ES61;INDICE_EMPLEO;102.163031593;M
2005-05;A;61760;ES61;INDICE_EMPLEO;101.810592063;M
2005-06;A;61753;ES61;INDICE_EMPLEO;106.445354306;M
2005-06;A;61754;ES61;INDICE_EMPLEO;109.401329814;M
2005-06;A;61755;ES61;INDICE_EMPLEO;104.148106587;M
2005-06;A;61756;ES61;INDICE_EMPLEO;109.581592175;M
2005-06;A;61757;ES61;INDICE_EMPLEO;103.315861663;M
2005-06;A;61758;ES61;INDICE_EMPLEO;103.775821203;M
2005-06;A;61759;ES61;INDICE_EMPLEO;101.294536323;M
2005-06;A;61760;ES61;INDICE_EMPLEO;103.772140551;M
2005-07;A;61753;ES61;INDICE_EMPLEO;105.789191753;M
2005-07;A;61754;ES61;INDICE_EMPLEO;107.284633096;M
2005-07;A;61755;ES61;INDICE_EMPLEO;104.712850005;M
2005-07;A;61756;ES61;INDICE_EMPLEO;109.586512983;M
2005-07;A;61757;ES61;INDICE_EMPLEO;106.794085425;M
2005-07;A;61758;ES61;INDICE_EMPLEO;102.415513838;M
2005-07;A;61759;ES61;INDICE_EMPLEO;101.343773232;M
2005-07;A;61760;ES61;INDICE_EMPLEO;101.429116685;M
2005-08;A;61753;ES61;INDICE_EMPLEO;105.504165616;M
2005-08;A;61754;ES61;INDICE_EMPLEO;107.153479996;M
2005-08;A;61755;ES61;INDICE_EMPLEO;104.298611227;M
2005-08;A;61756;ES61;INDICE_EMPLEO;109.389914155;M
2005-08;A;61757;ES61;INDICE_EMPLEO;106.901119312;M
2005-08;A;61758;ES61;INDICE_EMPLEO;102.400762496;M
2005-08;A;61759;ES61;INDICE_EMPLEO;101.036540738;M
2005-08;A;61760;ES61;INDICE_EMPLEO;99.845834074;M
2005-09;A;61753;ES61;INDICE_EMPLEO;106.737654976;M
2005-09;A;61754;ES61;INDICE_EMPLEO;108.348759984;M
2005-09;A;61755;ES61;INDICE_EMPLEO;105.566108165;M
2005-09;A;61756;ES61;INDICE_EMPLEO;109.650722054;M
2005-09;A;61757;ES61;INDICE_EMPLEO;106.092258432;M
2005-09;A;61758;ES61;INDICE_EMPLEO;103.007272693;M
2005-09;A;61759;ES61;INDICE_EMPLEO;101.250890797;M
2005-09;A;61760;ES61;INDICE_EMPLEO;106.251960319;M
2005-10;A;61753;ES61;INDICE_EMPLEO;106.240299745;M
2005-10;A;61754;ES61;INDICE_EMPLEO;109.561421365;M
2005-10;A;61755;ES61;INDICE_EMPLEO;103.63720495;M
2005-10;A;61756;ES61;INDICE_EMPLEO;110.204368889;M
2005-10;A;61757;ES61;INDICE_EMPLEO;100.84900799;M
2005-10;A;61758;ES61;INDICE_EMPLEO;103.770660149;M
2005-10;A;61759;ES61;INDICE_EMPLEO;101.438836156;M
2005-10;A;61760;ES61;INDICE_EMPLEO;104.400173189;M
2005-11;A;61753;ES61;INDICE_EMPLEO;105.947623348;M
2005-11;A;61754;ES61;INDICE_EMPLEO;110.582030079;M
2005-11;A;61755;ES61;INDICE_EMPLEO;102.245253727;M
2005-11;A;61756;ES61;INDICE_EMPLEO;110.555091399;M
2005-11;A;61757;ES61;INDICE_EMPLEO;97.499757174;M
2005-11;A;61758;ES61;INDICE_EMPLEO;103.785825304;M
2005-11;A;61759;ES61;INDICE_EMPLEO;101.400573198;M
2005-11;A;61760;ES61;INDICE_EMPLEO;102.740169553;M
2005-12;A;61753;ES61;INDICE_EMPLEO;108.156254124;M
2005-12;A;61754;ES61;INDICE_EMPLEO;112.049252666;M
2005-12;A;61755;ES61;INDICE_EMPLEO;105.077851793;M
2005-12;A;61756;ES61;INDICE_EMPLEO;110.712352249;M
2005-12;A;61757;ES61;INDICE_EMPLEO;98.258390026;M
2005-12;A;61758;ES61;INDICE_EMPLEO;103.597306931;M
2005-12;A;61759;ES61;INDICE_EMPLEO;101.5197348;M
2005-12;A;61760;ES61;INDICE_EMPLEO;114.309185968;M
2006-01;A;61753;ES61;INDICE_EMPLEO;105.273059555;M
2006-01;A;61754;ES61;INDICE_EMPLEO;110.270329406;M
2006-01;A;61755;ES61;INDICE_EMPLEO;101.26597696;M
2006-01;A;61756;ES61;INDICE_EMPLEO;111.226575357;M
2006-01;A;61757;ES61;INDICE_EMPLEO;96.942538053;M
2006-01;A;61758;ES61;INDICE_EMPLEO;103.316380229;M
2006-01;A;61759;ES61;INDICE_EMPLEO;101.201978854;M
2006-01;A;61760;ES61;INDICE_EMPLEO;98.759621103;M
2006-02;A;61753;ES61;INDICE_EMPLEO;105.242622805;M
2006-02;A;61754;ES61;INDICE_EMPLEO;109.582499276;M
2006-02;A;61755;ES61;INDICE_EMPLEO;101.78551363;M
2006-02;A;61756;ES61;INDICE_EMPLEO;111.609316945;M
2006-02;A;61757;ES61;INDICE_EMPLEO;97.684698873;M
2006-02;A;61758;ES61;INDICE_EMPLEO;103.416160227;M
2006-02;A;61759;ES61;INDICE_EMPLEO;100.919928758;M
2006-02;A;61760;ES61;INDICE_EMPLEO;99.895100732;M
2006-03;A;61753;ES61;INDICE_EMPLEO;106.263782765;M
2006-03;A;61754;ES61;INDICE_EMPLEO;110.08055246;M
2006-03;A;61755;ES61;INDICE_EMPLEO;103.246031096;M
2006-03;A;61756;ES61;INDICE_EMPLEO;111.962978188;M
2006-03;A;61757;ES61;INDICE_EMPLEO;99.566031925;M
2006-03;A;61758;ES61;INDICE_EMPLEO;103.434541244;M
2006-03;A;61759;ES61;INDICE_EMPLEO;103.720330161;M
2006-03;A;61760;ES61;INDICE_EMPLEO;100.901142798;M
2006-04;A;61753;ES61;INDICE_EMPLEO;107.342933681;M
2006-04;A;61754;ES61;INDICE_EMPLEO;110.673884511;M
2006-04;A;61755;ES61;INDICE_EMPLEO;104.733437559;M
2006-04;A;61756;ES61;INDICE_EMPLEO;111.681703836;M
