TEMPORAL;OBS_STATUS;IASS_TIPOVENTAS;TERRITORIO;INDICATOR;OBS_VALUE;FREQ
2005-12;A;61753;ES61;INDICE_VAB;126.546855746;M
2005-12;A;61754;ES61;INDICE_VAB;138.011889266;M
2005-12;A;61755;ES61;INDICE_VAB;120.635524325;M
2005-12;A;61756;ES61;INDICE_VAB;109.060306773;M
2005-12;A;61757;ES61;INDICE_VAB;120.182763056;M
2005-12;A;61758;ES61;INDICE_VAB;130.585959653;M
2005-12;A;61759;ES61;INDICE_VAB;158.123171946;M
2005-12;A;61760;ES61;INDICE_VAB;121.009401754;M
2006-01;A;61753;ES61;INDICE_VAB;105.190254312;M
2006-01;A;61754;ES61;INDICE_VAB;112.643777641;M
2006-01;A;61755;ES61;INDICE_VAB;101.49868484;M
2006-01;A;61756;ES61;INDICE_VAB;94.035665165;M
2006-01;A;61757;ES61;INDICE_VAB;99.078534128;M
2006-01;A;61758;ES61;INDICE_VAB;104.926068376;M
2006-01;A;61759;ES61;INDICE_VAB;134.64967821;M
2006-01;A;61760;ES61;INDICE_VAB;107.528081097;M
2006-02;A;61753;ES61;INDICE_VAB;101.511298707;M
2006-02;A;61754;ES61;INDICE_VAB;104.838646105;M
2006-02;A;61755;ES61;INDICE_VAB;100.222224897;M
2006-02;A;61756;ES61;INDICE_VAB;96.657796258;M
2006-02;A;61757;ES61;INDICE_VAB;98.171617446;M
2006-02;A;61758;ES61;INDICE_VAB;103.242141435;M
2006-02;A;61759;ES61;INDICE_VAB;125.385523286;M
2006-02;A;61760;ES61;INDICE_VAB;106.892997345;M
2006-03;A;61753;ES61;INDICE_VAB;116.770028416;M
2006-03;A;61754;ES61;INDICE_VAB;124.62281312;M
2006-03;A;61755;ES61;INDICE_VAB;112.919759886;M
2006-03;A;61756;ES61;INDICE_VAB;111.764223621;M
2006-03;A;61757;ES61;INDICE_VAB;113.47930833;M
2006-03;A;61758;ES61;INDICE_VAB;115.048255111;M
2006-03;A;61759;ES61;INDICE_VAB;129.943593775;M
2006-03;A;61760;ES61;INDICE_VAB;120.8080036;M
2006-04;A;61753;ES61;INDICE_VAB;114.881655236;M
2006-04;A;61754;ES61;INDICE_VAB;113.55244502;M
2006-04;A;61755;ES61;INDICE_VAB;116.420523934;M
2006-04;A;61756;ES61;INDICE_VAB;106.099064013;M
2006-04;A;61757;ES61;INDICE_VAB;127.174837071;M
2006-04;A;61758;ES61;INDICE_VAB;108.947991474;M
2006-04;A;61759;ES61;INDICE_VAB;129.398345821;M
2006-04;A;61760;ES61;INDICE_VAB;128.556272488;M
2006-05;A;61753;ES61;INDICE_VAB;121.801194101;M
2006-05;A;61754;ES61;INDICE_VAB;123.483536975;M
2006-05;A;61755;ES61;INDICE_VAB;121.613547487;M
2006-05;A;61756;ES61;INDICE_VAB;114.261681307;M
2006-05;A;61757;ES61;INDICE_VAB;127.533497863;M
2006-05;A;61758;ES61;INDICE_VAB;113.489225808;M
2006-05;A;61759;ES61;INDICE_VAB;141.167352138;M
2006-05;A;61760;ES61;INDICE_VAB;137.024879562;M
2006-06;A;61753;ES61;INDICE_VAB;125.575692396;M
2006-06;A;61754;ES61;INDICE_VAB;126.512428237;M
2006-06;A;61755;ES61;INDICE_VAB;125.852020434;M
2006-06;A;61756;ES61;INDICE_VAB;114.044250886;M
2006-06;A;61757;ES61;INDICE_VAB;130.649137061;M
2006-06;A;61758;ES61;INDICE_VAB;127.930241432;M
2006-06;A;61759;ES61;INDICE_VAB;142.620924992;M
2006-06;A;61760;ES61;INDICE_VAB;147.135561162;M
2006-07;A;61753;ES61;INDICE_VAB;132.422169203;M
2006-07;A;61754;ES61;INDICE_VAB;128.180613045;M
2006-07;A;61755;ES61;INDICE_VAB;135.788735756;M
2006-07;A;61756;ES61;INDICE_VAB;108.737153302;M
2006-07;A;61757;ES61;INDICE_VAB;150.556622406;M
2006-07;A;61758;ES61;INDICE_VAB;125.722620881;M
2006-07;A;61759;ES61;INDICE_VAB;161.500926097;M
2006-07;A;61760;ES61;INDICE_VAB;163.579782281;M
2006-08;A;61753;ES61;INDICE_VAB;121.178480564;M
2006-08;A;61754;ES61;INDICE_VAB;114.547160445;M
2006-08;A;61755;ES61;INDICE_VAB;125.877728472;M
2006-08;A;61756;ES61;INDICE_VAB;98.845066508;M
2006-08;A;61757;ES61;INDICE_VAB;167.11660703;M
2006-08;A;61758;ES61;INDICE_VAB;113.699579727;M
2006-08;A;61759;ES61;INDICE_VAB;98.725301945;M
2006-08;A;61760;ES61;INDICE_VAB;133.834633944;M
2006-09;A;61753;ES61;INDICE_VAB;123.175884814;M
2006-09;A;61754;ES61;INDICE_VAB;118.841531655;M
2006-09;A;61755;ES61;INDICE_VAB;126.537195518;M
2006-09;A;61756;ES61;INDICE_VAB;109.553016077;M
2006-09;A;61757;ES61;INDICE_VAB;142.17337926;M
2006-09;A;61758;ES61;INDICE_VAB;113.886926185;M
2006-09;A;61759;ES61;INDICE_VAB;141.669587493;M
2006-09;A;61760;ES61;INDICE_VAB;143.516572233;M
2006-10;A;61753;ES61;INDICE_VAB;122.518326296;M
2006-10;A;61754;ES61;INDICE_VAB;122.640266112;M
2006-10;A;61755;ES61;INDICE_VAB;123.253273176;M
2006-10;A;61756;ES61;INDICE_VAB;111.358287008;M
2006-10;A;61757;ES61;INDICE_VAB;124.995097244;M
2006-10;A;61758;ES61;INDICE_VAB;120.892149909;M
2006-10;A;61759;ES61;INDICE_VAB;155.894107221;M
2006-10;A;61760;ES61;INDICE_VAB;139.057394683;M
2006-11;A;61753;ES61;INDICE_VAB;118.37626965;M
2006-11;A;61754;ES61;INDICE_VAB;123.445675834;M
2006-11;A;61755;ES61;INDICE_VAB;116.173503227;M
2006-11;A;61756;ES61;INDICE_VAB;110.795760596;M
2006-11;A;61757;ES61;INDICE_VAB;109.625818143;M
2006-11;A;61758;ES61;INDICE_VAB;117.745605878;M
2006-11;A;61759;ES61;INDICE_VAB;152.37339943;M
2006-11;A;61760;ES61;INDICE_VAB;133.764206369;M
2006-12;A;61753;ES61;INDICE_VAB;132.689688737;M
2006-12;A;61754;ES61;INDICE_VAB;144.392065139;M
2006-12;A;61755;ES61;INDICE_VAB;126.679148594;M
2006-12;A;61756;ES61;INDICE_VAB;111.517868969;M
2006-12;A;61757;ES61;INDICE_VAB;120.279372023;M
2006-12;A;61758;ES61;INDICE_VAB;136.663215829;M
2006-12;A;61759;ES61;INDICE_VAB;171.12309766;M
2006-12;A;61760;ES61;INDICE_VAB;147.344372746;M
2007-01;A;61753;ES61;INDICE_VAB;113.041615418;M
2007-01;A;61754;ES61;INDICE_VAB;121.739629885;M
2007-01;A;61755;ES61;INDICE_VAB;108.66899179;M
2007-01;A;61756;ES61;INDICE_VAB;103.09892315;M
2007-01;A;61757;ES61;INDICE_VAB;101.366959043;M
2007-01;A;61758;ES61;INDICE_VAB;113.954852972;M
2007-01;A;61759;ES61;INDICE_VAB;141.808745904;M
2007-01;A;61760;ES61;INDICE_VAB;126.496574794;M
2007-02;A;61753;ES61;INDICE_VAB;106.332270473;M
2007-02;A;61754;ES61;INDICE_VAB;108.372352578;M
2007-02;A;61755;ES61;INDICE_VAB;105.833283492;M
2007-02;A;61756;ES61;INDICE_VAB;101.056274052;M
2007-02;A;61757;ES61;INDICE_VAB;100.888744654;M
2007-02;A;61758;ES61;INDICE_VAB;113.26243799;M
2007-02;A;61759;ES61;INDICE_VAB;130.783604545;M
2007-02;A;61760;ES61;INDICE_VAB;121.249102626;M
2007-03;A;61753;ES61;INDICE_VAB;125.031661075;M
2007-03;A;61754;ES61;INDICE_VAB;131.101657421;M
2007-03;A;61755;ES61;INDICE_VAB;122.284191941;M
2007-03;A;61756;ES61;INDICE_VAB;119.828099577;M
2007-03;A;61757;ES61;INDICE_VAB;116.985006235;M
2007-03;A;61758;ES61;INDICE_VAB;128.175654337;M
2007-03;A;61759;ES61;INDICE_VAB;149.695232562;M
2007-03;A;61760;ES61;INDICE_VAB;137.112605139;M
2007-04;A;61753;ES61;INDICE_VAB;121.045844829;M
2007-04;A;61754;ES61;INDICE_VAB;117.833048541;M
2007-04;A;61755;ES61;INDICE_VAB;123.733901701;M
2007-04;A;61756;ES61;INDICE_VAB;112.709746739;M
2007-04;A;61757;ES61;INDICE_VAB;131.676814952;M
