D_TEMPORAL_0;D_ESTADO_DATO_0;D_ICMA_TIPOVENTAS_0;D_TERRITORIO_0;D_IVGS_SERIEIVGS_0;INDICATOR;OBS_VALUE;FREQ
2005-01;40124;61592;3143;277796;Índice original;109.814936341;M
2005-01;40124;61593;3143;277796;Índice original;109.652168191;M
2005-01;40124;61594;3143;277796;Índice original;93.88679677;M
2005-01;40124;61595;3143;277796;Índice original;121.62049067;M
2005-02;40124;61592;3143;277796;Índice original;110.931681714;M
2005-02;40124;61593;3143;277796;Índice original;111.076127853;M
2005-02;40124;61594;3143;277796;Índice original;96.250934951;M
2005-02;40124;61595;3143;277796;Índice original;122.027568248;M
2005-03;40124;61592;3143;277796;Índice original;111.25108036;M
2005-03;40124;61593;3143;277796;Índice original;111.307053348;M
2005-03;40124;61594;3143;277796;Índice original;96.672186878;M
2005-03;40124;61595;3143;277796;Índice original;122.508789892;M
2005-04;40124;61592;3143;277796;Índice original;113.192308558;M
2005-04;40124;61593;3143;277796;Índice original;112.523618291;M
2005-04;40124;61594;3143;277796;Índice original;95.629113566;M
2005-04;40124;61595;3143;277796;Índice original;124.838414868;M
2005-05;40124;61592;3143;277796;Índice original;112.896157303;M
2005-05;40124;61593;3143;277796;Índice original;112.73198593;M
2005-05;40124;61594;3143;277796;Índice original;96.308853796;M
2005-05;40124;61595;3143;277796;Índice original;125.030822546;M
2005-06;40124;61592;3143;277796;Índice original;113.423277114;M
2005-06;40124;61593;3143;277796;Índice original;113.058480983;M
2005-06;40124;61594;3143;277796;Índice original;96.04746454;M
2005-06;40124;61595;3143;277796;Índice original;126.102390694;M
2005-07;40124;61592;3143;277796;Índice original;112.487320115;M
2005-07;40124;61593;3143;277796;Índice original;112.063484584;M
2005-07;40124;61594;3143;277796;Índice original;95.597658058;M
2005-07;40124;61595;3143;277796;Índice original;124.711967362;M
2005-08;40124;61592;3143;277796;Índice original;112.574521892;M
2005-08;40124;61593;3143;277796;Índice original;112.091672291;M
2005-08;40124;61594;3143;277796;Índice original;96.611609424;M
2005-08;40124;61595;3143;277796;Índice original;123.288888325;M
2005-09;40124;61592;3143;277796;Índice original;113.606676604;M
2005-09;40124;61593;3143;277796;Índice original;113.074855564;M
2005-09;40124;61594;3143;277796;Índice original;96.826328823;M
2005-09;40124;61595;3143;277796;Índice original;125.713373404;M
2005-10;40124;61592;3143;277796;Índice original;113.778176302;M
2005-10;40124;61593;3143;277796;Índice original;113.058828964;M
2005-10;40124;61594;3143;277796;Índice original;97.94806047;M
2005-10;40124;61595;3143;277796;Índice original;124.619260408;M
2005-11;40124;61592;3143;277796;Índice original;113.659399382;M
2005-11;40124;61593;3143;277796;Índice original;113.055050669;M
2005-11;40124;61594;3143;277796;Índice original;96.996794742;M
2005-11;40124;61595;3143;277796;Índice original;125.220918759;M
2005-12;40124;61592;3143;277796;Índice original;113.837910357;M
2005-12;40124;61593;3143;277796;Índice original;113.000187284;M
2005-12;40124;61594;3143;277796;Índice original;97.267704133;M
2005-12;40124;61595;3143;277796;Índice original;124.982796611;M
2006-01;40124;61592;3143;277796;Índice original;116.665950185;M
2006-01;40124;61593;3143;277796;Índice original;115.997008786;M
2006-01;40124;61594;3143;277796;Índice original;100.670796681;M
2006-01;40124;61595;3143;277796;Índice original;128.761621418;M
2006-02;40124;61592;3143;277796;Índice original;117.048435899;M
2006-02;40124;61593;3143;277796;Índice original;116.111869539;M
2006-02;40124;61594;3143;277796;Índice original;99.297421158;M
2006-02;40124;61595;3143;277796;Índice original;130.01455548;M
2006-03;40124;61592;3143;277796;Índice original;117.073401551;M
2006-03;40124;61593;3143;277796;Índice original;116.487620775;M
2006-03;40124;61594;3143;277796;Índice original;97.657838295;M
2006-03;40124;61595;3143;277796;Índice original;129.619850084;M
2006-04;40124;61592;3143;277796;Índice original;116.761349662;M
2006-04;40124;61593;3143;277796;Índice original;116.475753344;M
2006-04;40124;61594;3143;277796;Índice original;99.198630846;M
2006-04;40124;61595;3143;277796;Índice original;129.246513436;M
2006-05;40124;61592;3143;277796;Índice original;117.558215775;M
2006-05;40124;61593;3143;277796;Índice original;117.072855425;M
2006-05;40124;61594;3143;277796;Índice original;99.906599438;M
2006-05;40124;61595;3143;277796;Índice original;130.283386862;M
2006-06;40124;61592;3143;277796;Índice original;117.172327594;M
2006-06;40124;61593;3143;277796;Índice original;116.999229239;M
2006-06;40124;61594;3143;277796;Índice original;99.634975823;M
2006-06;40124;61595;3143;277796;Índice original;129.003877793;M
2006-07;40124;61592;3143;277796;Índice original;118.126877096;M
2006-07;40124;61593;3143;277796;Índice original;117.598023395;M
2006-07;40124;61594;3143;277796;Índice original;101.806733102;M
2006-07;40124;61595;3143;277796;Índice original;129.598094052;M
2006-08;40124;61592;3143;277796;Índice original;119.214756477;M
2006-08;40124;61593;3143;277796;Índice original;118.784214895;M
2006-08;40124;61594;3143;277796;Índice original;102.72580876;M
2006-08;40124;61595;3143;277796;Índice original;132.424819785;M
2006-09;40124;61592;3143;277796;Índice original;118.787259082;M
2006-09;40124;61593;3143;277796;Índice original;118.233238149;M
2006-09;40124;61594;3143;277796;Índice original;101.243443843;M
2006-09;40124;61595;3143;277796;Índice original;130.847574007;M
2006-10;40124;61592;3143;277796;Índice original;120.580442683;M
2006-10;40124;61593;3143;277796;Índice original;120.512815182;M
2006-10;40124;61594;3143;277796;Índice original;100.308434178;M
2006-10;40124;61595;3143;277796;Índice original;135.254166333;M
2006-11;40124;61592;3143;277796;Índice original;120.95990363;M
2006-11;40124;61593;3143;277796;Índice original;120.826433764;M
2006-11;40124;61594;3143;277796;Índice original;104.092151438;M
2006-11;40124;61595;3143;277796;Índice original;135.719774587;M
2006-12;40124;61592;3143;277796;Índice original;121.750452845;M
2006-12;40124;61593;3143;277796;Índice original;121.727332714;M
2006-12;40124;61594;3143;277796;Índice original;105.306221308;M
2006-12;40124;61595;3143;277796;Índice original;136.123143533;M
2007-01;40124;61592;3143;277796;Índice original;120.191147655;M
2007-01;40124;61593;3143;277796;Índice original;120.200559549;M
2007-01;40124;61594;3143;277796;Índice original;101.375312659;M
2007-01;40124;61595;3143;277796;Índice original;133.997168163;M
2007-02;40124;61592;3143;277796;Índice original;120.669353584;M
2007-02;40124;61593;3143;277796;Índice original;120.343027734;M
2007-02;40124;61594;3143;277796;Índice original;102.215729625;M
2007-02;40124;61595;3143;277796;Índice original;133.407920986;M
2007-03;40124;61592;3143;277796;Índice original;122.419759293;M
2007-03;40124;61593;3143;277796;Índice original;121.892375934;M
2007-03;40124;61594;3143;277796;Índice original;104.209788946;M
2007-03;40124;61595;3143;277796;Índice original;136.13635644;M
2007-04;40124;61592;3143;277796;Índice original;121.549753775;M
2007-04;40124;61593;3143;277796;Índice original;121.507221275;M
2007-04;40124;61594;3143;277796;Índice original;103.560236246;M
2007-04;40124;61595;3143;277796;Índice original;134.804768733;M
2007-05;40124;61592;3143;277796;Índice original;122.75415777;M
2007-05;40124;61593;3143;277796;Índice original;122.509892443;M
2007-05;40124;61594;3143;277796;Índice original;104.285644865;M
2007-05;40124;61595;3143;277796;Índice original;135.851209646;M
2007-06;40124;61592;3143;277796;Índice original;123.082359164;M
2007-06;40124;61593;3143;277796;Índice original;122.335773136;M
2007-06;40124;61594;3143;277796;Índice original;105.476642194;M
2007-06;40124;61595;3143;277796;Índice original;135.58709009;M
2007-07;40124;61592;3143;277796;Índice original;123.542290823;M
2007-07;40124;61593;3143;277796;Índice original;123.100722805;M
2007-07;40124;61594;3143;277796;Índice original;105.789368558;M
2007-07;40124;61595;3143;277796;Índice original;135.675307872;M
2007-08;40124;61592;3143;277796;Índice original;123.224128795;M
2007-08;40124;61593;3143;277796;Índice original;122.860053451;M
2007-08;40124;61594;3143;277796;Índice original;106.764714679;M
2007-08;40124;61595;3143;277796;Índice original;135.392676353;M
2007-09;40124;61592;3143;277796;Índice original;123.579665973;M
2007-09;40124;61593;3143;277796;Índice original;123.061640659;M
2007-09;40124;61594;3143;277796;Índice original;107.079459557;M
2007-09;40124;61595;3143;277796;Índice original;133.969940552;M
2007-10;40124;61592;3143;277796;Índice original;123.657232463;M
2007-10;40124;61593;3143;277796;Índice original;123.185365797;M
2007-10;40124;61594;3143;277796;Índice original;107.905263248;M
2007-10;40124;61595;3143;277796;Índice original;133.541930394;M
2007-11;40124;61592;3143;277796;Índice original;125.139455045;M
2007-11;40124;61593;3143;277796;Índice original;124.237932928;M
2007-11;40124;61594;3143;277796;Índice original;107.59911466;M
2007-11;40124;61595;3143;277796;Índice original;140.383706425;M
2007-12;40124;61592;3143;277796;Índice original;124.98141159;M
2007-12;40124;61593;3143;277796;Índice original;124.744456038;M
2007-12;40124;61594;3143;277796;Índice original;109.058329618;M
2007-12;40124;61595;3143;277796;Índice original;138.824210599;M
2008-01;40124;61592;3143;277796;Índice original;123.025329341;M
2008-01;40124;61593;3143;277796;Índice original;122.556472067;M
2008-01;40124;61594;3143;277796;Índice original;108.092309102;M
2008-01;40124;61595;3143;277796;Índice original;133.769739374;M
2008-02;40124;61592;3143;277796;Índice original;123.334018417;M
2008-02;40124;61593;3143;277796;Índice original;122.348918665;M
2008-02;40124;61594;3143;277796;Índice original;109.869391816;M
2008-02;40124;61595;3143;277796;Índice original;133.295099632;M
2008-03;40124;61592;3143;277796;Índice original;121.994700887;M
2008-03;40124;61593;3143;277796;Índice original;121.262376626;M
2008-03;40124;61594;3143;277796;Índice original;110.297219471;M
2008-03;40124;61595;3143;277796;Índice original;130.693520729;M
2008-04;40124;61592;3143;277796;Índice original;122.440013891;M
2008-04;40124;61593;3143;277796;Índice original;120.825222913;M
2008-04;40124;61594;3143;277796;Índice original;109.370545073;M
2008-04;40124;61595;3143;277796;Índice original;129.590219667;M
2008-05;40124;61592;3143;277796;Índice original;120.582279439;M
2008-05;40124;61593;3143;277796;Índice original;119.726520925;M
2008-05;40124;61594;3143;277796;Índice original;110.558983338;M
2008-05;40124;61595;3143;277796;Índice original;126.37856658;M
2008-06;40124;61592;3143;277796;Índice original;120.667634176;M
2008-06;40124;61593;3143;277796;Índice original;119.909827619;M
2008-06;40124;61594;3143;277796;Índice original;110.470856656;M
2008-06;40124;61595;3143;277796;Índice original;127.049929345;M
2008-07;40124;61592;3143;277796;Índice original;120.404561071;M
