D_TEMPORAL_0;D_ESTADO_DATO_0;D_ICMA_TIPOVENTAS_0;D_TERRITORIO_0;D_IVGS_SERIEIVGS_0;INDICATOR;OBS_VALUE;FREQ
2005-01;40124;61592;3143;277797;Índice deflactado;135.111319895;M
2005-01;40124;61593;3143;277797;Índice deflactado;131.819217232;M
2005-01;40124;61594;3143;277797;Índice deflactado;109.042818684;M
2005-01;40124;61595;3143;277797;Índice deflactado;148.120647442;M
2005-02;40124;61592;3143;277797;Índice deflactado;117.612666906;M
2005-02;40124;61593;3143;277797;Índice deflactado;114.504629048;M
2005-02;40124;61594;3143;277797;Índice deflactado;107.568751194;M
2005-02;40124;61595;3143;277797;Índice deflactado;117.536709486;M
2005-03;40124;61592;3143;277797;Índice deflactado;133.02590353;M
2005-03;40124;61593;3143;277797;Índice deflactado;129.570932359;M
2005-03;40124;61594;3143;277797;Índice deflactado;122.124784086;M
2005-03;40124;61595;3143;277797;Índice deflactado;132.893306567;M
2005-04;40124;61592;3143;277797;Índice deflactado;130.082656221;M
2005-04;40124;61593;3143;277797;Índice deflactado;127.460249069;M
2005-04;40124;61594;3143;277797;Índice deflactado;119.333611745;M
2005-04;40124;61595;3143;277797;Índice deflactado;131.456810574;M
2005-05;40124;61592;3143;277797;Índice deflactado;132.683614995;M
2005-05;40124;61593;3143;277797;Índice deflactado;129.194348027;M
2005-05;40124;61594;3143;277797;Índice deflactado;120.02916382;M
2005-05;40124;61595;3143;277797;Índice deflactado;134.646293762;M
2005-06;40124;61592;3143;277797;Índice deflactado;134.616617903;M
2005-06;40124;61593;3143;277797;Índice deflactado;131.105452733;M
2005-06;40124;61594;3143;277797;Índice deflactado;121.181980209;M
2005-06;40124;61595;3143;277797;Índice deflactado;137.233914429;M
2005-07;40124;61592;3143;277797;Índice deflactado;144.5099561;M
2005-07;40124;61593;3143;277797;Índice deflactado;141.578764804;M
2005-07;40124;61594;3143;277797;Índice deflactado;128.992364159;M
2005-07;40124;61595;3143;277797;Índice deflactado;150.227119908;M
2005-08;40124;61592;3143;277797;Índice deflactado;131.249813662;M
2005-08;40124;61593;3143;277797;Índice deflactado;128.73163393;M
2005-08;40124;61594;3143;277797;Índice deflactado;130.907996887;M
2005-08;40124;61595;3143;277797;Índice deflactado;125.06660986;M
2005-09;40124;61592;3143;277797;Índice deflactado;130.555925395;M
2005-09;40124;61593;3143;277797;Índice deflactado;128.670597476;M
2005-09;40124;61594;3143;277797;Índice deflactado;122.774665647;M
2005-09;40124;61595;3143;277797;Índice deflactado;131.882291589;M
2005-10;40124;61592;3143;277797;Índice deflactado;133.15448756;M
2005-10;40124;61593;3143;277797;Índice deflactado;131.163331022;M
2005-10;40124;61594;3143;277797;Índice deflactado;124.685058714;M
2005-10;40124;61595;3143;277797;Índice deflactado;134.721081827;M
2005-11;40124;61592;3143;277797;Índice deflactado;127.965228289;M
2005-11;40124;61593;3143;277797;Índice deflactado;125.310463032;M
2005-11;40124;61594;3143;277797;Índice deflactado;118.390989455;M
2005-11;40124;61595;3143;277797;Índice deflactado;129.326564073;M
2005-12;40124;61592;3143;277797;Índice deflactado;156.089072355;M
2005-12;40124;61593;3143;277797;Índice deflactado;154.739475747;M
2005-12;40124;61594;3143;277797;Índice deflactado;147.524010512;M
2005-12;40124;61595;3143;277797;Índice deflactado;158.997708554;M
2006-01;40124;61592;3143;277797;Índice deflactado;139.12173389;M
2006-01;40124;61593;3143;277797;Índice deflactado;137.114004397;M
2006-01;40124;61594;3143;277797;Índice deflactado;114.687665497;M
2006-01;40124;61595;3143;277797;Índice deflactado;152.416970028;M
2006-02;40124;61592;3143;277797;Índice deflactado;119.853230306;M
2006-02;40124;61593;3143;277797;Índice deflactado;117.335196348;M
2006-02;40124;61594;3143;277797;Índice deflactado;108.697919075;M
2006-02;40124;61595;3143;277797;Índice deflactado;123.2700018;M
2006-03;40124;61592;3143;277797;Índice deflactado;133.248920162;M
2006-03;40124;61593;3143;277797;Índice deflactado;130.903490901;M
2006-03;40124;61594;3143;277797;Índice deflactado;120.06998381;M
2006-03;40124;61595;3143;277797;Índice deflactado;137.663061203;M
2006-04;40124;61592;3143;277797;Índice deflactado;129.837074105;M
2006-04;40124;61593;3143;277797;Índice deflactado;127.305674925;M
2006-04;40124;61594;3143;277797;Índice deflactado;119.93563524;M
2006-04;40124;61595;3143;277797;Índice deflactado;131.650844739;M
2006-05;40124;61592;3143;277797;Índice deflactado;132.170732182;M
2006-05;40124;61593;3143;277797;Índice deflactado;130.03422006;M
2006-05;40124;61594;3143;277797;Índice deflactado;120.204620763;M
2006-05;40124;61595;3143;277797;Índice deflactado;135.379729973;M
2006-06;40124;61592;3143;277797;Índice deflactado;132.629550543;M
2006-06;40124;61593;3143;277797;Índice deflactado;130.060125036;M
2006-06;40124;61594;3143;277797;Índice deflactado;121.417340863;M
2006-06;40124;61595;3143;277797;Índice deflactado;134.651083182;M
2006-07;40124;61592;3143;277797;Índice deflactado;146.29851299;M
2006-07;40124;61593;3143;277797;Índice deflactado;143.773792982;M
2006-07;40124;61594;3143;277797;Índice deflactado;131.621456141;M
2006-07;40124;61595;3143;277797;Índice deflactado;152.445794201;M
2006-08;40124;61592;3143;277797;Índice deflactado;135.563977071;M
2006-08;40124;61593;3143;277797;Índice deflactado;133.396861838;M
2006-08;40124;61594;3143;277797;Índice deflactado;133.366154246;M
2006-08;40124;61595;3143;277797;Índice deflactado;133.586390609;M
2006-09;40124;61592;3143;277797;Índice deflactado;132.351692913;M
2006-09;40124;61593;3143;277797;Índice deflactado;129.85579848;M
2006-09;40124;61594;3143;277797;Índice deflactado;122.660616319;M
2006-09;40124;61595;3143;277797;Índice deflactado;134.586321096;M
2006-10;40124;61592;3143;277797;Índice deflactado;138.651491346;M
2006-10;40124;61593;3143;277797;Índice deflactado;135.851314937;M
2006-10;40124;61594;3143;277797;Índice deflactado;122.376148389;M
2006-10;40124;61595;3143;277797;Índice deflactado;144.161338066;M
2006-11;40124;61592;3143;277797;Índice deflactado;135.233629017;M
2006-11;40124;61593;3143;277797;Índice deflactado;132.419156103;M
2006-11;40124;61594;3143;277797;Índice deflactado;121.521648221;M
2006-11;40124;61595;3143;277797;Índice deflactado;138.921470616;M
2006-12;40124;61592;3143;277797;Índice deflactado;165.562826098;M
2006-12;40124;61593;3143;277797;Índice deflactado;162.888438284;M
2006-12;40124;61594;3143;277797;Índice deflactado;151.667652591;M
2006-12;40124;61595;3143;277797;Índice deflactado;169.212541589;M
2007-01;40124;61592;3143;277797;Índice deflactado;138.78002092;M
2007-01;40124;61593;3143;277797;Índice deflactado;137.06071344;M
2007-01;40124;61594;3143;277797;Índice deflactado;111.138553123;M
2007-01;40124;61595;3143;277797;Índice deflactado;155.639296056;M
2007-02;40124;61592;3143;277797;Índice deflactado;119.889355181;M
2007-02;40124;61593;3143;277797;Índice deflactado;117.130876008;M
2007-02;40124;61594;3143;277797;Índice deflactado;107.38262462;M
2007-02;40124;61595;3143;277797;Índice deflactado;124.413936609;M
2007-03;40124;61592;3143;277797;Índice deflactado;136.997118347;M
2007-03;40124;61593;3143;277797;Índice deflactado;134.876447156;M
2007-03;40124;61594;3143;277797;Índice deflactado;123.782897387;M
2007-03;40124;61595;3143;277797;Índice deflactado;142.303272131;M
2007-04;40124;61592;3143;277797;Índice deflactado;132.276057952;M
2007-04;40124;61593;3143;277797;Índice deflactado;129.544571472;M
2007-04;40124;61594;3143;277797;Índice deflactado;120.703494908;M
2007-04;40124;61595;3143;277797;Índice deflactado;135.889060509;M
2007-05;40124;61592;3143;277797;Índice deflactado;134.491540558;M
2007-05;40124;61593;3143;277797;Índice deflactado;132.098207428;M
2007-05;40124;61594;3143;277797;Índice deflactado;121.047118042;M
2007-05;40124;61595;3143;277797;Índice deflactado;139.248201608;M
2007-06;40124;61592;3143;277797;Índice deflactado;136.868694073;M
2007-06;40124;61593;3143;277797;Índice deflactado;134.17264773;M
2007-06;40124;61594;3143;277797;Índice deflactado;124.25249996;M
2007-06;40124;61595;3143;277797;Índice deflactado;140.303679253;M
2007-07;40124;61592;3143;277797;Índice deflactado;152.00689324;M
2007-07;40124;61593;3143;277797;Índice deflactado;148.423945837;M
2007-07;40124;61594;3143;277797;Índice deflactado;132.714587332;M
2007-07;40124;61595;3143;277797;Índice deflactado;160.494472604;M
2007-08;40124;61592;3143;277797;Índice deflactado;138.814674532;M
2007-08;40124;61593;3143;277797;Índice deflactado;136.072042872;M
2007-08;40124;61594;3143;277797;Índice deflactado;133.796593974;M
2007-08;40124;61595;3143;277797;Índice deflactado;138.337632825;M
2007-09;40124;61592;3143;277797;Índice deflactado;135.759848385;M
2007-09;40124;61593;3143;277797;Índice deflactado;133.081606074;M
2007-09;40124;61594;3143;277797;Índice deflactado;124.328860924;M
2007-09;40124;61595;3143;277797;Índice deflactado;140.303534205;M
2007-10;40124;61592;3143;277797;Índice deflactado;136.697434855;M
2007-10;40124;61593;3143;277797;Índice deflactado;134.36834649;M
2007-10;40124;61594;3143;277797;Índice deflactado;124.154301619;M
2007-10;40124;61595;3143;277797;Índice deflactado;142.010386453;M
2007-11;40124;61592;3143;277797;Índice deflactado;134.428292;M
2007-11;40124;61593;3143;277797;Índice deflactado;132.287899496;M
2007-11;40124;61594;3143;277797;Índice deflactado;118.195864369;M
2007-11;40124;61595;3143;277797;Índice deflactado;142.382153397;M
2007-12;40124;61592;3143;277797;Índice deflactado;162.790441734;M
2007-12;40124;61593;3143;277797;Índice deflactado;161.251019802;M
2007-12;40124;61594;3143;277797;Índice deflactado;146.681820842;M
2007-12;40124;61595;3143;277797;Índice deflactado;172.20473984;M
2008-01;40124;61592;3143;277797;Índice deflactado;136.010775916;M
2008-01;40124;61593;3143;277797;Índice deflactado;135.079392928;M
2008-01;40124;61594;3143;277797;Índice deflactado;111.269898019;M
2008-01;40124;61595;3143;277797;Índice deflactado;153.875351776;M
2008-02;40124;61592;3143;277797;Índice deflactado;116.455462001;M
2008-02;40124;61593;3143;277797;Índice deflactado;115.898194356;M
2008-02;40124;61594;3143;277797;Índice deflactado;108.121099568;M
2008-02;40124;61595;3143;277797;Índice deflactado;122.611554197;M
2008-03;40124;61592;3143;277797;Índice deflactado;130.091453995;M
2008-03;40124;61593;3143;277797;Índice deflactado;128.118004563;M
2008-03;40124;61594;3143;277797;Índice deflactado;122.597348254;M
2008-03;40124;61595;3143;277797;Índice deflactado;133.504780485;M
2008-04;40124;61592;3143;277797;Índice deflactado;125.360063266;M
2008-04;40124;61593;3143;277797;Índice deflactado;124.083488711;M
2008-04;40124;61594;3143;277797;Índice deflactado;120.072875168;M
2008-04;40124;61595;3143;277797;Índice deflactado;127.379521641;M
2008-05;40124;61592;3143;277797;Índice deflactado;124.200229029;M
2008-05;40124;61593;3143;277797;Índice deflactado;123.028298047;M
2008-05;40124;61594;3143;277797;Índice deflactado;120.848602406;M
2008-05;40124;61595;3143;277797;Índice deflactado;124.871788709;M
2008-06;40124;61592;3143;277797;Índice deflactado;127.049854339;M
2008-06;40124;61593;3143;277797;Índice deflactado;126.142592001;M
2008-06;40124;61594;3143;277797;Índice deflactado;122.041979396;M
2008-06;40124;61595;3143;277797;Índice deflactado;129.8423406;M
2008-07;40124;61592;3143;277797;Índice deflactado;139.801559876;M
2008-07;40124;61593;3143;277797;Índice deflactado;140.321169078;M
2008-07;40124;61594;3143;277797;Índice deflactado;129.089264213;M
2008-07;40124;61595;3143;277797;Índice deflactado;149.793792014;M
2008-08;40124;61592;3143;277797;Índice deflactado;127.57491414;M
2008-08;40124;61593;3143;277797;Índice deflactado;126.660149474;M
2008-08;40124;61594;3143;277797;Índice deflactado;130.180562952;M
2008-08;40124;61595;3143;277797;Índice deflactado;124.96004702;M
2008-09;40124;61592;3143;277797;Índice deflactado;125.760221942;M
2008-09;40124;61593;3143;277797;Índice deflactado;124.866848053;M
2008-09;40124;61594;3143;277797;Índice deflactado;118.767987711;M
2008-09;40124;61595;3143;277797;Índice deflactado;130.403367021;M
2008-10;40124;61592;3143;277797;Índice deflactado;126.037209348;M
2008-10;40124;61593;3143;277797;Índice deflactado;123.957473972;M
2008-10;40124;61594;3143;277797;Índice deflactado;119.700705542;M
2008-10;40124;61595;3143;277797;Índice deflactado;127.528203594;M
2008-11;40124;61592;3143;277797;Índice deflactado;121.35361636;M
2008-11;40124;61593;3143;277797;Índice deflactado;118.334933214;M
2008-11;40124;61594;3143;277797;Índice deflactado;114.554689454;M
2008-11;40124;61595;3143;277797;Índice deflactado;121.55399905;M
2008-12;40124;61592;3143;277797;Índice deflactado;147.418412507;M
2008-12;40124;61593;3143;277797;Índice deflactado;145.05126836;M
2008-12;40124;61594;3143;277797;Índice deflactado;139.736789433;M
2008-12;40124;61595;3143;277797;Índice deflactado;149.243776538;M
2009-01;40124;61592;3143;277797;Índice deflactado;129.73362259;M
