D_TEMPORAL_0;D_ESTADO_DATO_0;D_ICMA_TIPOVENTAS_0;D_TERRITORIO_0;D_IVGS_SERIEIVGS_0;INDICATOR;OBS_VALUE;FREQ
2005-01;40124;61592;3143;277797;Índice original;109.876936141;M
2005-01;40124;61593;3143;277797;Índice original;110.170885354;M
2005-01;40124;61594;3143;277797;Índice original;85.682141902;M
2005-01;40124;61595;3143;277797;Índice original;130.660313778;M
2005-02;40124;61592;3143;277797;Índice original;95.838137078;M
2005-02;40124;61593;3143;277797;Índice original;95.583741323;M
2005-02;40124;61594;3143;277797;Índice original;84.413406988;M
2005-02;40124;61595;3143;277797;Índice original;103.710673657;M
2005-03;40124;61592;3143;277797;Índice original;109.136657673;M
2005-03;40124;61593;3143;277797;Índice original;109.126975062;M
2005-03;40124;61594;3143;277797;Índice original;95.942519713;M
2005-03;40124;61595;3143;277797;Índice original;119.161450641;M
2005-04;40124;61592;3143;277797;Índice original;110.931498179;M
2005-04;40124;61593;3143;277797;Índice original;109.781112723;M
2005-04;40124;61594;3143;277797;Índice original;93.681429257;M
2005-04;40124;61595;3143;277797;Índice original;122.640594873;M
2005-05;40124;61592;3143;277797;Índice original;112.166691334;M
2005-05;40124;61593;3143;277797;Índice original;111.942240385;M
2005-05;40124;61594;3143;277797;Índice original;94.196779865;M
2005-05;40124;61595;3143;277797;Índice original;125.881994814;M
2005-06;40124;61592;3143;277797;Índice original;114.037627857;M
2005-06;40124;61593;3143;277797;Índice original;113.51298273;M
2005-06;40124;61594;3143;277797;Índice original;95.230126213;M
2005-06;40124;61595;3143;277797;Índice original;127.741388649;M
2005-07;40124;61592;3143;277797;Índice original;120.747661512;M
2005-07;40124;61593;3143;277797;Índice original;119.790305656;M
2005-07;40124;61594;3143;277797;Índice original;101.326421585;M
2005-07;40124;61595;3143;277797;Índice original;134.315399457;M
2005-08;40124;61592;3143;277797;Índice original;109.83540643;M
2005-08;40124;61593;3143;277797;Índice original;108.621307024;M
2005-08;40124;61594;3143;277797;Índice original;103.008897947;M
2005-08;40124;61595;3143;277797;Índice original;111.330701362;M
2005-09;40124;61592;3143;277797;Índice original;110.240767067;M
2005-09;40124;61593;3143;277797;Índice original;109.412292555;M
2005-09;40124;61594;3143;277797;Índice original;96.171919121;M
2005-09;40124;61595;3143;277797;Índice original;119.357279176;M
2005-10;40124;61592;3143;277797;Índice original;114.102264602;M
2005-10;40124;61593;3143;277797;Índice original;113.680442284;M
2005-10;40124;61594;3143;277797;Índice original;98.056658741;M
2005-10;40124;61595;3143;277797;Índice original;125.372719988;M
2005-11;40124;61592;3143;277797;Índice original;109.795554006;M
