D_TEMPORAL_0;D_ESTADO_DATO_0;D_ICMA_TIPOVENTAS_0;D_TERRITORIO_0;D_IVGS_SERIEIVGS_0;INDICATOR;OBS_VALUE;FREQ
2002-12;40123;61594;3143;277795;Índice original;99.81011081;M
2002-12;40123;61595;3143;277795;Índice original;133.67287198;M
2003-01;40123;61592;3143;277795;Índice original;;M
2003-01;40123;61593;3143;277795;Índice original;100.20958037;M
2003-01;40123;61594;3143;277795;Índice original;80.04161962;M
2003-01;40123;61595;3143;277795;Índice original;117.16448059;M
2003-02;40123;61592;3143;277795;Índice original;;M
2003-02;40123;61593;3143;277795;Índice original;84.70513399;M
2003-02;40123;61594;3143;277795;Índice original;75.81025102;M
2003-02;40123;61595;3143;277795;Índice original;90.93769215;M
2003-03;40123;61592;3143;277795;Índice original;;M
2003-03;40123;61593;3143;277795;Índice original;95.45840085;M
2003-03;40123;61594;3143;277795;Índice original;85.13686349;M
2003-03;40123;61595;3143;277795;Índice original;102.77767685;M
2003-04;40123;61592;3143;277795;Índice original;;M
2003-04;40123;61593;3143;277795;Índice original;100.35724184;M
2003-04;40123;61594;3143;277795;Índice original;88.01994001;M
2003-04;40123;61595;3143;277795;Índice original;109.5284368;M
2003-05;40123;61592;3143;277795;Índice original;;M
2003-05;40123;61593;3143;277795;Índice original;101.39425091;M
2003-05;40123;61594;3143;277795;Índice original;87.82212795;M
2003-05;40123;61595;3143;277795;Índice original;111.76026944;M
2003-06;40123;61592;3143;277795;Índice original;;M
2003-06;40123;61593;3143;277795;Índice original;102.78684329;M
2003-06;40123;61594;3143;277795;Índice original;86.1797577;M
2003-06;40123;61595;3143;277795;Índice original;116.12505891;M
2003-07;40123;61592;3143;277795;Índice original;;M
2003-07;40123;61593;3143;277795;Índice original;108.8738312;M
2003-07;40123;61594;3143;277795;Índice original;91.84471104;M
2003-07;40123;61595;3143;277795;Índice original;122.44419231;M
2003-08;40123;61592;3143;277795;Índice original;;M
2003-08;40123;61593;3143;277795;Índice original;101.11727348;M
2003-08;40123;61594;3143;277795;Índice original;95.70488061;M
2003-08;40123;61595;3143;277795;Índice original;103.38573286;M
2003-09;40123;61592;3143;277795;Índice original;;M
2003-09;40123;61593;3143;277795;Índice original;101.69986169;M
2003-09;40123;61594;3143;277795;Índice original;91.09765353;M
2003-09;40123;61595;3143;277795;Índice original;109.10610049;M
2003-10;40123;61592;3143;277795;Índice original;;M
