D_TEMPORAL_0;D_ESTADO_DATO_0;D_ICMA_TIPINDOCUPAC_0;D_TERRITORIO_0;D_IVGS_SERIEIVGS_0;INDICATOR;OBS_VALUE;FREQ
2007-03;40123;61597;3143;277795;Índice de empleo;113.29283227;M
2007-04;40123;61596;3143;277795;Índice de empleo;113.63716318;M
2007-04;40123;61597;3143;277795;Índice de empleo;113.48122486;M
2007-05;40123;61596;3143;277795;Índice de empleo;113.61451689;M
2007-05;40123;61597;3143;277795;Índice de empleo;113.44195386;M
2007-06;40123;61596;3143;277795;Índice de empleo;114.3162561;M
2007-06;40123;61597;3143;277795;Índice de empleo;114.1313182;M
2007-07;40123;61596;3143;277795;Índice de empleo;115.48215602;M
2007-07;40123;61597;3143;277795;Índice de empleo;115.32093878;M
2007-08;40123;61596;3143;277795;Índice de empleo;116.23037464;M
2007-08;40123;61597;3143;277795;Índice de empleo;116.07390663;M
2007-09;40123;61596;3143;277795;Índice de empleo;115.41393434;M
2007-09;40123;61597;3143;277795;Índice de empleo;115.24129622;M
2007-10;40123;61596;3143;277795;Índice de empleo;115.95942071;M
2007-10;40123;61597;3143;277795;Índice de empleo;115.83415963;M
2007-11;40123;61596;3143;277795;Índice de empleo;116.39942072;M
2007-11;40123;61597;3143;277795;Índice de empleo;116.34394472;M
2007-12;40123;61596;3143;277795;Índice de empleo;117.84829876;M
2007-12;40123;61597;3143;277795;Índice de empleo;117.8314613;M
2008-01;40123;61596;3143;277795;Índice de empleo;115.21634876;M
2008-01;40123;61597;3143;277795;Índice de empleo;115.12102636;M
2008-02;40123;61596;3143;277795;Índice de empleo;114.29274943;M
2008-02;40123;61597;3143;277795;Índice de empleo;114.18676545;M
2008-03;40123;61596;3143;277795;Índice de empleo;114.48349096;M
2008-03;40123;61597;3143;277795;Índice de empleo;114.34644111;M
2008-04;40123;61596;3143;277795;Índice de empleo;114.77551299;M
2008-04;40123;61597;3143;277795;Índice de empleo;114.67812188;M
2008-05;40123;61596;3143;277795;Índice de empleo;114.91769073;M
2008-05;40123;61597;3143;277795;Índice de empleo;114.83521239;M
2008-06;40123;61596;3143;277795;Índice de empleo;114.74489016;M
2008-06;40123;61597;3143;277795;Índice de empleo;114.57765491;M
2008-07;40123;61596;3143;277795;Índice de empleo;116.38502036;M
2008-07;40123;61597;3143;277795;Índice de empleo;116.14152641;M
2008-08;40123;61596;3143;277795;Índice de empleo;115.31134344;M
2008-08;40123;61597;3143;277795;Índice de empleo;115.09389707;M
2008-09;40123;61596;3143;277795;Índice de empleo;114.87351647;M
2008-09;40123;61597;3143;277795;Índice de empleo;114.68912244;M
2008-10;40123;61596;3143;277795;Índice de empleo;112.93626072;M
2008-10;40123;61597;3143;277795;Índice de empleo;112.82167393;M
2008-11;40123;61596;3143;277795;Índice de empleo;113.01605549;M
2008-11;40123;61597;3143;277795;Índice de empleo;112.93803166;M
2008-12;40123;61596;3143;277795;Índice de empleo;113.00550582;M
2008-12;40123;61597;3143;277795;Índice de empleo;112.97601011;M
2009-01;40123;61596;3143;277795;Índice de empleo;110.62584599;M
2009-01;40123;61597;3143;277795;Índice de empleo;110.6906197;M
2009-02;40123;61596;3143;277795;Índice de empleo;109.10530734;M
2009-02;40123;61597;3143;277795;Índice de empleo;109.08541326;M
2009-03;40123;61596;3143;277795;Índice de empleo;108.71119372;M
2009-03;40123;61597;3143;277795;Índice de empleo;108.60615722;M
2009-04;40123;61596;3143;277795;Índice de empleo;108.16687413;M
2009-04;40123;61597;3143;277795;Índice de empleo;108.04737956;M
2009-05;40123;61596;3143;277795;Índice de empleo;107.92643084;M
2009-05;40123;61597;3143;277795;Índice de empleo;107.79327022;M
2009-06;40123;61596;3143;277795;Índice de empleo;107.75544618;M
2009-06;40123;61597;3143;277795;Índice de empleo;107.63962286;M
2009-07;40123;61596;3143;277795;Índice de empleo;108.99534003;M
2009-07;40123;61597;3143;277795;Índice de empleo;108.72627392;M
2009-08;40123;61596;3143;277795;Índice de empleo;110.32835823;M
2009-08;40123;61597;3143;277795;Índice de empleo;110.13212008;M
2009-09;40123;61596;3143;277795;Índice de empleo;110.06695504;M
2009-09;40123;61597;3143;277795;Índice de empleo;109.94821509;M
2009-10;40123;61596;3143;277795;Índice de empleo;109.11637849;M
2009-10;40123;61597;3143;277795;Índice de empleo;109.06670434;M
2009-11;40123;61596;3143;277795;Índice de empleo;109.48759541;M
2009-11;40123;61597;3143;277795;Índice de empleo;109.49652618;M
2009-12;40123;61596;3143;277795;Índice de empleo;109.08030185;M
2009-12;40123;61597;3143;277795;Índice de empleo;109.10998329;M
2010-01;40123;61596;3143;277795;Índice de empleo;108.30987521;M
2010-01;40123;61597;3143;277795;Índice de empleo;108.35448457;M
2010-02;40123;61596;3143;277795;Índice de empleo;107.43530402;M
2010-02;40123;61597;3143;277795;Índice de empleo;107.4570823;M
2010-03;40123;61596;3143;277795;Índice de empleo;106.19246061;M
2010-03;40123;61597;3143;277795;Índice de empleo;106.17645555;M
