TEMPORAL;TERRITORIO;ARE_INSCRIPCION;SEXO;LUGARNACIMIEN;INDICATOR;OBS_VALUE;FREQ
;;;;;ANDALUCES;309.0;A
;;;;;ANDALUCES;1.0;A
;;;;;ANDALUCES;3.0;A
;;;;;ANDALUCES;5.0;A
;;;;;ANDALUCES;12.0;A
;;;;;ANDALUCES;461.0;A
;;;;;ANDALUCES;2.0;A
;;;;;ANDALUCES;2.0;A
;;;;;ANDALUCES;486.0;A
;;;;;ANDALUCES;55.0;A
;;;;;ANDALUCES;499.0;A
;;;;;ANDALUCES;2.0;A
;;;;;ANDALUCES;1042.0;A
;;;;;ANDALUCES;1.0;A
;;;;;ANDALUCES;3.0;A
;;;;;ANDALUCES;2.0;A
;;;;;ANDALUCES;7.0;A
;;;;;ANDALUCES;241.0;A
;;;;;ANDALUCES;2.0;A
;;;;;ANDALUCES;256.0;A
;;;;;ANDALUCES;30.0;A
;;;;;ANDALUCES;256.0;A
;;;;;ANDALUCES;1.0;A
;;;;;ANDALUCES;543.0;A
;;;;;ANDALUCES;3.0;A
;;;;;ANDALUCES;5.0;A
;;;;;ANDALUCES;220.0;A
;;;;;ANDALUCES;2.0;A
;;;;;ANDALUCES;230.0;A
;;;;;ANDALUCES;25.0;A
;;;;;ANDALUCES;243.0;A
;;;;;ANDALUCES;1.0;A
;;;;;ANDALUCES;499.0;A
;;;;;ANDALUCES;10.0;A
;;;;;ANDALUCES;64.0;A
;;;;;ANDALUCES;46.0;A
;;;;;ANDALUCES;44.0;A
;;;;;ANDALUCES;6.0;A
;;;;;ANDALUCES;23.0;A
;;;;;ANDALUCES;1604.0;A
;;;;;ANDALUCES;27.0;A
;;;;;ANDALUCES;1824.0;A
;;;;;ANDALUCES;404.0;A
;;;;;ANDALUCES;3175.0;A
;;;;;ANDALUCES;5403.0;A
;;;;;ANDALUCES;6.0;A
;;;;;ANDALUCES;37.0;A
;;;;;ANDALUCES;21.0;A
;;;;;ANDALUCES;27.0;A
;;;;;ANDALUCES;5.0;A
;;;;;ANDALUCES;14.0;A
;;;;;ANDALUCES;821.0;A
;;;;;ANDALUCES;16.0;A
;;;;;ANDALUCES;947.0;A
;;;;;ANDALUCES;221.0;A
;;;;;ANDALUCES;1627.0;A
;;;;;ANDALUCES;2795.0;A
;;;;;ANDALUCES;4.0;A
;;;;;ANDALUCES;27.0;A
;;;;;ANDALUCES;25.0;A
;;;;;ANDALUCES;17.0;A
;;;;;ANDALUCES;1.0;A
;;;;;ANDALUCES;9.0;A
;;;;;ANDALUCES;783.0;A
;;;;;ANDALUCES;11.0;A
;;;;;ANDALUCES;877.0;A
;;;;;ANDALUCES;183.0;A
;;;;;ANDALUCES;1548.0;A
;;;;;ANDALUCES;2608.0;A
;;;;;ANDALUCES;2.0;A
;;;;;ANDALUCES;76.0;A
;;;;;ANDALUCES;35.0;A
;;;;;ANDALUCES;18.0;A
;;;;;ANDALUCES;36.0;A
;;;;;ANDALUCES;15.0;A
;;;;;ANDALUCES;24.0;A
;;;;;ANDALUCES;1601.0;A
;;;;;ANDALUCES;1807.0;A
;;;;;ANDALUCES;288.0;A
;;;;;ANDALUCES;1573.0;A
;;;;;ANDALUCES;3668.0;A
;;;;;ANDALUCES;44.0;A
;;;;;ANDALUCES;19.0;A
;;;;;ANDALUCES;9.0;A
;;;;;ANDALUCES;23.0;A
;;;;;ANDALUCES;7.0;A
;;;;;ANDALUCES;11.0;A
;;;;;ANDALUCES;852.0;A
;;;;;ANDALUCES;965.0;A
;;;;;ANDALUCES;173.0;A
;;;;;ANDALUCES;748.0;A
;;;;;ANDALUCES;1886.0;A
;;;;;ANDALUCES;2.0;A
;;;;;ANDALUCES;32.0;A
;;;;;ANDALUCES;16.0;A
;;;;;ANDALUCES;9.0;A
;;;;;ANDALUCES;13.0;A
;;;;;ANDALUCES;8.0;A
;;;;;ANDALUCES;13.0;A
;;;;;ANDALUCES;749.0;A
;;;;;ANDALUCES;842.0;A
;;;;;ANDALUCES;115.0;A
;;;;;ANDALUCES;825.0;A
;;;;;ANDALUCES;1782.0;A
;;;;;ANDALUCES;653.0;A
;;;;;ANDALUCES;1371.0;A
;;;;;ANDALUCES;655.0;A
;;;;;ANDALUCES;1177.0;A
;;;;;ANDALUCES;347.0;A
;;;;;ANDALUCES;538.0;A
;;;;;ANDALUCES;1680.0;A
;;;;;ANDALUCES;1736.0;A
;;;;;ANDALUCES;8157.0;A
;;;;;ANDALUCES;1332.0;A
;;;;;ANDALUCES;12040.0;A
;;;;;ANDALUCES;3.0;A
