TEMPORAL;EDAD;SEXO;LUGARNACIMIEN;INDICATOR;OBS_VALUE;FREQ
;;;;ANDALUCES;1182.8828962;A
;;;;ANDALUCES;2986.298159;A
;;;;ANDALUCES;2149.7823006;A
;;;;ANDALUCES;2770.3279955;A
;;;;ANDALUCES;636.8913129;A
;;;;ANDALUCES;2911.2097445;A
;;;;ANDALUCES;1814.1294777;A
;;;;ANDALUCES;3315.5719814;A
;;;;ANDALUCES;17767.0938678;A
;;;;ANDALUCES;3914.9246813;A
;;;;ANDALUCES;10048.3952217;A
;;;;ANDALUCES;9908.9986985;A
;;;;ANDALUCES;11537.0647355;A
;;;;ANDALUCES;2544.9775079;A
;;;;ANDALUCES;13127.0541597;A
;;;;ANDALUCES;6111.4518366;A
;;;;ANDALUCES;11748.0405742;A
;;;;ANDALUCES;68940.9074154;A
;;;;ANDALUCES;1922.5227675;A
;;;;ANDALUCES;5138.8556414;A
;;;;ANDALUCES;4948.5459152;A
;;;;ANDALUCES;5765.2610268;A
;;;;ANDALUCES;1286.614153;A
;;;;ANDALUCES;6576.082383;A
;;;;ANDALUCES;3112.8933421;A
;;;;ANDALUCES;5929.4659425;A
;;;;ANDALUCES;34680.2411715;A
;;;;ANDALUCES;1992.4019138;A
;;;;ANDALUCES;4909.5395803;A
;;;;ANDALUCES;4960.4527833;A
;;;;ANDALUCES;5771.8037087;A
;;;;ANDALUCES;1258.3633549;A
;;;;ANDALUCES;6550.9717767;A
;;;;ANDALUCES;2998.5584945;A
;;;;ANDALUCES;5818.5746317;A
;;;;ANDALUCES;34260.6662439;A
;;;;ANDALUCES;6206.0799306;A
;;;;ANDALUCES;12376.9835268;A
;;;;ANDALUCES;19218.7793272;A
;;;;ANDALUCES;20784.2457325;A
;;;;ANDALUCES;3903.5430944;A
;;;;ANDALUCES;24839.1811782;A
;;;;ANDALUCES;8840.0393998;A
;;;;ANDALUCES;17181.5414971;A
;;;;ANDALUCES;113350.3936866;A
;;;;ANDALUCES;3114.098877;A
;;;;ANDALUCES;6266.8707518;A
