TEMPORAL;TERRITORIO_1;TERRITORIO;SEXO;LUGARNACIMIEN;INDICATOR;OBS_VALUE;FREQ
;;;;;ANDALUCES;44.0;A
;;;;;ANDALUCES;22.0;A
;;;;;ANDALUCES;53.0;A
;;;;;ANDALUCES;6559.0;A
;;;;;ANDALUCES;321.0;A
;;;;;ANDALUCES;4187.0;A
;;;;;ANDALUCES;183.0;A
;;;;;ANDALUCES;11250.0;A
;;;;;ANDALUCES;51.0;A
;;;;;ANDALUCES;33.0;A
;;;;;ANDALUCES;19.0;A
;;;;;ANDALUCES;8717.0;A
;;;;;ANDALUCES;5.0;A
;;;;;ANDALUCES;87.0;A
;;;;;ANDALUCES;52.0;A
;;;;;ANDALUCES;37.0;A
;;;;;ANDALUCES;9001.0;A
;;;;;ANDALUCES;525.0;A
;;;;;ANDALUCES;5747.0;A
;;;;;ANDALUCES;312.0;A
;;;;;ANDALUCES;15585.0;A
;;;;;ANDALUCES;3.0;A
;;;;;ANDALUCES;12.0;A
;;;;;ANDALUCES;6.0;A
;;;;;ANDALUCES;3.0;A
;;;;;ANDALUCES;2171.0;A
;;;;;ANDALUCES;3.0;A
;;;;;ANDALUCES;4.0;A
;;;;;ANDALUCES;50.0;A
;;;;;ANDALUCES;2252.0;A
;;;;;ANDALUCES;155.0;A
;;;;;ANDALUCES;1907.0;A
;;;;;ANDALUCES;56.0;A
;;;;;ANDALUCES;4370.0;A
;;;;;ANDALUCES;6.0;A
;;;;;ANDALUCES;4.0;A
;;;;;ANDALUCES;24.0;A
;;;;;ANDALUCES;34.0;A
;;;;;ANDALUCES;3.0;A
;;;;;ANDALUCES;3907.0;A
;;;;;ANDALUCES;14.0;A
;;;;;ANDALUCES;13.0;A
;;;;;ANDALUCES;4005.0;A
;;;;;ANDALUCES;157.0;A
;;;;;ANDALUCES;2155.0;A
;;;;;ANDALUCES;109.0;A
;;;;;ANDALUCES;6426.0;A
;;;;;ANDALUCES;25.0;A
;;;;;ANDALUCES;210.0;A
;;;;;ANDALUCES;137.0;A
;;;;;ANDALUCES;141.0;A
;;;;;ANDALUCES;10.0;A
;;;;;ANDALUCES;65.0;A
;;;;;ANDALUCES;8078.0;A
;;;;;ANDALUCES;122.0;A
;;;;;ANDALUCES;8788.0;A
;;;;;ANDALUCES;1068.0;A
;;;;;ANDALUCES;9054.0;A
;;;;;ANDALUCES;397.0;A
;;;;;ANDALUCES;19307.0;A
;;;;;ANDALUCES;17.0;A
;;;;;ANDALUCES;140.0;A
;;;;;ANDALUCES;96.0;A
;;;;;ANDALUCES;50.0;A
;;;;;ANDALUCES;113.0;A
;;;;;ANDALUCES;52.0;A
;;;;;ANDALUCES;61.0;A
;;;;;ANDALUCES;7825.0;A
;;;;;ANDALUCES;8354.0;A
;;;;;ANDALUCES;686.0;A
;;;;;ANDALUCES;6349.0;A
;;;;;ANDALUCES;269.0;A
;;;;;ANDALUCES;15658.0;A
;;;;;ANDALUCES;41.0;A
;;;;;ANDALUCES;181.0;A
;;;;;ANDALUCES;68.0;A
;;;;;ANDALUCES;182.0;A
;;;;;ANDALUCES;39.0;A
;;;;;ANDALUCES;50.0;A
;;;;;ANDALUCES;214.0;A
;;;;;ANDALUCES;145.0;A
;;;;;ANDALUCES;920.0;A
;;;;;ANDALUCES;227.0;A
;;;;;ANDALUCES;1486.0;A
;;;;;ANDALUCES;41.0;A
;;;;;ANDALUCES;2674.0;A
;;;;;ANDALUCES;38.0;A
;;;;;ANDALUCES;3.0;A
;;;;;ANDALUCES;1.0;A
;;;;;ANDALUCES;3.0;A
;;;;;ANDALUCES;45.0;A
;;;;;ANDALUCES;8.0;A
;;;;;ANDALUCES;47.0;A
;;;;;ANDALUCES;4.0;A
;;;;;ANDALUCES;104.0;A
;;;;;ANDALUCES;159.0;A
;;;;;ANDALUCES;3.0;A
;;;;;ANDALUCES;4.0;A
;;;;;ANDALUCES;2.0;A
;;;;;ANDALUCES;2.0;A
;;;;;ANDALUCES;3.0;A
;;;;;ANDALUCES;6.0;A
;;;;;ANDALUCES;179.0;A
;;;;;ANDALUCES;55.0;A
;;;;;ANDALUCES;301.0;A
;;;;;ANDALUCES;5.0;A
