TEMPORAL;LUGARNACIMIEN;SEXO;TERRITORIO;INDICATOR;OBS_VALUE;FREQ
;;;;ANDALUCES;5486.0;A
;;;;ANDALUCES;1899.0;A
;;;;ANDALUCES;7385.0;A
;;;;ANDALUCES;8.0;A
;;;;ANDALUCES;16.0;A
;;;;ANDALUCES;22.0;A
;;;;ANDALUCES;62.0;A
;;;;ANDALUCES;1.0;A
;;;;ANDALUCES;2491.0;A
;;;;ANDALUCES;42.0;A
;;;;ANDALUCES;34.0;A
;;;;ANDALUCES;2676.0;A
;;;;ANDALUCES;896.0;A
;;;;ANDALUCES;3572.0;A
;;;;ANDALUCES;12.0;A
;;;;ANDALUCES;17.0;A
;;;;ANDALUCES;27.0;A
;;;;ANDALUCES;67.0;A
;;;;ANDALUCES;2.0;A
;;;;ANDALUCES;2594.0;A
;;;;ANDALUCES;53.0;A
;;;;ANDALUCES;38.0;A
;;;;ANDALUCES;2810.0;A
;;;;ANDALUCES;1003.0;A
;;;;ANDALUCES;3813.0;A
;;;;ANDALUCES;31.0;A
;;;;ANDALUCES;175.0;A
;;;;ANDALUCES;29.0;A
;;;;ANDALUCES;73.0;A
;;;;ANDALUCES;5.0;A
;;;;ANDALUCES;16.0;A
;;;;ANDALUCES;12072.0;A
;;;;ANDALUCES;89.0;A
;;;;ANDALUCES;12490.0;A
;;;;ANDALUCES;1337.0;A
;;;;ANDALUCES;13827.0;A
;;;;ANDALUCES;21.0;A
;;;;ANDALUCES;86.0;A
;;;;ANDALUCES;12.0;A
;;;;ANDALUCES;30.0;A
;;;;ANDALUCES;2.0;A
;;;;ANDALUCES;10.0;A
;;;;ANDALUCES;5877.0;A
;;;;ANDALUCES;39.0;A
;;;;ANDALUCES;6077.0;A
;;;;ANDALUCES;612.0;A
;;;;ANDALUCES;6689.0;A
;;;;ANDALUCES;10.0;A
;;;;ANDALUCES;89.0;A
;;;;ANDALUCES;17.0;A
;;;;ANDALUCES;43.0;A
;;;;ANDALUCES;3.0;A
;;;;ANDALUCES;6.0;A
;;;;ANDALUCES;6195.0;A
;;;;ANDALUCES;50.0;A
;;;;ANDALUCES;6413.0;A
;;;;ANDALUCES;725.0;A
;;;;ANDALUCES;7138.0;A
;;;;ANDALUCES;21.0;A
;;;;ANDALUCES;219.0;A
;;;;ANDALUCES;68.0;A
;;;;ANDALUCES;50.0;A
;;;;ANDALUCES;63.0;A
;;;;ANDALUCES;14.0;A
;;;;ANDALUCES;162.0;A
;;;;ANDALUCES;11022.0;A
;;;;ANDALUCES;11619.0;A
;;;;ANDALUCES;1476.0;A
;;;;ANDALUCES;13095.0;A
;;;;ANDALUCES;10.0;A
;;;;ANDALUCES;92.0;A
;;;;ANDALUCES;27.0;A
;;;;ANDALUCES;21.0;A
;;;;ANDALUCES;35.0;A
;;;;ANDALUCES;8.0;A
;;;;ANDALUCES;85.0;A
;;;;ANDALUCES;5287.0;A
;;;;ANDALUCES;5565.0;A
;;;;ANDALUCES;728.0;A
;;;;ANDALUCES;6293.0;A
;;;;ANDALUCES;11.0;A
;;;;ANDALUCES;127.0;A
;;;;ANDALUCES;41.0;A
;;;;ANDALUCES;29.0;A
;;;;ANDALUCES;28.0;A
;;;;ANDALUCES;6.0;A
;;;;ANDALUCES;77.0;A
;;;;ANDALUCES;5735.0;A
;;;;ANDALUCES;6054.0;A
;;;;ANDALUCES;748.0;A
;;;;ANDALUCES;6802.0;A
;;;;ANDALUCES;10512.0;A
;;;;ANDALUCES;10996.0;A
;;;;ANDALUCES;8230.0;A
;;;;ANDALUCES;15016.0;A
;;;;ANDALUCES;2786.0;A
;;;;ANDALUCES;5211.0;A
;;;;ANDALUCES;13021.0;A
;;;;ANDALUCES;11804.0;A
;;;;ANDALUCES;77576.0;A
;;;;ANDALUCES;10898.0;A
;;;;ANDALUCES;88474.0;A
;;;;ANDALUCES;5064.0;A
;;;;ANDALUCES;5196.0;A
;;;;ANDALUCES;4110.0;A
;;;;ANDALUCES;7329.0;A
;;;;ANDALUCES;1390.0;A
;;;;ANDALUCES;2557.0;A
;;;;ANDALUCES;6340.0;A
;;;;ANDALUCES;5673.0;A
;;;;ANDALUCES;37659.0;A
;;;;ANDALUCES;5288.0;A
;;;;ANDALUCES;42947.0;A
;;;;ANDALUCES;5448.0;A
;;;;ANDALUCES;5800.0;A
;;;;ANDALUCES;4120.0;A
;;;;ANDALUCES;7687.0;A
;;;;ANDALUCES;1396.0;A
;;;;ANDALUCES;2654.0;A
;;;;ANDALUCES;6681.0;A
;;;;ANDALUCES;6131.0;A
;;;;ANDALUCES;39917.0;A
;;;;ANDALUCES;5610.0;A
;;;;ANDALUCES;45527.0;A
;;;;ANDALUCES;10218.0;A
;;;;ANDALUCES;16.0;A
;;;;ANDALUCES;14.0;A
;;;;ANDALUCES;75.0;A
;;;;ANDALUCES;3.0;A
;;;;ANDALUCES;8.0;A
;;;;ANDALUCES;36.0;A
;;;;ANDALUCES;36.0;A
;;;;ANDALUCES;10406.0;A
;;;;ANDALUCES;1110.0;A
;;;;ANDALUCES;11516.0;A
;;;;ANDALUCES;4893.0;A
;;;;ANDALUCES;8.0;A
;;;;ANDALUCES;8.0;A
;;;;ANDALUCES;26.0;A
;;;;ANDALUCES;2.0;A
;;;;ANDALUCES;6.0;A
;;;;ANDALUCES;23.0;A
;;;;ANDALUCES;22.0;A
;;;;ANDALUCES;4988.0;A
;;;;ANDALUCES;580.0;A
;;;;ANDALUCES;5568.0;A
;;;;ANDALUCES;5325.0;A
;;;;ANDALUCES;8.0;A
;;;;ANDALUCES;6.0;A
;;;;ANDALUCES;49.0;A
;;;;ANDALUCES;1.0;A
;;;;ANDALUCES;2.0;A
;;;;ANDALUCES;13.0;A
;;;;ANDALUCES;14.0;A
;;;;ANDALUCES;5418.0;A
;;;;ANDALUCES;530.0;A
;;;;ANDALUCES;5948.0;A
;;;;ANDALUCES;11.0;A
;;;;ANDALUCES;10441.0;A
;;;;ANDALUCES;15.0;A
;;;;ANDALUCES;42.0;A
;;;;ANDALUCES;16.0;A
;;;;ANDALUCES;4.0;A
;;;;ANDALUCES;268.0;A
;;;;ANDALUCES;215.0;A
;;;;ANDALUCES;11012.0;A
;;;;ANDALUCES;1225.0;A
;;;;ANDALUCES;12237.0;A
;;;;ANDALUCES;4.0;A
;;;;ANDALUCES;4947.0;A
;;;;ANDALUCES;9.0;A
;;;;ANDALUCES;22.0;A
;;;;ANDALUCES;10.0;A
;;;;ANDALUCES;1.0;A
;;;;ANDALUCES;126.0;A
;;;;ANDALUCES;110.0;A
;;;;ANDALUCES;5229.0;A
;;;;ANDALUCES;583.0;A
;;;;ANDALUCES;5812.0;A
;;;;ANDALUCES;7.0;A
;;;;ANDALUCES;5494.0;A
;;;;ANDALUCES;6.0;A
;;;;ANDALUCES;20.0;A
;;;;ANDALUCES;6.0;A
;;;;ANDALUCES;3.0;A
;;;;ANDALUCES;142.0;A
;;;;ANDALUCES;105.0;A
;;;;ANDALUCES;5783.0;A
;;;;ANDALUCES;642.0;A
;;;;ANDALUCES;6425.0;A
;;;;ANDALUCES;18.0;A
;;;;ANDALUCES;44.0;A
;;;;ANDALUCES;7942.0;A
;;;;ANDALUCES;35.0;A
;;;;ANDALUCES;13.0;A
;;;;ANDALUCES;28.0;A
;;;;ANDALUCES;191.0;A
;;;;ANDALUCES;133.0;A
;;;;ANDALUCES;8404.0;A
;;;;ANDALUCES;1709.0;A
;;;;ANDALUCES;10113.0;A
