TEMPORAL;TERRITORIO;SEXO;LUGARNACIMIEN;INDICATOR;OBS_VALUE;FREQ
;;;;ANDALUCES;24.0;A
;;;;ANDALUCES;15.0;A
;;;;ANDALUCES;7149.0;A
;;;;ANDALUCES;4.0;A
;;;;ANDALUCES;62.0;A
;;;;ANDALUCES;30.0;A
;;;;ANDALUCES;21.0;A
;;;;ANDALUCES;7329.0;A
;;;;ANDALUCES;333.0;A
;;;;ANDALUCES;8616.0;A
;;;;ANDALUCES;353.0;A
;;;;ANDALUCES;16631.0;A
;;;;ANDALUCES;53.0;A
;;;;ANDALUCES;22.0;A
;;;;ANDALUCES;17.0;A
;;;;ANDALUCES;7451.0;A
;;;;ANDALUCES;5.0;A
;;;;ANDALUCES;67.0;A
;;;;ANDALUCES;43.0;A
;;;;ANDALUCES;29.0;A
;;;;ANDALUCES;7687.0;A
;;;;ANDALUCES;406.0;A
;;;;ANDALUCES;9023.0;A
;;;;ANDALUCES;324.0;A
;;;;ANDALUCES;17440.0;A
;;;;ANDALUCES;3.0;A
;;;;ANDALUCES;15.0;A
;;;;ANDALUCES;10.0;A
;;;;ANDALUCES;3.0;A
;;;;ANDALUCES;2684.0;A
;;;;ANDALUCES;3.0;A
;;;;ANDALUCES;5.0;A
;;;;ANDALUCES;63.0;A
;;;;ANDALUCES;2786.0;A
;;;;ANDALUCES;202.0;A
;;;;ANDALUCES;2653.0;A
;;;;ANDALUCES;67.0;A
;;;;ANDALUCES;5708.0;A
;;;;ANDALUCES;2.0;A
;;;;ANDALUCES;10.0;A
;;;;ANDALUCES;5.0;A
;;;;ANDALUCES;1335.0;A
;;;;ANDALUCES;1.0;A
;;;;ANDALUCES;2.0;A
;;;;ANDALUCES;35.0;A
;;;;ANDALUCES;1390.0;A
;;;;ANDALUCES;97.0;A
;;;;ANDALUCES;1340.0;A
;;;;ANDALUCES;34.0;A
;;;;ANDALUCES;2861.0;A
;;;;ANDALUCES;1.0;A
;;;;ANDALUCES;5.0;A
;;;;ANDALUCES;5.0;A
;;;;ANDALUCES;3.0;A
;;;;ANDALUCES;1349.0;A
;;;;ANDALUCES;2.0;A
;;;;ANDALUCES;3.0;A
;;;;ANDALUCES;28.0;A
;;;;ANDALUCES;1396.0;A
;;;;ANDALUCES;105.0;A
;;;;ANDALUCES;1313.0;A
;;;;ANDALUCES;33.0;A
;;;;ANDALUCES;2847.0;A
;;;;ANDALUCES;8.0;A
;;;;ANDALUCES;5.0;A
;;;;ANDALUCES;29.0;A
;;;;ANDALUCES;50.0;A
;;;;ANDALUCES;4.0;A
;;;;ANDALUCES;5085.0;A
;;;;ANDALUCES;16.0;A
;;;;ANDALUCES;14.0;A
;;;;ANDALUCES;5211.0;A
;;;;ANDALUCES;206.0;A
;;;;ANDALUCES;3990.0;A
;;;;ANDALUCES;180.0;A
;;;;ANDALUCES;9587.0;A
;;;;ANDALUCES;6.0;A
;;;;ANDALUCES;3.0;A
;;;;ANDALUCES;17.0;A
;;;;ANDALUCES;21.0;A
;;;;ANDALUCES;1.0;A
;;;;ANDALUCES;2491.0;A
;;;;ANDALUCES;10.0;A
;;;;ANDALUCES;8.0;A
;;;;ANDALUCES;2557.0;A
;;;;ANDALUCES;112.0;A
;;;;ANDALUCES;2010.0;A
;;;;ANDALUCES;82.0;A
;;;;ANDALUCES;4761.0;A
;;;;ANDALUCES;2.0;A
;;;;ANDALUCES;2.0;A
;;;;ANDALUCES;12.0;A
;;;;ANDALUCES;29.0;A
;;;;ANDALUCES;3.0;A
;;;;ANDALUCES;2594.0;A
;;;;ANDALUCES;6.0;A
;;;;ANDALUCES;6.0;A
;;;;ANDALUCES;2654.0;A
;;;;ANDALUCES;94.0;A
;;;;ANDALUCES;1980.0;A
;;;;ANDALUCES;98.0;A
;;;;ANDALUCES;4826.0;A
;;;;ANDALUCES;37.0;A
;;;;ANDALUCES;259.0;A
;;;;ANDALUCES;189.0;A
;;;;ANDALUCES;193.0;A
;;;;ANDALUCES;14.0;A
;;;;ANDALUCES;95.0;A
;;;;ANDALUCES;12072.0;A
;;;;ANDALUCES;162.0;A
;;;;ANDALUCES;13021.0;A
;;;;ANDALUCES;1604.0;A
;;;;ANDALUCES;19449.0;A
;;;;ANDALUCES;649.0;A
;;;;ANDALUCES;34723.0;A
;;;;ANDALUCES;26.0;A
;;;;ANDALUCES;126.0;A
;;;;ANDALUCES;91.0;A
;;;;ANDALUCES;85.0;A
;;;;ANDALUCES;8.0;A
;;;;ANDALUCES;42.0;A
;;;;ANDALUCES;5877.0;A
;;;;ANDALUCES;85.0;A
;;;;ANDALUCES;6340.0;A
;;;;ANDALUCES;735.0;A
;;;;ANDALUCES;9790.0;A
;;;;ANDALUCES;345.0;A
;;;;ANDALUCES;17210.0;A
;;;;ANDALUCES;11.0;A
;;;;ANDALUCES;133.0;A
;;;;ANDALUCES;98.0;A
;;;;ANDALUCES;108.0;A
;;;;ANDALUCES;6.0;A
;;;;ANDALUCES;53.0;A
;;;;ANDALUCES;6195.0;A
;;;;ANDALUCES;77.0;A
;;;;ANDALUCES;6681.0;A
;;;;ANDALUCES;869.0;A
;;;;ANDALUCES;9659.0;A
;;;;ANDALUCES;304.0;A
;;;;ANDALUCES;17513.0;A
;;;;ANDALUCES;34.0;A
;;;;ANDALUCES;217.0;A
;;;;ANDALUCES;134.0;A
;;;;ANDALUCES;81.0;A
;;;;ANDALUCES;155.0;A
;;;;ANDALUCES;72.0;A
;;;;ANDALUCES;89.0;A
;;;;ANDALUCES;11022.0;A
;;;;ANDALUCES;11804.0;A
;;;;ANDALUCES;1006.0;A
;;;;ANDALUCES;11765.0;A
;;;;ANDALUCES;438.0;A
;;;;ANDALUCES;25013.0;A
;;;;ANDALUCES;21.0;A
;;;;ANDALUCES;110.0;A
;;;;ANDALUCES;71.0;A
;;;;ANDALUCES;41.0;A
;;;;ANDALUCES;70.0;A
;;;;ANDALUCES;34.0;A
;;;;ANDALUCES;39.0;A
;;;;ANDALUCES;5287.0;A
;;;;ANDALUCES;5673.0;A
;;;;ANDALUCES;478.0;A
;;;;ANDALUCES;5882.0;A
;;;;ANDALUCES;200.0;A
;;;;ANDALUCES;12233.0;A
;;;;ANDALUCES;13.0;A
;;;;ANDALUCES;107.0;A
;;;;ANDALUCES;63.0;A
;;;;ANDALUCES;40.0;A
;;;;ANDALUCES;85.0;A
;;;;ANDALUCES;38.0;A
;;;;ANDALUCES;50.0;A
;;;;ANDALUCES;5735.0;A
;;;;ANDALUCES;6131.0;A
;;;;ANDALUCES;528.0;A
;;;;ANDALUCES;5883.0;A
;;;;ANDALUCES;238.0;A
;;;;ANDALUCES;12780.0;A
;;;;ANDALUCES;10406.0;A
;;;;ANDALUCES;11012.0;A
;;;;ANDALUCES;8404.0;A
;;;;ANDALUCES;15033.0;A
;;;;ANDALUCES;2915.0;A
;;;;ANDALUCES;5462.0;A
;;;;ANDALUCES;12674.0;A
;;;;ANDALUCES;11699.0;A
;;;;ANDALUCES;77605.0;A
;;;;ANDALUCES;5586.0;A
;;;;ANDALUCES;97191.0;A
;;;;ANDALUCES;2546.0;A
;;;;ANDALUCES;182928.0;A
;;;;ANDALUCES;4988.0;A
;;;;ANDALUCES;5229.0;A
;;;;ANDALUCES;4200.0;A
;;;;ANDALUCES;7350.0;A
;;;;ANDALUCES;1433.0;A
;;;;ANDALUCES;2671.0;A
;;;;ANDALUCES;6170.0;A
;;;;ANDALUCES;5586.0;A
;;;;ANDALUCES;37627.0;A
;;;;ANDALUCES;2669.0;A
;;;;ANDALUCES;48218.0;A
;;;;ANDALUCES;1300.0;A
;;;;ANDALUCES;89814.0;A
;;;;ANDALUCES;5418.0;A
;;;;ANDALUCES;5783.0;A
;;;;ANDALUCES;4204.0;A
;;;;ANDALUCES;7683.0;A
;;;;ANDALUCES;1482.0;A
;;;;ANDALUCES;2791.0;A
;;;;ANDALUCES;6504.0;A
;;;;ANDALUCES;6113.0;A
;;;;ANDALUCES;39978.0;A
;;;;ANDALUCES;2917.0;A
;;;;ANDALUCES;48973.0;A
;;;;ANDALUCES;1246.0;A
;;;;ANDALUCES;93114.0;A
;;;;ANDALUCES;10218.0;A
;;;;ANDALUCES;11.0;A
;;;;ANDALUCES;18.0;A
;;;;ANDALUCES;123.0;A
