TEMPORAL;TERRITORIO;CUSTODIA;INDICATOR;OBS_VALUE;FREQ
2018;21;2;DIVORCIOS;422.004;A
2018;21;3;DIVORCIOS;85.624;A
2018;21;4;DIVORCIOS;12.232;A
2018;21;NP;DIVORCIOS;432.72;A
2018;23;00;DIVORCIOS;1108.2069;A
2018;23;1;DIVORCIOS;39.2581;A
2018;23;2;DIVORCIOS;351.0136;A
2018;23;3;DIVORCIOS;85.4441;A
2018;23;4;DIVORCIOS;4.6186;A
2018;23;NP;DIVORCIOS;627.8725;A
2018;29;00;DIVORCIOS;3718.358;A
2018;29;1;DIVORCIOS;74.7118;A
2018;29;2;DIVORCIOS;1433.2869;A
2018;29;3;DIVORCIOS;367.6607;A
2018;29;4;DIVORCIOS;5.8983;A
2018;29;NP;DIVORCIOS;1836.8003;A
2018;41;00;DIVORCIOS;4085.2617;A
2018;41;1;DIVORCIOS;83.7387;A
2018;41;2;DIVORCIOS;1633.6392;A
2018;41;3;DIVORCIOS;644.9349;A
2018;41;4;DIVORCIOS;10.2837;A
2018;41;NP;DIVORCIOS;1712.6652;A
2017;C01;00;DIVORCIOS;17436.6101;A
2017;C01;1;DIVORCIOS;379.8199;A
2017;C01;2;DIVORCIOS;7175.7275;A
2017;C01;3;DIVORCIOS;1828.2458;A
2017;C01;4;DIVORCIOS;40.0951;A
2017;C01;NP;DIVORCIOS;8012.7218;A
2017;04;00;DIVORCIOS;1454.7143;A
2017;04;1;DIVORCIOS;31.9452;A
2017;04;2;DIVORCIOS;553.7168;A
2017;04;3;DIVORCIOS;150.5988;A
2017;04;4;DIVORCIOS;9.1272;A
2017;04;NP;DIVORCIOS;709.3263;A
2017;11;00;DIVORCIOS;2406.3281;A
2017;11;1;DIVORCIOS;57.5212;A
2017;11;2;DIVORCIOS;1057.375;A
2017;11;3;DIVORCIOS;240.2356;A
2017;11;4;DIVORCIOS;3.3836;A
2017;11;NP;DIVORCIOS;1047.8127;A
2017;14;00;DIVORCIOS;1426.032;A
2017;14;1;DIVORCIOS;38.075;A
2017;14;2;DIVORCIOS;616.815;A
2017;14;3;DIVORCIOS;182.76;A
2017;14;4;DIVORCIOS;1.523;A
2017;14;NP;DIVORCIOS;586.859;A
2017;18;00;DIVORCIOS;1990.6668;A
2017;18;1;DIVORCIOS;32.2432;A
2017;18;2;DIVORCIOS;796.004;A
2017;18;3;DIVORCIOS;247.8696;A
2017;18;4;DIVORCIOS;2.0152;A
2017;18;NP;DIVORCIOS;912.5348;A
2017;21;00;DIVORCIOS;1060.4795;A
2017;21;1;DIVORCIOS;15.8464;A
2017;21;2;DIVORCIOS;511.0464;A
2017;21;3;DIVORCIOS;73.2896;A
2017;21;4;DIVORCIOS;1.9808;A
2017;21;NP;DIVORCIOS;458.3163;A
2017;23;00;DIVORCIOS;1127.8821;A
2017;23;1;DIVORCIOS;32.7552;A
2017;23;2;DIVORCIOS;403.2984;A
2017;23;3;DIVORCIOS;75.7464;A
2017;23;NP;DIVORCIOS;616.0821;A
2017;29;00;DIVORCIOS;3652.1307;A
2017;29;1;DIVORCIOS;71.0952;A
2017;29;2;DIVORCIOS;1402.5144;A
2017;29;3;DIVORCIOS;340.9338;A
2017;29;4;DIVORCIOS;9.6948;A
2017;29;NP;DIVORCIOS;1827.8925;A
2017;41;00;DIVORCIOS;4318.3766;A
2017;41;1;DIVORCIOS;100.3385;A
2017;41;2;DIVORCIOS;1834.9575;A
2017;41;3;DIVORCIOS;516.812;A
2017;41;4;DIVORCIOS;12.3705;A
2017;41;NP;DIVORCIOS;1853.8981;A
2016;C01;00;DIVORCIOS;16968.2676;A
2016;C01;1;DIVORCIOS;384.1741;A
2016;C01;2;DIVORCIOS;7356.5474;A
2016;C01;3;DIVORCIOS;1611.2765;A
2016;C01;4;DIVORCIOS;38.3014;A
2016;C01;NP;DIVORCIOS;7577.9682;A
2016;04;00;DIVORCIOS;1425.5804;A
2016;04;1;DIVORCIOS;25.2681;A
2016;04;2;DIVORCIOS;617.0736;A
2016;04;3;DIVORCIOS;105.0621;A
2016;04;4;DIVORCIOS;1.3299;A
2016;04;NP;DIVORCIOS;676.8467;A
