TEMPORAL;TERRITORIO;NACIONACONYUGES;INDICATOR;OBS_VALUE;FREQ
2019;14;22;DIVORCIOS;47.96551;A
2019;14;20;DIVORCIOS;40.65386;A
2019;14;2;DIVORCIOS;22.59327;A
2019;14;3;DIVORCIOS;18.06059;A
2019;14;30;DIVORCIOS;7.31165;A
2019;14;4;DIVORCIOS;7.31165;A
2019;18;00;DIVORCIOS;1634.5488;A
2019;18;11;DIVORCIOS;1507.2496;A
2019;18;10;DIVORCIOS;1507.2496;A
2019;18;1;DIVORCIOS;1507.2496;A
2019;18;22;DIVORCIOS;127.2992;A
2019;18;20;DIVORCIOS;103.3264;A
2019;18;2;DIVORCIOS;57.20128;A
2019;18;3;DIVORCIOS;46.12512;A
2019;18;30;DIVORCIOS;23.9728;A
2019;18;4;DIVORCIOS;23.9728;A
2019;21;00;DIVORCIOS;1003.79841;A
2019;21;11;DIVORCIOS;918.32539;A
2019;21;10;DIVORCIOS;918.32539;A
2019;21;1;DIVORCIOS;918.32539;A
2019;21;22;DIVORCIOS;85.47302;A
2019;21;20;DIVORCIOS;55.96305;A
2019;21;2;DIVORCIOS;23.39619;A
2019;21;3;DIVORCIOS;32.56686;A
2019;21;30;DIVORCIOS;29.50997;A
2019;21;4;DIVORCIOS;23.39619;A
2019;21;5;DIVORCIOS;6.11378;A
2019;23;00;DIVORCIOS;1181.24056;A
2019;23;11;DIVORCIOS;1149.30296;A
2019;23;10;DIVORCIOS;1149.30296;A
2019;23;1;DIVORCIOS;1149.30296;A
2019;23;22;DIVORCIOS;31.9376;A
2019;23;20;DIVORCIOS;18.75312;A
2019;23;2;DIVORCIOS;12.67268;A
2019;23;3;DIVORCIOS;6.08044;A
2019;23;30;DIVORCIOS;13.18448;A
2019;23;4;DIVORCIOS;6.08044;A
2019;23;5;DIVORCIOS;7.10404;A
2019;29;00;DIVORCIOS;3795.50761;A
2019;29;11;DIVORCIOS;3122.14949;A
2019;29;10;DIVORCIOS;3122.14949;A
2019;29;1;DIVORCIOS;3122.14949;A
2019;29;22;DIVORCIOS;673.35812;A
2019;29;20;DIVORCIOS;459.35853;A
2019;29;2;DIVORCIOS;205.0105;A
2019;29;3;DIVORCIOS;254.34803;A
2019;29;30;DIVORCIOS;213.99959;A
2019;29;4;DIVORCIOS;148.24328;A
2019;29;5;DIVORCIOS;65.75631;A
2019;41;00;DIVORCIOS;4059.5542;A
2019;41;11;DIVORCIOS;3802.42187;A
2019;41;10;DIVORCIOS;3802.42187;A
2019;41;1;DIVORCIOS;3802.42187;A
