TEMPORAL;TERRITORIO;TIPOMATRIMONIO;INDICATOR;OBS_VALUE;FREQ
2018;29;00;DIVORCIOS;3718.358;A
2018;29;1;DIVORCIOS;3682.9801;A
2018;29;23;DIVORCIOS;35.3779;A
2018;29;2;DIVORCIOS;16.1591;A
2018;29;3;DIVORCIOS;19.2188;A
2018;41;00;DIVORCIOS;4085.2617;A
2018;41;1;DIVORCIOS;4036.1445;A
2018;41;23;DIVORCIOS;49.1172;A
2018;41;2;DIVORCIOS;25.2238;A
2018;41;3;DIVORCIOS;23.8934;A
2017;C01;00;DIVORCIOS;17436.6101;A
2017;C01;1;DIVORCIOS;17275.9301;A
2017;C01;23;DIVORCIOS;160.68;A
2017;C01;2;DIVORCIOS;84.466;A
2017;C01;3;DIVORCIOS;76.214;A
2017;04;00;DIVORCIOS;1454.7143;A
2017;04;1;DIVORCIOS;1446.0577;A
2017;04;23;DIVORCIOS;8.6566;A
2017;04;2;DIVORCIOS;3.5677;A
2017;04;3;DIVORCIOS;5.0889;A
2017;11;00;DIVORCIOS;2406.3281;A
2017;11;1;DIVORCIOS;2368.7029;A
2017;11;23;DIVORCIOS;37.6252;A
2017;11;2;DIVORCIOS;12.8913;A
2017;11;3;DIVORCIOS;24.7339;A
2017;14;00;DIVORCIOS;1426.032;A
2017;14;1;DIVORCIOS;1405.2;A
2017;14;23;DIVORCIOS;20.832;A
2017;14;2;DIVORCIOS;6.6085;A
2017;14;3;DIVORCIOS;14.2235;A
2017;18;00;DIVORCIOS;1990.6668;A
2017;18;1;DIVORCIOS;1969.764;A
2017;18;23;DIVORCIOS;20.9028;A
2017;18;2;DIVORCIOS;16.8724;A
2017;18;3;DIVORCIOS;4.0304;A
2017;21;00;DIVORCIOS;1060.4795;A
2017;21;1;DIVORCIOS;1051.9832;A
2017;21;23;DIVORCIOS;8.4963;A
2017;21;2;DIVORCIOS;6.5155;A
2017;21;3;DIVORCIOS;1.9808;A
2017;23;00;DIVORCIOS;1127.8821;A
2017;23;1;DIVORCIOS;1127.8821;A
2017;29;00;DIVORCIOS;3652.1307;A
2017;29;1;DIVORCIOS;3614.9226;A
2017;29;23;DIVORCIOS;37.2081;A
2017;29;2;DIVORCIOS;21.7821;A
2017;29;3;DIVORCIOS;15.426;A
2017;41;00;DIVORCIOS;4318.3766;A
2017;41;1;DIVORCIOS;4291.4176;A
2017;41;23;DIVORCIOS;26.959;A
2017;41;2;DIVORCIOS;16.2285;A
2017;41;3;DIVORCIOS;10.7305;A
2016;C01;00;DIVORCIOS;16968.2676;A
2016;C01;1;DIVORCIOS;16778.8408;A
2016;C01;23;DIVORCIOS;189.4268;A
2016;C01;2;DIVORCIOS;118.7851;A
2016;C01;3;DIVORCIOS;70.6417;A
2016;04;00;DIVORCIOS;1425.5804;A
2016;04;1;DIVORCIOS;1414.9309;A
2016;04;23;DIVORCIOS;10.6495;A
2016;04;2;DIVORCIOS;1.3299;A
2016;04;3;DIVORCIOS;9.3196;A
2016;11;00;DIVORCIOS;2275.825;A
2016;11;1;DIVORCIOS;2257.6356;A
2016;11;23;DIVORCIOS;18.1894;A
2016;11;2;DIVORCIOS;12.4596;A
2016;11;3;DIVORCIOS;5.7298;A
2016;14;00;DIVORCIOS;1473.292;A
2016;14;1;DIVORCIOS;1452.1577;A
2016;14;23;DIVORCIOS;21.1343;A
2016;14;2;DIVORCIOS;14.6098;A
2016;14;3;DIVORCIOS;6.5245;A
2016;18;00;DIVORCIOS;1937.4432;A
2016;18;1;DIVORCIOS;1913.6128;A
2016;18;23;DIVORCIOS;23.8304;A
2016;18;2;DIVORCIOS;16.3728;A
2016;18;3;DIVORCIOS;7.4576;A
2016;21;00;DIVORCIOS;1053.5608;A
2016;21;1;DIVORCIOS;1041.1856;A
2016;21;23;DIVORCIOS;12.3752;A
2016;21;2;DIVORCIOS;6.1876;A
2016;21;3;DIVORCIOS;6.1876;A
2016;23;00;DIVORCIOS;1120.7404;A
2016;23;1;DIVORCIOS;1112.2664;A
2016;23;23;DIVORCIOS;8.474;A
2016;23;2;DIVORCIOS;6.9792;A
2016;23;3;DIVORCIOS;1.4948;A
