TEMPORAL;TERRITORIO;NUMHIJOSMENORED;INDICATOR;OBS_VALUE;FREQ
2018;C01;2;DIVORCIOS;4126.0726;A
2018;C01;3;DIVORCIOS;478.5613;A
2018;C01;4;DIVORCIOS;43.9028;A
2018;C01;05MAS;DIVORCIOS;4.9043;A
2018;04;000;DIVORCIOS;1456.1395;A
2018;04;0;DIVORCIOS;673.2158;A
2018;04;1;DIVORCIOS;406.925;A
2018;04;2;DIVORCIOS;336.9339;A
2018;04;3;DIVORCIOS;37.4371;A
2018;04;4;DIVORCIOS;1.6277;A
2018;11;000;DIVORCIOS;2490.3415;A
2018;11;0;DIVORCIOS;1102.8918;A
2018;11;1;DIVORCIOS;731.8416;A
2018;11;2;DIVORCIOS;594.6213;A
2018;11;3;DIVORCIOS;60.9868;A
2018;14;000;DIVORCIOS;1405.7198;A
2018;14;0;DIVORCIOS;610.6478;A
2018;14;1;DIVORCIOS;377.856;A
2018;14;2;DIVORCIOS;377.856;A
2018;14;3;DIVORCIOS;34.112;A
2018;14;4;DIVORCIOS;5.248;A
2018;18;000;DIVORCIOS;1684.5826;A
2018;18;0;DIVORCIOS;822.0082;A
2018;18;1;DIVORCIOS;399.7296;A
2018;18;2;DIVORCIOS;404.4048;A
2018;18;3;DIVORCIOS;53.7648;A
2018;18;4;DIVORCIOS;4.6752;A
2018;21;000;DIVORCIOS;986.218;A
2018;21;0;DIVORCIOS;432.72;A
2018;21;1;DIVORCIOS;287.452;A
2018;21;2;DIVORCIOS;253.814;A
2018;21;3;DIVORCIOS;9.174;A
2018;21;4;DIVORCIOS;3.058;A
2018;23;000;DIVORCIOS;1108.2069;A
2018;23;0;DIVORCIOS;627.8725;A
2018;23;1;DIVORCIOS;214.7649;A
2018;23;2;DIVORCIOS;240.1672;A
2018;23;3;DIVORCIOS;23.093;A
2018;23;4;DIVORCIOS;2.3093;A
2018;29;000;DIVORCIOS;3718.358;A
2018;29;0;DIVORCIOS;1836.8003;A
2018;29;1;DIVORCIOS;920.1348;A
2018;29;2;DIVORCIOS;823.7959;A
2018;29;3;DIVORCIOS;121.8982;A
2018;29;4;DIVORCIOS;13.7627;A
2018;29;05MAS;DIVORCIOS;1.9661;A
2018;41;000;DIVORCIOS;4085.2617;A
2018;41;0;DIVORCIOS;1712.6652;A
2018;41;1;DIVORCIOS;1123.8615;A
2018;41;2;DIVORCIOS;1094.4795;A
2018;41;3;DIVORCIOS;138.0954;A
2018;41;4;DIVORCIOS;13.2219;A
2018;41;05MAS;DIVORCIOS;2.9382;A
2017;C01;000;DIVORCIOS;17436.6101;A
2017;C01;0;DIVORCIOS;8012.7218;A
2017;C01;1;DIVORCIOS;4613.873;A
2017;C01;2;DIVORCIOS;4198.5134;A
2017;C01;3;DIVORCIOS;549.6071;A
2017;C01;4;DIVORCIOS;55.2921;A
2017;C01;05MAS;DIVORCIOS;6.6027;A
2017;04;000;DIVORCIOS;1454.7143;A
2017;04;0;DIVORCIOS;709.3263;A
2017;04;1;DIVORCIOS;403.118;A
2017;04;2;DIVORCIOS;304.24;A
2017;04;3;DIVORCIOS;27.3816;A
2017;04;4;DIVORCIOS;9.1272;A
2017;04;05MAS;DIVORCIOS;1.5212;A
2017;11;000;DIVORCIOS;2406.3281;A
2017;11;0;DIVORCIOS;1047.8127;A
2017;11;1;DIVORCIOS;680.1036;A
2017;11;2;DIVORCIOS;603.9726;A
2017;11;3;DIVORCIOS;69.3638;A
2017;11;4;DIVORCIOS;3.3836;A
2017;11;05MAS;DIVORCIOS;1.6918;A
2017;14;000;DIVORCIOS;1426.032;A
2017;14;0;DIVORCIOS;586.859;A
2017;14;1;DIVORCIOS;435.578;A
2017;14;2;DIVORCIOS;360.951;A
2017;14;3;DIVORCIOS;39.598;A
2017;14;4;DIVORCIOS;3.046;A
