TEMPORAL;TERRITORIO;DURACMATRIM;INDICATOR;OBS_VALUE;FREQ
2020;11;3;DIVORCIOS;77.70638;A
2020;11;4;DIVORCIOS;89.22783;A
2020;11;5;DIVORCIOS;87.16137;A
2020;11;6;DIVORCIOS;85.17287;A
2020;11;7;DIVORCIOS;54.70246;A
2020;11;8;DIVORCIOS;74.64567;A
2020;11;9;DIVORCIOS;54.70246;A
2020;11;10;DIVORCIOS;55.77467;A
2020;11;11;DIVORCIOS;58.91334;A
2020;11;12;DIVORCIOS;68.36833;A
2020;11;13;DIVORCIOS;68.32935;A
2020;11;14;DIVORCIOS;66.30187;A
2020;11;15;DIVORCIOS;71.507;A
2020;11;16;DIVORCIOS;41.03659;A
2020;11;17;DIVORCIOS;82.07318;A
2020;11;18;DIVORCIOS;74.68465;A
2020;11;19;DIVORCIOS;46.2807;A
2020;11;20;DIVORCIOS;62.05201;A
2020;11;21;DIVORCIOS;52.59702;A
2020;11;22;DIVORCIOS;53.66923;A
2020;11;23;DIVORCIOS;27.29276;A
2020;11;24;DIVORCIOS;27.29276;A
2020;11;25;DIVORCIOS;24.15409;A
2020;11;26;DIVORCIOS;46.16376;A
2020;11;27;DIVORCIOS;35.67554;A
2020;11;28;DIVORCIOS;41.95288;A
2020;11;29;DIVORCIOS;49.34141;A
2020;11;30;DIVORCIOS;23.08188;A
2020;11;31;DIVORCIOS;39.84744;A
2020;11;32;DIVORCIOS;16.76556;A
2020;11;33;DIVORCIOS;26.18157;A
2020;11;34;DIVORCIOS;10.48822;A
2020;11;35;DIVORCIOS;15.73233;A
2020;11;36;DIVORCIOS;17.83777;A
2020;11;37;DIVORCIOS;5.24411;A
2020;11;38;DIVORCIOS;7.34955;A
2020;11;39;DIVORCIOS;7.34955;A
2020;11;40;DIVORCIOS;13.62689;A
2020;11;41;DIVORCIOS;4.21088;A
2020;11;42;DIVORCIOS;17.83777;A
2020;11;43;DIVORCIOS;5.24411;A
2020;11;44;DIVORCIOS;6.27734;A
2020;11;45;DIVORCIOS;11.52145;A
2020;11;46;DIVORCIOS;4.21088;A
2020;11;47;DIVORCIOS;13.62689;A
2020;11;49;DIVORCIOS;4.21088;A
2020;11;55;DIVORCIOS;2.10544;A
2020;11;56;DIVORCIOS;3.13867;A
2020;11;57;DIVORCIOS;3.13867;A
2020;14;00;DIVORCIOS;1295.68526;A
2020;14;0;DIVORCIOS;5.02571;A
2020;14;1;DIVORCIOS;20.29512;A
2020;14;2;DIVORCIOS;42.06214;A
2020;14;3;DIVORCIOS;31.27477;A
2020;14;4;DIVORCIOS;42.4467;A
2020;14;5;DIVORCIOS;46.54418;A
2020;14;6;DIVORCIOS;45.61595;A
2020;14;7;DIVORCIOS;40.59024;A
2020;14;8;DIVORCIOS;32.58756;A
2020;14;9;DIVORCIOS;49.90571;A
2020;14;10;DIVORCIOS;38.73378;A
2020;14;11;DIVORCIOS;43.75949;A
2020;14;12;DIVORCIOS;56.98016;A
2020;14;13;DIVORCIOS;50.09799;A
2020;14;14;DIVORCIOS;50.09799;A
2020;14;15;DIVORCIOS;36.87732;A
2020;14;16;DIVORCIOS;47.85697;A
2020;14;17;DIVORCIOS;39.85429;A
2020;14;18;DIVORCIOS;43.95177;A
2020;14;19;DIVORCIOS;34.6363;A
2020;14;20;DIVORCIOS;28.2978;A
2020;14;21;DIVORCIOS;47.85697;A
2020;14;22;DIVORCIOS;51.02622;A
2020;14;23;DIVORCIOS;26.24906;A
2020;14;24;DIVORCIOS;32.39528;A
2020;14;25;DIVORCIOS;27.91324;A
2020;14;26;DIVORCIOS;25.32083;A
2020;14;27;DIVORCIOS;19.17461;A
2020;14;28;DIVORCIOS;30.15426;A
2020;14;29;DIVORCIOS;23.07981;A
2020;14;30;DIVORCIOS;19.36689;A
2020;14;31;DIVORCIOS;18.24638;A
2020;14;32;DIVORCIOS;26.98501;A
2020;14;33;DIVORCIOS;19.17461;A
2020;14;34;DIVORCIOS;10.97965;A
2020;14;36;DIVORCIOS;16.00536;A
2020;14;37;DIVORCIOS;2.97697;A
2020;14;38;DIVORCIOS;12.10016;A
2020;14;40;DIVORCIOS;8.93091;A
2020;14;41;DIVORCIOS;10.05142;A
2020;14;42;DIVORCIOS;5.02571;A
2020;14;43;DIVORCIOS;9.12319;A
2020;14;44;DIVORCIOS;7.07445;A
2020;14;45;DIVORCIOS;5.95394;A
2020;14;46;DIVORCIOS;2.97697;A
2020;14;51;DIVORCIOS;2.97697;A
2020;14;53;DIVORCIOS;2.04874;A
2020;14;54;DIVORCIOS;2.97697;A
2020;14;64;DIVORCIOS;2.04874;A
2020;18;00;DIVORCIOS;1333.9225;A
2020;18;0;DIVORCIOS;6.08043;A
2020;18;1;DIVORCIOS;25.20937;A
2020;18;2;DIVORCIOS;36.48258;A
2020;18;3;DIVORCIOS;50.35218;A
2020;18;4;DIVORCIOS;61.62539;A
2020;18;5;DIVORCIOS;61.62539;A
2020;18;6;DIVORCIOS;51.99436;A
2020;18;7;DIVORCIOS;21.65877;A
2020;18;8;DIVORCIOS;50.28562;A
2020;18;9;DIVORCIOS;30.33559;A
2020;18;10;DIVORCIOS;45.09284;A
2020;18;11;DIVORCIOS;30.33559;A
2020;18;12;DIVORCIOS;37.23711;A
2020;18;13;DIVORCIOS;32.04433;A
2020;18;14;DIVORCIOS;57.12058;A
2020;18;15;DIVORCIOS;38.12476;A
2020;18;16;DIVORCIOS;39.8335;A
2020;18;17;DIVORCIOS;54.52419;A
2020;18;18;DIVORCIOS;37.23711;A
2020;18;19;DIVORCIOS;51.9278;A
2020;18;20;DIVORCIOS;32.04433;A
2020;18;21;DIVORCIOS;49.39797;A
2020;18;22;DIVORCIOS;48.51032;A
2020;18;23;DIVORCIOS;37.30367;A
2020;18;24;DIVORCIOS;27.7392;A
2020;18;25;DIVORCIOS;27.80576;A
2020;18;26;DIVORCIOS;12.16086;A
2020;18;27;DIVORCIOS;33.88619;A
2020;18;28;DIVORCIOS;30.40215;A
2020;18;29;DIVORCIOS;34.77384;A
2020;18;30;DIVORCIOS;18.24129;A
2020;18;31;DIVORCIOS;6.08043;A
2020;18;32;DIVORCIOS;26.09702;A
2020;18;33;DIVORCIOS;23.50063;A
2020;18;34;DIVORCIOS;3.48404;A
2020;18;35;DIVORCIOS;2.59639;A
2020;18;36;DIVORCIOS;16.53255;A
2020;18;37;DIVORCIOS;13.8696;A
2020;18;38;DIVORCIOS;6.08043;A
2020;18;39;DIVORCIOS;11.27321;A
2020;18;40;DIVORCIOS;6.96808;A
2020;18;41;DIVORCIOS;13.04851;A
2020;18;42;DIVORCIOS;12.16086;A
2020;18;43;DIVORCIOS;5.19278;A
2020;18;44;DIVORCIOS;6.08043;A
2020;18;45;DIVORCIOS;6.96808;A
2020;18;47;DIVORCIOS;2.59639;A
2020;21;00;DIVORCIOS;832.55851;A
2020;21;1;DIVORCIOS;29.68635;A
2020;21;2;DIVORCIOS;9.89545;A
2020;21;3;DIVORCIOS;34.06235;A
2020;21;4;DIVORCIOS;43.9578;A
2020;21;5;DIVORCIOS;41.3322;A
2020;21;6;DIVORCIOS;32.31195;A
2020;21;7;DIVORCIOS;38.42426;A
2020;21;8;DIVORCIOS;29.40401;A
2020;21;9;DIVORCIOS;19.21213;A
2020;21;10;DIVORCIOS;33.18715;A
2020;21;11;DIVORCIOS;27.07484;A
2020;21;12;DIVORCIOS;29.40401;A
2020;21;13;DIVORCIOS;34.93755;A
2020;21;14;DIVORCIOS;20.96253;A
2020;21;15;DIVORCIOS;29.40401;A
2020;21;16;DIVORCIOS;26.19964;A
2020;21;17;DIVORCIOS;30.27921;A
2020;21;18;DIVORCIOS;28.52881;A
2020;21;19;DIVORCIOS;13.97502;A
2020;21;20;DIVORCIOS;31.73318;A
2020;21;21;DIVORCIOS;17.75816;A
2020;21;22;DIVORCIOS;25.32444;A
2020;21;23;DIVORCIOS;13.09982;A
2020;21;24;DIVORCIOS;6.11231;A
2020;21;25;DIVORCIOS;12.22462;A
2020;21;26;DIVORCIOS;8.44148;A
2020;21;27;DIVORCIOS;6.11231;A
2020;21;28;DIVORCIOS;19.21213;A
2020;21;29;DIVORCIOS;12.22462;A
2020;21;30;DIVORCIOS;15.42899;A
2020;21;31;DIVORCIOS;16.88296;A
2020;21;32;DIVORCIOS;8.44148;A
2020;21;33;DIVORCIOS;2.32917;A
2020;21;34;DIVORCIOS;17.46173;A
2020;21;35;DIVORCIOS;4.65834;A
2020;21;36;DIVORCIOS;4.65834;A
2020;21;37;DIVORCIOS;4.65834;A
2020;21;38;DIVORCIOS;16.00776;A
2020;21;39;DIVORCIOS;2.32917;A
2020;21;40;DIVORCIOS;13.09982;A
2020;21;41;DIVORCIOS;7.56628;A
2020;21;42;DIVORCIOS;2.32917;A
2020;21;43;DIVORCIOS;3.78314;A
2020;21;44;DIVORCIOS;6.11231;A
2020;21;55;DIVORCIOS;2.32917;A
2020;23;00;DIVORCIOS;886.77634;A
2020;23;0;DIVORCIOS;12.32101;A
2020;23;1;DIVORCIOS;30.08766;A
2020;23;2;DIVORCIOS;35.30201;A
2020;23;3;DIVORCIOS;33.64099;A
2020;23;4;DIVORCIOS;21.08869;A
2020;23;5;DIVORCIOS;25.27279;A
2020;23;6;DIVORCIOS;44.06969;A
2020;23;7;DIVORCIOS;20.45792;A
2020;23;8;DIVORCIOS;37.5938;A
2020;23;9;DIVORCIOS;15.24357;A
2020;23;10;DIVORCIOS;27.56458;A
2020;23;11;DIVORCIOS;15.24357;A
2020;23;12;DIVORCIOS;24.01125;A
2020;23;13;DIVORCIOS;29.2256;A
2020;23;14;DIVORCIOS;26.30304;A
2020;23;15;DIVORCIOS;24.64202;A
2020;23;16;DIVORCIOS;20.45792;A
2020;23;17;DIVORCIOS;40.91584;A
2020;23;18;DIVORCIOS;32.77893;A
2020;23;19;DIVORCIOS;21.08869;A
2020;23;20;DIVORCIOS;26.30304;A
2020;23;21;DIVORCIOS;26.93381;A
2020;23;22;DIVORCIOS;11.69024;A
2020;23;23;DIVORCIOS;21.08869;A
2020;23;24;DIVORCIOS;15.87434;A
2020;23;25;DIVORCIOS;12.95178;A
2020;23;26;DIVORCIOS;30.71843;A
2020;23;27;DIVORCIOS;23.61177;A
2020;23;28;DIVORCIOS;37.82509;A
2020;23;29;DIVORCIOS;21.71946;A
2020;23;30;DIVORCIOS;19.42767;A
2020;23;31;DIVORCIOS;16.50511;A
2020;23;32;DIVORCIOS;3.55333;A
2020;23;33;DIVORCIOS;3.55333;A
2020;23;34;DIVORCIOS;10.65999;A
2020;23;35;DIVORCIOS;10.02922;A
2020;23;36;DIVORCIOS;12.32101;A
2020;23;37;DIVORCIOS;10.02922;A
2020;23;38;DIVORCIOS;16.50511;A
2020;23;40;DIVORCIOS;2.92256;A
2020;23;41;DIVORCIOS;2.92256;A
2020;23;44;DIVORCIOS;2.92256;A
2020;23;46;DIVORCIOS;3.55333;A
2020;23;48;DIVORCIOS;2.92256;A
2020;23;49;DIVORCIOS;2.92256;A
2020;29;00;DIVORCIOS;3009.31704;A
2020;29;0;DIVORCIOS;23.32037;A
2020;29;1;DIVORCIOS;56.17276;A
2020;29;2;DIVORCIOS;142.78305;A
2020;29;3;DIVORCIOS;121.68641;A
2020;29;4;DIVORCIOS;151.10764;A
2020;29;5;DIVORCIOS;172.14057;A
2020;29;6;DIVORCIOS;117.30266;A
2020;29;7;DIVORCIOS;114.8878;A
2020;29;8;DIVORCIOS;62.27362;A
2020;29;9;DIVORCIOS;96.0786;A
2020;29;10;DIVORCIOS;92.64744;A
2020;29;11;DIVORCIOS;106.75434;A
2020;29;12;DIVORCIOS;118.51009;A
2020;29;13;DIVORCIOS;143.22902;A
2020;29;14;DIVORCIOS;93.91858;A
2020;29;15;DIVORCIOS;85.72141;A
2020;29;16;DIVORCIOS;59.85876;A
2020;29;17;DIVORCIOS;79.87539;A
2020;29;18;DIVORCIOS;90.36;A
2020;29;19;DIVORCIOS;68.05593;A
2020;29;20;DIVORCIOS;79.87539;A
2020;29;21;DIVORCIOS;82.09912;A
2020;29;22;DIVORCIOS;61.00248;A
2020;29;23;DIVORCIOS;53.88532;A
2020;29;24;DIVORCIOS;63.1625;A
2020;29;25;DIVORCIOS;52.55047;A
2020;29;26;DIVORCIOS;31.51754;A
2020;29;27;DIVORCIOS;37.36356;A
2020;29;28;DIVORCIOS;78.34941;A
2020;29;29;DIVORCIOS;56.04534;A
2020;29;30;DIVORCIOS;35.01241;A
2020;29;31;DIVORCIOS;40.79472;A
2020;29;32;DIVORCIOS;35.01241;A
2020;29;33;DIVORCIOS;43.20958;A
2020;29;34;DIVORCIOS;12.89947;A
2020;29;35;DIVORCIOS;35.01241;A
2020;29;36;DIVORCIOS;21.03293;A
2020;29;37;DIVORCIOS;26.81524;A
2020;29;38;DIVORCIOS;25.67152;A
2020;29;39;DIVORCIOS;6.98974;A
2020;29;40;DIVORCIOS;16.33063;A
2020;29;41;DIVORCIOS;19.8255;A
2020;29;42;DIVORCIOS;21.03293;A
2020;29;43;DIVORCIOS;25.67152;A
2020;29;44;DIVORCIOS;14.04319;A
2020;29;45;DIVORCIOS;12.83576;A
2020;29;47;DIVORCIOS;5.84602;A
2020;29;48;DIVORCIOS;2.35115;A
2020;29;49;DIVORCIOS;9.34089;A
2020;29;52;DIVORCIOS;2.35115;A
2020;29;55;DIVORCIOS;4.7023;A
2020;41;00;DIVORCIOS;3390.26529;A
2020;41;0;DIVORCIOS;22.1648;A
2020;41;1;DIVORCIOS;87.81359;A
2020;41;2;DIVORCIOS;88.09546;A
2020;41;3;DIVORCIOS;129.42704;A
2020;41;4;DIVORCIOS;132.86066;A
2020;41;5;DIVORCIOS;112.69454;A
2020;41;6;DIVORCIOS;117.5631;A
2020;41;7;DIVORCIOS;164.63444;A
2020;41;8;DIVORCIOS;93.83522;A
2020;41;9;DIVORCIOS;115.71815;A
2020;41;10;DIVORCIOS;94.98829;A
2020;41;11;DIVORCIOS;99.42125;A
2020;41;12;DIVORCIOS;156.92159;A
2020;41;13;DIVORCIOS;146.77446;A
2020;41;14;DIVORCIOS;130.88757;A
2020;41;15;DIVORCIOS;118.30616;A
2020;41;16;DIVORCIOS;96.14136;A
2020;41;17;DIVORCIOS;80.25447;A
2020;41;18;DIVORCIOS;95.70576;A
2020;41;19;DIVORCIOS;102.1374;A
2020;41;20;DIVORCIOS;91.83654;A
2020;41;21;DIVORCIOS;107.44156;A
2020;41;22;DIVORCIOS;95.55203;A
2020;41;23;DIVORCIOS;81.94569;A
2020;41;24;DIVORCIOS;73.2335;A
2020;41;25;DIVORCIOS;74.51471;A
2020;41;26;DIVORCIOS;53.91299;A
2020;41;27;DIVORCIOS;57.34661;A
2020;41;28;DIVORCIOS;54.63046;A
2020;41;29;DIVORCIOS;59.34529;A
2020;41;30;DIVORCIOS;56.91101;A
2020;41;31;DIVORCIOS;51.47871;A
2020;41;32;DIVORCIOS;51.76058;A
2020;41;33;DIVORCIOS;25.59842;A
2020;41;34;DIVORCIOS;18.44931;A
2020;41;35;DIVORCIOS;23.16414;A
2020;41;36;DIVORCIOS;30.31325;A
2020;41;37;DIVORCIOS;18.16744;A
2020;41;38;DIVORCIOS;30.31325;A
2020;41;39;DIVORCIOS;29.59578;A
2020;41;40;DIVORCIOS;20.16612;A
2020;41;41;DIVORCIOS;17.73184;A
2020;41;42;DIVORCIOS;23.16414;A
2020;41;43;DIVORCIOS;9.86526;A
2020;41;44;DIVORCIOS;6.14977;A
2020;41;45;DIVORCIOS;7.86658;A
2020;41;46;DIVORCIOS;6.14977;A
2020;41;47;DIVORCIOS;9.86526;A
2020;41;48;DIVORCIOS;10.58273;A
2020;41;50;DIVORCIOS;3.43362;A
2020;41;51;DIVORCIOS;1.71681;A
2020;41;53;DIVORCIOS;1.71681;A
2019;C01;00;DIVORCIOS;17078.2748;A
2019;C01;0;DIVORCIOS;126.7366;A
2019;C01;1;DIVORCIOS;393.41899;A
2019;C01;2;DIVORCIOS;622.31534;A
2019;C01;3;DIVORCIOS;626.77348;A
2019;C01;4;DIVORCIOS;657.48185;A
2019;C01;5;DIVORCIOS;644.71006;A
2019;C01;6;DIVORCIOS;618.34463;A
2019;C01;7;DIVORCIOS;597.63424;A
2019;C01;8;DIVORCIOS;568.44209;A
2019;C01;9;DIVORCIOS;572.42524;A
2019;C01;10;DIVORCIOS;706.60335;A
2019;C01;11;DIVORCIOS;684.29556;A
2019;C01;12;DIVORCIOS;637.42733;A
2019;C01;13;DIVORCIOS;695.26974;A
2019;C01;14;DIVORCIOS;516.27551;A
2019;C01;15;DIVORCIOS;562.33449;A
2019;C01;16;DIVORCIOS;553.66592;A
2019;C01;17;DIVORCIOS;601.00969;A
2019;C01;18;DIVORCIOS;481.42136;A
2019;C01;19;DIVORCIOS;441.81305;A
2019;C01;20;DIVORCIOS;402.97659;A
2019;C01;21;DIVORCIOS;413.81995;A
2019;C01;22;DIVORCIOS;323.85801;A
2019;C01;23;DIVORCIOS;380.34659;A
2019;C01;24;DIVORCIOS;316.22764;A
2019;C01;25;DIVORCIOS;308.22063;A
2019;C01;26;DIVORCIOS;301.6424;A
2019;C01;27;DIVORCIOS;341.96013;A
2019;C01;28;DIVORCIOS;301.01807;A
2019;C01;29;DIVORCIOS;297.97442;A
2019;C01;30;DIVORCIOS;266.04759;A
2019;C01;31;DIVORCIOS;241.78968;A
2019;C01;32;DIVORCIOS;207.64769;A
2019;C01;33;DIVORCIOS;137.60555;A
2019;C01;34;DIVORCIOS;156.56834;A
2019;C01;35;DIVORCIOS;153.31437;A
2019;C01;36;DIVORCIOS;141.29652;A
2019;C01;37;DIVORCIOS;132.59088;A
2019;C01;38;DIVORCIOS;121.48298;A
2019;C01;39;DIVORCIOS;115.51449;A
2019;C01;40;DIVORCIOS;98.66662;A
2019;C01;41;DIVORCIOS;101.94362;A
2019;C01;42;DIVORCIOS;85.05727;A
2019;C01;43;DIVORCIOS;101.67107;A
2019;C01;44;DIVORCIOS;78.09538;A
2019;C01;45;DIVORCIOS;49.00739;A
2019;C01;46;DIVORCIOS;52.00177;A
2019;C01;47;DIVORCIOS;32.4453;A
2019;C01;48;DIVORCIOS;28.26904;A
2019;C01;49;DIVORCIOS;13.50111;A
2019;C01;50;DIVORCIOS;5.48302;A
2019;C01;51;DIVORCIOS;19.93622;A
2019;C01;52;DIVORCIOS;9.60517;A
2019;C01;53;DIVORCIOS;9.27437;A
2019;C01;54;DIVORCIOS;5.36835;A
2019;C01;55;DIVORCIOS;1.72588;A
2019;C01;56;DIVORCIOS;7.79002;A
2019;C01;57;DIVORCIOS;5.78662;A
2019;C01;65;DIVORCIOS;2.34554;A
2019;04;00;DIVORCIOS;1684.43364;A
2019;04;0;DIVORCIOS;11.90667;A
2019;04;1;DIVORCIOS;34.24074;A
2019;04;2;DIVORCIOS;57.46914;A
2019;04;3;DIVORCIOS;50.82693;A
2019;04;4;DIVORCIOS;61.83927;A
2019;04;5;DIVORCIOS;81.55803;A
2019;04;6;DIVORCIOS;65.31507;A
2019;04;7;DIVORCIOS;79.52766;A
2019;04;8;DIVORCIOS;60.36;A
2019;04;9;DIVORCIOS;41.77728;A
2019;04;10;DIVORCIOS;80.6637;A
2019;04;11;DIVORCIOS;88.78518;A
2019;04;12;DIVORCIOS;50.4837;A
2019;04;13;DIVORCIOS;54.81999;A
2019;04;14;DIVORCIOS;49.89876;A
2019;04;15;DIVORCIOS;81.52419;A
2019;04;16;DIVORCIOS;50.4837;A
2019;04;17;DIVORCIOS;60.63555;A
2019;04;18;DIVORCIOS;44.39259;A
2019;04;19;DIVORCIOS;39.16197;A
2019;04;20;DIVORCIOS;24.94938;A
2019;04;21;DIVORCIOS;47.86839;A
2019;04;22;DIVORCIOS;40.91679;A
2019;04;23;DIVORCIOS;24.67383;A
2019;04;24;DIVORCIOS;40.33185;A
2019;04;25;DIVORCIOS;34.55013;A
2019;04;26;DIVORCIOS;22.05852;A
2019;04;27;DIVORCIOS;22.64346;A
2019;04;28;DIVORCIOS;28.73457;A
2019;04;29;DIVORCIOS;25.84371;A
2019;04;30;DIVORCIOS;26.42865;A
2019;04;31;DIVORCIOS;19.16766;A
2019;04;32;DIVORCIOS;23.81334;A
2019;04;33;DIVORCIOS;17.13729;A
2019;04;34;DIVORCIOS;8.70642;A
2019;04;35;DIVORCIOS;6.67605;A
2019;04;36;DIVORCIOS;18.58272;A
2019;04;37;DIVORCIOS;13.3521;A
2019;04;38;DIVORCIOS;13.3521;A
2019;04;39;DIVORCIOS;17.13729;A
2019;04;40;DIVORCIOS;12.49161;A
2019;04;41;DIVORCIOS;4.64568;A
2019;04;42;DIVORCIOS;4.64568;A
2019;04;43;DIVORCIOS;11.90667;A
2019;04;44;DIVORCIOS;9.29136;A
2019;04;45;DIVORCIOS;6.09111;A
2019;04;47;DIVORCIOS;6.67605;A
2019;04;56;DIVORCIOS;2.03037;A
2019;04;57;DIVORCIOS;4.06074;A
2019;11;00;DIVORCIOS;2350.11045;A
2019;11;0;DIVORCIOS;12.66128;A
2019;11;1;DIVORCIOS;66.36683;A
2019;11;2;DIVORCIOS;94.74982;A
2019;11;3;DIVORCIOS;109.17168;A
2019;11;4;DIVORCIOS;91.22866;A
2019;11;5;DIVORCIOS;80.70635;A
2019;11;6;DIVORCIOS;105.14862;A
2019;11;7;DIVORCIOS;86.40765;A
2019;11;8;DIVORCIOS;94.24792;A
2019;11;9;DIVORCIOS;78.98694;A
2019;11;10;DIVORCIOS;118.69019;A
2019;11;11;DIVORCIOS;82.88649;A
2019;11;12;DIVORCIOS;95.08704;A
2019;11;13;DIVORCIOS;105.56818;A
2019;11;14;DIVORCIOS;69.34492;A
2019;11;15;DIVORCIOS;80.24562;A
2019;11;16;DIVORCIOS;72.82491;A
2019;11;17;DIVORCIOS;80.24562;A
2019;11;18;DIVORCIOS;61.08509;A
2019;11;19;DIVORCIOS;51.48424;A
2019;11;20;DIVORCIOS;39.70325;A
2019;11;21;DIVORCIOS;47.54352;A
2019;11;22;DIVORCIOS;35.34297;A
2019;11;23;DIVORCIOS;58.48539;A
2019;11;24;DIVORCIOS;39.28369;A
2019;11;25;DIVORCIOS;39.28369;A
2019;11;26;DIVORCIOS;21.38184;A
