D_TEMPORAL_0;D_ESTADO_DATO_0;D_IVGS_TIPVENT_0;D_IVGS_SERIEIVGS_0;D_TERRITORIO_0;INDICATOR;OBS_VALUE;FREQ
1993-01;D;04;01;C01;Índice;212.700105847;M
1993-01;D;05;01;C01;Índice;242.903152695;M
1993-01;D;06;01;C01;Índice;195.852258641;M
1993-02;D;04;01;C01;Índice;153.70546898;M
1993-02;D;05;01;C01;Índice;220.766528148;M
1993-02;D;06;01;C01;Índice;122.519098543;M
1993-03;D;04;01;C01;Índice;171.224795105;M
1993-03;D;05;01;C01;Índice;260.294954929;M
1993-03;D;06;01;C01;Índice;130.788484443;M
1993-04;D;04;01;C01;Índice;171.063475343;M
1993-04;D;05;01;C01;Índice;270.172651937;M
1993-04;D;06;01;C01;Índice;126.730644522;M
1993-05;D;04;01;C01;Índice;171.91847008;M
1993-05;D;05;01;C01;Índice;271.213337872;M
1993-05;D;06;01;C01;Índice;127.591398445;M
1993-06;D;04;01;C01;Índice;175.306185077;M
1993-06;D;05;01;C01;Índice;253.151263342;M
1993-06;D;06;01;C01;Índice;140.08770093;M
1993-07;D;04;01;C01;Índice;200.617255693;M
1993-07;D;05;01;C01;Índice;289.592909807;M
1993-07;D;06;01;C01;Índice;160.253935692;M
1993-08;D;04;01;C01;Índice;172.789596794;M
1993-08;D;05;01;C01;Índice;276.328573823;M
1993-08;D;06;01;C01;Índice;126.99194482;M
1993-09;D;04;01;C01;Índice;183.775472568;M
1993-09;D;05;01;C01;Índice;270.278484405;M
1993-09;D;06;01;C01;Índice;144.391470544;M
1993-10;D;04;01;C01;Índice;198.036139505;M
1993-10;D;05;01;C01;Índice;297.93603603;M
1993-10;D;06;01;C01;Índice;152.706968262;M
1993-11;D;04;01;C01;Índice;180.129645952;M
1993-11;D;05;01;C01;Índice;276.222741355;M
1993-11;D;06;01;C01;Índice;136.675426451;M
1993-12;D;04;01;C01;Índice;285.987673602;M
1993-12;D;05;01;C01;Índice;432.678406478;M
1993-12;D;06;01;C01;Índice;218.877426075;M
