D_TEMPORAL_0;D_ESTADO_DATO_0;D_IVGS_TIPVENT_0;D_IVGS_SERIEIVGS_0;D_TERRITORIO_0;INDICATOR;OBS_VALUE;FREQ
2010-01;D;04;01;C01;Índice;150.000376321;M
2010-01;D;05;01;C01;Índice;110.621537713;M
2010-01;D;06;01;C01;Índice;165.63377314;M
2010-02;D;04;01;C01;Índice;102.094938421;M
2010-02;D;05;01;C01;Índice;104.361402038;M
2010-02;D;06;01;C01;Índice;100.819351325;M
2010-03;D;04;01;C01;Índice;113.040453488;M
2010-03;D;05;01;C01;Índice;112.033395592;M
2010-03;D;06;01;C01;Índice;112.887848017;M
2010-04;D;04;01;C01;Índice;107.581629624;M
2010-04;D;05;01;C01;Índice;109.151868322;M
2010-04;D;06;01;C01;Índice;106.131736345;M
2010-05;D;04;01;C01;Índice;108.198156356;M
2010-05;D;05;01;C01;Índice;105.679681818;M
2010-05;D;06;01;C01;Índice;108.284194678;M
2010-06;D;04;01;C01;Índice;117.630273759;M
2010-06;D;05;01;C01;Índice;112.178227372;M
2010-06;D;06;01;C01;Índice;118.950670055;M
2010-07;D;04;01;C01;Índice;143.401493532;M
2010-07;D;05;01;C01;Índice;134.196655786;M
2010-07;D;06;01;C01;Índice;146.464382376;M
2010-08;D;04;01;C01;Índice;120.138856596;M
2010-08;D;05;01;C01;Índice;125.578337904;M
2010-08;D;06;01;C01;Índice;117.406360857;M
2010-09;D;04;01;C01;Índice;108.499854612;M
2010-09;D;05;01;C01;Índice;109.263339366;M
2010-09;D;06;01;C01;Índice;107.628033843;M
2010-10;D;04;01;C01;Índice;116.129979935;M
2010-10;D;05;01;C01;Índice;118.075376658;M
2010-10;D;06;01;C01;Índice;114.50090508;M
2010-11;D;04;01;C01;Índice;116.062518045;M
2010-11;D;05;01;C01;Índice;117.820296644;M
2010-11;D;06;01;C01;Índice;114.353964763;M
2010-12;D;04;01;C01;Índice;179.679761352;M
2010-12;D;05;01;C01;Índice;186.798282885;M
2010-12;D;06;01;C01;Índice;175.440270465;M
2011-01;D;04;01;C01;Índice;138.405206642;M
2011-01;D;05;01;C01;Índice;105.853725828;M
2011-01;D;06;01;C01;Índice;150.822951004;M
2011-02;D;04;01;C01;Índice;90.058287046;M
2011-02;D;05;01;C01;Índice;92.656613567;M
2011-02;D;06;01;C01;Índice;88.537601651;M
2011-03;D;04;01;C01;Índice;99.316085638;M
2011-03;D;05;01;C01;Índice;109.506666947;M
2011-03;D;06;01;C01;Índice;94.606232022;M
2011-04;D;04;01;C01;Índice;108.07200576;M
2011-04;D;05;01;C01;Índice;116.124009764;M
2011-04;D;06;01;C01;Índice;103.968201948;M
2011-05;D;04;01;C01;Índice;96.299027617;M
2011-05;D;05;01;C01;Índice;99.104847897;M
2011-05;D;06;01;C01;Índice;94.352837254;M
