ID;COD;NAME;DESCRIPTION;PARENTCODE;ORDER
3588;490;(490) Macao;Macao;0406;248
3627;5010;(5010) Australia;Australia;6605;35
3631;5020;(5020) Fiji;Fiji;6605;36
3663;5130;(5130) Islas Cook;Islas Cook;6605;37
3643;5060;(5060) Islas Salomón;Islas Salomón;6605;38
3659;5110;(5110) Micronesia;Micronesia;6605;39
3635;5040;(5040) Nueva Zelanda;Nueva Zelanda;6605;40
3639;5050;(5050) Papúa Nueva Guinea;Papúa Nueva Guinea;6605;41
3647;5070;(5070) Samoa;Samoa;6605;42
3651;5080;(5080) Tonga;Tonga;6605;43
3655;5090;(5090) Vanuatu;Vanuatu;6605;44
3623;0501;(0501) Resto de Países de Oceanía;Resto de Países de Oceanía;6605;45
3624;501;(501) Australia;Australia;5010;249
3628;502;(502) Fiji;Fiji;5020;250
3660;513;(513) Islas Cook;Islas Cook;5130;251
3640;506;(506) Islas Salomón;Islas Salomón;5060;252
3656;511;(511) Micronesia;Micronesia;5110;253
3632;504;(504) Nueva Zelanda;Nueva Zelanda;5040;254
3636;505;(505) Papúa Nueva Guinea;Papúa Nueva Guinea;5050;255
3644;507;(507) Samoa;Samoa;5070;256
3648;508;(508) Tonga;Tonga;5080;257
3652;509;(509) Vanuatu;Vanuatu;5090;258
3617;515;(515) Nauru;Nauru;0501;259
3618;516;(516) Palaos;Palaos;0501;260
3619;517;(517) Timor;Timor;0501;261
3616;512;(512) Tuvalu;Tuvalu;0501;262
3620;599;(599) Países de Oceanía sin relación diplomática;Países de Oceanía sin relación diplomática;0501;263
3615;002;(002) País de Oceanía no determinado;País de Oceanía no determinado;0501;264
3668;5550;(5550) Apátridas;Apátridas;66555;46
3665;555;(555) Apátridas;Apátridas;5550;265
3673;66NC0;(66NC0) No consta;No consta;66NC00;47
3670;66NC;(66NC) No consta;No consta;66NC0;266
3684;NP00;(NP00) No procede;No procede;NP000;11
3685;NP0;(NP0) No procede;No procede;NP00;48
3688;NP;(NP) No procede;No procede;NP0;267
3678;NC00;(NC00) No consta;No consta;NC000;12
3679;NC0;(NC0) No consta;No consta;NC00;49
3682;NC;(NC) No consta;No consta;NC0;268
