D_TERRITORIO_0;D_TEMPORAL_0;INDICATOR;OBS_VALUE;FREQ
C01;2011;Cobertura de banda ancha;2.543096418;A
C01;2012;Cobertura de banda ancha;3.194344477;A
C01;2013;Cobertura de banda ancha;4.843435621;A
C01;2014;Cobertura de banda ancha;5.789757881;A
C01;2015;Cobertura de banda ancha;9.862012439;A
C01;2016;Cobertura de banda ancha;13.657874366;A
C01;2017;Cobertura de banda ancha;19.620674989;A
C01;2018;Cobertura de banda ancha;24.211602739;A
C01;2019;Cobertura de banda ancha;32.398635225;A
C01;2020;Cobertura de banda ancha;53.693276335;A
C01;2021;Cobertura de banda ancha;68.918240517;A
108;2011;Cobertura de banda ancha;;A
108;2012;Cobertura de banda ancha;;A
108;2013;Cobertura de banda ancha;;A
108;2014;Cobertura de banda ancha;10.0;A
108;2015;Cobertura de banda ancha;14.0;A
108;2016;Cobertura de banda ancha;20.0;A
108;2017;Cobertura de banda ancha;25.0;A
108;2018;Cobertura de banda ancha;28.0;A
108;2019;Cobertura de banda ancha;39.0;A
108;2020;Cobertura de banda ancha;62.0;A
108;2021;Cobertura de banda ancha;70.0;A
UE28;2011;Cobertura de banda ancha;;A
UE28;2012;Cobertura de banda ancha;;A
UE28;2013;Cobertura de banda ancha;;A
UE28;2014;Cobertura de banda ancha;9.0;A
UE28;2015;Cobertura de banda ancha;11.0;A
UE28;2016;Cobertura de banda ancha;13.0;A
UE28;2017;Cobertura de banda ancha;16.0;A
UE28;2018;Cobertura de banda ancha;18.0;A
UE28;2019;Cobertura de banda ancha;22.0;A
UE28;2020;Cobertura de banda ancha;;A
UE28;2021;Cobertura de banda ancha;;A
UE27NRU;2011;Cobertura de banda ancha;;A
UE27NRU;2012;Cobertura de banda ancha;;A
UE27NRU;2013;Cobertura de banda ancha;;A
UE27NRU;2014;Cobertura de banda ancha;10.0;A
UE27NRU;2015;Cobertura de banda ancha;11.0;A
UE27NRU;2016;Cobertura de banda ancha;13.0;A
UE27NRU;2017;Cobertura de banda ancha;16.0;A
UE27NRU;2018;Cobertura de banda ancha;19.0;A
UE27NRU;2019;Cobertura de banda ancha;23.0;A
UE27NRU;2020;Cobertura de banda ancha;46.0;A
UE27NRU;2021;Cobertura de banda ancha;52.0;A
UE27;2011;Cobertura de banda ancha;;A
UE27;2012;Cobertura de banda ancha;;A
UE27;2013;Cobertura de banda ancha;;A
UE27;2014;Cobertura de banda ancha;10.0;A
UE27;2015;Cobertura de banda ancha;11.0;A
UE27;2016;Cobertura de banda ancha;13.0;A
UE27;2017;Cobertura de banda ancha;16.0;A
UE27;2018;Cobertura de banda ancha;19.0;A
UE27;2019;Cobertura de banda ancha;;A
UE27;2020;Cobertura de banda ancha;;A
UE27;2021;Cobertura de banda ancha;;A
UE25;2011;Cobertura de banda ancha;;A
UE25;2012;Cobertura de banda ancha;;A
UE25;2013;Cobertura de banda ancha;;A
UE25;2014;Cobertura de banda ancha;;A
UE25;2015;Cobertura de banda ancha;;A
UE25;2016;Cobertura de banda ancha;;A
UE25;2017;Cobertura de banda ancha;;A
UE25;2018;Cobertura de banda ancha;;A
UE25;2019;Cobertura de banda ancha;;A
UE25;2020;Cobertura de banda ancha;;A
UE25;2021;Cobertura de banda ancha;;A
UE15;2011;Cobertura de banda ancha;;A
UE15;2012;Cobertura de banda ancha;;A
UE15;2013;Cobertura de banda ancha;;A
UE15;2014;Cobertura de banda ancha;10.0;A
UE15;2015;Cobertura de banda ancha;11.0;A
UE15;2016;Cobertura de banda ancha;13.0;A
UE15;2017;Cobertura de banda ancha;16.0;A
UE15;2018;Cobertura de banda ancha;18.0;A
UE15;2019;Cobertura de banda ancha;;A
UE15;2020;Cobertura de banda ancha;;A
UE15;2021;Cobertura de banda ancha;;A
103;2011;Cobertura de banda ancha;;A
103;2012;Cobertura de banda ancha;;A
103;2013;Cobertura de banda ancha;;A
103;2014;Cobertura de banda ancha;17.0;A
103;2015;Cobertura de banda ancha;18.0;A
103;2016;Cobertura de banda ancha;23.0;A
103;2017;Cobertura de banda ancha;26.0;A
103;2018;Cobertura de banda ancha;29.0;A
103;2019;Cobertura de banda ancha;31.0;A
103;2020;Cobertura de banda ancha;68.0;A
