D_TERRITORIO_0;D_TEMPORAL_0;INDICATOR;OBS_VALUE;FREQ
C01;2013;Proporcion Doctorados STEM;0.312975734;A
C01;2014;Proporcion Doctorados STEM;0.368103832;A
C01;2015;Proporcion Doctorados STEM;0.347985402;A
C01;2016;Proporcion Doctorados STEM;0.544757162;A
C01;2017;Proporcion Doctorados STEM;0.536910678;A
C01;2018;Proporcion Doctorados STEM;0.282929667;A
C01;2019;Proporcion Doctorados STEM;0.385148356;A
C01;2020;Proporcion Doctorados STEM;0.397756952;A
108;2013;Proporcion Doctorados STEM;0.7;A
108;2014;Proporcion Doctorados STEM;0.8;A
108;2015;Proporcion Doctorados STEM;1.0;A
108;2016;Proporcion Doctorados STEM;1.2;A
108;2017;Proporcion Doctorados STEM;1.5;A
108;2018;Proporcion Doctorados STEM;1.3;A
108;2019;Proporcion Doctorados STEM;0.745309298;A
108;2020;Proporcion Doctorados STEM;0.730280126;A
UE27NRU;2013;Proporcion Doctorados STEM;;A
UE27NRU;2014;Proporcion Doctorados STEM;;A
UE27NRU;2015;Proporcion Doctorados STEM;0.9;A
UE27NRU;2016;Proporcion Doctorados STEM;0.9;A
UE27NRU;2017;Proporcion Doctorados STEM;0.9;A
UE27NRU;2018;Proporcion Doctorados STEM;0.8;A
UE27NRU;2019;Proporcion Doctorados STEM;0.8;A
UE27NRU;2020;Proporcion Doctorados STEM;0.7;A
UE28;2013;Proporcion Doctorados STEM;;A
UE28;2014;Proporcion Doctorados STEM;;A
UE28;2015;Proporcion Doctorados STEM;0.9;A
UE28;2016;Proporcion Doctorados STEM;0.9;A
UE28;2017;Proporcion Doctorados STEM;1.0;A
UE28;2018;Proporcion Doctorados STEM;0.9;A
UE28;2019;Proporcion Doctorados STEM;0.9;A
UE28;2020;Proporcion Doctorados STEM;;A
103;2013;Proporcion Doctorados STEM;0.8;A
103;2014;Proporcion Doctorados STEM;0.8;A
103;2015;Proporcion Doctorados STEM;0.9;A
103;2016;Proporcion Doctorados STEM;0.9;A
103;2017;Proporcion Doctorados STEM;0.7;A
103;2018;Proporcion Doctorados STEM;0.9;A
103;2019;Proporcion Doctorados STEM;0.9;A
103;2020;Proporcion Doctorados STEM;0.9;A
104;2013;Proporcion Doctorados STEM;0.4;A
104;2014;Proporcion Doctorados STEM;0.5;A
104;2015;Proporcion Doctorados STEM;0.5;A
104;2016;Proporcion Doctorados STEM;0.4;A
104;2017;Proporcion Doctorados STEM;0.5;A
104;2018;Proporcion Doctorados STEM;0.4;A
104;2019;Proporcion Doctorados STEM;0.4;A
104;2020;Proporcion Doctorados STEM;0.3;A
143;2013;Proporcion Doctorados STEM;0.8;A
143;2014;Proporcion Doctorados STEM;0.8;A
143;2015;Proporcion Doctorados STEM;0.8;A
143;2016;Proporcion Doctorados STEM;0.8;A
143;2017;Proporcion Doctorados STEM;0.9;A
143;2018;Proporcion Doctorados STEM;0.9;A
