D_TERRITORIO_0;D_TEMPORAL_0;INDICATOR;OBS_VALUE;FREQ
C01;2005;1.9 Volumen de negocio en innovación. Total;8.2;A
C01;2006;1.9 Volumen de negocio en innovación. Total;8.2;A
C01;2007;1.9 Volumen de negocio en innovación. Total;8.3;A
C01;2008;1.9 Volumen de negocio en innovación. Total;5.7;A
C01;2009;1.9 Volumen de negocio en innovación. Total;7.9;A
C01;2010;1.9 Volumen de negocio en innovación. Total;8.4;A
C01;2011;1.9 Volumen de negocio en innovación. Total;9.9;A
C01;2012;1.9 Volumen de negocio en innovación. Total;8.36879;A
C01;2013;1.9 Volumen de negocio en innovación. Total;8.369362532;A
C01;2014;1.9 Volumen de negocio en innovación. Total;6.91386;A
C01;2015;1.9 Volumen de negocio en innovación. Total;8.082707545;A
C01;2016;1.9 Volumen de negocio en innovación. Total;9.704300749;A
C01;2017;1.9 Volumen de negocio en innovación. Total;8.442014165;A
C01;2018;1.9 Volumen de negocio en innovación. Total;9.151409851;A
C01;2019;1.9 Volumen de negocio en innovación. Total;6.391260726;A
C01;2020;1.9 Volumen de negocio en innovación. Total;9.080391482;A
108;2005;1.9 Volumen de negocio en innovación. Total;;A
108;2006;1.9 Volumen de negocio en innovación. Total;;A
108;2007;1.9 Volumen de negocio en innovación. Total;;A
108;2008;1.9 Volumen de negocio en innovación. Total;15.910510832;A
108;2009;1.9 Volumen de negocio en innovación. Total;15.910510832;A
108;2010;1.9 Volumen de negocio en innovación. Total;18.970737106;A
108;2011;1.9 Volumen de negocio en innovación. Total;18.970737106;A
108;2012;1.9 Volumen de negocio en innovación. Total;14.335144133;A
108;2013;1.9 Volumen de negocio en innovación. Total;14.335144133;A
108;2014;1.9 Volumen de negocio en innovación. Total;15.942965631;A
108;2015;1.9 Volumen de negocio en innovación. Total;15.942965631;A
108;2016;1.9 Volumen de negocio en innovación. Total;19.322471054;A
108;2017;1.9 Volumen de negocio en innovación. Total;19.322471054;A
108;2018;1.9 Volumen de negocio en innovación. Total;16.112143261;A
108;2019;1.9 Volumen de negocio en innovación. Total;16.112143261;A
108;2020;1.9 Volumen de negocio en innovación. Total;21.736361824;A
UE27NRU;2005;1.9 Volumen de negocio en innovación. Total;;A
UE27NRU;2006;1.9 Volumen de negocio en innovación. Total;;A
UE27NRU;2007;1.9 Volumen de negocio en innovación. Total;;A
UE27NRU;2008;1.9 Volumen de negocio en innovación. Total;;A
UE27NRU;2009;1.9 Volumen de negocio en innovación. Total;;A
UE27NRU;2010;1.9 Volumen de negocio en innovación. Total;;A
UE27NRU;2011;1.9 Volumen de negocio en innovación. Total;;A
UE27NRU;2012;1.9 Volumen de negocio en innovación. Total;;A
UE27NRU;2013;1.9 Volumen de negocio en innovación. Total;;A
UE27NRU;2014;1.9 Volumen de negocio en innovación. Total;;A
UE27NRU;2015;1.9 Volumen de negocio en innovación. Total;;A
UE27NRU;2016;1.9 Volumen de negocio en innovación. Total;;A
UE27NRU;2017;1.9 Volumen de negocio en innovación. Total;;A
UE27NRU;2018;1.9 Volumen de negocio en innovación. Total;12.94864945;A
UE27NRU;2019;1.9 Volumen de negocio en innovación. Total;12.94864945;A
UE27NRU;2020;1.9 Volumen de negocio en innovación. Total;;A
UE28;2005;1.9 Volumen de negocio en innovación. Total;;A
UE28;2006;1.9 Volumen de negocio en innovación. Total;;A
UE28;2007;1.9 Volumen de negocio en innovación. Total;;A
UE28;2008;1.9 Volumen de negocio en innovación. Total;13.262316843;A
UE28;2009;1.9 Volumen de negocio en innovación. Total;13.262316843;A
UE28;2010;1.9 Volumen de negocio en innovación. Total;13.374374614;A
UE28;2011;1.9 Volumen de negocio en innovación. Total;13.374374614;A
UE28;2012;1.9 Volumen de negocio en innovación. Total;12.289998113;A
UE28;2013;1.9 Volumen de negocio en innovación. Total;12.289998113;A
UE28;2014;1.9 Volumen de negocio en innovación. Total;13.372323977;A
UE28;2015;1.9 Volumen de negocio en innovación. Total;13.372323977;A
UE28;2016;1.9 Volumen de negocio en innovación. Total;12.959038343;A
UE28;2017;1.9 Volumen de negocio en innovación. Total;12.959038343;A
UE28;2018;1.9 Volumen de negocio en innovación. Total;;A
UE28;2019;1.9 Volumen de negocio en innovación. Total;;A
UE28;2020;1.9 Volumen de negocio en innovación. Total;;A
103;2005;1.9 Volumen de negocio en innovación. Total;;A
103;2006;1.9 Volumen de negocio en innovación. Total;;A
103;2007;1.9 Volumen de negocio en innovación. Total;;A
103;2008;1.9 Volumen de negocio en innovación. Total;9.502394025;A
103;2009;1.9 Volumen de negocio en innovación. Total;9.502394025;A
103;2010;1.9 Volumen de negocio en innovación. Total;12.362704086;A
103;2011;1.9 Volumen de negocio en innovación. Total;12.362704086;A
103;2012;1.9 Volumen de negocio en innovación. Total;11.227925868;A
103;2013;1.9 Volumen de negocio en innovación. Total;11.227925868;A
103;2014;1.9 Volumen de negocio en innovación. Total;7.602626646;A
103;2015;1.9 Volumen de negocio en innovación. Total;7.602626646;A
103;2016;1.9 Volumen de negocio en innovación. Total;15.612904003;A
103;2017;1.9 Volumen de negocio en innovación. Total;15.612904003;A
103;2018;1.9 Volumen de negocio en innovación. Total;15.654368491;A
103;2019;1.9 Volumen de negocio en innovación. Total;15.654368491;A
103;2020;1.9 Volumen de negocio en innovación. Total;15.068510556;A
104;2005;1.9 Volumen de negocio en innovación. Total;;A
104;2006;1.9 Volumen de negocio en innovación. Total;;A
104;2007;1.9 Volumen de negocio en innovación. Total;;A
104;2008;1.9 Volumen de negocio en innovación. Total;14.202040636;A
104;2009;1.9 Volumen de negocio en innovación. Total;14.202040636;A
104;2010;1.9 Volumen de negocio en innovación. Total;7.577467725;A
104;2011;1.9 Volumen de negocio en innovación. Total;7.577467725;A
104;2012;1.9 Volumen de negocio en innovación. Total;4.222378533;A
104;2013;1.9 Volumen de negocio en innovación. Total;4.222378533;A
104;2014;1.9 Volumen de negocio en innovación. Total;4.796319061;A
104;2015;1.9 Volumen de negocio en innovación. Total;4.796319061;A
