D_TERRITORIO_0;D_TEMPORAL_0;INDICATOR;OBS_VALUE;FREQ
106;2016;Doctorados STEM. Hombres;0.2;A
106;2017;Doctorados STEM. Hombres;0.1;A
106;2018;Doctorados STEM. Hombres;0.2;A
106;2019;Doctorados STEM. Hombres;0.2;A
106;2020;Doctorados STEM. Hombres;0.3;A
136;2013;Doctorados STEM. Hombres;0.5;A
136;2014;Doctorados STEM. Hombres;0.4;A
136;2015;Doctorados STEM. Hombres;0.2;A
136;2016;Doctorados STEM. Hombres;0.2;A
136;2017;Doctorados STEM. Hombres;0.1;A
136;2018;Doctorados STEM. Hombres;0.1;A
136;2019;Doctorados STEM. Hombres;0.1;A
136;2020;Doctorados STEM. Hombres;0.1;A
142;2013;Doctorados STEM. Hombres;0.6;A
142;2014;Doctorados STEM. Hombres;0.6;A
142;2015;Doctorados STEM. Hombres;0.3;A
142;2016;Doctorados STEM. Hombres;0.2;A
142;2017;Doctorados STEM. Hombres;0.2;A
142;2018;Doctorados STEM. Hombres;0.2;A
142;2019;Doctorados STEM. Hombres;0.2;A
142;2020;Doctorados STEM. Hombres;0.3;A
117;2013;Doctorados STEM. Hombres;0.6;A
117;2014;Doctorados STEM. Hombres;0.9;A
117;2015;Doctorados STEM. Hombres;0.5;A
117;2016;Doctorados STEM. Hombres;0.5;A
117;2017;Doctorados STEM. Hombres;0.7;A
117;2018;Doctorados STEM. Hombres;0.8;A
117;2019;Doctorados STEM. Hombres;0.5;A
117;2020;Doctorados STEM. Hombres;0.6;A
112;2013;Doctorados STEM. Hombres;0.4;A
112;2014;Doctorados STEM. Hombres;0.4;A
112;2015;Doctorados STEM. Hombres;0.2;A
112;2016;Doctorados STEM. Hombres;0.2;A
112;2017;Doctorados STEM. Hombres;0.2;A
112;2018;Doctorados STEM. Hombres;0.2;A
112;2019;Doctorados STEM. Hombres;0.2;A
112;2020;Doctorados STEM. Hombres;0.2;A
118;2013;Doctorados STEM. Hombres;0.2;A
118;2014;Doctorados STEM. Hombres;0.3;A
118;2015;Doctorados STEM. Hombres;0.1;A
118;2016;Doctorados STEM. Hombres;0.2;A
118;2017;Doctorados STEM. Hombres;0.2;A
118;2018;Doctorados STEM. Hombres;0.1;A
118;2019;Doctorados STEM. Hombres;0.1;A
118;2020;Doctorados STEM. Hombres;0.2;A
121;2013;Doctorados STEM. Hombres;;A
121;2014;Doctorados STEM. Hombres;;A
121;2015;Doctorados STEM. Hombres;;A
121;2016;Doctorados STEM. Hombres;;A
121;2017;Doctorados STEM. Hombres;0.5;A
121;2018;Doctorados STEM. Hombres;0.5;A
121;2019;Doctorados STEM. Hombres;0.5;A
121;2020;Doctorados STEM. Hombres;0.4;A
102;2013;Doctorados STEM. Hombres;1.3;A
102;2014;Doctorados STEM. Hombres;1.3;A
102;2015;Doctorados STEM. Hombres;0.6;A
102;2016;Doctorados STEM. Hombres;0.6;A
102;2017;Doctorados STEM. Hombres;0.6;A
102;2018;Doctorados STEM. Hombres;0.6;A
102;2019;Doctorados STEM. Hombres;0.6;A
102;2020;Doctorados STEM. Hombres;0.6;A
122;2013;Doctorados STEM. Hombres;;A
122;2014;Doctorados STEM. Hombres;0.2;A
122;2015;Doctorados STEM. Hombres;0.1;A
122;2016;Doctorados STEM. Hombres;0.1;A
122;2017;Doctorados STEM. Hombres;0.1;A
122;2018;Doctorados STEM. Hombres;0.1;A
122;2019;Doctorados STEM. Hombres;0.1;A
122;2020;Doctorados STEM. Hombres;0.1;A
123;2013;Doctorados STEM. Hombres;0.9;A
123;2014;Doctorados STEM. Hombres;0.9;A
123;2015;Doctorados STEM. Hombres;0.4;A
123;2016;Doctorados STEM. Hombres;0.4;A
123;2017;Doctorados STEM. Hombres;0.4;A
123;2018;Doctorados STEM. Hombres;0.4;A
123;2019;Doctorados STEM. Hombres;0.4;A
123;2020;Doctorados STEM. Hombres;0.4;A
128;2013;Doctorados STEM. Hombres;0.8;A
128;2014;Doctorados STEM. Hombres;0.6;A
128;2015;Doctorados STEM. Hombres;0.3;A
128;2016;Doctorados STEM. Hombres;0.1;A
128;2017;Doctorados STEM. Hombres;0.1;A
128;2018;Doctorados STEM. Hombres;0.1;A
128;2019;Doctorados STEM. Hombres;0.1;A
128;2020;Doctorados STEM. Hombres;;A
147;2013;Doctorados STEM. Hombres;2.0;A
147;2014;Doctorados STEM. Hombres;1.6;A
147;2015;Doctorados STEM. Hombres;0.8;A
147;2016;Doctorados STEM. Hombres;2.1;A
147;2017;Doctorados STEM. Hombres;0.5;A
147;2018;Doctorados STEM. Hombres;0.5;A
147;2019;Doctorados STEM. Hombres;0.4;A
147;2020;Doctorados STEM. Hombres;0.4;A
144;2013;Doctorados STEM. Hombres;1.1;A
144;2014;Doctorados STEM. Hombres;1.1;A
144;2015;Doctorados STEM. Hombres;0.5;A
144;2016;Doctorados STEM. Hombres;0.5;A
144;2017;Doctorados STEM. Hombres;0.5;A
144;2018;Doctorados STEM. Hombres;0.4;A
144;2019;Doctorados STEM. Hombres;0.4;A
144;2020;Doctorados STEM. Hombres;0.3;A
109;2013;Doctorados STEM. Hombres;1.5;A
109;2014;Doctorados STEM. Hombres;1.5;A
109;2015;Doctorados STEM. Hombres;0.8;A
109;2016;Doctorados STEM. Hombres;0.8;A
109;2017;Doctorados STEM. Hombres;0.7;A
109;2018;Doctorados STEM. Hombres;0.7;A
109;2019;Doctorados STEM. Hombres;0.6;A
109;2020;Doctorados STEM. Hombres;0.7;A
131;2013;Doctorados STEM. Hombres;1.9;A
131;2014;Doctorados STEM. Hombres;2.0;A
131;2015;Doctorados STEM. Hombres;1.0;A
131;2016;Doctorados STEM. Hombres;1.0;A
131;2017;Doctorados STEM. Hombres;0.9;A
131;2018;Doctorados STEM. Hombres;0.7;A
