D_TERRITORIO_0;D_TEMPORAL_0;INDICATOR;OBS_VALUE;FREQ
C01;2012;Diseños comunitarios*1000/PIB(PPS);1.5269698319842373;A
C01;2013;Diseños comunitarios*1000/PIB(PPS);1.5744624121850466;A
C01;2014;Diseños comunitarios*1000/PIB(PPS);1.5304241268410146;A
C01;2015;Diseños comunitarios*1000/PIB(PPS);1.431042623796207;A
C01;2016;Diseños comunitarios*1000/PIB(PPS);1.2909492050153937;A
C01;2017;Diseños comunitarios*1000/PIB(PPS);1.3303641182940853;A
C01;2018;Diseños comunitarios*1000/PIB(PPS);1.189267654199719;A
C01;2019;Diseños comunitarios*1000/PIB(PPS);1.0491899153896023;A
C01;2020;Diseños comunitarios*1000/PIB(PPS);1.309604546198639;A
C01;2021;Diseños comunitarios*1000/PIB(PPS);-;A
108;2012;Diseños comunitarios*1000/PIB(PPS);;A
108;2013;Diseños comunitarios*1000/PIB(PPS);;A
108;2014;Diseños comunitarios*1000/PIB(PPS);3.1516431192607905;A
108;2015;Diseños comunitarios*1000/PIB(PPS);3.041685660936941;A
108;2016;Diseños comunitarios*1000/PIB(PPS);3.122257776340179;A
108;2017;Diseños comunitarios*1000/PIB(PPS);3.0144061639741544;A
108;2018;Diseños comunitarios*1000/PIB(PPS);2.71973522005659;A
108;2019;Diseños comunitarios*1000/PIB(PPS);2.656957077808502;A
108;2020;Diseños comunitarios*1000/PIB(PPS);2.6317765596554574;A
108;2021;Diseños comunitarios*1000/PIB(PPS);-;A
UE27NRU;2012;Diseños comunitarios*1000/PIB(PPS);;A
UE27NRU;2013;Diseños comunitarios*1000/PIB(PPS);;A
UE27NRU;2014;Diseños comunitarios*1000/PIB(PPS);4.897737737160267;A
UE27NRU;2015;Diseños comunitarios*1000/PIB(PPS);4.737205202579001;A
UE27NRU;2016;Diseños comunitarios*1000/PIB(PPS);4.704957852998466;A
UE27NRU;2017;Diseños comunitarios*1000/PIB(PPS);4.7380313845242705;A
UE27NRU;2018;Diseños comunitarios*1000/PIB(PPS);4.429628257754694;A
UE27NRU;2019;Diseños comunitarios*1000/PIB(PPS);4.104924986679978;A
UE27NRU;2020;Diseños comunitarios*1000/PIB(PPS);4.052475663795923;A
UE27NRU;2021;Diseños comunitarios*1000/PIB(PPS);-;A
103;2012;Diseños comunitarios*1000/PIB(PPS);;A
103;2013;Diseños comunitarios*1000/PIB(PPS);;A
103;2014;Diseños comunitarios*1000/PIB(PPS);3.1589328485364114;A
103;2015;Diseños comunitarios*1000/PIB(PPS);2.889977373654151;A
103;2016;Diseños comunitarios*1000/PIB(PPS);2.7567734484682216;A
103;2017;Diseños comunitarios*1000/PIB(PPS);2.692904372553225;A
103;2018;Diseños comunitarios*1000/PIB(PPS);2.736658883037023;A
103;2019;Diseños comunitarios*1000/PIB(PPS);2.7544214999333483;A
103;2020;Diseños comunitarios*1000/PIB(PPS);2.6657794390636447;A
103;2021;Diseños comunitarios*1000/PIB(PPS);-;A
104;2012;Diseños comunitarios*1000/PIB(PPS);;A
104;2013;Diseños comunitarios*1000/PIB(PPS);;A
104;2014;Diseños comunitarios*1000/PIB(PPS);10.706571135342973;A
104;2015;Diseños comunitarios*1000/PIB(PPS);9.969826709704408;A
104;2016;Diseños comunitarios*1000/PIB(PPS);7.157874644815178;A
104;2017;Diseños comunitarios*1000/PIB(PPS);5.546570176156178;A
104;2018;Diseños comunitarios*1000/PIB(PPS);4.955975033057204;A
104;2019;Diseños comunitarios*1000/PIB(PPS);5.098261171232158;A
104;2020;Diseños comunitarios*1000/PIB(PPS);4.523185832775259;A
104;2021;Diseños comunitarios*1000/PIB(PPS);-;A
143;2012;Diseños comunitarios*1000/PIB(PPS);;A
143;2013;Diseños comunitarios*1000/PIB(PPS);;A
143;2014;Diseños comunitarios*1000/PIB(PPS);2.864150464715136;A
143;2015;Diseños comunitarios*1000/PIB(PPS);3.0108246571320727;A
143;2016;Diseños comunitarios*1000/PIB(PPS);2.625701284889854;A
143;2017;Diseños comunitarios*1000/PIB(PPS);3.9654227747171147;A
