D_TERRITORIO_0;D_TEMPORAL_0;INDICATOR;OBS_VALUE;FREQ
C01;2012;% Empresas que forman en TIC a su personal;15.5;A
C01;2013;% Empresas que forman en TIC a su personal;19.9;A
C01;2014;% Empresas que forman en TIC a su personal;22.4;A
C01;2015;% Empresas que forman en TIC a su personal;20.61;A
C01;2016;% Empresas que forman en TIC a su personal;22.34;A
C01;2017;% Empresas que forman en TIC a su personal;21.87;A
C01;2018;% Empresas que forman en TIC a su personal;19.15;A
C01;2019;% Empresas que forman en TIC a su personal;19.82;A
C01;2020;% Empresas que forman en TIC a su personal;18.89;A
C01;2021;% Empresas que forman en TIC a su personal;15.32;A
108;2012;% Empresas que forman en TIC a su personal;16.0;A
108;2013;% Empresas que forman en TIC a su personal;;A
108;2014;% Empresas que forman en TIC a su personal;22.0;A
108;2015;% Empresas que forman en TIC a su personal;22.0;A
108;2016;% Empresas que forman en TIC a su personal;23.0;A
108;2017;% Empresas que forman en TIC a su personal;23.0;A
108;2018;% Empresas que forman en TIC a su personal;21.0;A
108;2019;% Empresas que forman en TIC a su personal;22.0;A
108;2020;% Empresas que forman en TIC a su personal;20.0;A
108;2021;% Empresas que forman en TIC a su personal;18.51;A
UE27NRU;2012;% Empresas que forman en TIC a su personal;18.0;A
UE27NRU;2013;% Empresas que forman en TIC a su personal;;A
UE27NRU;2014;% Empresas que forman en TIC a su personal;20.0;A
UE27NRU;2015;% Empresas que forman en TIC a su personal;21.0;A
UE27NRU;2016;% Empresas que forman en TIC a su personal;21.0;A
UE27NRU;2017;% Empresas que forman en TIC a su personal;21.0;A
UE27NRU;2018;% Empresas que forman en TIC a su personal;22.0;A
UE27NRU;2019;% Empresas que forman en TIC a su personal;23.0;A
UE27NRU;2020;% Empresas que forman en TIC a su personal;20.0;A
UE27NRU;2021;% Empresas que forman en TIC a su personal;;A
UE28;2012;% Empresas que forman en TIC a su personal;19.0;A
UE28;2013;% Empresas que forman en TIC a su personal;;A
UE28;2014;% Empresas que forman en TIC a su personal;21.0;A
UE28;2015;% Empresas que forman en TIC a su personal;22.0;A
UE28;2016;% Empresas que forman en TIC a su personal;22.0;A
UE28;2017;% Empresas que forman en TIC a su personal;21.0;A
UE28;2018;% Empresas que forman en TIC a su personal;23.0;A
UE28;2019;% Empresas que forman en TIC a su personal;24.0;A
UE28;2020;% Empresas que forman en TIC a su personal;;A
UE28;2021;% Empresas que forman en TIC a su personal;;A
UE27;2012;% Empresas que forman en TIC a su personal;19.0;A
UE27;2013;% Empresas que forman en TIC a su personal;;A
UE27;2014;% Empresas que forman en TIC a su personal;21.0;A
UE27;2015;% Empresas que forman en TIC a su personal;22.0;A
UE27;2016;% Empresas que forman en TIC a su personal;22.0;A
UE27;2017;% Empresas que forman en TIC a su personal;21.0;A
UE27;2018;% Empresas que forman en TIC a su personal;23.0;A
UE27;2019;% Empresas que forman en TIC a su personal;;A
UE27;2020;% Empresas que forman en TIC a su personal;;A
UE27;2021;% Empresas que forman en TIC a su personal;;A
UE15;2012;% Empresas que forman en TIC a su personal;21.0;A
UE15;2013;% Empresas que forman en TIC a su personal;;A
UE15;2014;% Empresas que forman en TIC a su personal;23.0;A
UE15;2015;% Empresas que forman en TIC a su personal;24.0;A
UE15;2016;% Empresas que forman en TIC a su personal;24.0;A
UE15;2017;% Empresas que forman en TIC a su personal;23.0;A
UE15;2018;% Empresas que forman en TIC a su personal;25.0;A
UE15;2019;% Empresas que forman en TIC a su personal;;A
UE15;2020;% Empresas que forman en TIC a su personal;;A
UE15;2021;% Empresas que forman en TIC a su personal;;A
103;2012;% Empresas que forman en TIC a su personal;30.0;A
103;2013;% Empresas que forman en TIC a su personal;;A
103;2014;% Empresas que forman en TIC a su personal;33.0;A
103;2015;% Empresas que forman en TIC a su personal;32.0;A
103;2016;% Empresas que forman en TIC a su personal;34.0;A
103;2017;% Empresas que forman en TIC a su personal;35.0;A
103;2018;% Empresas que forman en TIC a su personal;36.0;A
103;2019;% Empresas que forman en TIC a su personal;36.0;A
103;2020;% Empresas que forman en TIC a su personal;33.0;A
103;2021;% Empresas que forman en TIC a su personal;;A
104;2012;% Empresas que forman en TIC a su personal;14.0;A
104;2013;% Empresas que forman en TIC a su personal;;A
104;2014;% Empresas que forman en TIC a su personal;15.0;A
104;2015;% Empresas que forman en TIC a su personal;8.0;A
104;2016;% Empresas que forman en TIC a su personal;8.0;A
104;2017;% Empresas que forman en TIC a su personal;9.0;A
104;2018;% Empresas que forman en TIC a su personal;9.0;A
104;2019;% Empresas que forman en TIC a su personal;10.0;A
104;2020;% Empresas que forman en TIC a su personal;7.0;A
104;2021;% Empresas que forman en TIC a su personal;;A
143;2012;% Empresas que forman en TIC a su personal;22.0;A
143;2013;% Empresas que forman en TIC a su personal;;A
143;2014;% Empresas que forman en TIC a su personal;22.0;A
143;2015;% Empresas que forman en TIC a su personal;22.0;A
143;2016;% Empresas que forman en TIC a su personal;22.0;A
143;2017;% Empresas que forman en TIC a su personal;23.0;A
143;2018;% Empresas que forman en TIC a su personal;25.0;A
143;2019;% Empresas que forman en TIC a su personal;25.0;A
143;2020;% Empresas que forman en TIC a su personal;25.0;A
143;2021;% Empresas que forman en TIC a su personal;;A
107;2012;% Empresas que forman en TIC a su personal;28.0;A
107;2013;% Empresas que forman en TIC a su personal;;A
107;2014;% Empresas que forman en TIC a su personal;30.0;A
107;2015;% Empresas que forman en TIC a su personal;29.0;A
107;2016;% Empresas que forman en TIC a su personal;28.0;A
107;2017;% Empresas que forman en TIC a su personal;27.0;A
107;2018;% Empresas que forman en TIC a su personal;28.0;A
107;2019;% Empresas que forman en TIC a su personal;31.0;A
107;2020;% Empresas que forman en TIC a su personal;30.0;A
107;2021;% Empresas que forman en TIC a su personal;;A
126;2012;% Empresas que forman en TIC a su personal;24.0;A
126;2013;% Empresas que forman en TIC a su personal;;A
126;2014;% Empresas que forman en TIC a su personal;31.0;A
126;2015;% Empresas que forman en TIC a su personal;30.0;A
126;2016;% Empresas que forman en TIC a su personal;29.0;A
126;2017;% Empresas que forman en TIC a su personal;28.0;A
126;2018;% Empresas que forman en TIC a su personal;30.0;A
126;2019;% Empresas que forman en TIC a su personal;32.0;A
126;2020;% Empresas que forman en TIC a su personal;24.0;A
126;2021;% Empresas que forman en TIC a su personal;;A
141;2012;% Empresas que forman en TIC a su personal;12.0;A
141;2013;% Empresas que forman en TIC a su personal;;A
141;2014;% Empresas que forman en TIC a su personal;14.0;A
141;2015;% Empresas que forman en TIC a su personal;14.0;A
141;2016;% Empresas que forman en TIC a su personal;13.0;A
141;2017;% Empresas que forman en TIC a su personal;13.0;A
141;2018;% Empresas que forman en TIC a su personal;13.0;A
141;2019;% Empresas que forman en TIC a su personal;17.0;A
141;2020;% Empresas que forman en TIC a su personal;17.0;A
141;2021;% Empresas que forman en TIC a su personal;;A
113;2012;% Empresas que forman en TIC a su personal;28.0;A
113;2013;% Empresas que forman en TIC a su personal;;A
113;2014;% Empresas que forman en TIC a su personal;25.0;A
113;2015;% Empresas que forman en TIC a su personal;30.0;A
113;2016;% Empresas que forman en TIC a su personal;30.0;A
113;2017;% Empresas que forman en TIC a su personal;30.0;A
113;2018;% Empresas que forman en TIC a su personal;30.0;A
113;2019;% Empresas que forman en TIC a su personal;31.0;A
113;2020;% Empresas que forman en TIC a su personal;27.0;A
113;2021;% Empresas que forman en TIC a su personal;;A
111;2012;% Empresas que forman en TIC a su personal;15.0;A
111;2013;% Empresas que forman en TIC a su personal;;A
111;2014;% Empresas que forman en TIC a su personal;11.0;A
111;2015;% Empresas que forman en TIC a su personal;15.0;A
111;2016;% Empresas que forman en TIC a su personal;15.0;A
111;2017;% Empresas que forman en TIC a su personal;12.0;A
111;2018;% Empresas que forman en TIC a su personal;14.0;A
111;2019;% Empresas que forman en TIC a su personal;15.0;A
111;2020;% Empresas que forman en TIC a su personal;12.0;A
111;2021;% Empresas que forman en TIC a su personal;;A
110;2012;% Empresas que forman en TIC a su personal;20.0;A
110;2013;% Empresas que forman en TIC a su personal;;A
110;2014;% Empresas que forman en TIC a su personal;21.0;A
