D_TERRITORIO_0;D_TEMPORAL_0;INDICATOR;OBS_VALUE;FREQ
C01;2006;Co-publicaciones científicas internacionales;;A
C01;2007;Co-publicaciones científicas internacionales;;A
C01;2008;Co-publicaciones científicas internacionales;;A
C01;2009;Co-publicaciones científicas internacionales;;A
C01;2010;Co-publicaciones científicas internacionales;;A
C01;2011;Co-publicaciones científicas internacionales;;A
C01;2012;Co-publicaciones científicas internacionales;548.407937618;A
C01;2013;Co-publicaciones científicas internacionales;564.120042719;A
C01;2014;Co-publicaciones científicas internacionales;622.041168033;A
C01;2015;Co-publicaciones científicas internacionales;643.89471171;A
C01;2016;Co-publicaciones científicas internacionales;703.905177648;A
C01;2017;Co-publicaciones científicas internacionales;727.622360105;A
C01;2018;Co-publicaciones científicas internacionales;796.490451435;A
C01;2019;Co-publicaciones científicas internacionales;876.245232072;A
C01;2020;Co-publicaciones científicas internacionales;969.644556455;A
C01;2021;Co-publicaciones científicas internacionales;1061.615205696;A
108;2006;Co-publicaciones científicas internacionales;;A
108;2007;Co-publicaciones científicas internacionales;;A
108;2008;Co-publicaciones científicas internacionales;;A
108;2009;Co-publicaciones científicas internacionales;;A
108;2010;Co-publicaciones científicas internacionales;;A
108;2011;Co-publicaciones científicas internacionales;;A
108;2012;Co-publicaciones científicas internacionales;688.193353582;A
108;2013;Co-publicaciones científicas internacionales;733.310562152;A
108;2014;Co-publicaciones científicas internacionales;793.249441218;A
108;2015;Co-publicaciones científicas internacionales;827.301545872;A
108;2016;Co-publicaciones científicas internacionales;879.981856386;A
108;2017;Co-publicaciones científicas internacionales;913.388771125;A
108;2018;Co-publicaciones científicas internacionales;961.698321617;A
108;2019;Co-publicaciones científicas internacionales;1008.271704967;A
108;2020;Co-publicaciones científicas internacionales;1108.500541573;A
108;2021;Co-publicaciones científicas internacionales;1194.001704609;A
UE27NRU;2006;Co-publicaciones científicas internacionales;;A
UE27NRU;2007;Co-publicaciones científicas internacionales;;A
UE27NRU;2008;Co-publicaciones científicas internacionales;;A
UE27NRU;2009;Co-publicaciones científicas internacionales;;A
UE27NRU;2010;Co-publicaciones científicas internacionales;;A
UE27NRU;2011;Co-publicaciones científicas internacionales;;A
UE27NRU;2012;Co-publicaciones científicas internacionales;;A
UE27NRU;2013;Co-publicaciones científicas internacionales;807.750190228;A
UE27NRU;2014;Co-publicaciones científicas internacionales;853.548774843;A
UE27NRU;2015;Co-publicaciones científicas internacionales;904.372355893;A
UE27NRU;2016;Co-publicaciones científicas internacionales;950.265986392;A
UE27NRU;2017;Co-publicaciones científicas internacionales;988.255834684;A
UE27NRU;2018;Co-publicaciones científicas internacionales;1043.964739565;A
UE27NRU;2019;Co-publicaciones científicas internacionales;1090.392826603;A
UE27NRU;2020;Co-publicaciones científicas internacionales;1181.344673238;A
UE27NRU;2021;Co-publicaciones científicas internacionales;;A
103;2006;Co-publicaciones científicas internacionales;;A
103;2007;Co-publicaciones científicas internacionales;;A
103;2008;Co-publicaciones científicas internacionales;;A
103;2009;Co-publicaciones científicas internacionales;;A
103;2010;Co-publicaciones científicas internacionales;;A
103;2011;Co-publicaciones científicas internacionales;;A
103;2012;Co-publicaciones científicas internacionales;;A
103;2013;Co-publicaciones científicas internacionales;1512.662895424;A
103;2014;Co-publicaciones científicas internacionales;1617.499221883;A
103;2015;Co-publicaciones científicas internacionales;1719.901107689;A
103;2016;Co-publicaciones científicas internacionales;1753.407731526;A
103;2017;Co-publicaciones científicas internacionales;1796.466740259;A
