D_TERRITORIO_0;D_TEMPORAL_0;INDICATOR;OBS_VALUE;FREQ
C01;2010;Patentes PCT*1000/PIB(PPS);1.1943813910601746;A
C01;2011;Patentes PCT*1000/PIB(PPS);1.2360342329368648;A
C01;2012;Patentes PCT*1000/PIB(PPS);1.3292817733791351;A
C01;2013;Patentes PCT*1000/PIB(PPS);1.20319179970473;A
C01;2014;Patentes PCT*1000/PIB(PPS);1.3894640098951316;A
C01;2015;Patentes PCT*1000/PIB(PPS);1.2713280452475233;A
C01;2016;Patentes PCT*1000/PIB(PPS);0.8793422121119349;A
C01;2017;Patentes PCT*1000/PIB(PPS);0.9105603298546183;A
C01;2018;Patentes PCT*1000/PIB(PPS);0.7077592868895889;A
C01;2019;Patentes PCT*1000/PIB(PPS);0.6938191375963498;A
C01;2020;Patentes PCT*1000/PIB(PPS);0.7296368185963845;A
C01;2021;Patentes PCT*1000/PIB(PPS);-;A
108;2010;Patentes PCT*1000/PIB(PPS);1.6872368105043694;A
108;2011;Patentes PCT*1000/PIB(PPS);1.64889480287147;A
108;2012;Patentes PCT*1000/PIB(PPS);1.5611093898074788;A
108;2013;Patentes PCT*1000/PIB(PPS);1.603655943223989;A
108;2014;Patentes PCT*1000/PIB(PPS);1.526397454918008;A
108;2015;Patentes PCT*1000/PIB(PPS);1.3123341569874158;A
108;2016;Patentes PCT*1000/PIB(PPS);1.2490749246464823;A
108;2017;Patentes PCT*1000/PIB(PPS);1.1205850686860168;A
108;2018;Patentes PCT*1000/PIB(PPS);1.082579789960949;A
108;2019;Patentes PCT*1000/PIB(PPS);1.1179189251717678;A
108;2020;Patentes PCT*1000/PIB(PPS);1.2228540674847472;A
108;2021;Patentes PCT*1000/PIB(PPS);;A
UE27NRU;2010;Patentes PCT*1000/PIB(PPS);;A
UE27NRU;2011;Patentes PCT*1000/PIB(PPS);3.998974833404782;A
UE27NRU;2012;Patentes PCT*1000/PIB(PPS);3.932445079698153;A
UE27NRU;2013;Patentes PCT*1000/PIB(PPS);3.9160020802143203;A
UE27NRU;2014;Patentes PCT*1000/PIB(PPS);3.8814065845899006;A
UE27NRU;2015;Patentes PCT*1000/PIB(PPS);3.786259298689805;A
UE27NRU;2016;Patentes PCT*1000/PIB(PPS);3.7102012643712587;A
UE27NRU;2017;Patentes PCT*1000/PIB(PPS);3.60649006819126;A
UE27NRU;2018;Patentes PCT*1000/PIB(PPS);3.487148806525056;A
UE27NRU;2019;Patentes PCT*1000/PIB(PPS);;A
UE27NRU;2020;Patentes PCT*1000/PIB(PPS);;A
UE27NRU;2021;Patentes PCT*1000/PIB(PPS);;A
103;2010;Patentes PCT*1000/PIB(PPS);;A
103;2011;Patentes PCT*1000/PIB(PPS);3.7558523116709024;A
103;2012;Patentes PCT*1000/PIB(PPS);3.4704607035136483;A
103;2013;Patentes PCT*1000/PIB(PPS);3.526564892791561;A
103;2014;Patentes PCT*1000/PIB(PPS);3.4125406513922276;A
103;2015;Patentes PCT*1000/PIB(PPS);3.28338111599101;A
103;2016;Patentes PCT*1000/PIB(PPS);3.551636128735295;A
103;2017;Patentes PCT*1000/PIB(PPS);3.1896556843864485;A
103;2018;Patentes PCT*1000/PIB(PPS);3.173955182308516;A
103;2019;Patentes PCT*1000/PIB(PPS);;A
103;2020;Patentes PCT*1000/PIB(PPS);;A
103;2021;Patentes PCT*1000/PIB(PPS);;A
104;2010;Patentes PCT*1000/PIB(PPS);;A
104;2011;Patentes PCT*1000/PIB(PPS);0.5275969847824725;A
104;2012;Patentes PCT*1000/PIB(PPS);0.6495913103374711;A
104;2013;Patentes PCT*1000/PIB(PPS);0.5283667621776504;A
104;2014;Patentes PCT*1000/PIB(PPS);0.6919686479740393;A
104;2015;Patentes PCT*1000/PIB(PPS);0.5932485574471135;A
104;2016;Patentes PCT*1000/PIB(PPS);0.47792710004277694;A
104;2017;Patentes PCT*1000/PIB(PPS);0.5130662505200235;A
104;2018;Patentes PCT*1000/PIB(PPS);0.471969008876657;A
104;2019;Patentes PCT*1000/PIB(PPS);;A
104;2020;Patentes PCT*1000/PIB(PPS);;A
104;2021;Patentes PCT*1000/PIB(PPS);;A
143;2010;Patentes PCT*1000/PIB(PPS);;A
143;2011;Patentes PCT*1000/PIB(PPS);0.8593757505858151;A
143;2012;Patentes PCT*1000/PIB(PPS);0.960795569856251;A
143;2013;Patentes PCT*1000/PIB(PPS);1.0937893566050652;A
143;2014;Patentes PCT*1000/PIB(PPS);1.098070445703543;A
143;2015;Patentes PCT*1000/PIB(PPS);1.0060199849023712;A
143;2016;Patentes PCT*1000/PIB(PPS);0.8627230870191354;A
143;2017;Patentes PCT*1000/PIB(PPS);0.7851771839134787;A
143;2018;Patentes PCT*1000/PIB(PPS);0.658790820635123;A
143;2019;Patentes PCT*1000/PIB(PPS);;A
143;2020;Patentes PCT*1000/PIB(PPS);;A
143;2021;Patentes PCT*1000/PIB(PPS);;A
107;2010;Patentes PCT*1000/PIB(PPS);;A
107;2011;Patentes PCT*1000/PIB(PPS);6.7882483616813225;A
107;2012;Patentes PCT*1000/PIB(PPS);6.224044778804958;A
