D_TERRITORIO_0;D_TEMPORAL_0;INDICATOR;OBS_VALUE;FREQ
C01;2005;PYMEs innovadoras producto o proceso;13.393173581;A
C01;2006;PYMEs innovadoras producto o proceso;4.273112526;A
C01;2007;PYMEs innovadoras producto o proceso;10.301936216;A
C01;2008;PYMEs innovadoras producto o proceso;7.358270023;A
C01;2009;PYMEs innovadoras producto o proceso;6.464945245;A
C01;2010;PYMEs innovadoras producto o proceso;4.991441763;A
C01;2011;PYMEs innovadoras producto o proceso;4.721239532;A
C01;2012;PYMEs innovadoras producto o proceso;3.608421879;A
C01;2013;PYMEs innovadoras producto o proceso;3.913182716;A
C01;2014;PYMEs innovadoras producto o proceso;3.658647669;A
C01;2015;PYMEs innovadoras producto o proceso;3.194550119;A
C01;2016;PYMEs innovadoras producto o proceso;3.95854847;A
C01;2017;PYMEs innovadoras producto o proceso;3.110694523;A
C01;2018;PYMEs innovadoras producto o proceso;7.418219173;A
C01;2019;PYMEs innovadoras producto o proceso;7.149130006;A
C01;2020;PYMEs innovadoras producto o proceso;11.02;A
108;2005;PYMEs innovadoras producto o proceso;;A
108;2006;PYMEs innovadoras producto o proceso;;A
108;2007;PYMEs innovadoras producto o proceso;;A
108;2008;PYMEs innovadoras producto o proceso;;A
108;2009;PYMEs innovadoras producto o proceso;;A
108;2010;PYMEs innovadoras producto o proceso;;A
108;2011;PYMEs innovadoras producto o proceso;;A
108;2012;PYMEs innovadoras producto o proceso;9.654542601;A
108;2013;PYMEs innovadoras producto o proceso;9.654542601;A
108;2014;PYMEs innovadoras producto o proceso;10.34702527;A
108;2015;PYMEs innovadoras producto o proceso;10.34702527;A
108;2016;PYMEs innovadoras producto o proceso;10.339578822;A
108;2017;PYMEs innovadoras producto o proceso;10.339578822;A
108;2018;PYMEs innovadoras producto o proceso;13.797830145;A
108;2019;PYMEs innovadoras producto o proceso;13.797830145;A
108;2020;PYMEs innovadoras producto o proceso;17.871291487;A
103;2005;PYMEs innovadoras producto o proceso;;A
103;2006;PYMEs innovadoras producto o proceso;;A
103;2007;PYMEs innovadoras producto o proceso;;A
103;2008;PYMEs innovadoras producto o proceso;;A
103;2009;PYMEs innovadoras producto o proceso;;A
103;2010;PYMEs innovadoras producto o proceso;;A
103;2011;PYMEs innovadoras producto o proceso;;A
103;2012;PYMEs innovadoras producto o proceso;30.675872093;A
103;2013;PYMEs innovadoras producto o proceso;30.675872093;A
103;2014;PYMEs innovadoras producto o proceso;30.825504389;A
103;2015;PYMEs innovadoras producto o proceso;30.825504389;A
103;2016;PYMEs innovadoras producto o proceso;34.15778887;A
103;2017;PYMEs innovadoras producto o proceso;34.15778887;A
103;2018;PYMEs innovadoras producto o proceso;28.599235816;A
103;2019;PYMEs innovadoras producto o proceso;28.599235816;A
103;2020;PYMEs innovadoras producto o proceso;34.740735571;A
