TERRITORIO;TEMPORAL;INDICATOR;OBS_VALUE;FREQ
C01;2005;317__APRE_PERM_HOMB;9.053481355;A
C01;2006;317__APRE_PERM_HOMB;9.072531452;A
C01;2007;317__APRE_PERM_HOMB;9.056551196;A
C01;2008;317__APRE_PERM_HOMB;8.823127831;A
C01;2009;317__APRE_PERM_HOMB;9.286809734;A
C01;2010;317__APRE_PERM_HOMB;9.84079475;A
C01;2011;317__APRE_PERM_HOMB;9.644660129;A
C01;2012;317__APRE_PERM_HOMB;10.062532823;A
C01;2013;317__APRE_PERM_HOMB;9.596155672;A
C01;2014;317__APRE_PERM_HOMB;8.63845041;A
C01;2015;317__APRE_PERM_HOMB;8.938082263;A
C01;2016;317__APRE_PERM_HOMB;8.12656266;A
C01;2017;317__APRE_PERM_HOMB;8.48380239;A
C01;2018;317__APRE_PERM_HOMB;8.559132;A
C01;2019;317__APRE_PERM_HOMB;9.14273999;A
C01;2020;317__APRE_PERM_HOMB;9.0451428;A
C01;2021;317__APRE_PERM_HOMB;11.689132673;A
108;2005;317__APRE_PERM_HOMB;9.8;A
108;2006;317__APRE_PERM_HOMB;9.6;A
108;2007;317__APRE_PERM_HOMB;9.6;A
108;2008;317__APRE_PERM_HOMB;9.7;A
108;2009;317__APRE_PERM_HOMB;9.8;A
108;2010;317__APRE_PERM_HOMB;10.3;A
108;2011;317__APRE_PERM_HOMB;10.3;A
108;2012;317__APRE_PERM_HOMB;10.2;A
108;2013;317__APRE_PERM_HOMB;10.5;A
108;2014;317__APRE_PERM_HOMB;9.4;A
108;2015;317__APRE_PERM_HOMB;9.2;A
108;2016;317__APRE_PERM_HOMB;8.6;A
108;2017;317__APRE_PERM_HOMB;9.2;A
108;2018;317__APRE_PERM_HOMB;9.5;A
108;2019;317__APRE_PERM_HOMB;9.5;A
108;2020;317__APRE_PERM_HOMB;9.9;A
108;2021;317__APRE_PERM_HOMB;12.7;A
UE27NRU;2005;317__APRE_PERM_HOMB;7.3;A
UE27NRU;2006;317__APRE_PERM_HOMB;7.3;A
UE27NRU;2007;317__APRE_PERM_HOMB;7.3;A
UE27NRU;2008;317__APRE_PERM_HOMB;7.5;A
UE27NRU;2009;317__APRE_PERM_HOMB;7.4;A
UE27NRU;2010;317__APRE_PERM_HOMB;7.3;A
UE27NRU;2011;317__APRE_PERM_HOMB;7.5;A
UE27NRU;2012;317__APRE_PERM_HOMB;7.6;A
UE27NRU;2013;317__APRE_PERM_HOMB;9.0;A
UE27NRU;2014;317__APRE_PERM_HOMB;9.3;A
UE27NRU;2015;317__APRE_PERM_HOMB;9.2;A
UE27NRU;2016;317__APRE_PERM_HOMB;9.4;A
UE27NRU;2017;317__APRE_PERM_HOMB;9.6;A
UE27NRU;2018;317__APRE_PERM_HOMB;9.7;A
UE27NRU;2019;317__APRE_PERM_HOMB;9.8;A
UE27NRU;2020;317__APRE_PERM_HOMB;8.3;A
UE27NRU;2021;317__APRE_PERM_HOMB;10.1;A
UE28;2005;317__APRE_PERM_HOMB;8.8;A
UE28;2006;317__APRE_PERM_HOMB;8.7;A
UE28;2007;317__APRE_PERM_HOMB;8.5;A
UE28;2008;317__APRE_PERM_HOMB;8.6;A
UE28;2009;317__APRE_PERM_HOMB;8.6;A
UE28;2010;317__APRE_PERM_HOMB;8.4;A
UE28;2011;317__APRE_PERM_HOMB;8.3;A
UE28;2012;317__APRE_PERM_HOMB;8.5;A
UE28;2013;317__APRE_PERM_HOMB;9.7;A
UE28;2014;317__APRE_PERM_HOMB;9.9;A
UE28;2015;317__APRE_PERM_HOMB;9.7;A
UE28;2016;317__APRE_PERM_HOMB;9.8;A
UE28;2017;317__APRE_PERM_HOMB;10.0;A
UE28;2018;317__APRE_PERM_HOMB;10.1;A
UE28;2019;317__APRE_PERM_HOMB;10.2;A
EA19;2005;317__APRE_PERM_HOMB;7.6;A
EA19;2006;317__APRE_PERM_HOMB;7.6;A
EA19;2007;317__APRE_PERM_HOMB;7.7;A
EA19;2008;317__APRE_PERM_HOMB;7.8;A
EA19;2009;317__APRE_PERM_HOMB;7.7;A
EA19;2010;317__APRE_PERM_HOMB;7.6;A
EA19;2011;317__APRE_PERM_HOMB;7.9;A
EA19;2012;317__APRE_PERM_HOMB;8.1;A
EA19;2013;317__APRE_PERM_HOMB;9.8;A
EA19;2014;317__APRE_PERM_HOMB;10.2;A
