TERRITORIO;TEMPORAL;INDICATOR;OBS_VALUE;FREQ
UE15;2017;EMPL_ACTI_INTE_CONO_AMBO_SEXO;15.2;A
UE15;2018;EMPL_ACTI_INTE_CONO_AMBO_SEXO;15.3;A
UE15;2019;EMPL_ACTI_INTE_CONO_AMBO_SEXO;15.6;A
103;2008;EMPL_ACTI_INTE_CONO_AMBO_SEXO;14.9;A
103;2009;EMPL_ACTI_INTE_CONO_AMBO_SEXO;14.5;A
103;2010;EMPL_ACTI_INTE_CONO_AMBO_SEXO;14.6;A
103;2011;EMPL_ACTI_INTE_CONO_AMBO_SEXO;14.8;A
103;2012;EMPL_ACTI_INTE_CONO_AMBO_SEXO;15.2;A
103;2013;EMPL_ACTI_INTE_CONO_AMBO_SEXO;15.3;A
103;2014;EMPL_ACTI_INTE_CONO_AMBO_SEXO;15.4;A
103;2015;EMPL_ACTI_INTE_CONO_AMBO_SEXO;15.5;A
103;2016;EMPL_ACTI_INTE_CONO_AMBO_SEXO;15.2;A
103;2017;EMPL_ACTI_INTE_CONO_AMBO_SEXO;15.6;A
103;2018;EMPL_ACTI_INTE_CONO_AMBO_SEXO;15.7;A
103;2019;EMPL_ACTI_INTE_CONO_AMBO_SEXO;16.0;A
103;2020;EMPL_ACTI_INTE_CONO_AMBO_SEXO;16.6;A
103;2021;EMPL_ACTI_INTE_CONO_AMBO_SEXO;17.5;A
104;2008;EMPL_ACTI_INTE_CONO_AMBO_SEXO;8.3;A
104;2009;EMPL_ACTI_INTE_CONO_AMBO_SEXO;8.5;A
104;2010;EMPL_ACTI_INTE_CONO_AMBO_SEXO;8.8;A
104;2011;EMPL_ACTI_INTE_CONO_AMBO_SEXO;8.5;A
104;2012;EMPL_ACTI_INTE_CONO_AMBO_SEXO;8.6;A
104;2013;EMPL_ACTI_INTE_CONO_AMBO_SEXO;9.0;A
104;2014;EMPL_ACTI_INTE_CONO_AMBO_SEXO;9.4;A
104;2015;EMPL_ACTI_INTE_CONO_AMBO_SEXO;10.1;A
104;2016;EMPL_ACTI_INTE_CONO_AMBO_SEXO;10.4;A
104;2017;EMPL_ACTI_INTE_CONO_AMBO_SEXO;10.2;A
104;2018;EMPL_ACTI_INTE_CONO_AMBO_SEXO;10.2;A
104;2019;EMPL_ACTI_INTE_CONO_AMBO_SEXO;10.6;A
104;2020;EMPL_ACTI_INTE_CONO_AMBO_SEXO;11.1;A
104;2021;EMPL_ACTI_INTE_CONO_AMBO_SEXO;11.6;A
143;2008;EMPL_ACTI_INTE_CONO_AMBO_SEXO;11.2;A
143;2009;EMPL_ACTI_INTE_CONO_AMBO_SEXO;11.3;A
143;2010;EMPL_ACTI_INTE_CONO_AMBO_SEXO;11.8;A
143;2011;EMPL_ACTI_INTE_CONO_AMBO_SEXO;12.3;A
143;2012;EMPL_ACTI_INTE_CONO_AMBO_SEXO;12.7;A
143;2013;EMPL_ACTI_INTE_CONO_AMBO_SEXO;13.0;A
143;2014;EMPL_ACTI_INTE_CONO_AMBO_SEXO;12.7;A
143;2015;EMPL_ACTI_INTE_CONO_AMBO_SEXO;12.4;A
143;2016;EMPL_ACTI_INTE_CONO_AMBO_SEXO;12.8;A
143;2017;EMPL_ACTI_INTE_CONO_AMBO_SEXO;12.9;A
143;2018;EMPL_ACTI_INTE_CONO_AMBO_SEXO;13.2;A
143;2019;EMPL_ACTI_INTE_CONO_AMBO_SEXO;13.1;A
143;2020;EMPL_ACTI_INTE_CONO_AMBO_SEXO;13.1;A
143;2021;EMPL_ACTI_INTE_CONO_AMBO_SEXO;14.2;A
107;2008;EMPL_ACTI_INTE_CONO_AMBO_SEXO;14.7;A
107;2009;EMPL_ACTI_INTE_CONO_AMBO_SEXO;15.1;A
107;2010;EMPL_ACTI_INTE_CONO_AMBO_SEXO;15.9;A
107;2011;EMPL_ACTI_INTE_CONO_AMBO_SEXO;15.8;A
