TERRITORIO;TEMPORAL;INDICATOR;OBS_VALUE;FREQ
C01;2005;GAST_INNO_SOBR_LA_CIFR_NEGO;0.325200286;A
C01;2006;GAST_INNO_SOBR_LA_CIFR_NEGO;0.277889541;A
C01;2007;GAST_INNO_SOBR_LA_CIFR_NEGO;0.381121046;A
C01;2008;GAST_INNO_SOBR_LA_CIFR_NEGO;0.29;A
C01;2009;GAST_INNO_SOBR_LA_CIFR_NEGO;0.29;A
C01;2010;GAST_INNO_SOBR_LA_CIFR_NEGO;0.28;A
C01;2011;GAST_INNO_SOBR_LA_CIFR_NEGO;0.21;A
C01;2012;GAST_INNO_SOBR_LA_CIFR_NEGO;0.217783635;A
C01;2013;GAST_INNO_SOBR_LA_CIFR_NEGO;0.208535953;A
C01;2014;GAST_INNO_SOBR_LA_CIFR_NEGO;0.196409416;A
C01;2015;GAST_INNO_SOBR_LA_CIFR_NEGO;0.110548974;A
C01;2016;GAST_INNO_SOBR_LA_CIFR_NEGO;0.180019444;A
C01;2017;GAST_INNO_SOBR_LA_CIFR_NEGO;0.106024002;A
C01;2018;GAST_INNO_SOBR_LA_CIFR_NEGO;0.269413463;A
C01;2019;GAST_INNO_SOBR_LA_CIFR_NEGO;0.404096803;A
C01;2020;GAST_INNO_SOBR_LA_CIFR_NEGO;0.298136195;A
108;2005;GAST_INNO_SOBR_LA_CIFR_NEGO;0.363457;A
108;2006;GAST_INNO_SOBR_LA_CIFR_NEGO;0.407088;A
108;2007;GAST_INNO_SOBR_LA_CIFR_NEGO;0.400233;A
108;2008;GAST_INNO_SOBR_LA_CIFR_NEGO;0.444505;A
108;2009;GAST_INNO_SOBR_LA_CIFR_NEGO;0.48642;A
108;2010;GAST_INNO_SOBR_LA_CIFR_NEGO;0.3776;A
108;2011;GAST_INNO_SOBR_LA_CIFR_NEGO;0.2912;A
108;2012;GAST_INNO_SOBR_LA_CIFR_NEGO;0.245028;A
108;2013;GAST_INNO_SOBR_LA_CIFR_NEGO;0.302302;A
