TERRITORIO;TEMPORAL;INDICATOR;OBS_VALUE;FREQ
C01;2015;PROP_PERS_CON_HABI_DIGI_AVAN;25.41912946;A
C01;2016;PROP_PERS_CON_HABI_DIGI_AVAN;26.486544888;A
C01;2017;PROP_PERS_CON_HABI_DIGI_AVAN;28.5;A
C01;2019;PROP_PERS_CON_HABI_DIGI_AVAN;34.0;A
C01;2020;PROP_PERS_CON_HABI_DIGI_AVAN;36.8;A
C01;2021;PROP_PERS_CON_HABI_DIGI_AVAN;39.236865184;A
108;2015;PROP_PERS_CON_HABI_DIGI_AVAN;30.0;A
108;2016;PROP_PERS_CON_HABI_DIGI_AVAN;31.0;A
108;2017;PROP_PERS_CON_HABI_DIGI_AVAN;32.0;A
108;2019;PROP_PERS_CON_HABI_DIGI_AVAN;36.0;A
108;2020;PROP_PERS_CON_HABI_DIGI_AVAN;41.1;A
108;2021;PROP_PERS_CON_HABI_DIGI_AVAN;43.690279507;A
UE28;2015;PROP_PERS_CON_HABI_DIGI_AVAN;28.0;A
UE28;2016;PROP_PERS_CON_HABI_DIGI_AVAN;29.0;A
UE28;2017;PROP_PERS_CON_HABI_DIGI_AVAN;31.0;A
UE28;2019;PROP_PERS_CON_HABI_DIGI_AVAN;33.0;A
UE27NRU;2015;PROP_PERS_CON_HABI_DIGI_AVAN;27.0;A
UE27NRU;2016;PROP_PERS_CON_HABI_DIGI_AVAN;27.0;A
UE27NRU;2017;PROP_PERS_CON_HABI_DIGI_AVAN;29.0;A
UE27NRU;2019;PROP_PERS_CON_HABI_DIGI_AVAN;31.0;A
UE27;2015;PROP_PERS_CON_HABI_DIGI_AVAN;28.0;A
UE27;2016;PROP_PERS_CON_HABI_DIGI_AVAN;29.0;A
UE27;2017;PROP_PERS_CON_HABI_DIGI_AVAN;31.0;A
UE15;2015;PROP_PERS_CON_HABI_DIGI_AVAN;31.0;A
UE15;2016;PROP_PERS_CON_HABI_DIGI_AVAN;32.0;A
UE15;2017;PROP_PERS_CON_HABI_DIGI_AVAN;34.0;A
103;2015;PROP_PERS_CON_HABI_DIGI_AVAN;31.0;A
103;2016;PROP_PERS_CON_HABI_DIGI_AVAN;32.0;A
103;2017;PROP_PERS_CON_HABI_DIGI_AVAN;31.0;A
103;2019;PROP_PERS_CON_HABI_DIGI_AVAN;34.0;A
104;2015;PROP_PERS_CON_HABI_DIGI_AVAN;13.0;A
104;2016;PROP_PERS_CON_HABI_DIGI_AVAN;10.0;A
104;2017;PROP_PERS_CON_HABI_DIGI_AVAN;11.0;A
104;2019;PROP_PERS_CON_HABI_DIGI_AVAN;11.0;A
143;2015;PROP_PERS_CON_HABI_DIGI_AVAN;23.0;A
143;2016;PROP_PERS_CON_HABI_DIGI_AVAN;20.0;A
143;2017;PROP_PERS_CON_HABI_DIGI_AVAN;24.0;A
143;2019;PROP_PERS_CON_HABI_DIGI_AVAN;26.0;A
107;2015;PROP_PERS_CON_HABI_DIGI_AVAN;48.0;A
107;2016;PROP_PERS_CON_HABI_DIGI_AVAN;53.0;A
107;2017;PROP_PERS_CON_HABI_DIGI_AVAN;47.0;A
107;2019;PROP_PERS_CON_HABI_DIGI_AVAN;49.0;A
126;2015;PROP_PERS_CON_HABI_DIGI_AVAN;35.0;A
126;2016;PROP_PERS_CON_HABI_DIGI_AVAN;33.0;A
126;2017;PROP_PERS_CON_HABI_DIGI_AVAN;37.0;A
126;2019;PROP_PERS_CON_HABI_DIGI_AVAN;39.0;A
141;2015;PROP_PERS_CON_HABI_DIGI_AVAN;37.0;A
141;2016;PROP_PERS_CON_HABI_DIGI_AVAN;35.0;A
141;2017;PROP_PERS_CON_HABI_DIGI_AVAN;35.0;A
141;2019;PROP_PERS_CON_HABI_DIGI_AVAN;37.0;A
113;2015;PROP_PERS_CON_HABI_DIGI_AVAN;25.0;A
113;2016;PROP_PERS_CON_HABI_DIGI_AVAN;25.0;A
113;2017;PROP_PERS_CON_HABI_DIGI_AVAN;28.0;A
113;2019;PROP_PERS_CON_HABI_DIGI_AVAN;34.0;A
111;2015;PROP_PERS_CON_HABI_DIGI_AVAN;16.0;A
111;2016;PROP_PERS_CON_HABI_DIGI_AVAN;19.0;A
111;2017;PROP_PERS_CON_HABI_DIGI_AVAN;22.0;A
111;2019;PROP_PERS_CON_HABI_DIGI_AVAN;23.0;A
110;2015;PROP_PERS_CON_HABI_DIGI_AVAN;27.0;A
110;2016;PROP_PERS_CON_HABI_DIGI_AVAN;28.0;A
110;2017;PROP_PERS_CON_HABI_DIGI_AVAN;29.0;A
110;2019;PROP_PERS_CON_HABI_DIGI_AVAN;31.0;A
146;2015;PROP_PERS_CON_HABI_DIGI_AVAN;30.0;A
