TERRITORIO;TEMPORAL;INDICATOR;OBS_VALUE;FREQ
;2005;317_APRE_PERM_AMBO_SEXO;9.660100642;A
;2006;317_APRE_PERM_AMBO_SEXO;9.926282809;A
;2007;317_APRE_PERM_AMBO_SEXO;10.156251203;A
;2008;317_APRE_PERM_AMBO_SEXO;9.866310607;A
;2009;317_APRE_PERM_AMBO_SEXO;9.900010738;A
;2010;317_APRE_PERM_AMBO_SEXO;10.524534278;A
;2011;317_APRE_PERM_AMBO_SEXO;10.329757644;A
;2012;317_APRE_PERM_AMBO_SEXO;10.313921432;A
;2013;317_APRE_PERM_AMBO_SEXO;10.146082785;A
;2014;317_APRE_PERM_AMBO_SEXO;9.096088975;A
;2015;317_APRE_PERM_AMBO_SEXO;9.181449991;A
;2016;317_APRE_PERM_AMBO_SEXO;8.67039278;A
;2017;317_APRE_PERM_AMBO_SEXO;8.63772701;A
;2018;317_APRE_PERM_AMBO_SEXO;9.02686656;A
;2019;317_APRE_PERM_AMBO_SEXO;9.59299629;A
;2020;317_APRE_PERM_AMBO_SEXO;9.60276009;A
;2021;317_APRE_PERM_AMBO_SEXO;12.653136175;A
108;2005;317_APRE_PERM_AMBO_SEXO;10.8;A
108;2006;317_APRE_PERM_AMBO_SEXO;10.7;A
108;2007;317_APRE_PERM_AMBO_SEXO;10.8;A
108;2008;317_APRE_PERM_AMBO_SEXO;10.7;A
108;2009;317_APRE_PERM_AMBO_SEXO;10.8;A
108;2010;317_APRE_PERM_AMBO_SEXO;11.2;A
108;2011;317_APRE_PERM_AMBO_SEXO;11.2;A
108;2012;317_APRE_PERM_AMBO_SEXO;11.2;A
108;2013;317_APRE_PERM_AMBO_SEXO;11.4;A
108;2014;317_APRE_PERM_AMBO_SEXO;10.1;A
108;2015;317_APRE_PERM_AMBO_SEXO;9.9;A
108;2016;317_APRE_PERM_AMBO_SEXO;9.4;A
108;2017;317_APRE_PERM_AMBO_SEXO;9.9;A
108;2018;317_APRE_PERM_AMBO_SEXO;10.5;A
108;2019;317_APRE_PERM_AMBO_SEXO;10.6;A
108;2020;317_APRE_PERM_AMBO_SEXO;11.0;A
108;2021;317_APRE_PERM_AMBO_SEXO;14.4;A
UE27NRU;2005;317_APRE_PERM_AMBO_SEXO;7.7;A
UE27NRU;2006;317_APRE_PERM_AMBO_SEXO;7.8;A
UE27NRU;2007;317_APRE_PERM_AMBO_SEXO;7.9;A
UE27NRU;2008;317_APRE_PERM_AMBO_SEXO;8.0;A
UE27NRU;2009;317_APRE_PERM_AMBO_SEXO;7.9;A
UE27NRU;2010;317_APRE_PERM_AMBO_SEXO;7.8;A
UE27NRU;2011;317_APRE_PERM_AMBO_SEXO;8.1;A
UE27NRU;2012;317_APRE_PERM_AMBO_SEXO;8.2;A
UE27NRU;2013;317_APRE_PERM_AMBO_SEXO;9.9;A
UE27NRU;2014;317_APRE_PERM_AMBO_SEXO;10.1;A
