D_TEMPORAL_0;D_TERRITORIO_0;D_NACIONACONYUGES_0;INDICATOR;OBS_VALUE;FREQ
2019;21;1;Divorcios;918.32539;A
2019;21;22;Divorcios;85.47302;A
2019;21;20;Divorcios;55.96305;A
2019;21;2;Divorcios;23.39619;A
2019;21;3;Divorcios;32.56686;A
2019;21;30;Divorcios;29.50997;A
2019;21;4;Divorcios;23.39619;A
2019;21;5;Divorcios;6.11378;A
2019;23;00;Divorcios;1181.24056;A
2019;23;11;Divorcios;1149.30296;A
2019;23;10;Divorcios;1149.30296;A
2019;23;1;Divorcios;1149.30296;A
2019;23;22;Divorcios;31.9376;A
2019;23;20;Divorcios;18.75312;A
2019;23;2;Divorcios;12.67268;A
2019;23;3;Divorcios;6.08044;A
2019;23;30;Divorcios;13.18448;A
2019;23;4;Divorcios;6.08044;A
2019;23;5;Divorcios;7.10404;A
2019;29;00;Divorcios;3795.50761;A
2019;29;11;Divorcios;3122.14949;A
2019;29;10;Divorcios;3122.14949;A
2019;29;1;Divorcios;3122.14949;A
2019;29;22;Divorcios;673.35812;A
2019;29;20;Divorcios;459.35853;A
2019;29;2;Divorcios;205.0105;A
2019;29;3;Divorcios;254.34803;A
2019;29;30;Divorcios;213.99959;A
2019;29;4;Divorcios;148.24328;A
2019;29;5;Divorcios;65.75631;A
2019;41;00;Divorcios;4059.5542;A
2019;41;11;Divorcios;3802.42187;A
2019;41;10;Divorcios;3802.42187;A
2019;41;1;Divorcios;3802.42187;A
2019;41;22;Divorcios;257.13233;A
2019;41;20;Divorcios;185.90416;A
2019;41;2;Divorcios;104.01196;A
2019;41;3;Divorcios;81.8922;A
2019;41;30;Divorcios;71.22817;A
2019;41;4;Divorcios;55.06982;A
2019;41;5;Divorcios;16.15835;A
2018;C01;00;Divorcios;16934.828;A
2018;C01;11;Divorcios;15157.9698;A
2018;C01;10;Divorcios;15157.9698;A
2018;C01;1;Divorcios;15157.9698;A
2018;C01;22;Divorcios;1776.8582;A
2018;C01;20;Divorcios;1213.5974;A
2018;C01;2;Divorcios;612.1401;A
2018;C01;3;Divorcios;601.4573;A
2018;C01;30;Divorcios;563.2608;A
2018;C01;4;Divorcios;385.7729;A
2018;C01;5;Divorcios;177.4879;A
2018;04;00;Divorcios;1456.1395;A
2018;04;11;Divorcios;1158.9961;A
2018;04;10;Divorcios;1158.9961;A
2018;04;1;Divorcios;1158.9961;A
2018;04;22;Divorcios;297.1434;A
2018;04;20;Divorcios;173.1565;A
2018;04;2;Divorcios;118.1505;A
2018;04;3;Divorcios;55.006;A
2018;04;30;Divorcios;123.9869;A
2018;04;4;Divorcios;82.8448;A
2018;04;5;Divorcios;41.1421;A
2018;11;00;Divorcios;2490.3415;A
2018;11;11;Divorcios;2355.8524;A
2018;11;10;Divorcios;2355.8524;A
2018;11;1;Divorcios;2355.8524;A
2018;11;22;Divorcios;134.4891;A
2018;11;20;Divorcios;93.4413;A
2018;11;2;Divorcios;38.7506;A
2018;11;3;Divorcios;54.6907;A
2018;11;30;Divorcios;41.0478;A
2018;11;4;Divorcios;30.6125;A
2018;11;5;Divorcios;10.4353;A
2018;14;00;Divorcios;1405.7198;A
2018;14;11;Divorcios;1358.376;A
2018;14;10;Divorcios;1358.376;A
2018;14;1;Divorcios;1358.376;A
2018;14;22;Divorcios;47.3438;A
2018;14;20;Divorcios;31.1252;A
2018;14;2;Divorcios;23.2532;A
2018;14;3;Divorcios;7.872;A
2018;14;30;Divorcios;16.2186;A
2018;14;4;Divorcios;14.9066;A
2018;14;5;Divorcios;1.312;A
2018;18;00;Divorcios;1684.5826;A
2018;18;11;Divorcios;1518.3562;A
2018;18;10;Divorcios;1518.3562;A
2018;18;1;Divorcios;1518.3562;A
2018;18;22;Divorcios;166.2264;A
2018;18;20;Divorcios;119.0099;A
2018;18;2;Divorcios;69.0555;A
2018;18;3;Divorcios;49.9544;A
2018;18;30;Divorcios;47.2165;A
2018;18;4;Divorcios;39.8034;A
2018;18;5;Divorcios;7.4131;A
2018;21;00;Divorcios;986.218;A
2018;21;11;Divorcios;902.256;A
2018;21;10;Divorcios;902.256;A
2018;21;1;Divorcios;902.256;A
2018;21;22;Divorcios;83.962;A
2018;21;20;Divorcios;65.614;A
2018;21;2;Divorcios;47.153;A
2018;21;3;Divorcios;18.461;A
2018;21;30;Divorcios;18.348;A
2018;21;4;Divorcios;12.232;A
2018;21;5;Divorcios;6.116;A
2018;23;00;Divorcios;1108.2069;A
2018;23;11;Divorcios;1060.2113;A
2018;23;10;Divorcios;1060.2113;A
2018;23;1;Divorcios;1060.2113;A
2018;23;22;Divorcios;47.9956;A
2018;23;20;Divorcios;41.0677;A
2018;23;2;Divorcios;19.153;A
