D_TEMPORAL_0;D_TERRITORIO_0;D_NUMHIJOSMENORED_0;INDICATOR;OBS_VALUE;FREQ
2019;C01;0;Nulidades;2.34554;A
2019;C01;1;Nulidades;2.18014;A
2019;C01;2;Nulidades;8.48344;A
2019;C01;3;Nulidades;;A
2019;C01;4;Nulidades;;A
2019;C01;05+;Nulidades;;A
2019;04;000;Nulidades;;A
2019;04;0;Nulidades;;A
2019;04;1;Nulidades;;A
2019;04;2;Nulidades;;A
2019;04;3;Nulidades;;A
2019;04;4;Nulidades;;A
2019;04;05+;Nulidades;;A
2019;11;000;Nulidades;6.54042;A
2019;11;0;Nulidades;;A
2019;11;1;Nulidades;2.18014;A
2019;11;2;Nulidades;4.36028;A
2019;11;3;Nulidades;;A
2019;11;4;Nulidades;;A
2019;11;05+;Nulidades;;A
2019;14;000;Nulidades;;A
2019;14;0;Nulidades;;A
2019;14;1;Nulidades;;A
2019;14;2;Nulidades;;A
2019;14;3;Nulidades;;A
2019;14;4;Nulidades;;A
2019;18;000;Nulidades;2.39728;A
2019;18;0;Nulidades;;A
2019;18;1;Nulidades;;A
2019;18;2;Nulidades;2.39728;A
2019;18;3;Nulidades;;A
2019;18;4;Nulidades;;A
2019;18;05+;Nulidades;;A
2019;21;000;Nulidades;;A
2019;21;0;Nulidades;;A
2019;21;1;Nulidades;;A
2019;21;2;Nulidades;;A
2019;21;3;Nulidades;;A
2019;21;4;Nulidades;;A
2019;23;000;Nulidades;;A
2019;23;0;Nulidades;;A
2019;23;1;Nulidades;;A
2019;23;2;Nulidades;;A
2019;23;3;Nulidades;;A
2019;23;4;Nulidades;;A
2019;29;000;Nulidades;2.34554;A
2019;29;0;Nulidades;2.34554;A
2019;29;1;Nulidades;;A
2019;29;2;Nulidades;;A
2019;29;3;Nulidades;;A
2019;29;4;Nulidades;;A
2019;29;05+;Nulidades;;A
2019;41;000;Nulidades;1.72588;A
2019;41;0;Nulidades;;A
2019;41;1;Nulidades;;A
2019;41;2;Nulidades;1.72588;A
2019;41;3;Nulidades;;A
2019;41;4;Nulidades;;A
2018;C01;000;Nulidades;15.9558;A
2018;C01;0;Nulidades;11.8116;A
2018;C01;1;Nulidades;4.1442;A
2018;C01;2;Nulidades;;A
2018;C01;3;Nulidades;;A
2018;C01;4;Nulidades;;A
2018;C01;05+;Nulidades;;A
2018;04;000;Nulidades;1.6277;A
2018;04;0;Nulidades;1.6277;A
2018;04;1;Nulidades;;A
2018;04;2;Nulidades;;A
2018;04;3;Nulidades;;A
2018;04;4;Nulidades;;A
2018;11;000;Nulidades;8.7124;A
2018;11;0;Nulidades;6.5343;A
2018;11;1;Nulidades;2.1781;A
2018;11;2;Nulidades;;A
2018;11;3;Nulidades;;A
2018;11;4;Nulidades;;A
2018;14;000;Nulidades;1.312;A
2018;14;0;Nulidades;1.312;A
2018;14;1;Nulidades;;A
2018;14;2;Nulidades;;A
2018;14;3;Nulidades;;A
2018;14;4;Nulidades;;A
2018;14;05+;Nulidades;;A
2018;18;000;Nulidades;2.3376;A
2018;18;0;Nulidades;2.3376;A
2018;18;1;Nulidades;;A
2018;18;2;Nulidades;;A
2018;18;3;Nulidades;;A
2018;18;4;Nulidades;;A
2018;21;000;Nulidades;;A
2018;21;0;Nulidades;;A
2018;21;1;Nulidades;;A
2018;21;2;Nulidades;;A
2018;21;3;Nulidades;;A
2018;21;4;Nulidades;;A
2018;23;000;Nulidades;;A
2018;23;0;Nulidades;;A
2018;23;1;Nulidades;;A
2018;23;2;Nulidades;;A
2018;23;3;Nulidades;;A
2018;23;4;Nulidades;;A
2018;29;000;Nulidades;1.9661;A
2018;29;0;Nulidades;;A
2018;29;1;Nulidades;1.9661;A
2018;29;2;Nulidades;;A
2018;29;3;Nulidades;;A
2018;29;4;Nulidades;;A
2018;29;05+;Nulidades;;A
2018;41;000;Nulidades;;A
2018;41;0;Nulidades;;A
2018;41;1;Nulidades;;A
2018;41;2;Nulidades;;A
2018;41;3;Nulidades;;A
2018;41;4;Nulidades;;A
2018;41;05+;Nulidades;;A
2017;C01;000;Nulidades;18.7654;A
2017;C01;0;Nulidades;18.7654;A
2017;C01;1;Nulidades;;A
2017;C01;2;Nulidades;;A
2017;C01;3;Nulidades;;A
2017;C01;4;Nulidades;;A
2017;C01;05+;Nulidades;;A
2017;04;000;Nulidades;1.5212;A
2017;04;0;Nulidades;1.5212;A
2017;04;1;Nulidades;;A
2017;04;2;Nulidades;;A
2017;04;3;Nulidades;;A
2017;04;4;Nulidades;;A
2017;04;05+;Nulidades;;A
2017;11;000;Nulidades;;A
2017;11;0;Nulidades;;A
2017;11;1;Nulidades;;A
2017;11;2;Nulidades;;A
2017;11;3;Nulidades;;A
2017;11;4;Nulidades;;A
2017;11;05+;Nulidades;;A
2017;14;000;Nulidades;1.523;A
2017;14;0;Nulidades;1.523;A
2017;14;1;Nulidades;;A
2017;14;2;Nulidades;;A
2017;14;3;Nulidades;;A
2017;14;4;Nulidades;;A
2017;18;000;Nulidades;4.0304;A
2017;18;0;Nulidades;4.0304;A
2017;18;1;Nulidades;;A
2017;18;2;Nulidades;;A
2017;18;3;Nulidades;;A
2017;18;4;Nulidades;;A
2017;18;05+;Nulidades;;A
2017;21;000;Nulidades;;A
2017;21;0;Nulidades;;A
2017;21;1;Nulidades;;A
2017;21;2;Nulidades;;A
2017;21;3;Nulidades;;A
2017;21;4;Nulidades;;A
2017;23;000;Nulidades;4.0944;A
2017;23;0;Nulidades;4.0944;A
2017;23;1;Nulidades;;A
2017;23;2;Nulidades;;A
2017;23;3;Nulidades;;A
2017;23;4;Nulidades;;A
2017;29;000;Nulidades;4.8474;A
2017;29;0;Nulidades;4.8474;A
2017;29;1;Nulidades;;A
2017;29;2;Nulidades;;A
2017;29;3;Nulidades;;A
2017;29;4;Nulidades;;A
2017;41;000;Nulidades;2.749;A
2017;41;0;Nulidades;2.749;A
2017;41;1;Nulidades;;A
2017;41;2;Nulidades;;A
2017;41;3;Nulidades;;A
2017;41;4;Nulidades;;A
2017;41;05+;Nulidades;;A
2016;C01;000;Nulidades;13.6103;A
2016;C01;0;Nulidades;10.5888;A
2016;C01;1;Nulidades;;A
2016;C01;2;Nulidades;3.0215;A
2016;C01;3;Nulidades;;A
2016;C01;4;Nulidades;;A
2016;C01;05+;Nulidades;;A
2016;04;000;Nulidades;1.3299;A
2016;04;0;Nulidades;1.3299;A
2016;04;1;Nulidades;;A
