D_TEMPORAL_0;D_TERRITORIO_0;D_CUSTODIA_0;INDICATOR;OBS_VALUE;FREQ
2018;41;3;Divorcios;644.9349;A
2018;41;4;Divorcios;10.2837;A
2018;41;NP;Divorcios;1712.6652;A
2017;C01;00;Divorcios;17436.6101;A
2017;C01;1;Divorcios;379.8199;A
2017;C01;2;Divorcios;7175.7275;A
2017;C01;3;Divorcios;1828.2458;A
2017;C01;4;Divorcios;40.0951;A
2017;C01;NP;Divorcios;8012.7218;A
2017;04;00;Divorcios;1454.7143;A
2017;04;1;Divorcios;31.9452;A
2017;04;2;Divorcios;553.7168;A
2017;04;3;Divorcios;150.5988;A
2017;04;4;Divorcios;9.1272;A
2017;04;NP;Divorcios;709.3263;A
2017;11;00;Divorcios;2406.3281;A
2017;11;1;Divorcios;57.5212;A
2017;11;2;Divorcios;1057.375;A
2017;11;3;Divorcios;240.2356;A
2017;11;4;Divorcios;3.3836;A
2017;11;NP;Divorcios;1047.8127;A
2017;14;00;Divorcios;1426.032;A
2017;14;1;Divorcios;38.075;A
2017;14;2;Divorcios;616.815;A
2017;14;3;Divorcios;182.76;A
2017;14;4;Divorcios;1.523;A
2017;14;NP;Divorcios;586.859;A
2017;18;00;Divorcios;1990.6668;A
2017;18;1;Divorcios;32.2432;A
2017;18;2;Divorcios;796.004;A
2017;18;3;Divorcios;247.8696;A
2017;18;4;Divorcios;2.0152;A
2017;18;NP;Divorcios;912.5348;A
2017;21;00;Divorcios;1060.4795;A
2017;21;1;Divorcios;15.8464;A
2017;21;2;Divorcios;511.0464;A
2017;21;3;Divorcios;73.2896;A
2017;21;4;Divorcios;1.9808;A
2017;21;NP;Divorcios;458.3163;A
2017;23;00;Divorcios;1127.8821;A
2017;23;1;Divorcios;32.7552;A
2017;23;2;Divorcios;403.2984;A
2017;23;3;Divorcios;75.7464;A
2017;23;NP;Divorcios;616.0821;A
2017;29;00;Divorcios;3652.1307;A
2017;29;1;Divorcios;71.0952;A
2017;29;2;Divorcios;1402.5144;A
2017;29;3;Divorcios;340.9338;A
2017;29;4;Divorcios;9.6948;A
2017;29;NP;Divorcios;1827.8925;A
2017;41;00;Divorcios;4318.3766;A
2017;41;1;Divorcios;100.3385;A
2017;41;2;Divorcios;1834.9575;A
2017;41;3;Divorcios;516.812;A
2017;41;4;Divorcios;12.3705;A
2017;41;NP;Divorcios;1853.8981;A
2016;C01;00;Divorcios;16968.2676;A
2016;C01;1;Divorcios;384.1741;A
2016;C01;2;Divorcios;7356.5474;A
2016;C01;3;Divorcios;1611.2765;A
2016;C01;4;Divorcios;38.3014;A
2016;C01;NP;Divorcios;7577.9682;A
2016;04;00;Divorcios;1425.5804;A
2016;04;1;Divorcios;25.2681;A
2016;04;2;Divorcios;617.0736;A
2016;04;3;Divorcios;105.0621;A
2016;04;4;Divorcios;1.3299;A
2016;04;NP;Divorcios;676.8467;A
2016;11;00;Divorcios;2275.825;A
2016;11;1;Divorcios;55.181;A
2016;11;2;Divorcios;1133.5754;A
2016;11;3;Divorcios;175.0026;A
2016;11;4;Divorcios;3.1532;A
2016;11;NP;Divorcios;908.9128;A
2016;14;00;Divorcios;1473.292;A
2016;14;1;Divorcios;36.5372;A
2016;14;2;Divorcios;567.6315;A
2016;14;3;Divorcios;259.6751;A
2016;14;4;Divorcios;2.6098;A
2016;14;NP;Divorcios;606.8384;A
2016;18;00;Divorcios;1937.4432;A
2016;18;1;Divorcios;38.0336;A
2016;18;2;Divorcios;784.8752;A
2016;18;3;Divorcios;179.7952;A
2016;18;4;Divorcios;6.9152;A
2016;18;NP;Divorcios;927.824;A
2016;21;00;Divorcios;1053.5608;A
2016;21;1;Divorcios;29.3964;A
2016;21;2;Divorcios;504.9264;A
2016;21;3;Divorcios;91.6476;A
2016;21;4;Divorcios;6.9168;A
2016;21;NP;Divorcios;420.6736;A
2016;23;00;Divorcios;1120.7404;A
2016;23;1;Divorcios;20.9272;A
2016;23;2;Divorcios;469.3672;A
2016;23;3;Divorcios;100.1516;A
2016;23;4;Divorcios;1.4948;A
2016;23;NP;Divorcios;528.7996;A
2016;29;00;Divorcios;3657.8326;A
2016;29;1;Divorcios;78.0312;A
2016;29;2;Divorcios;1484.0934;A
2016;29;3;Divorcios;285.114;A
2016;29;4;Divorcios;12.0048;A
2016;29;NP;Divorcios;1798.5892;A
