D_TEMPORAL_0;D_LUGARNACIMIEN_0;D_SEXO_0;D_TERRITORIO_0;INDICATOR;OBS_VALUE;FREQ
2009;45576;3690;3142;Andaluces;40.0;A
2009;45576;3690;3143;Andaluces;7747.0;A
2009;45576;3690;3160;Andaluces;852.0;A
2009;45576;3690;3676;Andaluces;8599.0;A
2009;45657;3691;2352;Andaluces;6.0;A
2009;45657;3691;2402;Andaluces;27.0;A
2009;45657;3691;2482;Andaluces;12.0;A
2009;45657;3691;2713;Andaluces;9.0;A
2009;45657;3691;2797;Andaluces;2684.0;A
2009;45657;3691;2911;Andaluces;4.0;A
2009;45657;3691;3023;Andaluces;14.0;A
2009;45657;3691;3142;Andaluces;155.0;A
2009;45657;3691;3143;Andaluces;2911.0;A
2009;45657;3691;3160;Andaluces;415.0;A
2009;45657;3691;3676;Andaluces;3326.0;A
2009;45657;3689;2352;Andaluces;4.0;A
2009;45657;3689;2402;Andaluces;11.0;A
2009;45657;3689;2482;Andaluces;5.0;A
2009;45657;3689;2713;Andaluces;4.0;A
2009;45657;3689;2797;Andaluces;1335.0;A
2009;45657;3689;2911;Andaluces;1.0;A
2009;45657;3689;3023;Andaluces;8.0;A
2009;45657;3689;3142;Andaluces;70.0;A
2009;45657;3689;3143;Andaluces;1438.0;A
2009;45657;3689;3160;Andaluces;206.0;A
2009;45657;3689;3676;Andaluces;1644.0;A
2009;45657;3690;2352;Andaluces;2.0;A
2009;45657;3690;2402;Andaluces;16.0;A
2009;45657;3690;2482;Andaluces;7.0;A
2009;45657;3690;2713;Andaluces;5.0;A
2009;45657;3690;2797;Andaluces;1349.0;A
2009;45657;3690;2911;Andaluces;3.0;A
2009;45657;3690;3023;Andaluces;6.0;A
2009;45657;3690;3142;Andaluces;85.0;A
2009;45657;3690;3143;Andaluces;1473.0;A
2009;45657;3690;3160;Andaluces;209.0;A
2009;45657;3690;3676;Andaluces;1682.0;A
2009;45765;3691;2352;Andaluces;20.0;A
2009;45765;3691;2402;Andaluces;33.0;A
2009;45765;3691;2482;Andaluces;49.0;A
2009;45765;3691;2713;Andaluces;129.0;A
2009;45765;3691;2797;Andaluces;3.0;A
2009;45765;3691;2911;Andaluces;5085.0;A
2009;45765;3691;3023;Andaluces;95.0;A
2009;45765;3691;3142;Andaluces;72.0;A
2009;45765;3691;3143;Andaluces;5486.0;A
2009;45765;3691;3160;Andaluces;1899.0;A
2009;45765;3691;3676;Andaluces;7385.0;A
2009;45765;3689;2352;Andaluces;8.0;A
2009;45765;3689;2402;Andaluces;16.0;A
2009;45765;3689;2482;Andaluces;22.0;A
2009;45765;3689;2713;Andaluces;62.0;A
2009;45765;3689;2797;Andaluces;1.0;A
2009;45765;3689;2911;Andaluces;2491.0;A
2009;45765;3689;3023;Andaluces;42.0;A
2009;45765;3689;3142;Andaluces;34.0;A
2009;45765;3689;3143;Andaluces;2676.0;A
2009;45765;3689;3160;Andaluces;896.0;A
2009;45765;3689;3676;Andaluces;3572.0;A
2009;45765;3690;2352;Andaluces;12.0;A
2009;45765;3690;2402;Andaluces;17.0;A
2009;45765;3690;2482;Andaluces;27.0;A
2009;45765;3690;2713;Andaluces;67.0;A
2009;45765;3690;2797;Andaluces;2.0;A
2009;45765;3690;2911;Andaluces;2594.0;A
2009;45765;3690;3023;Andaluces;53.0;A
2009;45765;3690;3142;Andaluces;38.0;A
2009;45765;3690;3143;Andaluces;2810.0;A
2009;45765;3690;3160;Andaluces;1003.0;A
2009;45765;3690;3676;Andaluces;3813.0;A
2009;45873;3691;2352;Andaluces;31.0;A
2009;45873;3691;2402;Andaluces;175.0;A
2009;45873;3691;2482;Andaluces;29.0;A
2009;45873;3691;2713;Andaluces;73.0;A
2009;45873;3691;2797;Andaluces;5.0;A
2009;45873;3691;2911;Andaluces;16.0;A
2009;45873;3691;3023;Andaluces;12072.0;A
2009;45873;3691;3142;Andaluces;89.0;A
2009;45873;3691;3143;Andaluces;12490.0;A
2009;45873;3691;3160;Andaluces;1337.0;A
2009;45873;3691;3676;Andaluces;13827.0;A
2009;45873;3689;2352;Andaluces;21.0;A
2009;45873;3689;2402;Andaluces;86.0;A
2009;45873;3689;2482;Andaluces;12.0;A
2009;45873;3689;2713;Andaluces;30.0;A
2009;45873;3689;2797;Andaluces;2.0;A
2009;45873;3689;2911;Andaluces;10.0;A
2009;45873;3689;3023;Andaluces;5877.0;A
2009;45873;3689;3142;Andaluces;39.0;A
2009;45873;3689;3143;Andaluces;6077.0;A
2009;45873;3689;3160;Andaluces;612.0;A
2009;45873;3689;3676;Andaluces;6689.0;A
2009;45873;3690;2352;Andaluces;10.0;A
2009;45873;3690;2402;Andaluces;89.0;A
2009;45873;3690;2482;Andaluces;17.0;A
2009;45873;3690;2713;Andaluces;43.0;A
2009;45873;3690;2797;Andaluces;3.0;A
2009;45873;3690;2911;Andaluces;6.0;A
2009;45873;3690;3023;Andaluces;6195.0;A
2009;45873;3690;3142;Andaluces;50.0;A
2009;45873;3690;3143;Andaluces;6413.0;A
2009;45873;3690;3160;Andaluces;725.0;A
2009;45873;3690;3676;Andaluces;7138.0;A
2009;45980;3691;2352;Andaluces;21.0;A
2009;45980;3691;2402;Andaluces;219.0;A
2009;45980;3691;2482;Andaluces;68.0;A
2009;45980;3691;2713;Andaluces;50.0;A
2009;45980;3691;2797;Andaluces;63.0;A
2009;45980;3691;2911;Andaluces;14.0;A
2009;45980;3691;3023;Andaluces;162.0;A
2009;45980;3691;3142;Andaluces;11022.0;A
2009;45980;3691;3143;Andaluces;11619.0;A
2009;45980;3691;3160;Andaluces;1476.0;A
2009;45980;3691;3676;Andaluces;13095.0;A
2009;45980;3689;2352;Andaluces;10.0;A
2009;45980;3689;2402;Andaluces;92.0;A
2009;45980;3689;2482;Andaluces;27.0;A
2009;45980;3689;2713;Andaluces;21.0;A
2009;45980;3689;2797;Andaluces;35.0;A
2009;45980;3689;2911;Andaluces;8.0;A
2009;45980;3689;3023;Andaluces;85.0;A
2009;45980;3689;3142;Andaluces;5287.0;A
2009;45980;3689;3143;Andaluces;5565.0;A
2009;45980;3689;3160;Andaluces;728.0;A
2009;45980;3689;3676;Andaluces;6293.0;A
2009;45980;3690;2352;Andaluces;11.0;A
2009;45980;3690;2402;Andaluces;127.0;A
2009;45980;3690;2482;Andaluces;41.0;A
2009;45980;3690;2713;Andaluces;29.0;A
2009;45980;3690;2797;Andaluces;28.0;A
2009;45980;3690;2911;Andaluces;6.0;A
2009;45980;3690;3023;Andaluces;77.0;A
