D_TEMPORAL_0;D_TERRITORIO_1;D_TERRITORIO_0;D_SEXO_0;D_LUGARNACIMIEN_0;INDICATOR;OBS_VALUE;FREQ
2009;3675;3142;3691;45984;Andaluces;1006.0;A
2009;3675;3142;3691;46350;Andaluces;11765.0;A
2009;3675;3142;3691;46352;Andaluces;438.0;A
2009;3675;3142;3691;46351;Andaluces;25013.0;A
2009;3403;3143;3691;45230;Andaluces;5508.0;A
2009;3403;3143;3691;45276;Andaluces;7838.0;A
2009;3403;3143;3691;45354;Andaluces;6709.0;A
2009;3403;3143;3691;45576;Andaluces;9101.0;A
2009;3403;3143;3691;45657;Andaluces;2339.0;A
2009;3403;3143;3691;45765;Andaluces;4200.0;A
2009;3403;3143;3691;45873;Andaluces;8398.0;A
2009;3403;3143;3691;45980;Andaluces;8261.0;A
2009;3403;3143;3691;45981;Andaluces;52354.0;A
2009;3403;3143;3691;45984;Andaluces;3815.0;A
2009;3403;3143;3691;46350;Andaluces;38231.0;A
2009;3403;3143;3691;46352;Andaluces;1725.0;A
2009;3403;3143;3691;46351;Andaluces;96125.0;A
2009;3403;2352;3691;45230;Andaluces;5385.0;A
2009;3403;2352;3691;45276;Andaluces;9.0;A
2009;3403;2352;3691;45354;Andaluces;18.0;A
2009;3403;2352;3691;45576;Andaluces;89.0;A
2009;3403;2352;3691;45657;Andaluces;5.0;A
2009;3403;2352;3691;45765;Andaluces;16.0;A
2009;3403;2352;3691;45873;Andaluces;23.0;A
2009;3403;2352;3691;45980;Andaluces;18.0;A
2009;3403;2352;3691;45981;Andaluces;5563.0;A
2009;3403;2352;3691;45984;Andaluces;376.0;A
2009;3403;2352;3691;46350;Andaluces;3276.0;A
2009;3403;2352;3691;46352;Andaluces;179.0;A
2009;3403;2352;3691;46351;Andaluces;9394.0;A
2009;3403;2402;3691;45230;Andaluces;9.0;A
2009;3403;2402;3691;45276;Andaluces;7422.0;A
2009;3403;2402;3691;45354;Andaluces;29.0;A
2009;3403;2402;3691;45576;Andaluces;37.0;A
2009;3403;2402;3691;45657;Andaluces;22.0;A
2009;3403;2402;3691;45765;Andaluces;26.0;A
2009;3403;2402;3691;45873;Andaluces;144.0;A
2009;3403;2402;3691;45980;Andaluces;143.0;A
2009;3403;2402;3691;45981;Andaluces;7832.0;A
2009;3403;2402;3691;45984;Andaluces;527.0;A
2009;3403;2402;3691;46350;Andaluces;5556.0;A
2009;3403;2402;3691;46352;Andaluces;220.0;A
2009;3403;2402;3691;46351;Andaluces;14135.0;A
2009;3403;2482;3691;45230;Andaluces;12.0;A
2009;3403;2482;3691;45276;Andaluces;8.0;A
2009;3403;2482;3691;45354;Andaluces;6380.0;A
2009;3403;2482;3691;45576;Andaluces;30.0;A
2009;3403;2482;3691;45657;Andaluces;10.0;A
2009;3403;2482;3691;45765;Andaluces;44.0;A
2009;3403;2482;3691;45873;Andaluces;22.0;A
2009;3403;2482;3691;45980;Andaluces;53.0;A
2009;3403;2482;3691;45981;Andaluces;6559.0;A
2009;3403;2482;3691;45984;Andaluces;321.0;A
2009;3403;2482;3691;46350;Andaluces;4187.0;A
2009;3403;2482;3691;46352;Andaluces;183.0;A
2009;3403;2482;3691;46351;Andaluces;11250.0;A
2009;3403;2713;3691;45230;Andaluces;51.0;A
2009;3403;2713;3691;45276;Andaluces;33.0;A
2009;3403;2713;3691;45354;Andaluces;19.0;A
2009;3403;2713;3691;45576;Andaluces;8717.0;A
2009;3403;2713;3691;45657;Andaluces;5.0;A
2009;3403;2713;3691;45765;Andaluces;87.0;A
2009;3403;2713;3691;45873;Andaluces;52.0;A
2009;3403;2713;3691;45980;Andaluces;37.0;A
2009;3403;2713;3691;45981;Andaluces;9001.0;A
2009;3403;2713;3691;45984;Andaluces;525.0;A
2009;3403;2713;3691;46350;Andaluces;5747.0;A
2009;3403;2713;3691;46352;Andaluces;312.0;A
2009;3403;2713;3691;46351;Andaluces;15585.0;A
2009;3403;2797;3691;45230;Andaluces;3.0;A
2009;3403;2797;3691;45276;Andaluces;12.0;A
2009;3403;2797;3691;45354;Andaluces;6.0;A
2009;3403;2797;3691;45576;Andaluces;3.0;A
2009;3403;2797;3691;45657;Andaluces;2171.0;A
2009;3403;2797;3691;45765;Andaluces;3.0;A
2009;3403;2797;3691;45873;Andaluces;4.0;A
2009;3403;2797;3691;45980;Andaluces;50.0;A
