D_TEMPORAL_0;D_ESTADO_DATO_0;D_IASS_TIPOVENTAS_0;D_TERRITORIO_0;INDICATOR;OBS_VALUE;FREQ
2005-01;D;01;C01;Índice Empleo;103.452683404;M
2005-01;D;02;C01;Índice Empleo;109.302310934;M
2005-01;D;03;C01;Índice Empleo;98.729446725;M
2005-01;D;04;C01;Índice Empleo;107.845680297;M
2005-01;D;05;C01;Índice Empleo;95.474949802;M
2005-01;D;06;C01;Índice Empleo;100.704132158;M
2005-01;D;07;C01;Índice Empleo;95.907678087;M
2005-01;D;08;C01;Índice Empleo;97.899567437;M
2005-02;D;01;C01;Índice Empleo;103.196456191;M
2005-02;D;02;C01;Índice Empleo;108.685075554;M
2005-02;D;03;C01;Índice Empleo;98.774842059;M
2005-02;D;04;C01;Índice Empleo;108.255904324;M
2005-02;D;05;C01;Índice Empleo;95.140518344;M
2005-02;D;06;C01;Índice Empleo;100.872829932;M
2005-02;D;07;C01;Índice Empleo;97.182607196;M
2005-02;D;08;C01;Índice Empleo;97.035614176;M
2005-03;D;01;C01;Índice Empleo;104.217352332;M
2005-03;D;02;C01;Índice Empleo;109.394880125;M
2005-03;D;03;C01;Índice Empleo;100.057707713;M
2005-03;D;04;C01;Índice Empleo;108.964701223;M
2005-03;D;05;C01;Índice Empleo;96.889110515;M
2005-03;D;06;C01;Índice Empleo;101.279322303;M
2005-03;D;07;C01;Índice Empleo;98.135718122;M
2005-03;D;08;C01;Índice Empleo;98.668264358;M
2005-04;D;01;C01;Índice Empleo;105.537466904;M
2005-04;D;02;C01;Índice Empleo;109.820178788;M
2005-04;D;03;C01;Índice Empleo;102.128673178;M
2005-04;D;04;C01;Índice Empleo;109.796993265;M
2005-04;D;05;C01;Índice Empleo;99.361242155;M
2005-04;D;06;C01;Índice Empleo;101.982376645;M
2005-04;D;07;C01;Índice Empleo;100.233086189;M
2005-04;D;08;C01;Índice Empleo;101.605882195;M
2005-05;D;01;C01;Índice Empleo;106.018150756;M
2005-05;D;02;C01;Índice Empleo;109.819895853;M
2005-05;D;03;C01;Índice Empleo;103.01256378;M
2005-05;D;04;C01;Índice Empleo;110.614618649;M
2005-05;D;05;C01;Índice Empleo;100.250681244;M
2005-05;D;06;C01;Índice Empleo;101.979606718;M
2005-05;D;07;C01;Índice Empleo;102.163031593;M
2005-05;D;08;C01;Índice Empleo;101.810592063;M
2005-06;D;01;C01;Índice Empleo;106.445354306;M
2005-06;D;02;C01;Índice Empleo;109.401329814;M
2005-06;D;03;C01;Índice Empleo;104.148106587;M
2005-06;D;04;C01;Índice Empleo;109.581592175;M
2005-06;D;05;C01;Índice Empleo;103.315861663;M
2005-06;D;06;C01;Índice Empleo;103.775821203;M
2005-06;D;07;C01;Índice Empleo;101.294536323;M
2005-06;D;08;C01;Índice Empleo;103.772140551;M
2005-07;D;01;C01;Índice Empleo;105.789191753;M
2005-07;D;02;C01;Índice Empleo;107.284633096;M
2005-07;D;03;C01;Índice Empleo;104.712850005;M
2005-07;D;04;C01;Índice Empleo;109.586512983;M
2005-07;D;05;C01;Índice Empleo;106.794085425;M
2005-07;D;06;C01;Índice Empleo;102.415513838;M
2005-07;D;07;C01;Índice Empleo;101.343773232;M
2005-07;D;08;C01;Índice Empleo;101.429116685;M
2005-08;D;01;C01;Índice Empleo;105.504165616;M
2005-08;D;02;C01;Índice Empleo;107.153479996;M
2005-08;D;03;C01;Índice Empleo;104.298611227;M
2005-08;D;04;C01;Índice Empleo;109.389914155;M
2005-08;D;05;C01;Índice Empleo;106.901119312;M
2005-08;D;06;C01;Índice Empleo;102.400762496;M
2005-08;D;07;C01;Índice Empleo;101.036540738;M
2005-08;D;08;C01;Índice Empleo;99.845834074;M
2005-09;D;01;C01;Índice Empleo;106.737654976;M
2005-09;D;02;C01;Índice Empleo;108.348759984;M
2005-09;D;03;C01;Índice Empleo;105.566108165;M
2005-09;D;04;C01;Índice Empleo;109.650722054;M
2005-09;D;05;C01;Índice Empleo;106.092258432;M
2005-09;D;06;C01;Índice Empleo;103.007272693;M
2005-09;D;07;C01;Índice Empleo;101.250890797;M
2005-09;D;08;C01;Índice Empleo;106.251960319;M
2005-10;D;01;C01;Índice Empleo;106.240299745;M
2005-10;D;02;C01;Índice Empleo;109.561421365;M
2005-10;D;03;C01;Índice Empleo;103.63720495;M
2005-10;D;04;C01;Índice Empleo;110.204368889;M
2005-10;D;05;C01;Índice Empleo;100.84900799;M
2005-10;D;06;C01;Índice Empleo;103.770660149;M
2005-10;D;07;C01;Índice Empleo;101.438836156;M
2005-10;D;08;C01;Índice Empleo;104.400173189;M
2005-11;D;01;C01;Índice Empleo;105.947623348;M
2005-11;D;02;C01;Índice Empleo;110.582030079;M
2005-11;D;03;C01;Índice Empleo;102.245253727;M
2005-11;D;04;C01;Índice Empleo;110.555091399;M
2005-11;D;05;C01;Índice Empleo;97.499757174;M
2005-11;D;06;C01;Índice Empleo;103.785825304;M
2005-11;D;07;C01;Índice Empleo;101.400573198;M
2005-11;D;08;C01;Índice Empleo;102.740169553;M
2005-12;D;01;C01;Índice Empleo;108.156254124;M
2005-12;D;02;C01;Índice Empleo;112.049252666;M
2005-12;D;03;C01;Índice Empleo;105.077851793;M
2005-12;D;04;C01;Índice Empleo;110.712352249;M
2005-12;D;05;C01;Índice Empleo;98.258390026;M
2005-12;D;06;C01;Índice Empleo;103.597306931;M
2005-12;D;07;C01;Índice Empleo;101.5197348;M
2005-12;D;08;C01;Índice Empleo;114.309185968;M
2006-01;D;01;C01;Índice Empleo;105.273059555;M
2006-01;D;02;C01;Índice Empleo;110.270329406;M
2006-01;D;03;C01;Índice Empleo;101.26597696;M
2006-01;D;04;C01;Índice Empleo;111.226575357;M
2006-01;D;05;C01;Índice Empleo;96.942538053;M
2006-01;D;06;C01;Índice Empleo;103.316380229;M
2006-01;D;07;C01;Índice Empleo;101.201978854;M
2006-01;D;08;C01;Índice Empleo;98.759621103;M
2006-02;D;01;C01;Índice Empleo;105.242622805;M
2006-02;D;02;C01;Índice Empleo;109.582499276;M
2006-02;D;03;C01;Índice Empleo;101.78551363;M
