D_TEMPORAL_0;D_ESTADO_DATO_0;D_IASS_TIPOVENTAS_0;D_TERRITORIO_0;INDICATOR;OBS_VALUE;FREQ
200501;40123;61753;3143;Índice VAB;98.033544769;M
200501;40123;61754;3143;Índice VAB;106.203941788;M
200501;40123;61755;3143;Índice VAB;93.872339661;M
200501;40123;61756;3143;Índice VAB;87.595535661;M
200501;40123;61757;3143;Índice VAB;92.540522259;M
200501;40123;61758;3143;Índice VAB;100.27527471;M
200501;40123;61759;3143;Índice VAB;116.715954298;M
200501;40123;61760;3143;Índice VAB;101.209368436;M
200502;40123;61753;3143;Índice VAB;95.365093621;M
200502;40123;61754;3143;Índice VAB;99.072279635;M
200502;40123;61755;3143;Índice VAB;93.81198166;M
200502;40123;61756;3143;Índice VAB;91.369649033;M
200502;40123;61757;3143;Índice VAB;93.647902548;M
200502;40123;61758;3143;Índice VAB;94.745815196;M
200502;40123;61759;3143;Índice VAB;112.6044558;M
200502;40123;61760;3143;Índice VAB;100.729966694;M
200503;40123;61753;3143;Índice VAB;110.292233991;M
200503;40123;61754;3143;Índice VAB;114.972811452;M
200503;40123;61755;3143;Índice VAB;108.265487378;M
200503;40123;61756;3143;Índice VAB;97.43476093;M
200503;40123;61757;3143;Índice VAB;114.740055355;M
200503;40123;61758;3143;Índice VAB;103.331980088;M
200503;40123;61759;3143;Índice VAB;124.115386519;M
200503;40123;61760;3143;Índice VAB;126.622603088;M
200504;40123;61753;3143;Índice VAB;111.099288719;M
200504;40123;61754;3143;Índice VAB;115.755275028;M
200504;40123;61755;3143;Índice VAB;109.092615537;M
200504;40123;61756;3143;Índice VAB;102.272089116;M
200504;40123;61757;3143;Índice VAB;116.313573911;M
200504;40123;61758;3143;Índice VAB;106.479619712;M
200504;40123;61759;3143;Índice VAB;128.140859818;M
200504;40123;61760;3143;Índice VAB;109.429625639;M
200505;40123;61753;3143;Índice VAB;113.358592345;M
200505;40123;61754;3143;Índice VAB;114.339497825;M
200505;40123;61755;3143;Índice VAB;113.526693117;M
200505;40123;61756;3143;Índice VAB;106.491037204;M
200505;40123;61757;3143;Índice VAB;124.234301626;M
200505;40123;61758;3143;Índice VAB;109.346787445;M
200505;40123;61759;3143;Índice VAB;124.446836552;M
200505;40123;61760;3143;Índice VAB;116.421724768;M
200506;40123;61753;3143;Índice VAB;119.075417339;M
200506;40123;61754;3143;Índice VAB;120.599206432;M
200506;40123;61755;3143;Índice VAB;118.962266414;M
200506;40123;61756;3143;Índice VAB;108.15667392;M
200506;40123;61757;3143;Índice VAB;125.451574615;M
200506;40123;61758;3143;Índice VAB;116.732182052;M
