TEMPORAL;TERRITORIO;IPC_GRUPOSESPECIALES;INDICATOR;OBS_VALUE;FREQ
2021-03;108;25;INDICE;103.264;M
2021-03;108;26;INDICE;105.071;M
2021-03;108;17;INDICE;105.094;M
2021-03;108;27;INDICE;107.271;M
2021-03;108;28;INDICE;102.946;M
2021-03;108;09;INDICE;103.076;M
2021-03;108;11;INDICE;105.416;M
2021-03;108;03;INDICE;106.97;M
2021-03;108;04;INDICE;112.274;M
2021-03;108;10;INDICE;99.565;M
2021-03;108;29;INDICE;104.275;M
2021-03;C01;01;INDICE;103.28;M
2021-03;C01;02;INDICE;113.82;M
2021-03;C01;05;INDICE;102.732;M
2021-03;C01;12;INDICE;105.816;M
2021-03;C01;08;INDICE;115.055;M
2021-03;C01;06;INDICE;98.88;M
2021-03;C01;07;INDICE;111.617;M
2021-03;C01;13;INDICE;104.307;M
2021-03;C01;14;INDICE;104.894;M
2021-03;C01;18;INDICE;104.148;M
2021-03;C01;15;INDICE;104.123;M
2021-03;C01;16;INDICE;103.207;M
2021-03;C01;19;INDICE;104.351;M
2021-03;C01;20;INDICE;104.331;M
2021-03;C01;21;INDICE;104.29;M
2021-03;C01;22;INDICE;103.189;M
2021-03;C01;23;INDICE;103.085;M
2021-03;C01;24;INDICE;102.862;M
2021-03;C01;25;INDICE;102.732;M
2021-03;C01;26;INDICE;104.463;M
2021-03;C01;17;INDICE;104.936;M
2021-03;C01;27;INDICE;106.796;M
2021-03;C01;28;INDICE;102.396;M
2021-03;C01;09;INDICE;102.489;M
2021-03;C01;11;INDICE;105.748;M
2021-03;C01;03;INDICE;106.429;M
2021-03;C01;04;INDICE;112.38;M
2021-03;C01;10;INDICE;99.239;M
2021-03;C01;29;INDICE;104.237;M
2021-04;108;01;INDICE;104.276;M
2021-04;108;02;INDICE;113.521;M
2021-04;108;05;INDICE;106.466;M
2021-04;108;12;INDICE;105.541;M
2021-04;108;08;INDICE;115.031;M
2021-04;108;06;INDICE;99.241;M
2021-04;108;07;INDICE;116.514;M
2021-04;108;13;INDICE;106.045;M
2021-04;108;14;INDICE;106.339;M
2021-04;108;18;INDICE;105.615;M
2021-04;108;15;INDICE;105.108;M
2021-04;108;16;INDICE;104.326;M
2021-04;108;19;INDICE;106.691;M
2021-04;108;20;INDICE;106.745;M
2021-04;108;21;INDICE;106.072;M
