TEMPORAL;TERRITORIO;ECOICOP;INDICATOR;OBS_VALUE;FREQ
2021-02;108;07;INDICE;108.222;M
2021-02;108;08;INDICE;100.292;M
2021-02;108;09;INDICE;99.497;M
2021-02;108;10;INDICE;103.108;M
2021-02;108;11;INDICE;106.558;M
2021-02;108;12;INDICE;105.263;M
2021-02;C01;00;INDICE;103.769;M
2021-02;C01;01;INDICE;106.682;M
2021-02;C01;02;INDICE;103.9;M
2021-02;C01;03;INDICE;93.595;M
2021-02;C01;04;INDICE;101.321;M
2021-02;C01;05;INDICE;99.544;M
2021-02;C01;06;INDICE;102.347;M
2021-02;C01;07;INDICE;108.016;M
2021-02;C01;08;INDICE;100.415;M
2021-02;C01;09;INDICE;98.662;M
2021-02;C01;10;INDICE;105.468;M
2021-02;C01;11;INDICE;106.438;M
2021-02;C01;12;INDICE;103.971;M
2021-02;04;00;INDICE;104.374;M
2021-02;04;01;INDICE;109.421;M
2021-02;04;02;INDICE;105.335;M
2021-02;04;03;INDICE;93.161;M
2021-02;04;04;INDICE;102.718;M
2021-02;04;05;INDICE;100.218;M
2021-02;04;06;INDICE;102.56;M
2021-02;04;07;INDICE;109.068;M
2021-02;04;08;INDICE;102.143;M
2021-02;04;09;INDICE;97.83;M
2021-02;04;10;INDICE;102.402;M
2021-02;04;11;INDICE;103.244;M
2021-02;04;12;INDICE;103.454;M
2021-02;11;00;INDICE;102.827;M
2021-02;11;01;INDICE;104.754;M
2021-02;11;02;INDICE;103.646;M
2021-02;11;03;INDICE;94.044;M
2021-02;11;04;INDICE;100.95;M
2021-02;11;05;INDICE;96.831;M
2021-02;11;06;INDICE;101.034;M
2021-02;11;07;INDICE;108.714;M
2021-02;11;08;INDICE;98.823;M
2021-02;11;09;INDICE;97.101;M
2021-02;11;10;INDICE;103.777;M
2021-02;11;11;INDICE;105.555;M
2021-02;11;12;INDICE;103.619;M
2021-02;14;00;INDICE;103.565;M
2021-02;14;01;INDICE;105.909;M
2021-02;14;02;INDICE;103.51;M
2021-02;14;03;INDICE;93.638;M
2021-02;14;04;INDICE;100.844;M
2021-02;14;05;INDICE;98.732;M
2021-02;14;06;INDICE;104.779;M
2021-02;14;07;INDICE;107.776;M
2021-02;14;08;INDICE;100.135;M
2021-02;14;09;INDICE;101.486;M
2021-02;14;10;INDICE;104.284;M
2021-02;14;11;INDICE;104.853;M
2021-02;14;12;INDICE;103.328;M
2021-02;18;00;INDICE;103.646;M
2021-02;18;01;INDICE;107.232;M
2021-02;18;02;INDICE;103.18;M
2021-02;18;03;INDICE;92.159;M
2021-02;18;04;INDICE;101.036;M
2021-02;18;05;INDICE;100.795;M
2021-02;18;06;INDICE;103.682;M
2021-02;18;07;INDICE;107.058;M
2021-02;18;08;INDICE;100.907;M
2021-02;18;09;INDICE;97.855;M
2021-02;18;10;INDICE;107.668;M
2021-02;18;11;INDICE;107.647;M
2021-02;18;12;INDICE;104.423;M
2021-02;21;00;INDICE;103.258;M
2021-02;21;01;INDICE;104.877;M
2021-02;21;02;INDICE;104.212;M
2021-02;21;03;INDICE;92.632;M
2021-02;21;04;INDICE;101.617;M
2021-02;21;05;INDICE;98.529;M
2021-02;21;06;INDICE;102.27;M
2021-02;21;07;INDICE;107.825;M
2021-02;21;08;INDICE;101.018;M
2021-02;21;09;INDICE;97.627;M
2021-02;21;10;INDICE;104.079;M
2021-02;21;11;INDICE;107.39;M
2021-02;21;12;INDICE;101.518;M
2021-02;23;00;INDICE;103.372;M
2021-02;23;01;INDICE;108.086;M
2021-02;23;02;INDICE;104.576;M
2021-02;23;03;INDICE;93.665;M
2021-02;23;04;INDICE;100.824;M
2021-02;23;05;INDICE;99.557;M
2021-02;23;06;INDICE;100.814;M
2021-02;23;07;INDICE;108.477;M
2021-02;23;08;INDICE;101.294;M
2021-02;23;09;INDICE;95.402;M
2021-02;23;10;INDICE;103.323;M
2021-02;23;11;INDICE;104.478;M
2021-02;23;12;INDICE;101.758;M
2021-02;29;00;INDICE;104.896;M
2021-02;29;01;INDICE;108.075;M
2021-02;29;02;INDICE;104.431;M
2021-02;29;03;INDICE;93.382;M
2021-02;29;04;INDICE;101.441;M
2021-02;29;05;INDICE;100.769;M
2021-02;29;06;INDICE;103.298;M
2021-02;29;07;INDICE;108.241;M
2021-02;29;08;INDICE;101.619;M
2021-02;29;09;INDICE;101.766;M
2021-02;29;10;INDICE;107.619;M
2021-02;29;11;INDICE;108.23;M
2021-02;29;12;INDICE;105.4;M
2021-02;41;00;INDICE;103.547;M
2021-02;41;01;INDICE;105.793;M
2021-02;41;02;INDICE;103.224;M
2021-02;41;03;INDICE;94.694;M
2021-02;41;04;INDICE;101.286;M
2021-02;41;05;INDICE;99.782;M
2021-02;41;06;INDICE;101.107;M
2021-02;41;07;INDICE;107.577;M
2021-02;41;08;INDICE;99.094;M
2021-02;41;09;INDICE;98.109;M
2021-02;41;10;INDICE;105.899;M
2021-02;41;11;INDICE;107.044;M
2021-02;41;12;INDICE;104.491;M
2021-03;108;00;INDICE;105.07;M
2021-03;108;01;INDICE;107.276;M
2021-03;108;02;INDICE;104.91;M
2021-03;108;03;INDICE;98.61;M
2021-03;108;04;INDICE;104.849;M
2021-03;108;05;INDICE;101.082;M
2021-03;108;06;INDICE;102.638;M
2021-03;108;07;INDICE;110.196;M
2021-03;108;08;INDICE;100.122;M
2021-03;108;09;INDICE;99.507;M
2021-03;108;10;INDICE;103.105;M
2021-03;108;11;INDICE;106.772;M
2021-03;108;12;INDICE;105.276;M
2021-03;C01;00;INDICE;104.892;M
2021-03;C01;01;INDICE;106.882;M
2021-03;C01;02;INDICE;103.676;M
2021-03;C01;03;INDICE;98.727;M
2021-03;C01;04;INDICE;105.185;M
2021-03;C01;05;INDICE;99.776;M
2021-03;C01;06;INDICE;102.32;M
2021-03;C01;07;INDICE;110.087;M
2021-03;C01;08;INDICE;100.249;M
2021-03;C01;09;INDICE;98.763;M
2021-03;C01;10;INDICE;105.551;M
2021-03;C01;11;INDICE;106.568;M
2021-03;C01;12;INDICE;103.938;M
2021-03;04;00;INDICE;105.392;M
2021-03;04;01;INDICE;109.07;M
2021-03;04;02;INDICE;105.151;M
2021-03;04;03;INDICE;98.826;M
2021-03;04;04;INDICE;105.953;M
2021-03;04;05;INDICE;100.336;M
2021-03;04;06;INDICE;102.571;M
2021-03;04;07;INDICE;111.219;M
2021-03;04;08;INDICE;102.035;M
2021-03;04;09;INDICE;98.308;M
2021-03;04;10;INDICE;102.402;M
2021-03;04;11;INDICE;103.18;M
2021-03;04;12;INDICE;103.792;M
2021-03;11;00;INDICE;103.768;M
2021-03;11;01;INDICE;104.932;M
2021-03;11;02;INDICE;103.386;M
2021-03;11;03;INDICE;98.966;M
2021-03;11;04;INDICE;104.408;M
2021-03;11;05;INDICE;96.845;M
2021-03;11;06;INDICE;100.915;M
2021-03;11;07;INDICE;110.626;M
2021-03;11;08;INDICE;98.604;M
2021-03;11;09;INDICE;97.439;M
2021-03;11;10;INDICE;104.233;M
2021-03;11;11;INDICE;105.54;M
2021-03;11;12;INDICE;103.171;M
2021-03;14;00;INDICE;104.838;M
2021-03;14;01;INDICE;106.822;M
2021-03;14;02;INDICE;102.575;M
2021-03;14;03;INDICE;97.44;M
2021-03;14;04;INDICE;105.001;M
2021-03;14;05;INDICE;98.219;M
2021-03;14;06;INDICE;104.803;M
2021-03;14;07;INDICE;109.883;M
2021-03;14;08;INDICE;99.961;M
2021-03;14;09;INDICE;101.391;M
2021-03;14;10;INDICE;104.284;M
2021-03;14;11;INDICE;104.97;M
2021-03;14;12;INDICE;103.942;M
2021-03;18;00;INDICE;104.861;M
2021-03;18;01;INDICE;107.087;M
2021-03;18;02;INDICE;103.21;M
2021-03;18;03;INDICE;100.033;M
2021-03;18;04;INDICE;104.951;M
2021-03;18;05;INDICE;100.916;M
2021-03;18;06;INDICE;101.594;M
2021-03;18;07;INDICE;108.897;M
2021-03;18;08;INDICE;100.757;M
2021-03;18;09;INDICE;98.107;M
2021-03;18;10;INDICE;107.668;M
2021-03;18;11;INDICE;107.752;M
2021-03;18;12;INDICE;104.479;M
2021-03;21;00;INDICE;104.453;M
2021-03;21;01;INDICE;105.297;M
2021-03;21;02;INDICE;103.646;M
2021-03;21;03;INDICE;99.564;M
2021-03;21;04;INDICE;105.4;M
2021-03;21;05;INDICE;99.091;M
2021-03;21;06;INDICE;103.192;M
2021-03;21;07;INDICE;109.884;M
2021-03;21;08;INDICE;100.873;M
2021-03;21;09;INDICE;96.714;M
2021-03;21;10;INDICE;104.079;M
2021-03;21;11;INDICE;107.555;M
2021-03;21;12;INDICE;100.337;M
2021-03;23;00;INDICE;104.534;M
2021-03;23;01;INDICE;108.492;M
2021-03;23;02;INDICE;104.127;M
2021-03;23;03;INDICE;96.998;M
2021-03;23;04;INDICE;105.312;M
2021-03;23;05;INDICE;99.573;M
2021-03;23;06;INDICE;101.647;M
2021-03;23;07;INDICE;110.861;M
2021-03;23;08;INDICE;101.155;M
2021-03;23;09;INDICE;95.318;M
2021-03;23;10;INDICE;103.323;M
2021-03;23;11;INDICE;104.884;M
2021-03;23;12;INDICE;101.693;M
2021-03;29;00;INDICE;106.054;M
2021-03;29;01;INDICE;108.083;M
2021-03;29;02;INDICE;104.524;M
2021-03;29;03;INDICE;98.741;M
2021-03;29;04;INDICE;105.139;M
